id	url	observed_kind	run_rc	records	reason
br-pncp-contratos	https://pncp.gov.br/api/consulta/v1/contratos?dataInicial=20250101&dataFinal=20250110&pagina=1&tamanhoPagina=10	json:data	0	0	fetched and parsed, but the generic parser produced no intel row
br-pncp-contratacoes-publicacao	https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?dataInicial=20250101&dataFinal=20250110&codigoModalidadeContratacao=6&pagina=1&tamanhoPagina=10	json:data	0	0	fetched and parsed, but the generic parser produced no intel row
br-pncp-atas	https://pncp.gov.br/api/consulta/v1/atas?dataInicial=20250101&dataFinal=20250105&pagina=1&tamanhoPagina=10	json:data	-99	-1	fetched and parsed, but the generic parser produced no intel row
br-pncp-compra-itens	https://pncp.gov.br/api/pncp/v1/orgaos/08084014000142/compras/2024/57/itens	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
br-pncp-contrato-detalhe	https://pncp.gov.br/api/pncp/v1/orgaos/00394460005887/contratos/2024/7096	json-object	0	0	fetched and parsed, but the generic parser produced no intel row
br-minhareceita-cnpj	https://minhareceita.org/19131243000197	json:regime_tributario	0	0	fetched and parsed, but the generic parser produced no intel row
br-ipea-metadados	https://www.ipeadata.gov.br/api/odata4/Metadados	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
br-ipea-valores	https://www.ipeadata.gov.br/api/odata4/Metadados('ABATE_ABPEAV')/Valores	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
br-ipea-territorios	https://www.ipeadata.gov.br/api/odata4/Territorios?$top=5	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
br-ipea-paises	https://www.ipeadata.gov.br/api/odata4/Paises	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
br-ipea-temas	https://www.ipeadata.gov.br/api/odata4/Temas	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
br-datasus-cnes-estabelecimentos	https://apidadosabertos.saude.gov.br/cnes/estabelecimentos?limit=20	json:estabelecimentos	0	0	fetched and parsed, but the generic parser produced no intel row
br-datasus-cnes-estabelecimento-detalhe	https://apidadosabertos.saude.gov.br/cnes/estabelecimentos/9629866	json-object	0	0	fetched and parsed, but the generic parser produced no intel row
br-bcb-olinda-expectativas	https://olinda.bcb.gov.br/olinda/servico/Expectativas/versao/v1/odata/ExpectativaMercadoMensais?$top=100&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
br-bcb-olinda-taxajuros	https://olinda.bcb.gov.br/olinda/servico/taxaJuros/versao/v2/odata/TaxasJurosDiariaPorInicioPeriodo?$top=3&$format=json	json:value	0	0	fetched and parsed, but the generic parser produced no intel row
