# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
Fluke	821.1k	2026-07-15	2026-07
Goose Creek	6.6M	2026-07-15	2026-06
Glendale Community College	793.9k	2026-07-11	2026-06
Moody Bible Institute	2.3M	2026-07-03	2026-06
Sysco	2.7M	2026-06-28	2026-06
American Tower	216.6k	2026-06-26	2026-06
Madison Square Garden Sports	9.8M	2026-06-24	2026-06
JCPenney	368.4k	2026-06-20	2026-06
Ralph Lauren	139.9k	2026-06-18	2026-06
Operation Endgame 4.0	4.2M	2026-06-18	2026-06
CFGI	248.2k	2026-06-18	2026-03
June 2026 Stealer Logs	56.3M	2026-06-15	2026-06
Berkadia	305.2k	2026-06-15	2026-03
Infinite Campus	137.1k	2026-06-15	2026-03
University of Nottingham	454.6k	2026-06-10	2026-06
Baker Distributing	102.9k	2026-06-07	2026-05
BCD Travel	396.3k	2026-06-05	2026-05
DentaQuest	2.6M	2026-06-03	2026-05
Edmunds	177.9k	2026-06-01	2026-01
Atlas Menu	63.9k	2026-05-30	2026-05
Charter	4.9M	2026-05-28	2026-05
Kemper	269.3k	2026-05-28	2026-04
Mytheresa	84.1k	2026-05-27	2026-04
Ameriprise	502.6k	2026-05-26	2026-03
7-Eleven	185.3k	2026-05-24	2026-04
Dragonica Lunaris	126.3k	2026-05-21	2025-12
Windows93 / Myspace93	46.1k	2026-05-21	2021-01
CTT	468.1k	2026-05-19	2026-04
Addi	34.5M	2026-05-18	2026-03
Abrigo	711.1k	2026-05-14	2026-04
Canada Life	237.8k	2026-05-13	2026-04
Cushman & Wakefield	310.4k	2026-05-12	2026-05
Zara	197.4k	2026-05-08	2026-04
Woflow	447.6k	2026-05-07	2026-03
LegionProxy	10.1k	2026-05-06	2026-04
Vimeo	119.2k	2026-05-05	2026-04
Reborn Gaming	126	2026-05-04	2026-04
Marcus & Millichap	1.8M	2026-05-03	2026-04
ZenBusiness	5.1M	2026-05-02	2026-03
Aman	215.6k	2026-05-01	2026-04
Pitney Bowes	8.2M	2026-04-27	2026-04
ADT	5.5M	2026-04-27	2026-04
Udemy	1.4M	2026-04-26	2026-04
Carnival	7.5M	2026-04-24	2026-04
Amtrak	2.1M	2026-04-17	2026-04
McGraw Hill	13.5M	2026-04-16	2026-04
Hallmark	1.7M	2026-04-12	2026-03
My Lovely AI	106.3k	2026-04-08	2026-04
Crunchyroll	1.2M	2026-04-04	2026-03
SongTrivia2	291.7k	2026-04-04	2026-04
SUCCESS	253.5k	2026-04-01	2026-03
Cuties AI	144.2k	2026-03-31	2025-03
BreachForums Version 5	339.8k	2026-03-27	2026-03
Scuf Gaming	128.7k	2026-03-26	2015-06
Sound Radix	293k	2026-03-26	2026-03
RuneScape Boards	222.8k	2026-03-23	2011-12
Aura	903.1k	2026-03-18	2026-03
Divine Skins	105.8k	2026-03-15	2026-03
Baydöner	1.3M	2026-03-15	2026-03
Provecho	712.9k	2026-03-03	2026-01
Lovora	495.6k	2026-03-02	2026-02
Quitbro	22.9k	2026-03-02	2026-02
KomikoAI	1.1M	2026-03-02	2026-02
Odido	6.1M	2026-02-26	2026-02
Canadian Tire	38.3M	2026-02-25	2025-10
CarGurus	12.5M	2026-02-22	2026-02
CarMax	431.4k	2026-02-20	2026-01
Figure	967.2k	2026-02-18	2026-01
Canada Goose	581.9k	2026-02-17	2025-07
University of Pennsylvania	623.8k	2026-02-16	2025-10
APOIA.se	450.8k	2026-02-16	2025-12
Toy Battles	1k	2026-02-10	2026-02
Association Nationale des Premiers Secours	5.6k	2026-02-10	2026-01
Substack	663.1k	2026-02-06	2025-10
Betterment	1.4M	2026-02-05	2026-01
Panera Bread	5.1M	2026-01-31	2026-01
SoundCloud	29.8M	2026-01-27	2025-12
Under Armour	72.7M	2026-01-21	2025-11
Raaga	10.2M	2026-01-19	2025-12
Pass'Sport	6.4M	2026-01-18	2025-12
Instagram	6.2M	2026-01-11	2026-01
BreachForums (2025)	672.2k	2026-01-10	2025-08
WhiteDate	20.4k	2026-01-06	2025-12
WIRED	2.4M	2025-12-27	2025-09
Utair	401.4k	2025-12-26	2019-03
Медицинская лаборатория Гемотест (Gemotest)	6.3M	2025-12-24	2022-04
AUTOSUR	487.2k	2025-12-18	2025-03
The Botting Network	96.3k	2025-12-18	2012-08
Web Hosting Talk	515.1k	2025-12-17	2016-07
KinoKong	817.8k	2025-12-06	2021-03
Zilvia.net	287.9k	2025-12-01	2025-11
China Software Developer Network	6.4M	2025-11-27	2011-12
CodeStepByStep	103.1k	2025-11-23	2025-11
ADDA	1.8M	2025-11-23	2025-03
