id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description	verified	verified_note
us-data-boston-gov-datasets	https://data.boston.gov/api/3/action/package_search?rows=100	json:result.results		Analyze Boston — datasets (United States)		us_opendata	opendata	en	us,ckan,opendata,datasets	86400	Dataset catalogue: title, notes, organization, licence, tags, resource list and modification dates for every published dataset. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-orgs	https://data.boston.gov/api/3/action/organization_list?all_fields=true	json:result		Analyze Boston — orgs (United States)		us_opendata	opendata	en	us,ckan,opendata,orgs	86400	Every publishing organisation on the portal with its title, description, package count and image. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-groups	https://data.boston.gov/api/3/action/group_list?all_fields=true	json:result		Analyze Boston — groups (United States)		us_opendata	opendata	en	us,ckan,opendata,groups	86400	Thematic groups/collections declared by the portal. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-tags	https://data.boston.gov/api/3/action/tag_list	json:result		Analyze Boston — tags (United States)		us_opendata	opendata	en	us,ckan,opendata,tags	86400	The portal's full controlled vocabulary of dataset tags. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-activity	https://data.boston.gov/api/3/action/recently_changed_packages_activity_list?limit=100	json:result		Analyze Boston — activity (United States)		us_opendata	opendata	en	us,ckan,opendata,activity	86400	Recent publish/update activity — what this authority changed and when, which is the change-detection signal behind the catalogue. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-org-archives-and-record-management-org	https://data.boston.gov/api/3/action/package_search?fq=organization:archives-and-record-management-org&rows=100	json:result.results		Analyze Boston — org-archives-and-record-management-org (United States)		us_opendata	opendata	en	us,ckan,opendata,org-archives-and-record-management-org	86400	Everything published by Archives and Record Management on this portal: every dataset with its resources, licence, tags and last-modified date. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-org-assessing-department-org	https://data.boston.gov/api/3/action/package_search?fq=organization:assessing-department-org&rows=100	json:result.results		Analyze Boston — org-assessing-department-org (United States)		us_opendata	opendata	en	us,ckan,opendata,org-assessing-department-org	86400	Everything published by Assessing Department on this portal: every dataset with its resources, licence, tags and last-modified date. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-org-boston-311-org	https://data.boston.gov/api/3/action/package_search?fq=organization:boston-311-org&rows=100	json:result.results		Analyze Boston — org-boston-311-org (United States)		us_opendata	opendata	en	us,ckan,opendata,org-boston-311-org	86400	Everything published by Boston 311 on this portal: every dataset with its resources, licence, tags and last-modified date. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-org-boston-centers-for-youth-families-org	https://data.boston.gov/api/3/action/package_search?fq=organization:boston-centers-for-youth-families-org&rows=100	json:result.results		Analyze Boston — org-boston-centers-for-youth-families-org (United States)		us_opendata	opendata	en	us,ckan,opendata,org-boston-centers-for-youth-families-org	86400	Everything published by Boston Centers for Youth & Families on this portal: every dataset with its resources, licence, tags and last-modified date. Served by the CKAN platform at data.boston.gov.	no	pending-probe
us-data-boston-gov-org-boston-ems-org	https://data.boston.gov/api/3/action/package_search?fq=organization:boston-ems-org&rows=100	json:result.results		Analyze Boston — org-boston-ems-org (United States)		us_opendata	opendata	en	us,ckan,opendata,org-boston-ems-org	86400	Everything published by Boston Emergency Medical Services on this portal: every dataset with its resources, licence, tags and last-modified date. Served by the CKAN platform at data.boston.gov.	no	pending-probe
