id	list_url	detail_url	detail_key
us-sec-edgar-submissions-overflow	https://data.sec.gov/submissions/CIK0000320193-submissions-001.json	https://www.sec.gov/Archives/edgar/data/320193/{v}/index.json	accessionNumber
us-sec-edgar-filing-folder-index	https://www.sec.gov/Archives/edgar/data/320193/000114036126032884/index.json	https://www.sec.gov/Archives/edgar/data/320193/000114036126032884/{v}	name
us-sec-edgar-cik-folder-index	https://www.sec.gov/Archives/edgar/data/320193/index.json	https://www.sec.gov/Archives/edgar/data/320193/{v}/index.json	name
us-sec-xbrl-frames	https://data.sec.gov/api/xbrl/frames/us-gaap/Assets/USD/CY2024Q4I.json	https://data.sec.gov/api/xbrl/companyfacts/CIK{v}.json	cik
us-sec-xbrl-frames-annual	https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2024.json	https://data.sec.gov/api/xbrl/companyconcept/CIK{v}/us-gaap/Revenues.json	cik
us-sec-company-tickers	https://www.sec.gov/files/company_tickers.json	https://data.sec.gov/submissions/CIK{v}.json	cik_str
us-sec-company-tickers-exchange	https://www.sec.gov/files/company_tickers_exchange.json	https://data.sec.gov/submissions/CIK{v}.json	cik
us-sec-company-tickers-mutualfund	https://www.sec.gov/files/company_tickers_mf.json	https://data.sec.gov/submissions/CIK{v}.json	cik
us-sec-edgar-full-index-form	https://www.sec.gov/Archives/edgar/full-index/2025/QTR1/form.idx	https://www.sec.gov/Archives/{v}	File Name
us-sec-edgar-daily-index	https://www.sec.gov/Archives/edgar/daily-index/2025/QTR1/index.json	https://www.sec.gov/Archives/edgar/daily-index/2025/QTR1/{v}	name
us-sec-browse-edgar-company-atom	https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000320193&type=10-K&dateb=&owner=include&count=5&output=atom	https://www.sec.gov/Archives/edgar/data/320193/{v}/index.json	accession-number
us-sec-browse-edgar-state-sic	https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&State=NY&SIC=6022&type=10-K&dateb=&owner=include&count=5&output=atom	https://data.sec.gov/submissions/CIK{v}.json	cik
us-sec-browse-edgar-company-name	https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=apple&type=10-K&dateb=&owner=include&count=10&output=atom	https://data.sec.gov/submissions/CIK{v}.json	cik
us-sec-browse-edgar-getcurrent	https://www.sec.gov/cgi-bin/browse-edgar?action=getcurrent&type=8-K&company=&dateb=&owner=include&count=20&action=getcurrent&output=atom	https://www.sec.gov/Archives/edgar/data/1043961/{v}/index.json	accession
us-sec-own-disp-issuer	https://www.sec.gov/cgi-bin/own-disp?action=getissuer&CIK=0000320193&type=&dateb=&owner=include&count=40	https://www.sec.gov/cgi-bin/own-disp?action=getowner&CIK={v}&type=&dateb=&owner=include&count=40	CIK
us-sec-own-disp-owner	https://www.sec.gov/cgi-bin/own-disp?action=getowner&CIK=0001214156&type=&dateb=&owner=include&count=40	https://www.sec.gov/cgi-bin/own-disp?action=getissuer&CIK={v}&type=&dateb=&owner=include&count=40	CIK
us-fdic-institutions	https://api.fdic.gov/banks/institutions?filters=STNAME:%22California%22&fields=NAME,CITY,STNAME,CERT,ACTIVE,ASSET&limit=3&format=json	https://api.fdic.gov/banks/institutions?filters=CERT:{v}&limit=1&format=json	CERT
us-fdic-failures	https://api.fdic.gov/banks/failures?limit=3&format=json	https://api.fdic.gov/banks/institutions?filters=CERT:{v}&limit=1&format=json	CERT
us-fdic-demographics	https://api.fdic.gov/banks/demographics?limit=2&format=json	https://api.fdic.gov/banks/institutions?filters=CERT:{v}&limit=1&format=json	CERT
us-finra-brokercheck-individual-search	https://api.brokercheck.finra.org/search/individual?query=smith&hl=true&nrows=3&start=0&r=25&wt=json	https://api.brokercheck.finra.org/search/individual/{v}?hl=true&wt=json&query={v}	ind_source_id
us-finra-brokercheck-individual-detail	https://api.brokercheck.finra.org/search/individual/810315?hl=true&wt=json&query=810315	https://api.brokercheck.finra.org/search/firm/{v}?hl=true&wt=json&query={v}	firmId
us-sec-iapd-firm-search	https://api.adviserinfo.sec.gov/search/firm?query=blackrock&hl=true&nrows=3&wt=json	https://api.adviserinfo.sec.gov/search/firm/{v}?hl=true&wt=json&query={v}	firm_source_id
us-sec-iapd-individual-search	https://api.adviserinfo.sec.gov/search/individual?query=smith&hl=true&nrows=3&wt=json	https://api.adviserinfo.sec.gov/search/individual/{v}?hl=true&wt=json&query={v}	ind_source_id
us-finra-otc-weekly-summary	https://api.finra.org/data/group/otcMarket/name/weeklySummary?limit=3	https://api.brokercheck.finra.org/search/firm/{v}?hl=true&wt=json&query={v}	firmCRDNumber
us-usaspending-award-detail	https://api.usaspending.gov/api/v2/awards/CONT_AWD_N0001919C0001_9700_-NONE-_-NONE-/	https://api.usaspending.gov/api/v2/awards/count/subaward/{v}/	generated_unique_award_id
us-usaspending-subaward-count	https://api.usaspending.gov/api/v2/awards/count/subaward/CONT_AWD_72027821C00002_7200_-NONE-_-NONE-/	https://api.usaspending.gov/api/v2/subawards/	
us-usaspending-award-funding	https://api.usaspending.gov/api/v2/awards/funding/	https://api.usaspending.gov/api/v2/federal_accounts/{v}/	federal_account
us-usaspending-award-accounts	https://api.usaspending.gov/api/v2/awards/accounts/	https://api.usaspending.gov/api/v2/federal_accounts/{v}/	federal_account
us-usaspending-subaward-search	https://api.usaspending.gov/api/v2/search/spending_by_award/	https://api.usaspending.gov/api/v2/awards/{v}/	prime_award_generated_internal_id
us-usaspending-spending-by-transaction	https://api.usaspending.gov/api/v2/search/spending_by_transaction/	https://api.usaspending.gov/api/v2/awards/{v}/	generated_internal_id
us-usaspending-spending-by-category-recipient	https://api.usaspending.gov/api/v2/search/spending_by_category/recipient/	https://api.usaspending.gov/api/v2/recipient/{v}/	recipient_id
us-usaspending-recipient-list	https://api.usaspending.gov/api/v2/recipient/duns/	https://api.usaspending.gov/api/v2/recipient/{v}/	id
us-usaspending-federal-accounts-list	https://api.usaspending.gov/api/v2/federal_accounts/	https://api.usaspending.gov/api/v2/federal_accounts/{v}/	account_number
us-usaspending-agency-overview	https://api.usaspending.gov/api/v2/agency/012/	https://api.usaspending.gov/api/v2/agency/{v}/sub_agency/?fiscal_year=2024	toptier_code
us-usaspending-agency-federal-account	https://api.usaspending.gov/api/v2/agency/012/federal_account/?fiscal_year=2024&limit=3	https://api.usaspending.gov/api/v2/federal_accounts/{v}/	code
us-usaspending-reporting-agencies-overview	https://api.usaspending.gov/api/v2/reporting/agencies/overview/?fiscal_year=2024&fiscal_period=9&limit=3	https://api.usaspending.gov/api/v2/reporting/agencies/{v}/differences/?fiscal_year=2024&fiscal_period=9	toptier_code
