# Batch 18-C — corporate registries, beneficial ownership, securities and finance.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_corp.c by tools/gen_hp_batch.py.
GLEIF_LEI_RECORDS|json|any|corporate|legal-entity|corporate,lei,identifier,ownership|https://www.gleif.org|GLEIF — Legal Entity Identifier records|GLEIF 取引主体識別子|https://api.gleif.org/api/v1/lei-records?filter%5Bfulltext%5D={q}&page%5Bsize%5D=100|https://api.gleif.org/api/v1/lei-records?filter%5Bfulltext%5D=siemens&page%5Bsize%5D=100|The global LEI register: legal name, all transliterated and other names, registered and headquarters addresses, legal form, registration authority and its local entity ID, entity status and the registration lifecycle. The LEI is the one identifier that is the same in every jurisdiction, which is what makes cross-border consolidation possible at all|array_path=data
GLEIF_LEI_CHILDREN|json|any|corporate|ownership-subsidiary|corporate,lei,ownership,subsidiary|https://www.gleif.org|GLEIF — direct subsidiaries of an entity|GLEIF 子会社一覧|https://api.gleif.org/api/v1/lei-records/{qU}/direct-children?page%5Bsize%5D=100|https://api.gleif.org/api/v1/lei-records/89450051ZRDOL9KEWH63/direct-children?page%5Bsize%5D=100|Every entity that has declared this one as its direct parent, each with its own LEI, jurisdiction and address. Walking children recursively yields the corporate group as its own members report it|array_path=data
SEC_EDGAR_FRAMES|json|any|corporate|financial-fact|corporate,sec,financials,xbrl|https://www.sec.gov|SEC EDGAR — one XBRL concept across all registrants|SEC EDGAR XBRL横断ファクト|https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2023.json|https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2023.json|One reported accounting concept across every US registrant for one period, each with the entity name, CIK, unit and value. This inverts EDGAR: instead of reading one company filings, it ranks all companies on one line item, which is how an outlier is found without knowing who to look at|array_path=data;header1=User-Agent: JapanOSINT-research/1.0 (contact: rayanchouialkessal@gmail.com);interval=86400;title_keys=entityName;id_keys=accn
FR_RNE_ANNUAIRE|json|any|corporate|company-record|corporate,france,registry,siren|https://annuaire-entreprises.data.gouv.fr|Annuaire des Entreprises — French company search|フランス企業年鑑 検索|https://recherche-entreprises.api.gouv.fr/search?q={q}&per_page=25|https://recherche-entreprises.api.gouv.fr/search?q=total&per_page=25|The French government open company search: SIREN, legal name, trade name, activity code and label, legal category, headquarters address with coordinates, employee band, creation date, administrative status and the officers of record. Fully open with no credential, unlike the SIRENE API it draws on|array_path=results
NO_BRREG_ENHETER|json|any|corporate|company-record|corporate,norway,registry|https://data.brreg.no|Brønnøysund — Norwegian entity register|ノルウェー企業登録 Brreg|https://data.brreg.no/enhetsregisteret/api/enheter?navn={q}&size=100|https://data.brreg.no/enhetsregisteret/api/enheter?navn=equinor&size=100|The Norwegian central coordinating register: organisation number, name, legal form, industry code, registered and business addresses, employee count, VAT and bankruptcy flags, and the date of registration. Published in full without credential — one of the most open corporate registers in existence|array_path=_embedded.enheter
EE_ARIREGISTER_SEARCH|json|any|corporate|company-record|corporate,estonia,registry|https://ariregister.rik.ee|Estonian e-Business Register — company search|エストニア商業登記|https://ariregister.rik.ee/est/api/autocomplete?q={q}&results=50|https://ariregister.rik.ee/est/api/autocomplete?q=swedbank&results=50|The Estonian business register, one of the most digitised in the world: registry code, name, legal form and status. Estonia e-residency programme makes its register disproportionately relevant to cross-border shell structures|
FEC_CANDIDATES|json|any|government|campaign-finance|us,politics,campaign-finance,influence|https://www.fec.gov|US FEC — federal candidate records|米国FEC 連邦候補者|https://api.open.fec.gov/v1/candidates/?api_key=DEMO_KEY&q={q}&per_page=100|https://api.open.fec.gov/v1/candidates/?api_key=DEMO_KEY&q=smith&per_page=100|Federal Election Commission candidate records with office sought, party, election years, principal committees and the incumbent challenger status. The committee identifiers are the join key to contribution and expenditure records|array_path=results
CFTC_SWAPS_REPORT|json|any|corporate|derivatives-position|finance,derivatives,cftc,commodities|https://publicreporting.cftc.gov|CFTC — commitments of traders positions|CFTC 建玉明細報告|https://publicreporting.cftc.gov/resource/6dca-aqww.json?$limit=200|https://publicreporting.cftc.gov/resource/6dca-aqww.json?$limit=200|Weekly Commitments of Traders data: open interest in each futures market broken down by commercial hedgers, managed money and other reportable traders, long and short. The positioning of commercial hedgers in energy and grain contracts is a direct read on physical-market expectations|interval=900
WORLDBANK_INDICATOR|json|any|economy|economic-indicator|economy,statistics,worldbank,development|https://data.worldbank.org|World Bank — country indicator series|世界銀行 国別指標|https://api.worldbank.org/v2/country/all/indicator/{q}?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD?format=json&per_page=200|World Development Indicators for every country and year, with the indicator definition, unit, and the value with its own source note. Covers GDP, military expenditure, energy use, debt and governance measures on a consistent cross-country basis|
UN_COMTRADE_SUMMARY|json|any|economy|trade-flow|trade,customs,comtrade,economy|https://comtradeplus.un.org|UN Comtrade — international trade flows|国連Comtrade 貿易統計|https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=392&period=2022&cmdCode=TOTAL&flowCode=X|https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=392&period=2022&cmdCode=TOTAL&flowCode=X|Reported merchandise trade between every pair of countries by HS commodity code, with quantity and value in both directions. Because both partners report, the mirror-statistics gap between what A says it exported and what B says it imported is the classic quantitative signal of smuggling or misinvoicing|array_path=data;interval=21600;title_keys=reporterDesc,partnerDesc;id_keys=refPeriodId
COINGECKO_COIN_LIST|json|any|economy|crypto-asset|crypto,blockchain,asset,finance|https://www.coingecko.com|CoinGecko — cryptoasset registry|CoinGecko 暗号資産一覧|https://api.coingecko.com/api/v3/coins/list?include_platform=true|https://api.coingecko.com/api/v3/coins/list?include_platform=true|Every tracked cryptoasset with its identifier, symbol, name and, critically, the contract address on each chain where it is deployed. The contract-address mapping is what turns an on-chain transfer of an unknown token into a named asset|interval=21600
BLOCKCHAIN_INFO_ADDRESS|json|btc|economy|crypto-address|crypto,blockchain,bitcoin,wallet|https://www.blockchain.com|Blockchain.com — Bitcoin address record|ビットコインアドレス記録|https://blockchain.info/rawaddr/{q}?limit=50|https://blockchain.info/rawaddr/1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa?limit=50|The complete on-chain history of a Bitcoin address: total received and sent, current balance, transaction count and every transaction with its inputs, outputs, block height and time. The input set of a spending transaction is the basis of every common-ownership clustering heuristic|title_keys=hash;id_keys=hash
ETHERSCAN_ACCOUNT_BALANCE|json|eth|economy|crypto-address|crypto,blockchain,ethereum,wallet|https://etherscan.io|Etherscan — Ethereum account and transactions|Etherscan イーサリアム口座|https://api.etherscan.io/api?module=account&action=txlist&address={ql}&sort=desc&apikey=YourApiKeyToken|https://api.etherscan.io/api?module=account&action=txlist&address=0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae&sort=desc&apikey=YourApiKeyToken|Every transaction for an Ethereum address with block, timestamp, counterparty, value, gas, method signature and contract interaction. The method signature identifies which protocol was used, which is how a mixer or bridge interaction is distinguished from an ordinary transfer|key_env=JO_ETHERSCAN_KEY;array_path=result
ECB_EXCHANGE_RATES|json|any|economy|exchange-rate|economy,currency,ecb,fx|https://data.ecb.europa.eu|ECB — euro foreign exchange reference rates|欧州中央銀行 参照為替レート|https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A?format=jsondata&lastNObservations=30|https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A?format=jsondata&lastNObservations=30|The European Central Bank daily reference rates, the legally referenced benchmark for euro conversion in contracts and accounting across the EU, published with the full observation series and its metadata|interval=21600
