# Batch 18-K — earth observation, climate, hazards, water and agriculture.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_geo.c by tools/gen_hp_batch.py.
USGS_VOLCANO_ALERTS|json|any|disaster|volcano-alert|hazard,volcano,usgs,geo|https://volcanoes.usgs.gov|USGS — volcano alert levels|USGS 火山警戒レベル|https://volcanoes.usgs.gov/vsc/api/volcanoApi/elevated|https://volcanoes.usgs.gov/vsc/api/volcanoApi/elevated|US volcanoes currently at elevated alert with the volcano name, observatory, alert level, aviation colour code and the date the level was set. Aviation colour code is what closes airspace, so it has an immediate operational consequence|interval=3600;title_keys=vName;id_keys=noticeId
USGS_WATER_ALERTS|json|any|environment|flood-gauge|water,flood,usgs,hydrology|https://waterservices.usgs.gov|USGS — river gauge height readings|USGS 河川水位観測|https://waterservices.usgs.gov/nwis/iv/?format=json&stateCd=tx&parameterCd=00065&siteStatus=active|https://waterservices.usgs.gov/nwis/iv/?format=json&stateCd=tx&parameterCd=00065&siteStatus=active|Instantaneous gauge height at active US river monitoring sites with the site identity, coordinates and reading series. Gauge height against flood stage is the measurement a flood warning is actually derived from|array_path=value.timeSeries;interval=3600
USGS_WATER_SITE_INFO|csv|any|environment|water-gauge|water,hydrology,usgs,geo|https://waterservices.usgs.gov|USGS — monitoring site inventory|USGS 水文観測所一覧|https://waterservices.usgs.gov/nwis/site/?format=rdb&stateCd=ca&siteStatus=active|https://waterservices.usgs.gov/nwis/site/?format=rdb&stateCd=ca&siteStatus=active|The inventory of US hydrological monitoring sites with coordinates, datum, drainage area, aquifer and the parameters measured. The station metadata behind every reading|interval=86400;csv_delim=tab;csv_comment=#;title_keys=station_nm;id_keys=site_no
NOAA_STATIONS_OBSERVATIONS|json|any|environment|weather-observation|weather,noaa,observation,geo|https://www.weather.gov|NOAA — surface observation stations|NOAA 地上観測所|https://api.weather.gov/stations?limit=200|https://api.weather.gov/stations?limit=200|US surface observation stations with identifier, name, coordinates, elevation and time zone. The station network whose readings underpin every US forecast product|array_path=features;interval=3600
NOAA_GRIDPOINT_FORECAST|json|any|environment|weather-forecast|weather,noaa,forecast,geo|https://www.weather.gov|NOAA — gridded point forecast|NOAA 地点別予報|https://api.weather.gov/points/35.7,-78.6|https://api.weather.gov/points/35.7,-78.6|The forecast office, grid cell and product URLs for any US coordinate, resolving a location to the specific office and grid that forecasts it. The entry point to hourly and zone forecasts for a point of interest|interval=3600
COPERNICUS_EMS_RAPID|json|any|disaster|disaster-mapping|hazard,disaster,copernicus,mapping|https://emergency.copernicus.eu|Copernicus EMS — rapid mapping activations|コペルニクス緊急対応 地図作成|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=EQ|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=EQ|Earthquake events in the joint UN and European Commission alert system with alert level, exposed population by intensity band and the event footprint. The trigger record behind a European satellite mapping activation|interval=3600
GDACS_DROUGHT|json|any|disaster|drought|hazard,drought,disaster,geo|https://www.gdacs.org|GDACS — drought events and alerts|GDACS 干ばつ警報|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=DR|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=DR|Drought events with the affected area, alert level, the agricultural stress indicator and the population exposed. Drought is the slowest-onset hazard and therefore the one where early quantitative warning has the most value|interval=3600;title_keys=countryname;id_keys=iso3
GDACS_WILDFIRE|json|any|disaster|wildfire|hazard,fire,disaster,geo|https://www.gdacs.org|GDACS — wildfire events and alerts|GDACS 森林火災警報|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=WF|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=WF|Wildfire events with burned area, alert level, the population and infrastructure within the footprint, and the event geometry|interval=3600
NASA_EONET_EVENTS|json|any|disaster|natural-event|hazard,nasa,satellite,geo|https://eonet.gsfc.nasa.gov|NASA EONET — natural event tracker|NASA EONET 自然現象追跡|https://eonet.gsfc.nasa.gov/api/v3/events?limit=200|https://eonet.gsfc.nasa.gov/api/v3/events?limit=200|Natural events curated from satellite observation: wildfires, storms, volcanoes, icebergs, dust plumes and landslides, each with a geometry time series showing how the event moved, and the source imagery links. Satellite-derived rather than report-derived, so it covers events nobody reported|array_path=events;interval=3600
NASA_EONET_LAYERS|json|any|disaster|imagery-layer|hazard,nasa,satellite,imagery|https://eonet.gsfc.nasa.gov|NASA EONET — satellite imagery layers|NASA EONET 衛星画像レイヤ|https://eonet.gsfc.nasa.gov/api/v3/layers|https://eonet.gsfc.nasa.gov/api/v3/layers|The satellite imagery layers available for each event category, with the WMS service URL, the parameters and the temporal resolution. The bridge from a detected event to the imagery that shows it|array_path=categories;interval=3600
NASA_DONKI_NOTIFICATIONS|json|any|environment|space-weather|space-weather,nasa,solar,sigint|https://ccmc.gsfc.nasa.gov|NASA DONKI — space weather notifications|NASA DONKI 宇宙天気通知|https://api.nasa.gov/DONKI/notifications?type=all&api_key=DEMO_KEY|https://api.nasa.gov/DONKI/notifications?type=all&api_key=DEMO_KEY|Space weather notifications from NASA's Community Coordinated Modeling Center covering flares, coronal mass ejections, geomagnetic storms and radiation belt enhancements, with the analysis behind each. A CME arrival forecast is what determines whether satellite operators safe their spacecraft|interval=3600;title_keys=messageType;id_keys=messageID
NASA_NEO_FEED|json|any|space|near-earth-object|space,asteroid,nasa,orbital|https://api.nasa.gov|NASA — near-Earth object close approaches|NASA 地球近傍天体接近|https://api.nasa.gov/neo/rest/v1/feed?start_date=2024-01-01&end_date=2024-01-07&api_key=DEMO_KEY|https://api.nasa.gov/neo/rest/v1/feed?start_date=2024-01-01&end_date=2024-01-07&api_key=DEMO_KEY|Near-Earth objects making close approaches in a date window with estimated diameter, relative velocity, miss distance and whether the object is classified as potentially hazardous|interval=21600
OPENMETEO_FORECAST|json|any|environment|weather-forecast|weather,forecast,openmeteo,geo|https://open-meteo.com|Open-Meteo — global point weather forecast|Open-Meteo 世界地点予報|https://api.open-meteo.com/v1/forecast?latitude=35.7&longitude=139.7&hourly=temperature_2m,wind_speed_10m,precipitation&forecast_days=7|https://api.open-meteo.com/v1/forecast?latitude=35.7&longitude=139.7&hourly=temperature_2m,wind_speed_10m,precipitation&forecast_days=7|Hourly weather forecast for any coordinate on earth from an ensemble of national weather models, with no credential. Provides forecast coverage for locations whose national service publishes nothing, which is most of the world|interval=3600
