# Batch 18-D — government, law, courts, procurement, legislation and regulation.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_gov.c by tools/gen_hp_batch.py.
FEDREGISTER_DOCUMENTS|json|any|government|regulatory-notice|us,regulation,rulemaking,government|https://www.federalregister.gov|US Federal Register — rules and notices|米国官報 規則・告示|https://www.federalregister.gov/api/v1/documents.json?conditions%5Bterm%5D={q}&per_page=100|https://www.federalregister.gov/api/v1/documents.json?conditions%5Bterm%5D=export%20control&per_page=100|Every rule, proposed rule, notice and presidential document published in the US Federal Register, with the issuing agency, docket number, CFR parts affected, effective and comment-close dates and the full text URL. Entity-list additions, sanctions designations and export-control changes all appear here first, as law|array_path=results
FEDREGISTER_AGENCIES|json|any|government|agency|us,regulation,government,agency|https://www.federalregister.gov|US Federal Register — issuing agencies|米国官報 発行機関|https://www.federalregister.gov/api/v1/agencies|https://www.federalregister.gov/api/v1/agencies|The canonical list of US federal agencies and sub-agencies that publish in the Federal Register, with their short names, parent agencies and document counts. The parent-child structure is the machine-readable map of the federal executive branch|interval=21600
COURTLISTENER_DOCKETS|json|any|legal|court-docket|us,court,legal,litigation|https://www.courtlistener.com|CourtListener — federal court dockets (RECAP)|米国連邦裁判所 事件記録|https://www.courtlistener.com/api/rest/v4/search/?q={q}&type=r&format=json|https://www.courtlistener.com/api/rest/v4/search/?q=export%20control&type=r&format=json|Federal court dockets mirrored from PACER through the RECAP archive: case name, docket number, court, filing date, parties, attorneys and the individual docket entries with their documents. This is how live US litigation against a company is found without a PACER account|array_path=results;next_path=next;id_keys=recap_documents.0.id;title_keys=caseName
COURTLISTENER_JUDGES|json|any|legal|judge|us,court,legal,judiciary,person|https://www.courtlistener.com|CourtListener — federal judge biographies|米国裁判官経歴|https://www.courtlistener.com/api/rest/v4/people/?name_last={q}&format=json|https://www.courtlistener.com/api/rest/v4/people/?format=json|Structured biographies of US federal judges: appointment history, confirmation dates, prior positions, education, political affiliations and ABA ratings. The appointment and prior-employment chain is standard background for assessing a forum|array_path=results;next_path=next
EU_OPENDATA_DATASETS|json|any|government|open-dataset|eu,opendata,dataset,government|https://data.europa.eu|data.europa.eu — EU open data catalogue|EU オープンデータ目録|https://data.europa.eu/api/hub/search/search?q={q}&limit=100|https://data.europa.eu/api/hub/search/search?q=energy&limit=100|The official EU open data portal, federating the national catalogues of every member state: dataset title, publisher, licence, distribution formats and download URLs. The route to member-state datasets that are not indexed anywhere else|array_path=result.results
UK_LEGISLATION_SEARCH|xml|any|legal|uk-legislation|uk,legislation,legal|https://www.legislation.gov.uk|UK Legislation — statute and instrument search|英国法令検索|https://www.legislation.gov.uk/all/data.feed?title={q}|https://www.legislation.gov.uk/all/data.feed?title=sanctions|The full UK statute book including Acts, statutory instruments and Northern Ireland, Scottish and Welsh legislation, with the amendment and commencement history that determines what is actually in force on a given date|array_path=entry;title_keys=title;id_keys=id
UK_PARLIAMENT_BILLS|json|any|government|legislation|uk,legislation,parliament|https://bills.parliament.uk|UK Parliament — bills before parliament|英国議会 法案|https://bills-api.parliament.uk/api/v1/Bills?SearchTerm={q}&take=50|https://bills-api.parliament.uk/api/v1/Bills?SearchTerm=security&take=50|Bills currently before the UK Parliament with sponsor, current stage, house of origin and the full sequence of stages with dates|array_path=items
AUSTRALIA_DATA_GOV|json|any|government|open-dataset|australia,opendata,government|https://data.gov.au|data.gov.au — Australian open data catalogue|豪州オープンデータ目録|https://data.gov.au/data/api/3/action/package_search?q={q}&rows=100|https://data.gov.au/data/api/3/action/package_search?q=defence&rows=100|The Australian government open data catalogue in CKAN form: dataset title, organisation, licence, update frequency and every distribution with its format and URL|array_path=result.results
UK_DATA_GOV|json|any|government|open-dataset|uk,opendata,government|https://www.data.gov.uk|data.gov.uk — UK open data catalogue|英国オープンデータ目録|https://ckan.publishing.service.gov.uk/api/3/action/package_search?q={q}&rows=100|https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=defence&rows=100|The UK government open data catalogue with publishing organisation, licence, update frequency and resource URLs for every dataset|array_path=result.results
FR_DATA_GOUV|json|any|government|open-dataset|france,opendata,government|https://www.data.gouv.fr|data.gouv.fr — French open data catalogue|フランス オープンデータ目録|https://www.data.gouv.fr/api/1/datasets/?q={q}&page_size=100|https://www.data.gouv.fr/api/1/datasets/?q=defense&page_size=100|The French national open data platform: dataset title, organisation, licence, temporal coverage, spatial granularity and every resource with its format, URL and checksum. Includes datasets published by prefectures and communes that appear in no other index|array_path=data
