# Batch 18-B — web, DNS, routing and internet-infrastructure intelligence.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_netintel.c by tools/gen_hp_batch.py.
RDAP_RIPE_IP|json|ip|infrastructure|rdap-ip|web,rdap,ip,ripe|https://rdap.db.ripe.net|RIPE RDAP — European and Middle Eastern IP record|RIPE RDAP IP割当記録|https://rdap.db.ripe.net/ip/{q}|https://rdap.db.ripe.net/ip/193.0.6.139|The RIPE NCC registry record for an address in Europe, the Middle East and Central Asia: inetnum range, netname, holder organisation, country, allocation status, maintainer objects and abuse contact. RIPE covers the address space of Russia, Iran and Turkey, which makes it the registry of record for much sanctions-relevant infrastructure|
RDAP_APNIC_IP|json|ip|infrastructure|rdap-ip|web,rdap,ip,apnic|https://rdap.apnic.net|APNIC RDAP — Asia-Pacific IP allocation record|APNIC RDAP IP割当記録|https://rdap.apnic.net/ip/{q}|https://rdap.apnic.net/ip/1.1.1.1|The APNIC registry record for Asia-Pacific address space, including China, Japan, Korea and India: range, netname, holder, country, status and contacts. The authoritative answer to which organisation in the region holds a given address|title_keys=handle;id_keys=handle
RDAP_LACNIC_IP|json|ip|infrastructure|rdap-ip|web,rdap,ip,lacnic|https://rdap.lacnic.net|LACNIC RDAP — Latin American IP allocation record|LACNIC RDAP IP割当記録|https://rdap.lacnic.net/rdap/ip/{q}|https://rdap.lacnic.net/rdap/ip/200.3.14.10|The LACNIC registry record for Latin American and Caribbean address space — the region with the least commercial attribution coverage, so the registry is often the only source binding a range to an organisation|
RDAP_AFRINIC_IP|json|ip|infrastructure|rdap-ip|web,rdap,ip,afrinic|https://rdap.afrinic.net|AFRINIC RDAP — African IP allocation record|AFRINIC RDAP IP割当記録|https://rdap.afrinic.net/rdap/ip/{q}|https://rdap.afrinic.net/rdap/ip/196.216.2.1|The AFRINIC registry record for African address space: range, netname, holder organisation, country and contacts. Also the registry at the centre of a long-running governance dispute over hijacked and resold legacy ranges, which makes its raw records worth reading directly|
RIPESTAT_ANNOUNCED_PREFIXES|json|asn|infrastructure|bgp-prefix|web,bgp,routing,asn|https://stat.ripe.net|RIPEstat — prefixes announced by an ASN|RIPEstat AS広告プレフィックス|https://stat.ripe.net/data/announced-prefixes/data.json?resource=AS{qd}|https://stat.ripe.net/data/announced-prefixes/data.json?resource=AS15169|Every IPv4 and IPv6 prefix currently originated by an autonomous system, each with the time range over which it was observed in the global routing table. The definitive answer to what address space a network actually operates, as distinct from what it is registered to hold|array_path=data.prefixes;title_keys=prefix;id_keys=prefix
RIPESTAT_ASN_NEIGHBOURS|json|asn|infrastructure|bgp-neighbour|web,bgp,routing,peering|https://stat.ripe.net|RIPEstat — BGP neighbours of an ASN|RIPEstat AS隣接関係|https://stat.ripe.net/data/asn-neighbours/data.json?resource=AS{qd}|https://stat.ripe.net/data/asn-neighbours/data.json?resource=AS15169|The observed left and right BGP neighbours of an autonomous system with the power of each relationship, derived from the global routing table rather than from self-declaration. This is how upstream transit is identified for a network that does not publish its providers — including networks under sanction shopping for new transit|array_path=data.neighbours;title_keys=asn;id_keys=asn
RIPESTAT_WHOIS|json|any|infrastructure|whois-record|web,whois,routing|https://stat.ripe.net|RIPEstat — cross-registry WHOIS records|RIPEstat 横断WHOIS|https://stat.ripe.net/data/whois/data.json?resource={q}|https://stat.ripe.net/data/whois/data.json?resource=193.0.6.139|Raw registry objects for an IP, prefix or ASN gathered from whichever RIR is authoritative, returned as structured key-value records including the maintainer, admin-c, tech-c and abuse-c handles that link resources held by the same operator under different names|
RIPESTAT_RPKI_VALIDATION|json|asn|infrastructure|rpki-validation|web,bgp,rpki,security|https://stat.ripe.net|RIPEstat — RPKI origin validation|RIPEstat RPKI検証|https://stat.ripe.net/data/rpki-validation/data.json?resource=AS{qd}&prefix=8.8.8.0/24|https://stat.ripe.net/data/rpki-validation/data.json?resource=AS15169&prefix=8.8.8.0/24|Whether a given origin-AS and prefix pair is RPKI valid, invalid or not found, with the ROAs consulted. An invalid announcement is either a misconfiguration or a hijack, and this is the authoritative check|title_keys=prefix;id_keys=prefix
RIPESTAT_ABUSE_CONTACT|json|any|infrastructure|abuse-contact|web,abuse,contact,routing|https://stat.ripe.net|RIPEstat — abuse contact for a resource|RIPEstat 不正利用連絡先|https://stat.ripe.net/data/abuse-contact-finder/data.json?resource={q}|https://stat.ripe.net/data/abuse-contact-finder/data.json?resource=8.8.8.8|The registered abuse mailbox for an IP, prefix or ASN, resolved through the correct RIR. The abuse address is frequently a shared corporate mailbox that links otherwise unconnected shell operators to one real controlling entity|
PEERINGDB_IX|json|any|infrastructure|internet-exchange|web,peering,ixp,infrastructure|https://www.peeringdb.com|PeeringDB — internet exchange points|PeeringDB インターネットエクスチェンジ|https://www.peeringdb.com/api/ix?name__contains={q}|https://www.peeringdb.com/api/ix?name__contains=DE-CIX|Internet exchange points with operator, city, country, region, media types, participant count and peak traffic. The physical interconnection map of the internet, and the layer at which national traffic can be observed or interdicted|array_path=data;detail_url=https://www.peeringdb.com/api/ix/{v};detail_key=id;detail_path=data
