# Batch 18-L — deeper network intelligence: routing measurement, DNS and hosting.
#
# RIPEstat exposes about forty distinct "data calls", each a different record
# type derived from the RIPE NCC's own routing collectors, registry mirrors and
# active measurement network. Batch 18-B took five; these are the rest of the
# ones that answer a real investigative question rather than restating registry
# text. They share a host but not a record: a routing-status document and a
# BGP-update stream are as different as a company register and a court docket.
#
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_netintel2.c by tools/gen_hp_batch.py.
RIPESTAT_ROUTING_STATUS|json|asn|infrastructure|routing-status|web,bgp,routing,visibility|https://stat.ripe.net|RIPEstat — routing status of a resource|RIPEstat 経路状態|https://stat.ripe.net/data/routing-status/data.json?resource=AS{qd}|https://stat.ripe.net/data/routing-status/data.json?resource=AS15169|How much of a network is actually visible in the global routing table right now: announced prefix and address counts for IPv4 and IPv6, the observed origin ASNs, and the first and last time the resource was seen. A network that disappears from routing has been disconnected, and this dates it to the hour|
RIPESTAT_BGP_UPDATES|json|asn|infrastructure|bgp-update|web,bgp,routing,churn|https://stat.ripe.net|RIPEstat — BGP update activity|RIPEstat BGP更新活動|https://stat.ripe.net/data/bgp-updates/data.json?resource=AS{qd}|https://stat.ripe.net/data/bgp-updates/data.json?resource=AS15169|The stream of announcements and withdrawals affecting a resource, with the timestamp, the collecting route collector, the AS path and the community values on each update. AS-path churn is the raw evidence of a route leak, a hijack or an upstream failure|array_path=data.updates
RIPESTAT_AS_PATH_LENGTH|json|asn|infrastructure|routing-metric|web,bgp,routing,topology|https://stat.ripe.net|RIPEstat — AS path length distribution|RIPEstat AS経路長分布|https://stat.ripe.net/data/as-path-length/data.json?resource=AS{qd}|https://stat.ripe.net/data/as-path-length/data.json?resource=AS15169|How many AS hops away a network sits from each route collector, as a distribution. A sudden increase in path length is the signature of losing a direct peering relationship and falling back to transit|array_path=data.stats;title_keys=location;id_keys=number
RIPESTAT_PREFIX_OVERVIEW|json|any|infrastructure|prefix-record|web,bgp,prefix,routing|https://stat.ripe.net|RIPEstat — prefix overview|RIPEstat プレフィックス概要|https://stat.ripe.net/data/prefix-overview/data.json?resource={q}|https://stat.ripe.net/data/prefix-overview/data.json?resource=8.8.8.0/24|The originating ASNs for a prefix with the holder name of each, whether the prefix is announced, and the related registry blocks. The first check on whether an address range is being announced by who it is registered to|title_keys=resource;id_keys=resource
RIPESTAT_RELATED_PREFIXES|json|any|infrastructure|prefix-record|web,bgp,prefix,routing|https://stat.ripe.net|RIPEstat — related and overlapping prefixes|RIPEstat 関連プレフィックス|https://stat.ripe.net/data/related-prefixes/data.json?resource={q}|https://stat.ripe.net/data/related-prefixes/data.json?resource=8.8.8.0/24|Prefixes that overlap or sit adjacent to the queried one, with their origins and relationship type. A more-specific announcement by a different origin inside a legitimate block is the classic hijack shape, and this call surfaces it directly|array_path=data.prefixes;title_keys=prefix;id_keys=prefix
RIPESTAT_COUNTRY_RESOURCE_STATS|json|any|infrastructure|country-routing|web,bgp,country,statistics|https://stat.ripe.net|RIPEstat — country routing statistics over time|RIPEstat 国別経路統計|https://stat.ripe.net/data/country-resource-stats/data.json?resource={qU}|https://stat.ripe.net/data/country-resource-stats/data.json?resource=UA|A time series of how many ASNs and prefixes a country announced at each point. This is the measurement that quantified national internet shutdowns in Iran, Myanmar and Sudan, and it is available for every country|array_path=data.stats;title_keys=stats_date;id_keys=stats_date
RIPESTAT_ASN_COUNTRY|json|asn|infrastructure|asn-geolocation|web,bgp,asn,country|https://stat.ripe.net|RIPEstat — ASN country of registration|RIPEstat AS登録国|https://stat.ripe.net/data/rir-stats-country/data.json?resource=AS{qd}|https://stat.ripe.net/data/rir-stats-country/data.json?resource=AS15169|The country each RIR records for a resource, over time. A resource whose recorded country changes has been transferred, and the date of that transfer is often the only public trace of a network changing hands|title_keys=resource;id_keys=resource
RIPESTAT_ADDRESS_SPACE_HIERARCHY|json|any|infrastructure|allocation-hierarchy|web,registry,allocation,routing|https://stat.ripe.net|RIPEstat — address space allocation hierarchy|RIPEstat アドレス空間階層|https://stat.ripe.net/data/address-space-hierarchy/data.json?resource={q}|https://stat.ripe.net/data/address-space-hierarchy/data.json?resource=193.0.0.0/21|The chain of allocations above and below an address block: the parent allocation, the exact match and every more-specific assignment, each with its registry description and holder. Distinguishes an allocation made to a genuine operator from one sublet to a downstream reseller|title_keys=netname;id_keys=inetnum
RIPESTAT_REVERSE_DNS|json|any|infrastructure|reverse-dns|web,dns,reverse,routing|https://stat.ripe.net|RIPEstat — reverse DNS delegation|RIPEstat 逆引きDNS委任|https://stat.ripe.net/data/reverse-dns/data.json?resource={q}|https://stat.ripe.net/data/reverse-dns/data.json?resource=193.0.0.0/21|The reverse DNS zones delegated for an address block and the nameservers they point at. Reverse delegation names the party actually operating a range, which is frequently not the registered holder|
RIPESTAT_REVERSE_DNS_IP|json|ip|infrastructure|reverse-dns|web,dns,reverse,ip|https://stat.ripe.net|RIPEstat — reverse DNS for an address|RIPEstat IP逆引き|https://stat.ripe.net/data/reverse-dns-ip/data.json?resource={q}|https://stat.ripe.net/data/reverse-dns-ip/data.json?resource=193.0.6.139|The PTR record for a single address. Hostnames in reverse DNS routinely leak the operator, the datacentre, the rack and the role of a machine, because nobody treats them as sensitive|
RIPESTAT_VISIBILITY|json|any|infrastructure|routing-visibility|web,bgp,routing,visibility|https://stat.ripe.net|RIPEstat — prefix visibility across collectors|RIPEstat プレフィックス可視性|https://stat.ripe.net/data/visibility/data.json?resource={q}|https://stat.ripe.net/data/visibility/data.json?resource=8.8.8.0/24|Which RIPE route collectors see a prefix and which do not. Partial visibility is the measurable signature of a route leak confined to one region, or of a deliberately scoped announcement|
RIPESTAT_LOOKING_GLASS|json|any|infrastructure|bgp-lookingglass|web,bgp,routing,lookingglass|https://stat.ripe.net|RIPEstat — looking glass across collectors|RIPEstat ルッキンググラス|https://stat.ripe.net/data/looking-glass/data.json?resource={q}|https://stat.ripe.net/data/looking-glass/data.json?resource=140.78.0.0/16|The routing table entry for a prefix at each collector peer, with the AS path, next hop, communities and the last time it changed. The closest a public tool gets to reading a real router's table|array_path=data.rrcs
RIPESTAT_ATLAS_PROBES|json|any|infrastructure|measurement-probe|web,measurement,atlas,network|https://stat.ripe.net|RIPEstat — RIPE Atlas probes in a network|RIPEstat Atlas計測プローブ|https://stat.ripe.net/data/atlas-probes/data.json?resource=AS{qd}|https://stat.ripe.net/data/atlas-probes/data.json?resource=3333|The RIPE Atlas measurement probes hosted inside a given network, with their status, coordinates and address family support. Probes are the vantage points from which that network can be measured from the inside|array_path=data.probes
CLOUDFLARE_DNS_QUERY|json|domain|infrastructure|dns-record|web,dns,doh,resolution|https://cloudflare-dns.com|Cloudflare DNS over HTTPS — record resolution|Cloudflare DoH 名前解決|https://cloudflare-dns.com/dns-query?name={qh}&type=A|https://cloudflare-dns.com/dns-query?name=cloudflare.com&type=A|Live DNS resolution over HTTPS with the full answer section, TTLs, the authenticated-data flag and the response status. Resolving from an independent public resolver is how a locally poisoned or nationally filtered answer is detected|header1=Accept: application/dns-json
GOOGLE_DNS_QUERY|json|domain|infrastructure|dns-record|web,dns,doh,resolution|https://dns.google|Google Public DNS — record resolution|Google Public DNS 名前解決|https://dns.google/resolve?name={qh}&type=ANY|https://dns.google/resolve?name=cloudflare.com&type=ANY|A second independent public resolver's view of a name, with the answer section, TTLs and DNSSEC validation status. Disagreement between two global resolvers on the same name is direct evidence of DNS-level manipulation somewhere in the path|
DNS_TXT_LOOKUP|json|domain|infrastructure|dns-record|web,dns,txt,spf|https://dns.google|Google Public DNS — TXT records|Google Public DNS TXTレコード|https://dns.google/resolve?name={qh}&type=TXT|https://dns.google/resolve?name=cloudflare.com&type=TXT|TXT records for a domain, which carry SPF and DMARC policy, domain-verification tokens for every SaaS product the organisation uses, and DKIM selectors. The verification tokens are an unintentional inventory of an organisation's vendor relationships|
DNS_NS_LOOKUP|json|domain|infrastructure|dns-record|web,dns,ns,delegation|https://dns.google|Google Public DNS — NS delegation|Google Public DNS NSレコード|https://dns.google/resolve?name={qh}&type=NS|https://dns.google/resolve?name=cloudflare.com&type=NS|The authoritative nameservers for a domain. Shared nameservers are one of the strongest pivots in infrastructure analysis, because operators reuse DNS hosting across otherwise unconnected domains|
DNS_CAA_LOOKUP|json|domain|infrastructure|dns-record|web,dns,caa,tls|https://dns.google|Google Public DNS — CAA records|Google Public DNS CAAレコード|https://dns.google/resolve?name={qh}&type=CAA|https://dns.google/resolve?name=google.com&type=CAA|Certification Authority Authorization records, naming which CAs a domain permits to issue for it. A CAA record is a deliberate policy statement, and a change to it around an incident is meaningful|
HUDSONROCK_STYLE_IPINFO|json|ip|infrastructure|ip-record|web,ip,attribution,network|https://ipinfo.io|ipinfo.io — IP attribution record|ipinfo.io IP属性情報|https://ipinfo.io/{q}/json|https://ipinfo.io/8.8.8.8/json|A third independent IP attribution source giving city, region, country, coordinates, the ASN and organisation string, the hostname and the timezone. Three-way agreement between geolocation providers is the practical standard for asserting where an address is|
BGPTOOLS_STYLE_ASRANK|json|asn|infrastructure|asn-ranking|web,bgp,ranking,topology|https://asrank.caida.org|CAIDA AS Rank — autonomous system ranking|CAIDA AS順位|https://api.asrank.caida.org/v2/restful/asns/{qd}|https://api.asrank.caida.org/v2/restful/asns/15169|CAIDA's measured ranking of an autonomous system by customer cone size, with the organisation, country, degree and the transit relationships inferred from the global routing table. Customer cone is the rigorous measure of how much of the internet depends on a given network|
CAIDA_ASRANK_ORG|json|any|infrastructure|network-operator|web,bgp,organisation,topology|https://asrank.caida.org|CAIDA AS Rank — operator organisations|CAIDA 事業者組織|https://api.asrank.caida.org/v2/restful/organizations?first=100|https://api.asrank.caida.org/v2/restful/organizations?first=100|The organisations behind autonomous systems as CAIDA resolves them, with country, rank, the ASNs each controls and the aggregate customer cone. Resolves the many-ASNs-one-company problem that raw registry data leaves open|interval=86400
