# Batch 18-H — subnational and agency open-data platforms (Socrata / OpenDataSoft).
#
# Each row is one government publisher's complete dataset catalogue. That is a
# high-penetrancy source in the sense docs/SOURCE_EXHAUSTIVENESS.md means: one
# request returns every dataset the publisher offers, each with its owner
# agency, category, update cadence, licence, column schema and download URL --
# and the download URL is the second hop into the data itself.
#
# The CKAN family is already saturated in this tree (1,012 endpoints); Socrata
# (80) and OpenDataSoft (56) are not, which is why these two platforms are the
# ones mined here.
#
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_portals.c by tools/gen_hp_batch.py.
SOCRATA_NY_STATE|json|any|government|dataset-catalogue|opendata,socrata,us,newyork|https://data.ny.gov|New York State — open data catalogue|ニューヨーク州 オープンデータ目録|https://data.ny.gov/api/views.json?limit=200|https://data.ny.gov/api/views.json?limit=200|Every dataset New York State publishes, with the owning agency, category, description, update cadence, licence, row count and the full column schema of each table. New York holds the financial-regulatory and port datasets that matter most in the state set|interval=86400
SOCRATA_CHICAGO|json|any|government|dataset-catalogue|opendata,socrata,us,chicago|https://data.cityofchicago.org|City of Chicago — open data catalogue|シカゴ市 オープンデータ目録|https://data.cityofchicago.org/api/views.json?limit=200|https://data.cityofchicago.org/api/views.json?limit=200|The Chicago municipal catalogue including crime incidents, business licences, building permits, lobbyist registrations and contract awards, each with its schema and download endpoint|interval=86400
SOCRATA_SEATTLE|json|any|government|dataset-catalogue|opendata,socrata,us,seattle|https://data.seattle.gov|City of Seattle — open data catalogue|シアトル市 オープンデータ目録|https://data.seattle.gov/api/views.json?limit=200|https://data.seattle.gov/api/views.json?limit=200|Seattle municipal datasets covering police reports, permits, land use and city contracts, with owning department and column schema for each|interval=86400
SOCRATA_DALLAS|json|any|government|dataset-catalogue|opendata,socrata,us,dallas|https://www.dallasopendata.com|City of Dallas — open data catalogue|ダラス市 オープンデータ目録|https://www.dallasopendata.com/api/views.json?limit=200|https://www.dallasopendata.com/api/views.json?limit=200|Dallas municipal datasets with owning department, category and schema, covering police activity, code enforcement and city expenditure|interval=86400
SOCRATA_AUSTIN|json|any|government|dataset-catalogue|opendata,socrata,us,austin|https://data.austintexas.gov|City of Austin — open data catalogue|オースティン市 オープンデータ目録|https://data.austintexas.gov/api/views.json?limit=200|https://data.austintexas.gov/api/views.json?limit=200|Austin municipal datasets including permits, inspections, incident response and contracts, each with agency, licence and column definitions|interval=86400
SOCRATA_LA_CITY|json|any|government|dataset-catalogue|opendata,socrata,us,losangeles|https://data.lacity.org|City of Los Angeles — open data catalogue|ロサンゼルス市 オープンデータ目録|https://data.lacity.org/api/views.json?limit=200|https://data.lacity.org/api/views.json?limit=200|Los Angeles municipal datasets with department, category and schema, covering crime, permits, business registrations and city contracting|interval=86400
SOCRATA_SF|json|any|government|dataset-catalogue|opendata,socrata,us,sanfrancisco|https://data.sfgov.org|City of San Francisco — open data catalogue|サンフランシスコ市 オープンデータ目録|https://data.sfgov.org/api/views.json?limit=200|https://data.sfgov.org/api/views.json?limit=200|San Francisco municipal datasets including business registrations, permits, incident reports and lobbyist filings, with full schema per dataset|interval=86400
SOCRATA_MARYLAND|json|any|government|dataset-catalogue|opendata,socrata,us,maryland|https://opendata.maryland.gov|State of Maryland — open data catalogue|メリーランド州 オープンデータ目録|https://opendata.maryland.gov/api/views.json?limit=200|https://opendata.maryland.gov/api/views.json?limit=200|Maryland state datasets with owning agency, category and column schema, covering procurement, licensing, environment and public safety|interval=86400
SOCRATA_CONNECTICUT|json|any|government|dataset-catalogue|opendata,socrata,us,connecticut|https://data.ct.gov|State of Connecticut — open data catalogue|コネチカット州 オープンデータ目録|https://data.ct.gov/api/views.json?limit=200|https://data.ct.gov/api/views.json?limit=200|Connecticut state datasets including business registrations, licensing, health and transportation, each with agency and schema|interval=86400
SOCRATA_COLORADO|json|any|government|dataset-catalogue|opendata,socrata,us,colorado|https://data.colorado.gov|State of Colorado — open data catalogue|コロラド州 オープンデータ目録|https://data.colorado.gov/api/views.json?limit=200|https://data.colorado.gov/api/views.json?limit=200|Colorado state datasets covering business filings, licensing, energy and environment, with owning agency and full column schema|interval=86400
SOCRATA_OREGON|json|any|government|dataset-catalogue|opendata,socrata,us,oregon|https://data.oregon.gov|State of Oregon — open data catalogue|オレゴン州 オープンデータ目録|https://data.oregon.gov/api/views.json?limit=200|https://data.oregon.gov/api/views.json?limit=200|Oregon state datasets with agency, category and schema, covering procurement, environment, licensing and public health|interval=86400
SOCRATA_HAWAII|json|any|government|dataset-catalogue|opendata,socrata,us,hawaii|https://opendata.hawaii.gov|State of Hawaii — open data catalogue|ハワイ州 オープンデータ目録|https://opendata.hawaii.gov/api/3/action/package_search?q=&rows=100|https://opendata.hawaii.gov/api/3/action/package_search?q=&rows=100|Hawaii state datasets with publisher, licence and resource URLs. Hawaii hosts major Pacific military infrastructure, and its state datasets cover the civil side of that footprint|array_path=result.results;interval=86400
SOCRATA_MICHIGAN|json|any|government|dataset-catalogue|opendata,socrata,us,michigan|https://data.michigan.gov|State of Michigan — open data catalogue|ミシガン州 オープンデータ目録|https://data.michigan.gov/api/views.json?limit=200|https://data.michigan.gov/api/views.json?limit=200|Michigan state datasets covering manufacturing, environment, licensing and public health, with agency and column schema. Michigan carries the largest US automotive manufacturing footprint|interval=86400
SOCRATA_MISSOURI|json|any|government|dataset-catalogue|opendata,socrata,us,missouri|https://data.mo.gov|State of Missouri — open data catalogue|ミズーリ州 オープンデータ目録|https://data.mo.gov/api/views.json?limit=200|https://data.mo.gov/api/views.json?limit=200|Missouri state datasets with agency, category and schema, covering licensing, procurement and public safety|interval=86400
ODS_PARIS|json|any|government|dataset-catalogue|opendata,opendatasoft,france,paris|https://opendata.paris.fr|Ville de Paris — open data catalogue|パリ市 オープンデータ目録|https://opendata.paris.fr/api/v2/catalog/datasets?limit=100|https://opendata.paris.fr/api/v2/catalog/datasets?limit=100|Every dataset the City of Paris publishes, with the producer, theme, licence, temporal and spatial coverage, record count and the field-level schema. OpenDataSoft records carry the title at metas.default.title, the two-level envelope this tree's jsonlist parser was extended to handle|array_path=datasets;interval=86400
ODS_ILE_DE_FRANCE|json|any|government|dataset-catalogue|opendata,opendatasoft,france,iledefrance|https://data.iledefrance.fr|Île-de-France region — open data catalogue|イル＝ド＝フランス オープンデータ|https://data.iledefrance.fr/api/v2/catalog/datasets?limit=100|https://data.iledefrance.fr/api/v2/catalog/datasets?limit=100|The Paris region catalogue covering transport, environment, education and economic development, with producer, licence and schema per dataset|array_path=datasets;interval=86400
ODS_RENNES|json|any|government|dataset-catalogue|opendata,opendatasoft,france,rennes|https://data.rennesmetropole.fr|Rennes Métropole — open data catalogue|レンヌ都市圏 オープンデータ|https://data.rennesmetropole.fr/api/v2/catalog/datasets?limit=100|https://data.rennesmetropole.fr/api/v2/catalog/datasets?limit=100|The Rennes metropolitan catalogue, one of the earliest and most complete French municipal open-data programmes, with full dataset schemas|array_path=datasets;interval=86400
ODS_TOULOUSE|json|any|government|dataset-catalogue|opendata,opendatasoft,france,toulouse|https://data.toulouse-metropole.fr|Toulouse Métropole — open data catalogue|トゥールーズ オープンデータ|https://data.toulouse-metropole.fr/api/v2/catalog/datasets?limit=100|https://data.toulouse-metropole.fr/api/v2/catalog/datasets?limit=100|The Toulouse metropolitan catalogue. Toulouse is the centre of European aerospace manufacturing, and the municipal datasets cover the industrial and transport footprint around it|array_path=datasets;interval=86400
ODS_NANTES|json|any|government|dataset-catalogue|opendata,opendatasoft,france,nantes|https://data.nantesmetropole.fr|Nantes Métropole — open data catalogue|ナント都市圏 オープンデータ|https://data.nantesmetropole.fr/api/v2/catalog/datasets?limit=100|https://data.nantesmetropole.fr/api/v2/catalog/datasets?limit=100|The Nantes metropolitan catalogue covering transport, energy, environment and public facilities with per-dataset schema and licence|array_path=datasets;interval=86400
ODS_BORDEAUX|json|any|government|dataset-catalogue|opendata,opendatasoft,france,bordeaux|https://opendata.bordeaux-metropole.fr|Bordeaux Métropole — open data catalogue|ボルドー都市圏 オープンデータ|https://opendata.bordeaux-metropole.fr/api/v2/catalog/datasets?limit=100|https://opendata.bordeaux-metropole.fr/api/v2/catalog/datasets?limit=100|The Bordeaux metropolitan catalogue with producer, theme, licence and schema for every published dataset|array_path=datasets;interval=86400
