# Batch 18-A — SIGINT / RF / spectrum / space situational awareness.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_sigint.c by tools/gen_hp_batch.py.
CALLOOK_FCC_CALLSIGN|json|any|telecom|radio-licence|sigint,radio,callsign,us|https://callook.info|callook.info — FCC amateur callsign record|callook.info 米国アマチュア局免許|https://callook.info/{qU}/json|https://callook.info/W1AW/json|The full FCC amateur licence record behind a US callsign: licensee name and mailing address, operator class, grant, expiry and effective dates, previous callsigns, FRN and the ULS file number. The FRN cross-links the operator to every other FCC authorisation held by the same registrant|
RADIOID_DMR_USER|json|any|telecom|dmr-id|sigint,dmr,radio,callsign|https://radioid.net|RadioID.net — DMR radio ID registry|RadioID.net DMR ID登録|https://radioid.net/api/dmr/user/?callsign={qU}|https://radioid.net/api/dmr/user/?callsign=W1AW|Worldwide DMR radio ID assignments — the numeric subscriber ID a digital handset transmits, bound to a callsign, operator name, city, state and country. This is the table that turns an intercepted DMR source ID into a named and located operator|array_path=results
RADIOID_NXDN_USER|json|any|telecom|nxdn-id|sigint,nxdn,radio,callsign|https://radioid.net|RadioID.net — NXDN radio ID registry|RadioID.net NXDN ID登録|https://radioid.net/api/nxdn/user/?id={qd}|https://radioid.net/api/nxdn/user/?id=3101|NXDN digital radio ID assignments bound to callsign, name and location — the NXDN counterpart of the DMR ID table, covering the mode used by much commercial and public-safety land mobile radio in Japan and North America|array_path=results
RADIOID_DMR_REPEATER|json|any|telecom|dmr-repeater|sigint,dmr,radio,repeater|https://radioid.net|RadioID.net — DMR repeater registry|RadioID.net DMR中継局登録|https://radioid.net/api/dmr/repeater/?callsign={qU}|https://radioid.net/api/dmr/repeater/?callsign=W1AW|Registered DMR repeaters with their radio ID, callsign, transmit and receive frequency, colour code, offset, trustee, city, state, country and coordinates. Turns a DMR repeater ID observed in a talkgroup into a physical site with a named licensee|array_path=results
BRANDMEISTER_MASTER|json|any|telecom|dmr-infrastructure|sigint,dmr,radio,network|https://brandmeister.network|BrandMeister — network master servers|BrandMeister マスターサーバ|https://api.brandmeister.network/v2/master|https://api.brandmeister.network/v2/master|The master servers that carry the BrandMeister DMR network, each with its number, hosting country, operator contact and the repeaters homed to it. The backbone topology of the largest global amateur digital-voice network|interval=86400;title_keys=address;id_keys=id
CELESTRAK_GP_ACTIVE|json|any|space|orbital-element|sigint,space,orbital,tle|https://celestrak.org|CelesTrak — active satellite element sets|CelesTrak 実働衛星 軌道要素|https://celestrak.org/NORAD/elements/gp.php?GROUP={ql}&FORMAT=json|https://celestrak.org/NORAD/elements/gp.php?GROUP=active&FORMAT=json|General perturbations element sets for every catalogued active satellite — NORAD ID, international designator, epoch, mean motion, eccentricity, inclination, RAAN, argument of perigee and mean anomaly. The input to any overflight, revisit or line-of-sight calculation|
CELESTRAK_GP_STARLINK|json|any|space|orbital-element|sigint,space,orbital,constellation|https://celestrak.org|CelesTrak — Starlink constellation elements|CelesTrak スターリンク軌道要素|https://celestrak.org/NORAD/elements/gp.php?GROUP=starlink&FORMAT=json|https://celestrak.org/NORAD/elements/gp.php?GROUP=starlink&FORMAT=json|Element sets for the full Starlink constellation. Because Starlink terminals are now a battlefield and sanctions-evasion communications channel, knowing which shells are populated and which planes pass over a given latitude is directly operational|interval=21600
LAUNCHLIBRARY_UPCOMING|json|any|space|launch|space,launch,forecast|https://thespacedevs.com|Launch Library 2 — upcoming orbital launches|Launch Library 打上げ予定|https://ll.thespacedevs.com/2.2.0/launch/upcoming/?format=json&limit=100|https://ll.thespacedevs.com/2.2.0/launch/upcoming/?format=json&limit=100|Scheduled orbital launches with vehicle, operator, pad, coordinates, launch window, mission description, target orbit and payload customer. Advance notice of which state or firm is putting what into which orbit, and from where|array_path=results;next_path=next;interval=21600
LAUNCHLIBRARY_PADS|json|any|space|launch-pad|space,launch,facility,geo|https://thespacedevs.com|Launch Library 2 — launch pads|Launch Library 射場|https://ll.thespacedevs.com/2.2.0/pad/?format=json&limit=100|https://ll.thespacedevs.com/2.2.0/pad/?format=json&limit=100|Every catalogued launch pad with exact latitude and longitude, the agency that operates it, total launch count and current status — a geolocated inventory of world launch infrastructure including facilities in Russia, China, Iran and North Korea|array_path=results;lat_key=latitude;lon_key=longitude;next_path=next;interval=21600
LAUNCHLIBRARY_AGENCIES|json|any|space|space-agency|space,agency,operator|https://thespacedevs.com|Launch Library 2 — launch agencies and operators|Launch Library 打上げ機関|https://ll.thespacedevs.com/2.2.0/agencies/?format=json&limit=100|https://ll.thespacedevs.com/2.2.0/agencies/?format=json&limit=100|Space agencies, launch providers and spacecraft operators with country, type, founding year, administrator, launch record and the pads and vehicles they operate|array_path=results;next_path=next;interval=21600
