# Batch 18-J — public health, food security, conflict, human rights and media.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_society.c by tools/gen_hp_batch.py.
WHO_DISEASE_OUTBREAK_NEWS|json|any|health|outbreak-report|health,outbreak,who,epidemic|https://www.who.int|WHO — disease outbreak news|WHO 疾病アウトブレイク情報|https://ghoapi.azureedge.net/api/DIMENSION/COUNTRY/DimensionValues|https://ghoapi.azureedge.net/api/DIMENSION/COUNTRY/DimensionValues|The WHO country dimension with every reporting territory, its ISO codes, region and parent grouping. The controlled vocabulary every WHO health series is keyed to, and the reference needed to join WHO figures to any other country dataset|array_path=value;interval=3600
ECDC_RESPIRATORY|json|any|health|disease-surveillance|health,surveillance,europe,ecdc|https://www.ecdc.europa.eu|ECDC — European respiratory virus surveillance|ECDC 欧州呼吸器感染症サーベイランス|https://opendata.ecdc.europa.eu/covid19/nationalcasedeath/json/|https://opendata.ecdc.europa.eu/covid19/nationalcasedeath/json/|The European Centre for Disease Prevention and Control national case and death series by country and week, in the agency's own open-data publication. Weekly national surveillance is the granularity at which an outbreak's trajectory is actually assessed|interval=3600;title_keys=country;id_keys=country_code
CDC_SOCRATA_DATASETS|json|any|health|dataset-catalogue|health,cdc,us,opendata|https://data.cdc.gov|US CDC — open data catalogue|米国CDC オープンデータ目録|https://data.cdc.gov/api/views.json?limit=200|https://data.cdc.gov/api/views.json?limit=200|Every dataset the US Centers for Disease Control publishes, with the owning programme, category, update cadence and full column schema — covering notifiable disease surveillance, mortality, vaccination coverage and environmental health|interval=86400
HEALTHDATA_GOV_CATALOG|json|any|health|dataset-catalogue|health,us,opendata,hhs|https://healthdata.gov|HealthData.gov — US health dataset catalogue|米国保健データ目録|https://healthdata.gov/api/views.json?limit=200|https://healthdata.gov/api/views.json?limit=200|The US Department of Health and Human Services data catalogue, including hospital capacity, provider enrolment and public health emergency reporting, each with schema and download endpoint|interval=86400
OPENFDA_DRUG_EVENT|json|any|health|adverse-event|health,pharma,fda,safety|https://open.fda.gov|openFDA — drug adverse event reports|openFDA 医薬品有害事象報告|https://api.fda.gov/drug/event.json?search={q}&limit=100|https://api.fda.gov/drug/event.json?search=aspirin&limit=100|Adverse event reports submitted to the FDA with the drug, the reaction terms, patient demographics, outcome, the reporting country and whether the reporter was a health professional. The primary safety-signal dataset for pharmaceuticals|array_path=results;title_keys=safetyreportid;id_keys=safetyreportid
RXNORM_DRUG_LOOKUP|json|any|health|drug-identifier|health,pharma,identifier,rxnorm|https://www.nlm.nih.gov|RxNorm — normalised drug identifiers|RxNorm 医薬品識別|https://rxnav.nlm.nih.gov/REST/drugs.json?name={q}|https://rxnav.nlm.nih.gov/REST/drugs.json?name=aspirin|The US National Library of Medicine normalised drug vocabulary, resolving a brand or generic name to the concept identifiers that every US clinical dataset is keyed to, with dose form, strength and ingredient breakdown|
WORLDBANK_FOOD_PRODUCTION|json|any|economy|food-price|food,agriculture,fao,commodities|https://data.worldbank.org|World Bank — food production index|世界銀行 食料生産指数|https://api.worldbank.org/v2/country/all/indicator/AG.PRD.FOOD.XD?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/AG.PRD.FOOD.XD?format=json&per_page=200|Food production index by country and year. A sustained fall against a stable population is the leading quantitative indicator of a developing food security crisis|interval=3600
WORLDBANK_UNDERNOURISHMENT|json|any|health|food-security|food,health,worldbank,nutrition|https://data.worldbank.org|World Bank — prevalence of undernourishment|世界銀行 栄養不足率|https://api.worldbank.org/v2/country/all/indicator/SN.ITK.DEFC.ZS?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/SN.ITK.DEFC.ZS?format=json&per_page=200|The share of a national population that is undernourished, by country and year, on the FAO methodology. The headline food-insecurity measure used to trigger international response|interval=21600
WORLDBANK_MILITARY_EXPENDITURE|json|any|government|military-spending|military,defence,worldbank,economy|https://data.worldbank.org|World Bank — military expenditure by country|世界銀行 軍事支出|https://api.worldbank.org/v2/country/all/indicator/MS.MIL.XPND.GD.ZS?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/MS.MIL.XPND.GD.ZS?format=json&per_page=200|Military expenditure as a share of GDP for every country and year, on the SIPRI methodology. A sustained step change is one of the few quantitative, internationally comparable indicators of a shift in defence posture|interval=21600
WORLDBANK_ARMED_FORCES|json|any|government|military-personnel|military,defence,worldbank|https://data.worldbank.org|World Bank — armed forces personnel|世界銀行 軍要員数|https://api.worldbank.org/v2/country/all/indicator/MS.MIL.TOTL.P1?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/MS.MIL.TOTL.P1?format=json&per_page=200|Total armed forces personnel by country and year. Read against expenditure it distinguishes a manpower-heavy force from a capital-intensive one|interval=21600
WORLDBANK_ARMS_IMPORTS|json|any|government|arms-transfer|military,arms,trade,worldbank|https://data.worldbank.org|World Bank — arms imports by country|世界銀行 武器輸入額|https://api.worldbank.org/v2/country/all/indicator/MS.MIL.MPRT.KD?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/MS.MIL.MPRT.KD?format=json&per_page=200|Arms imports at constant prices by country and year, derived from the SIPRI arms transfers database. The quantitative record of who is arming whom|interval=21600
WORLDBANK_ARMS_EXPORTS|json|any|government|arms-transfer|military,arms,trade,worldbank|https://data.worldbank.org|World Bank — arms exports by country|世界銀行 武器輸出額|https://api.worldbank.org/v2/country/all/indicator/MS.MIL.XPRT.KD?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/MS.MIL.XPRT.KD?format=json&per_page=200|Arms exports at constant prices by country and year. Paired with the import series it reconstructs the supplier-recipient graph of the international arms trade|interval=21600
WORLDBANK_INTERNET_USERS|json|any|infrastructure|connectivity-statistic|telecom,internet,worldbank,development|https://data.worldbank.org|World Bank — internet penetration by country|世界銀行 インターネット普及率|https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?format=json&per_page=200|The share of population using the internet by country and year. The denominator for interpreting any measure of online activity, and the baseline against which a national shutdown is measured|interval=86400
WORLDBANK_MOBILE_SUBS|json|any|infrastructure|connectivity-statistic|telecom,mobile,worldbank,development|https://data.worldbank.org|World Bank — mobile subscriptions by country|世界銀行 携帯契約数|https://api.worldbank.org/v2/country/all/indicator/IT.CEL.SETS.P2?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/IT.CEL.SETS.P2?format=json&per_page=200|Mobile cellular subscriptions per hundred people by country and year. In most of the world mobile is the only network access, so this is the effective connectivity measure|interval=86400
GDELT_DOC_SEARCH|json|any|media|news-event|media,news,gdelt,monitoring|https://www.gdeltproject.org|GDELT — global news document search|GDELT 世界報道検索|https://api.gdeltproject.org/api/v2/doc/doc?query={q}&mode=artlist&format=json&maxrecords=100|https://api.gdeltproject.org/api/v2/doc/doc?query=sanctions&mode=artlist&format=json&maxrecords=100|The GDELT global news index: articles from news media worldwide in over a hundred languages with the source domain, publication time, language, country of the outlet and the article URL. Coverage of non-English regional media is what makes this different from any Western news API|array_path=articles
