# Batch 18-I — cyber threat intelligence, abuse feeds and national CERT advisories.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_threat.c by tools/gen_hp_batch.py.
BINARYDEFENSE_BANLIST|csv|any|threat|attacking-host|threat,abuse,blocklist|https://www.binarydefense.com|Binary Defense — artillery threat intelligence banlist|Binary Defense 脅威IP一覧|https://www.binarydefense.com/banlist.txt|https://www.binarydefense.com/banlist.txt|Addresses observed attacking honeypots in the Artillery sensor network. Honeypot-derived lists carry no false positives from legitimate scanning of production hosts|csv_no_header=1;interval=3600;csv_comment=#;title_keys=col0;id_keys=col0
URLHAUS_RECENT|csv|any|threat|malware-url|threat,malware,url,abuse|https://urlhaus.abuse.ch|URLhaus — malware distribution URLs|URLhaus マルウェア配布URL|https://urlhaus.abuse.ch/downloads/csv_recent/|https://urlhaus.abuse.ch/downloads/csv_recent/|URLs actively serving malware, each with the submission date, threat type, the payload tags, the reporter and the hosting status. The full URL path identifies the distribution kit, which is what links campaigns that share infrastructure|csv_no_header=1;interval=3600;csv_comment=#;title_keys=col2;id_keys=col0
THREATVIEW_C2|csv|any|threat|botnet-c2|threat,c2,malware,blocklist|https://threatview.io|ThreatView — command and control blocklist|ThreatView C2一覧|https://threatview.io/Downloads/High-Confidence-CobaltStrike-C2%20-Feeds.txt|https://threatview.io/Downloads/High-Confidence-CobaltStrike-C2%20-Feeds.txt|High-confidence Cobalt Strike team-server addresses identified by beacon configuration scanning. Cobalt Strike is the most widely used post-exploitation framework in both criminal and state intrusions, so its infrastructure is disproportionately informative|csv_no_header=1;interval=3600;csv_comment=#;title_keys=col0;id_keys=col0
DATAPLANE_SSH_CLIENT|csv|any|threat|attacking-host|threat,ssh,bruteforce,sensor|https://dataplane.org|DataPlane.org — SSH brute-force sources|DataPlane SSH総当たり元|https://dataplane.org/sshclient.txt|https://dataplane.org/sshclient.txt|Hosts observed conducting SSH login attempts against the DataPlane sensor network, each with the originating ASN, the AS name, the country and the last-seen timestamp. The ASN attribution turns a list of addresses into a ranking of which networks host the most abuse|csv_no_header=1;interval=3600;csv_delim=pipe;csv_comment=#;title_keys=col2;id_keys=col2
DATAPLANE_DNSRD|csv|any|threat|dns-abuse|threat,dns,amplification,sensor|https://dataplane.org|DataPlane.org — DNS recursion probes|DataPlane DNS再帰探索元|https://dataplane.org/dnsrd.txt|https://dataplane.org/dnsrd.txt|Hosts probing for open DNS resolvers, the reconnaissance step that precedes a DNS amplification attack. Each entry carries the ASN and country, so the staging networks are directly identifiable|csv_no_header=1;interval=3600;csv_delim=pipe;csv_comment=#;title_keys=col2;id_keys=col2
DATAPLANE_TELNET|csv|any|threat|attacking-host|threat,telnet,iot,sensor|https://dataplane.org|DataPlane.org — Telnet brute-force sources|DataPlane Telnet総当たり元|https://dataplane.org/telnetlogin.txt|https://dataplane.org/telnetlogin.txt|Hosts attempting Telnet logins against sensors — overwhelmingly compromised IoT devices recruiting more of the same. The ASN breakdown maps which consumer ISPs carry the largest infected device populations|csv_no_header=1;interval=3600;csv_delim=pipe;csv_comment=#;title_keys=col2;id_keys=col2
DATAPLANE_VNC_RFB|csv|any|threat|attacking-host|threat,vnc,sensor,abuse|https://dataplane.org|DataPlane.org — VNC probe sources|DataPlane VNC探索元|https://dataplane.org/vncrfb.txt|https://dataplane.org/vncrfb.txt|Hosts probing for exposed VNC remote-desktop services, with ASN and country. Exposed VNC is a standard initial-access vector into industrial and building-control systems|csv_no_header=1;interval=3600;csv_delim=pipe;csv_comment=#;title_keys=col2;id_keys=col2
DATAPLANE_SIPINVITE|csv|any|threat|telephony-abuse|threat,sip,voip,sensor|https://dataplane.org|DataPlane.org — SIP INVITE probe sources|DataPlane SIP探索元|https://dataplane.org/sipinvitation.txt|https://dataplane.org/sipinvitation.txt|Hosts sending unsolicited SIP INVITE requests, the reconnaissance behind toll fraud and voice phishing campaigns, with ASN and country attribution|csv_no_header=1;interval=3600;csv_delim=pipe;csv_comment=#;title_keys=col2;id_keys=col2
JVN_VULN_LIST|xml|any|threat|vulnerability|threat,vulnerability,japan,cert|https://jvndb.jvn.jp|JVN iPedia — Japanese vulnerability database|JVN 脆弱性対策情報|https://jvndb.jvn.jp/myjvn?method=getVulnOverviewList&feed=hnd&rangeDatePublished=n&maxCountItem=50|https://jvndb.jvn.jp/myjvn?method=getVulnOverviewList&feed=hnd&rangeDatePublished=n&maxCountItem=50|The Japanese national vulnerability database maintained by JPCERT and IPA, carrying advisories for Japanese vendor products that never receive a CVE and are absent from NVD entirely|interval=3600;array_path=item;title_keys=title;id_keys=identifier,link
CIRCL_CVE_SEARCH|json|any|threat|vulnerability|threat,vulnerability,cve,circl|https://www.circl.lu|CIRCL — CVE search service|CIRCL CVE検索|https://cve.circl.lu/api/cve/{qU}|https://cve.circl.lu/api/cve/CVE-2021-44228|The Luxembourg CERT's consolidated CVE service, joining the NVD record with vendor statements, CAPEC attack patterns, exploit-DB references and the affected CPE set in one document. The CAPEC linkage maps a vulnerability to the attack techniques that exploit it|
MALPEDIA_FAMILIES|json|any|threat|malware-family|threat,malware,family,taxonomy|https://malpedia.caad.fkie.fraunhofer.de|Malpedia — malware family taxonomy|Malpedia マルウェアファミリ分類|https://malpedia.caad.fkie.fraunhofer.de/api/get/families|https://malpedia.caad.fkie.fraunhofer.de/api/get/families|The Fraunhofer FKIE curated malware taxonomy: every named family with its aliases across vendor naming schemes, the platform it targets, attribution to a threat actor where established, and the reference literature. Alias resolution is the hard part of correlating vendor reporting, and this is the reference table for it|interval=3600
MALPEDIA_ACTORS|json|any|threat|threat-actor|threat,actor,attribution,apt|https://malpedia.caad.fkie.fraunhofer.de|Malpedia — threat actor registry|Malpedia 攻撃主体登録|https://malpedia.caad.fkie.fraunhofer.de/api/get/actors|https://malpedia.caad.fkie.fraunhofer.de/api/get/actors|Named threat actors with every alias used by every vendor, the country attributed, the malware families associated and the reference reporting. The alias graph is what lets reporting on APT29, Cozy Bear, Nobelium and Midnight Blizzard be recognised as reporting on one actor|interval=3600
MITRE_ATTACK_ENTERPRISE|json|any|threat|attack-technique|threat,mitre,attack,taxonomy|https://attack.mitre.org|MITRE ATT&CK — enterprise technique catalogue|MITRE ATT&CK 手口分類|https://raw.githubusercontent.com/mitre-attack/attack-stix-data/master/enterprise-attack/enterprise-attack.json|https://raw.githubusercontent.com/mitre-attack/attack-stix-data/master/enterprise-attack/enterprise-attack.json|The ATT&CK knowledge base in STIX form: every tactic, technique and sub-technique with its description, detection guidance, mitigations, the groups observed using it and the software that implements it. The common vocabulary that makes intrusion reporting comparable between organisations|array_path=objects;interval=3600
MITRE_ATTACK_ICS|json|any|threat|attack-technique|threat,mitre,attack,ics|https://attack.mitre.org|MITRE ATT&CK — ICS technique catalogue|MITRE ATT&CK 制御系手口分類|https://raw.githubusercontent.com/mitre-attack/attack-stix-data/master/ics-attack/ics-attack.json|https://raw.githubusercontent.com/mitre-attack/attack-stix-data/master/ics-attack/ics-attack.json|The industrial control system matrix, covering techniques that act on physical process rather than on data, with the assets targeted and the observed incidents. The reference framework for assessing an attack against operational technology|array_path=objects;interval=3600
MITRE_CAPEC|json|any|threat|attack-pattern|threat,mitre,capec,taxonomy|https://capec.mitre.org|MITRE CAPEC — attack pattern catalogue|MITRE CAPEC 攻撃パターン|https://raw.githubusercontent.com/mitre/cti/master/capec/2.1/stix-capec.json|https://raw.githubusercontent.com/mitre/cti/master/capec/2.1/stix-capec.json|The Common Attack Pattern Enumeration: abstract attack patterns with prerequisites, skill required, consequences and the weaknesses they exploit. Sits between a CWE weakness class and an ATT&CK technique|array_path=objects;interval=3600
NIST_CPE_DICTIONARY|json|any|threat|product-identifier|threat,cpe,vulnerability,inventory|https://nvd.nist.gov|NVD — CPE product dictionary|NVD 製品識別辞書|https://services.nvd.nist.gov/rest/json/cpes/2.0?keywordSearch={q}&resultsPerPage=100|https://services.nvd.nist.gov/rest/json/cpes/2.0?keywordSearch=windows&resultsPerPage=100|The Common Platform Enumeration dictionary: the canonical identifier for every vendor, product and version tracked in vulnerability data, with deprecation history. CPE is the join key between an asset inventory and a vulnerability feed|array_path=products
NVD_CVE_HISTORY|json|any|threat|vulnerability-change|threat,cve,vulnerability,audit|https://nvd.nist.gov|NVD — CVE change history|NVD CVE変更履歴|https://services.nvd.nist.gov/rest/json/cvehistory/2.0?cveId={qU}|https://services.nvd.nist.gov/rest/json/cvehistory/2.0?cveId=CVE-2021-44228|Every change ever made to a CVE record with the date, the source that made it and the old and new values. A silently downgraded CVSS score or a quietly widened affected-version range is only visible here|array_path=cveChanges
