# Batch 19 — Africa. Machine-readable registers, cadastres, procurement feeds,
# open-data catalogues, statistics catalogues and research repositories published
# by African national, sub-national and pan-African bodies.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
KE_MINING_CADASTRE_LICENCES|json|any|government|mining-licence|kenya,mining,cadastre,licence,extractives|https://portal.miningcadastre.go.ke|Kenya Mining Cadastre Portal — mineral rights register|ケニア鉱業権登録簿|https://portal.miningcadastre.go.ke/arcgis/rest/services/LandfolioSOEv2_0_7/MapServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000|https://portal.miningcadastre.go.ke/arcgis/rest/services/LandfolioSOEv2_0_7/MapServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000|Every prospecting licence, mining licence and application on Kenya's Landfolio mining cadastre, roughly 1,450 rights. Each record carries the licence code, type, status, the named holder or holders with their percentage interests, the commodities applied for, the responsible office, the area and unit, and the applied, pegged, granted, renewal and expiry dates. This is the authoritative link between a Kenyan mineral right and the company or individual that holds it|array_path=features;title_keys=attributes.Code;id_keys=attributes.guidLicense;date_keys=attributes.DteGranted;body_keys=attributes.Parties;page_param=resultOffset;page_start=0;page_size=1000;filter_query=1;interval=21600;page_zero_based=1
CD_CAMI_EXPLOITATION_LICENCES|json|any|government|mining-licence|drc,congo,mining,cadastre,licence,extractives|https://drclicences.cami.cd|DRC Cadastre Minier — active exploitation permits|コンゴ民主共和国 鉱業採掘権|https://services1.arcgis.com/AYIukXzftCPbklHN/ArcGIS/rest/services/DRCPortal_ActiveExploitationLayer_1/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000|https://services1.arcgis.com/AYIukXzftCPbklHN/ArcGIS/rest/services/DRCPortal_ActiveExploitationLayer_1/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000|The 715 active mining exploitation permits published by CAMI, the DRC mining cadastre, as the feature layer that drives its public map portal. Each record gives the permit code, type and status group, the province and jurisdiction, the applied, granted and expiry dates, the area, the commodities and the named holding parties. Cobalt, copper and coltan title in the DRC is one of the highest-value extractives records anywhere|array_path=features;title_keys=attributes.Code;id_keys=attributes.guidLicense;date_keys=attributes.DteGranted;body_keys=attributes.Parties;page_param=resultOffset;page_start=0;page_size=1000;filter_query=1;interval=21600;page_zero_based=1
CD_CAMI_LICENCE_APPLICATIONS|json|any|government|mining-licence-application|drc,congo,mining,cadastre,application,extractives|https://drclicences.cami.cd|DRC Cadastre Minier — pending permit applications|コンゴ民主共和国 鉱業権申請|https://services1.arcgis.com/AYIukXzftCPbklHN/ArcGIS/rest/services/DRCPortal_ApplicationLayer_1/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000|https://services1.arcgis.com/AYIukXzftCPbklHN/ArcGIS/rest/services/DRCPortal_ApplicationLayer_1/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000|The 211 pending applications for DRC mining rights, the forward-looking half of the CAMI cadastre. Each record names the applicant, the requested permit type, the province, the application date and the current processing status, so a company positioning for new Congolese ground is visible before any title is granted|array_path=features;title_keys=attributes.Code;id_keys=attributes.guidLicense;date_keys=attributes.DteApplied;body_keys=attributes.Parties;page_param=resultOffset;page_start=0;page_size=1000;filter_query=1;interval=21600;page_zero_based=1
TZ_PPRA_NEST_OCDS_RELEASES|json|any|government|contracting-release|tanzania,procurement,ocds,tender,contract|https://data.nest.go.tz|Tanzania PPRA — NeST open contracting releases|タンザニア公共調達庁 契約公開データ|https://nest.go.tz/gateway/nest-data-portal-api/api/releases|https://nest.go.tz/gateway/nest-data-portal-api/api/releases|Tanzania's National e-Procurement System publishes its whole tender and award history as Open Contracting Data Standard releases. Each release carries the OCID, the procuring entity and buyer with their identifiers, the procurement method and its details, the tender period, every line item with its UNSPSC classification, quantity and unit, and the award and contract stages where they exist. The cursor next link walks the full register rather than a single page|array_path=releases;next_path=links.next;title_keys=tender.description,tender.title;id_keys=ocid;date_keys=date;filter_query=1;interval=21600
NG_NBS_MICRODATA_CATALOG|json|any|reference|survey-dataset|nigeria,statistics,microdata,survey,census|https://microdata.nigerianstat.gov.ng|Nigeria National Bureau of Statistics — microdata catalogue|ナイジェリア国家統計局 ミクロデータ目録|https://microdata.nigerianstat.gov.ng/index.php/api/catalog/search?format=json&ps=50&sk={q}|https://microdata.nigerianstat.gov.ng/index.php/api/catalog/search?format=json&ps=50&sk=survey|Every survey and census dataset the Nigerian NBS has catalogued in its NADA instance, with the study identification number, title, series, producing agency, country, reference year, collection dates, access policy and the number of variables and files. The detail hop returns the full study description including the sampling design and the variable list|array_path=result.rows;detail_url=https://microdata.nigerianstat.gov.ng/index.php/api/catalog/{v}?format=json;detail_key=id;title_keys=title;id_keys=idno;date_keys=year_start;page_param=page;page_start=1
BF_INSD_MICRODATA_CATALOG|json|any|reference|survey-dataset|burkina,statistics,microdata,survey,sahel|https://microdata.insd.bf|Burkina Faso INSD — microdata catalogue|ブルキナファソ国立統計人口研究所 ミクロデータ目録|https://microdata.insd.bf/index.php/api/catalog/search?format=json&ps=50&sk={q}|https://microdata.insd.bf/index.php/api/catalog/search?format=json&ps=50&sk=enquete|The Institut National de la Statistique et de la Demographie of Burkina Faso publishes its survey and bulletin catalogue through NADA. Each row gives the study identification number, title, producing unit, reference period, access policy and file counts, and the detail hop returns the full documentation. Sahel household and agricultural survey metadata is otherwise almost impossible to obtain machine-readably|array_path=result.rows;detail_url=https://microdata.insd.bf/index.php/api/catalog/{v}?format=json;detail_key=id;title_keys=title;id_keys=idno;date_keys=year_start;page_param=page;page_start=1
CV_INE_PUBLICATIONS|json|any|reference|statistical-publication|cabo verde,statistics,publication,census|https://www.ine.cv|Cabo Verde Instituto Nacional de Estatistica — publications register|カーボベルデ国家統計院 刊行物|https://bdmi.ine.cv/site_deploy_api/api/Publication?pageSize=50|https://bdmi.ine.cv/site_deploy_api/api/Publication?pageSize=50|The 2,398 statistical publications of Cabo Verde's national statistics institute, served by the JSON backend behind its portal. Each item carries the publication code, the statistical operation and dissemination record it belongs to, the title and description, the language and the file references. Cabo Verde has almost no other machine-readable official output|array_path=items;title_keys=titulo,nome;id_keys=codigo;page_param=currentPage;page_start=1;filter_query=1;interval=86400
CV_INE_TENDERS|json|any|government|tender-notice|cabo verde,procurement,tender,concurso|https://www.ine.cv|Cabo Verde INE — public competitions and tenders|カーボベルデ国家統計院 入札公告|https://bdmi.ine.cv/site_deploy_api/api/Competitions?take=50|https://bdmi.ine.cv/site_deploy_api/api/Competitions?take=50|Public procurement competitions run by Cabo Verde's national statistics institute, with the notice title, category, full description, opening and closing dates and current state. Small-state procurement notices rarely reach any aggregator, and this endpoint serves them as structured records rather than PDFs|title_keys=nome;id_keys=codigo;date_keys=data_inicio;page_param=skip;page_start=0;page_size=50;filter_query=1;interval=21600;page_zero_based=1
CV_INE_RELEASE_CALENDAR|json|any|reference|release-calendar-entry|cabo verde,statistics,calendar,schedule|https://www.ine.cv|Cabo Verde INE — statistical release calendar|カーボベルデ国家統計院 公表カレンダー|https://bdmi.ine.cv/site_deploy_api/api/Calendar|https://bdmi.ine.cv/site_deploy_api/api/Calendar|The advance release calendar of Cabo Verde's national statistics institute, 151 scheduled publications with the indicator title, a description of what the release contains, the reference period and the publication date. A release calendar is the cheapest way to know what official figures exist and when they change|title_keys=titulo;id_keys=codigo;body_keys=descricao;filter_query=1;interval=86400
MU_DATA_GOVMU_DATASETS|json|any|government|open-dataset|mauritius,opendata,ckan,catalogue|https://data.govmu.org|Mauritius government open data catalogue|モーリシャス政府オープンデータ目録|https://data.govmu.org/api/3/action/package_search?q={q}&rows=50|https://data.govmu.org/api/3/action/package_search?q=statistics&rows=50|The Republic of Mauritius CKAN catalogue searched package by package, returning for each dataset its title, notes, publishing ministry, licence, tags, update frequency and every resource with format and download URL. Many of the resources are datastore-backed, so the package record is the entry point to row-level Mauritian government data|array_path=result.results;detail_url=https://data.govmu.org/api/3/action/package_show?id={v};detail_key=name;detail_path=result;title_keys=title;id_keys=name;date_keys=metadata_modified;page_param=start;page_start=0;page_size=50
