# Batch 19 — eurasia: Central and Eastern Europe, the Balkans, the Baltics,
# the Caucasus, Central Asia, Iceland and Ireland.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
PL_NFZ_AGREEMENTS|json|any|health|health-contract|poland,health,contract,insurance,procurement|https://api.nfz.gov.pl|Polish National Health Fund — provider contracts|ポーランド国民健康基金 医療機関契約|https://api.nfz.gov.pl/app-umw-api/agreements?year=2024&branch={q}&format=json&limit=25&api-version=1.2|https://api.nfz.gov.pl/app-umw-api/agreements?year=2024&branch=07&format=json&limit=25&api-version=1.2|Every contract the Polish NFZ signed with a healthcare provider in a given year and regional branch, with the contract number, provider identifier, service scope, technical code and the contracted amount in zloty. This is the money side of Polish public healthcare at contract granularity, and each agreement id resolves to the full contract with its line items|array_path=data.agreements;page_param=page;page_start=1;id_keys=id;detail_url=https://api.nfz.gov.pl/app-umw-api/agreements/{q}?format=json&api-version=1.2;detail_key=id
PL_NFZ_PROVIDERS|json|any|health|health-provider|poland,health,provider,registry|https://api.nfz.gov.pl|Polish National Health Fund — contracted providers|ポーランド国民健康基金 契約医療機関|https://api.nfz.gov.pl/app-umw-api/providers?year=2024&branch={q}&format=json&limit=25&api-version=1.2|https://api.nfz.gov.pl/app-umw-api/providers?year=2024&branch=07&format=json&limit=25&api-version=1.2|Healthcare providers holding an NFZ contract in a regional branch, with the provider code, registered name, NIP and REGON identifiers and postal address. Joins directly to the Polish company register through REGON and to the agreements feed through the provider code|array_path=data.entries;page_param=page;page_start=1
PL_EZAMOWIENIA_BZP|json|any|government|procurement-notice|poland,procurement,tender,bzp,contract|https://ezamowienia.gov.pl|Polish Public Procurement Bulletin — contract notices|ポーランド公共調達公報 入札公告|https://ezamowienia.gov.pl/mo-board/api/v1/Board/Search?SearchPhrase={q}&PageSize=25|https://ezamowienia.gov.pl/mo-board/api/v1/Board/Search?SearchPhrase=drogi&PageSize=25|Every notice published on Poland's national e-procurement platform: BZP number, TED number, contracting authority with its NIP, procedure type, CPV subject, estimated value, submission deadline and the notice publication date. The primary record of who is buying what with Polish public money|page_param=PageNumber;page_start=1;title_keys=orderObject,noticeTypeDisplayName;id_keys=noticeNumber,bzpNumber;date_keys=publicationDate
CZ_ARES_RZP|json|numeric|corporate|trade-licence|czechia,company,licence,register,trade|https://ares.gov.cz|Czech ARES — trade licence register extract|チェコARES 営業許可登記抄本|https://ares.gov.cz/ekonomicke-subjekty-v-be/rest/ekonomicke-subjekty-rzp/{qd}|https://ares.gov.cz/ekonomicke-subjekty-v-be/rest/ekonomicke-subjekty-rzp/27074358|The Zivnostensky rejstrik view of a Czech company keyed by ICO: legal name, legal form, incorporation date, the tax office and trade-licensing office that supervise it, every registered address and the trade licences actually held. Complements the basic ARES record with the regulatory permissions a firm operates under|array_path=zaznamy
CZ_JUSTICE_DECISIONS|json|any|legal|court-decision-index|czechia,court,judgment,justice,opendata|https://rozhodnuti.justice.cz|Czech Ministry of Justice — published court decisions index|チェコ法務省 裁判例公開インデックス|https://rozhodnuti.justice.cz/api/opendata|https://rozhodnuti.justice.cz/api/opendata|The open-data index of every anonymised decision of the Czech civil and criminal courts, by year, with the count of decisions and a direct download link to the bulk archive for that year. The entry point to the full corpus of Czech first- and second-instance judgments|id_keys=rok;title_keys=rok;detail_url=https://rozhodnuti.justice.cz/api/opendata/{q};detail_key=rok;interval=21600
CZ_JUSTICE_DECISIONS_YEAR|json|numeric|legal|court-decision-index|czechia,court,judgment,justice,opendata|https://rozhodnuti.justice.cz|Czech Ministry of Justice — court decisions by month|チェコ法務省 裁判例 月次インデックス|https://rozhodnuti.justice.cz/api/opendata/{qd}|https://rozhodnuti.justice.cz/api/opendata/2024|Month-by-month breakdown of Czech court decisions published in a given year, each row carrying the month, the number of decisions handed down and the archive URL holding their full anonymised texts. The second hop of the justice open-data tree and the level at which the corpus is actually downloadable|id_keys=mesic;title_keys=mesic
CZ_NKOD_SPARQL|json|any|reference|dataset-record|czechia,opendata,catalogue,sparql,dcat|https://data.gov.cz|Czech National Open Data Catalogue — DCAT SPARQL endpoint|チェコ国家オープンデータカタログ SPARQL|https://data.gov.cz/sparql?query=PREFIX%20dcat%3A%20%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fdcat%23%3E%20SELECT%20%3Fd%20%3Ft%20WHERE%20%7B%3Fd%20a%20dcat%3ADataset%3B%20%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Fterms%2Ftitle%3E%20%3Ft%7D%20LIMIT%2050&format=application%2Fsparql-results%2Bjson|https://data.gov.cz/sparql?query=PREFIX%20dcat%3A%20%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fdcat%23%3E%20SELECT%20%3Fd%20%3Ft%20WHERE%20%7B%3Fd%20a%20dcat%3ADataset%3B%20%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Fterms%2Ftitle%3E%20%3Ft%7D%20LIMIT%2050&format=application%2Fsparql-results%2Bjson|The Czech national catalogue exposed as a queryable RDF graph rather than a search box: every registered dataset with its IRI and title, and by extension its publisher, distribution URLs and licence. A SPARQL endpoint is the only way to enumerate the catalogue exhaustively rather than a page at a time|array_path=results.bindings;title_keys=t.value;id_keys=d.value;interval=86400
SK_REGISTERUZ_UNITS|json|any|corporate|accounting-entity|slovakia,company,accounts,register,financial|https://www.registeruz.sk|Slovak Register of Financial Statements — accounting entities|スロバキア財務諸表登記所 会計主体|https://www.registeruz.sk/cruz-public/api/uctovne-jednotky?zmenene-od={q}&max-zaznamov=100|https://www.registeruz.sk/cruz-public/api/uctovne-jednotky?zmenene-od=2024-01-01&max-zaznamov=100|Identifiers of every Slovak accounting entity whose filing changed after a given date, returned as a page of ids with an explicit flag saying whether more ids remain. Each id resolves to the entity record with its ICO, name, legal form, SK NACE code and the list of statements it has filed — the change feed that makes the Slovak accounts register pollable|id_keys=id;detail_url=https://www.registeruz.sk/cruz-public/api/uctovna-jednotka?id={q};detail_key=id
SK_REGISTERUZ_ZAVIERKA|json|numeric|corporate|financial-statement|slovakia,company,accounts,financial,filing|https://www.registeruz.sk|Slovak Register of Financial Statements — filed statement|スロバキア財務諸表登記所 決算書|https://www.registeruz.sk/cruz-public/api/uctovna-zavierka?id={qd}|https://www.registeruz.sk/cruz-public/api/uctovna-zavierka?id=6183429|One filed Slovak financial statement: the accounting entity it belongs to, the period covered, the dates it was drawn up, submitted and approved, the audit and consolidation flags and the ids of the constituent statement documents. The bridge from a company to its actual filed numbers|id_keys=id;date_keys=datumPodania;detail_url=https://www.registeruz.sk/cruz-public/api/uctovny-vykaz?id={q};detail_key=idUctovnychVykazov
HU_KSH_GDP|csv|any|economy|statistical-series|hungary,statistics,gdp,economy,macro|https://www.ksh.hu|Hungarian Central Statistical Office — national accounts table|ハンガリー中央統計局 国民経済計算表|https://www.ksh.hu/stadat_files/gdp/hu/gdp0001.csv|https://www.ksh.hu/stadat_files/gdp/hu/gdp0001.csv|The KSH STADAT macro table as machine-readable CSV: annual Hungarian GDP at current and constant prices, per head, and its year-on-year volume index, one row per year back to the early 1990s. The official Hungarian national-accounts series at source rather than via an aggregator|interval=604800
