# Batch 19-FINANCE — corporate identity, securities filings, financial regulation,
# sanctions and illicit finance.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
TPEX_LISTED_BASIC_R|json|any|corporate|company-record|taiwan,securities,registry,filings|https://www.tpex.org.tw|Taipei Exchange — emerging-board company master file|台北エクスチェンジ 興櫃企業基本資料|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R|Every company quoted on Taiwan emerging stock board with its securities code, full and abbreviated Chinese name, unified business number, registered address, industry code, chairman, general manager, spokesman, paid-in capital and listing date. The emerging board is where a Taiwanese company first becomes visible as a public issuer, months before any exchange listing|interval=86400
TPEX_MAJOR_HOLDERS|json|any|corporate|shareholder-record|taiwan,securities,ownership,shareholders|https://www.tpex.org.tw|Taipei Exchange — holders of more than 10 percent of a listed company|台北エクスチェンジ 10%超大株主名簿|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap02_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap02_O|The name of every shareholder holding above 10 percent of any TPEx-listed company, keyed to the issuer securities code and name. This is a beneficial-ownership disclosure in primary form and one of the few in Asia published as a machine-readable file rather than a per-company PDF|interval=86400
TPEX_DIRECTOR_HOLDINGS|json|any|corporate|insider-holding|taiwan,securities,insiders,ownership|https://www.tpex.org.tw|Taipei Exchange — director and supervisor shareholding detail|台北エクスチェンジ 董監事持株明細|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap11_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap11_O|Every director and supervisor of every TPEx company by name and title with the shareholding held at election, the current holding, and the number of those shares pledged as collateral. A pledged-share ratio is the standard early warning of an insider borrowing against his own company|interval=604800
TPEX_INSIDER_TRANSFER|json|any|corporate|insider-transaction|taiwan,securities,insiders,transactions|https://www.tpex.org.tw|Taipei Exchange — insider share-transfer pre-declarations|台北エクスチェンジ 内部者持株譲渡事前申報|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap12_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap12_O|Taiwanese insiders must declare a share transfer before making it. Each record names the issuer, the declarant and his relationship to the company, the intended method of transfer and the number of shares. This is intent, filed ahead of the trade rather than reported after it|interval=21600
TPEX_FSC_PENALTIES|json|any|legal|enforcement-action|taiwan,securities,enforcement,regulator|https://www.tpex.org.tw|Taipei Exchange — FSC Securities and Futures Bureau penalty cases|台北エクスチェンジ 金管会証券期貨局処分案件|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap22_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap22_O|Sanctions imposed by Taiwan Financial Supervisory Commission on TPEx-listed issuers and securities firms with the letter date, the issuer code and name, the conduct found and the penalty. A regulator naming the firm and the conduct is the primary record behind any later reporting|interval=21600
TPEX_DISCLOSURE_BREACH|json|any|legal|enforcement-action|taiwan,securities,enforcement,disclosure|https://www.tpex.org.tw|Taipei Exchange — breaches of reporting and material-information rules|台北エクスチェンジ 情報申報違反|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap23_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap23_O|Companies found to have violated the information-filing, material-information or press-conference rules, with the letter date, issuer code, the specific failure and the sanction. Disclosure breaches lead accounting failures more often than they follow them|interval=21600
TPEX_CONTROL_CHANGE|json|any|corporate|control-change|taiwan,securities,ownership,control|https://www.tpex.org.tw|Taipei Exchange — companies whose control has changed|台北エクスチェンジ 経営権異動企業|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap24_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap24_O|Issuers that have undergone a change of control, with the date it occurred and a narrative of how the board was replaced. A control change followed by a change of business scope is the classic shell-reuse pattern and TPEx publishes both series|interval=21600
TPEX_SCOPE_CHANGE|json|any|corporate|control-change|taiwan,securities,shell,control|https://www.tpex.org.tw|Taipei Exchange — companies with a material change of business scope|台北エクスチェンジ 営業範囲重大変更企業|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap25_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap25_O|TPEx issuers that have materially changed what they do, with the year and quarter, the issuer code and name and the narrative explanation of the change. Read against the control-change file this identifies the listed shells that were bought and repurposed|interval=21600
TPEX_PLEDGE_RATIO|json|any|corporate|insider-holding|taiwan,securities,insiders,pledge|https://www.tpex.org.tw|Taipei Exchange — boards whose pledged shareholding exceeds a threshold|台北エクスチェンジ 董監事質権設定比率|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap09_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap09_O|TPEx companies ranked by the share of director and supervisor holdings that has been pledged, banded at 90, 80 and 70 percent. A board that has pledged nearly all of its own stock has already converted its ownership into debt|interval=604800
TPEX_CHAIRMAN_IS_GM|json|any|corporate|governance-record|taiwan,securities,governance,board|https://www.tpex.org.tw|Taipei Exchange — whether the chairman also serves as general manager|台北エクスチェンジ 董事長の総経理兼任状況|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap33_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap33_O|For every TPEx issuer, the named chairman, the named general manager and an explicit flag for whether they are the same person together with the company stated justification. Combined chairman and chief executive roles is the single most-used structural governance risk indicator|interval=604800
TPEX_DIRECTOR_PAY|json|any|corporate|remuneration-record|taiwan,securities,remuneration,board|https://www.tpex.org.tw|Taipei Exchange — director remuneration by company|台北エクスチェンジ 董事酬金|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap29_A_O|https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap29_A_O|Board remuneration for every TPEx company by industry and issuer, with the amounts paid across reporting years and the ratio of board pay to earnings. Pay that rises while earnings fall is a disclosed fact here rather than an inference|interval=604800
TPEX_GISA_COMPANIES|json|any|corporate|company-record|taiwan,securities,startups,registry|https://www.tpex.org.tw|Taipei Exchange — GISA go-incubation board companies|台北エクスチェンジ 創櫃板企業|https://www.tpex.org.tw/openapi/v1/tpex_gisa_company|https://www.tpex.org.tw/openapi/v1/tpex_gisa_company|Companies registered on Taiwan GISA board, the pre-public tier for small and start-up issuers, with the assigned code, company name and registration date. GISA registration is the earliest point at which a Taiwanese private company appears in an exchange register at all|interval=86400
