# Batch 19 — public health, biosecurity, pharmaceuticals and food safety.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
WHO_XMART_FLUNET_SENTINEL|json|any|health|influenza-surveillance-record|who,influenza,surveillance,flunet,gisrs,virology|https://www.who.int/tools/flunet|WHO FluNet — global influenza virological surveillance|世界保健機関 FluNet インフルエンザウイルス学的サーベイランス|https://xmart-api-public.who.int/FLUMART/VIW_FNT?%24format=json&%24top=1000|https://xmart-api-public.who.int/FLUMART/VIW_FNT?%24format=json&%24top=1000|One row per country per ISO week from the WHO Global Influenza Surveillance and Response System: specimens processed, influenza A and B detections broken out by subtype and lineage, the reporting national influenza centre, the transmission zone and the hemisphere. This is the primary global signal for where a flu season is starting and which subtype is driving it|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY_AREA_TERRITORY;date_keys=ISO_WEEKSTARTDATE;interval=86400
WHO_XMART_FLUID_EPI|json|any|health|influenza-surveillance-record|who,influenza,fluid,syndromic,surveillance,ili|https://www.who.int/teams/global-influenza-programme|WHO FluID — global influenza epidemiological surveillance|世界保健機関 FluID インフルエンザ疫学サーベイランス|https://xmart-api-public.who.int/FLUMART/VIW_FID_EPI?%24format=json&%24top=1000|https://xmart-api-public.who.int/FLUMART/VIW_FID_EPI?%24format=json&%24top=1000|The syndromic half of WHO influenza surveillance: weekly influenza-like illness and severe acute respiratory infection case counts and consultation rates by country, age group and case definition, with the reporting site type and the population under surveillance. Pairs with FluNet virology to separate an outbreak from a reporting artefact|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY_AREA_TERRITORY;date_keys=ISO_WEEKSTARTDATE;interval=86400
WHO_XMART_WIISE_OUTBREAKS|json|any|health|outbreak-record|who,outbreak,measles,vaccine-preventable,surveillance,immunization|https://immunizationdata.who.int|WHO WIISE — vaccine-preventable disease outbreak reports|世界保健機関 WIISE ワクチン予防可能疾病アウトブレイク報告|https://xmart-api-public.who.int/WIISE/AD_OUTBREAKS?%24format=json&%24top=1000|https://xmart-api-public.who.int/WIISE/AD_OUTBREAKS?%24format=json&%24top=1000|Country-reported outbreaks of vaccine-preventable disease down to first and second sub-national administrative level: disease, year, admin unit names, case and death counts and the laboratory confirmation status. Sub-national granularity is what makes this usable for locating an event rather than merely counting it|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY;interval=86400
WHO_XMART_WIISE_VACCINE_INTRO|json|any|health|vaccine-introduction-record|who,immunization,vaccine,policy,introduction,wiise|https://immunizationdata.who.int|WHO WIISE — national vaccine introduction register|世界保健機関 WIISE 各国ワクチン導入登録|https://xmart-api-public.who.int/WIISE/AD_VACCINE_INTRODUCTIONS?%24format=json&%24top=1000|https://xmart-api-public.who.int/WIISE/AD_VACCINE_INTRODUCTIONS?%24format=json&%24top=1000|Which vaccines each WHO member state has introduced into its national immunization schedule, in which year, whether nationwide or partial, and the introduction status per antigen. A direct read on national immunization policy and on which markets a manufacturer has actually entered|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY;interval=604800
WHO_XMART_WIISE_SIA_CONDUCTED|json|any|health|campaign-record|who,immunization,campaign,sia,mass-vaccination,wiise|https://immunizationdata.who.int|WHO WIISE — supplementary immunization activities conducted|世界保健機関 WIISE 補足的予防接種活動実績|https://xmart-api-public.who.int/WIISE/AD_SIA_CONDUCTED?%24format=json&%24top=1000|https://xmart-api-public.who.int/WIISE/AD_SIA_CONDUCTED?%24format=json&%24top=1000|Every mass vaccination campaign a country reported to WHO: intervention and vaccine used, target age range, geographic extent, planned and reached population, campaign start and end dates and the survey-measured coverage. Campaign records show where a health system surged resources and when|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY;interval=604800
WHO_XMART_WIISE_COVERAGES|json|any|health|coverage-observation|who,immunization,coverage,wuenic,vaccination,wiise|https://immunizationdata.who.int|WHO WIISE — administrative and official immunization coverage|世界保健機関 WIISE 予防接種接種率|https://xmart-api-public.who.int/WIISE/AD_COVERAGES?%24format=json&%24top=1000|https://xmart-api-public.who.int/WIISE/AD_COVERAGES?%24format=json&%24top=1000|Immunization coverage by country, year, antigen and coverage category, carrying the target population, doses administered and the resulting percentage, distinguishing administrative reporting from official national estimates and from WHO and UNICEF estimates. Coverage collapse is an early indicator of a health system under stress|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY;interval=604800
WHO_XMART_WIISE_INCIDENCES|json|any|health|disease-incidence-observation|who,immunization,incidence,measles,pertussis,diphtheria,wiise|https://immunizationdata.who.int|WHO WIISE — vaccine-preventable disease incidence|世界保健機関 WIISE ワクチン予防可能疾病罹患率|https://xmart-api-public.who.int/WIISE/AD_INCIDENCES?%24format=json&%24top=1000|https://xmart-api-public.who.int/WIISE/AD_INCIDENCES?%24format=json&%24top=1000|Annual reported case counts and incidence rates per country for measles, rubella, diphtheria, pertussis, tetanus, Japanese encephalitis, yellow fever and the rest of the vaccine-preventable set, back to the 1980s. The long baseline is what lets a current year be read as unusual or not|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY;interval=604800
WHO_XMART_WIISE_AEFI|json|any|health|pharmacovigilance-record|who,pharmacovigilance,aefi,vaccine-safety,adverse-event,wiise|https://immunizationdata.who.int|WHO WIISE — adverse events following immunization reporting|世界保健機関 WIISE 予防接種後有害事象報告|https://xmart-api-public.who.int/WIISE/AD_AEFI?%24format=json&%24top=1000|https://xmart-api-public.who.int/WIISE/AD_AEFI?%24format=json&%24top=1000|National vaccine pharmacovigilance capacity and output as reported to WHO: serious and non-serious adverse events following immunization by country and year, causality assessment classification, reporting rate per million doses and whether a functional national AEFI committee exists. One of the few open windows onto vaccine-safety reporting outside the US and EU systems|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY;interval=604800
WHO_XMART_WIISE_SURV_LAB|json|any|health|laboratory-surveillance-record|who,laboratory,surveillance,measles,polio,wiise,diagnostics|https://immunizationdata.who.int|WHO WIISE — laboratory surveillance performance|世界保健機関 WIISE 検査室サーベイランス実績|https://xmart-api-public.who.int/WIISE/AD_SURV_LAB?%24format=json&%24top=1000|https://xmart-api-public.who.int/WIISE/AD_SURV_LAB?%24format=json&%24top=1000|Per-country laboratory surveillance indicators for vaccine-preventable disease: specimens collected and tested, confirmation rates, turnaround times and accreditation status of the national laboratory network by disease and year. Laboratory throughput is the constraint that decides whether a country can see its own outbreak|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY;interval=604800
WHO_XMART_WIISE_SCHEDULES|json|any|health|policy-record|who,immunization,schedule,policy,vaccine,wiise|https://immunizationdata.who.int|WHO WIISE — national immunization schedules|世界保健機関 WIISE 各国予防接種スケジュール|https://xmart-api-public.who.int/WIISE/AD_SCHEDULES?%24format=json&%24top=1000|https://xmart-api-public.who.int/WIISE/AD_SCHEDULES?%24format=json&%24top=1000|The recommended immunization schedule of every WHO member state by year: vaccine code, target population, dose number, age or interval at administration and the geographic area to which the recommendation applies. The machine-readable answer to what a given country actually gives its children|array_path=value;page_param=%24skip;page_start=0;page_size=1000;title_keys=COUNTRY;interval=604800
