# Batch 19 — Latin America and the Caribbean.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
BR_IBGE_SIDRA_MUNICIPAL_POP|json|any|reference|statistical-observation|brazil,ibge,population,municipality,statistics|https://sidra.ibge.gov.br|IBGE SIDRA — municipal population estimates|ブラジル地理統計院 SIDRA 市町村人口推計|https://apisidra.ibge.gov.br/values/t/6579/n6/all/v/9324/p/last%201|https://apisidra.ibge.gov.br/values/t/6579/n6/all/v/9324/p/last%201|One observation per Brazilian municipality from IBGE's SIDRA aggregate service, carrying the seven-digit IBGE municipality code, the municipality and state name, the reference period and the estimated resident population. The IBGE municipality code is the join key that almost every other Brazilian federal dataset uses, so this doubles as the canonical code table|title_keys=D1N;id_keys=D1C;interval=86400
BR_IPEADATA_SERIES|json|any|economy|statistical-series|brazil,ipea,economics,timeseries,statistics|http://www.ipeadata.gov.br|IPEADATA — macroeconomic and regional series catalogue|応用経済研究所 IPEADATA 系列目録|http://www.ipeadata.gov.br/api/odata4/Metadados|http://www.ipeadata.gov.br/api/odata4/Metadados|The full metadata register of every series IPEA publishes: series code, name, theme, source organisation, unit, frequency, geographic level and the first and last observation dates. Each code resolves through the ValoresSerie endpoint to the observations themselves, so the catalogue is the index to Brazil's largest public macro and regional time-series archive|array_path=value;title_keys=SERNOME;id_keys=SERCODIGO;detail_url=http://www.ipeadata.gov.br/api/odata4/ValoresSerie(SERCODIGO='{v}');detail_key=SERCODIGO;detail_path=value;interval=86400
BR_BCB_SGS_SERIES|json|numeric|economy|statistical-observation|brazil,centralbank,bcb,timeseries,economy|https://www.bcb.gov.br|Banco Central do Brasil — SGS time-series pivot|ブラジル中央銀行 時系列統計 SGS|https://api.bcb.gov.br/dados/serie/bcdata.sgs.{qd}/dados?formato=json|https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json|Every observation of any series in the Banco Central do Brasil's SGS system, keyed by the series number: Selic, IPCA, exchange rates, credit stocks, reserve levels and several thousand more. Each record is a date and a value, and the whole history comes back in one request, which makes a series number a directly pivotable entity|
BR_BCB_EXPECTATIVAS|json|any|economy|market-expectation|brazil,centralbank,bcb,forecast,economy|https://www.bcb.gov.br|Banco Central do Brasil — Focus market expectations|ブラジル中央銀行 フォーカス市場予測|https://olinda.bcb.gov.br/olinda/servico/Expectativas/versao/v1/odata/ExpectativasMercadoAnuais?%24top=100&%24format=json|https://olinda.bcb.gov.br/olinda/servico/Expectativas/versao/v1/odata/ExpectativasMercadoAnuais?%24top=100&%24format=json|The Focus survey: what the Brazilian market expects for inflation, GDP, the policy rate and the exchange rate, by reference year, with the median, mean, standard deviation, minimum, maximum and the number of responding institutions for each survey date. This is the number the central bank itself watches when it sets rates|array_path=value;page_param=%24skip;page_start=0;page_size=100;interval=3600
BR_BCB_IFDATA_CADASTRO|json|any|corporate|financial-institution|brazil,centralbank,bank,register,finance|https://www.bcb.gov.br|Banco Central do Brasil — IF.data institution register|ブラジル中央銀行 金融機関登録 IF.data|https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataCadastro(AnoMes=@AnoMes)?@AnoMes=202403&%24top=100&%24format=json|https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataCadastro(AnoMes=@AnoMes)?@AnoMes=202403&%24top=100&%24format=json|Every institution supervised by the Banco Central do Brasil for a given reference month, with its CNPJ, corporate name, prudential conglomerate, institution type, city, state and the segment it is classified in. The CNPJ makes each row joinable to the Brazilian company register, which turns a bank licence into a corporate-ownership lead|array_path=value;page_param=%24skip;page_start=0;page_size=100;interval=86400
BR_CNES_ESTABELECIMENTOS|json|any|health|health-facility|brazil,health,cnes,facility,register|https://apidadosabertos.saude.gov.br|Ministry of Health — CNES health establishment register|ブラジル保健省 医療施設登録 CNES|https://apidadosabertos.saude.gov.br/cnes/estabelecimentos?limit=100|https://apidadosabertos.saude.gov.br/cnes/estabelecimentos?limit=100|Every health establishment in Brazil's National Register of Health Establishments: CNES code, CNPJ of the operating entity, corporate and trading name, legal nature, management type, address and the services it is licensed for. Each CNES code resolves to a fuller record giving beds, equipment and the units within the establishment, so the list is only the first hop|array_path=estabelecimentos;title_keys=nome_fantasia,nome_razao_social;id_keys=codigo_cnes;page_param=offset;page_start=0;page_size=100;detail_url=https://apidadosabertos.saude.gov.br/cnes/estabelecimentos/{v};detail_key=codigo_cnes;interval=86400
BR_PNCP_CONTRATOS|json|any|government|procurement-contract|brazil,procurement,contract,pncp,government|https://pncp.gov.br|PNCP — national public procurement contracts|ブラジル全国公共調達ポータル 契約|https://pncp.gov.br/api/consulta/v1/contratos?dataInicial=20250102&dataFinal=20250103&pagina=1|https://pncp.gov.br/api/consulta/v1/contratos?dataInicial=20250102&dataFinal=20250103&pagina=1|Every public contract signed anywhere in Brazil inside a date window, from the single national portal all federal, state and municipal bodies are now obliged to publish to. Each record carries the contracting body and its CNPJ, the supplier name and CNPJ or CPF, the object, the value, the signature and expiry dates and the PNCP control number that resolves to the tender it came from|array_path=data;page_param=pagina;page_start=1;interval=21600
BR_INPE_DETER_ALERTS|json|any|environment|deforestation-alert|brazil,amazon,deforestation,inpe,satellite|http://terrabrasilis.dpi.inpe.br|INPE TerraBrasilis — DETER deforestation alerts|ブラジル国立宇宙研究所 DETER 森林減少警報|https://terrabrasilis.dpi.inpe.br/geoserver/deter-amz/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=deter-amz:deter_amz&maxFeatures=500&outputFormat=application%2Fjson|https://terrabrasilis.dpi.inpe.br/geoserver/deter-amz/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=deter-amz:deter_amz&maxFeatures=500&outputFormat=application%2Fjson|INPE's near-real-time deforestation and forest-degradation alerts for the Brazilian Amazon, as polygons with the detection date, alert class, area in hectares, municipality, state, and whether the polygon falls inside a conservation unit or indigenous land. This is the dataset that drives Brazilian enforcement operations and it is served straight from the agency's own GeoServer|array_path=features;interval=3600
BR_INPE_PRODES_YEARLY|json|any|environment|deforestation-polygon|brazil,amazon,deforestation,prodes,inpe|http://terrabrasilis.dpi.inpe.br|INPE TerraBrasilis — PRODES annual clear-cut mapping|ブラジル国立宇宙研究所 PRODES 年次森林減少|https://terrabrasilis.dpi.inpe.br/geoserver/prodes-legal-amz/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=prodes-legal-amz:yearly_deforestation&maxFeatures=500&outputFormat=application%2Fjson|https://terrabrasilis.dpi.inpe.br/geoserver/prodes-legal-amz/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=prodes-legal-amz:yearly_deforestation&maxFeatures=500&outputFormat=application%2Fjson|PRODES, the official annual clear-cut deforestation map of the Legal Amazon that Brazil's deforestation rate is calculated from, as individual polygons with the reference year, area, municipality, state and the satellite image date. Unlike the headline rate, the polygons say exactly where the loss happened|array_path=features;interval=21600
BR_SICONFI_RREO|json|any|government|budget-report|brazil,treasury,budget,fiscal,government|https://siconfi.tesouro.gov.br|Tesouro Nacional SICONFI — bimonthly budget execution reports|ブラジル国庫庁 SICONFI 予算執行報告|https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=1&co_tipo_demonstrativo=RREO&no_anexo=RREO-Anexo%2001&co_esfera=E&id_ente=41|https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=1&co_tipo_demonstrativo=RREO&no_anexo=RREO-Anexo%2001&co_esfera=E&id_ente=41|Line-by-line budget execution as every Brazilian state and municipality reported it to the National Treasury: the reporting entity and its IBGE code, the exercise and period, the account column and label, and the value. Because reporting is a legal obligation for all 5,570 municipalities, this is a complete fiscal picture of Brazilian subnational government rather than a sample|array_path=items;page_param=offset;page_start=0;page_size=25;interval=21600
BR_SICONFI_DCA|json|any|government|annual-account|brazil,treasury,accounts,fiscal,government|https://siconfi.tesouro.gov.br|Tesouro Nacional SICONFI — annual consolidated accounts|ブラジル国庫庁 SICONFI 年次決算|https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=41&no_anexo=DCA-Anexo%20I-C|https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=41&no_anexo=DCA-Anexo%20I-C|The annual balance-sheet filing every Brazilian federative entity makes to the National Treasury, by account line: entity name and IBGE code, exercise, annex, account code and description, and the amount. Read across entities it is the most reliable public measure of the financial state of Brazilian subnational government|array_path=items;page_param=offset;page_start=0;page_size=25;interval=21600
BR_ANS_OPERADORAS|csv|any|health|insurer-record|brazil,health,insurance,ans,register|https://dadosabertos.ans.gov.br|ANS — active health-plan operators register|ブラジル補足医療庁 医療保険事業者登録|https://dadosabertos.ans.gov.br/FTP/PDA/operadoras_de_plano_de_saude_ativas/Relatorio_cadop.csv|https://dadosabertos.ans.gov.br/FTP/PDA/operadoras_de_plano_de_saude_ativas/Relatorio_cadop.csv|Every health-plan operator licensed to sell in Brazil, with its ANS registration number, CNPJ, corporate and trading name, modality, full registered address, telephone, e-mail, the name of its legal representative and the dates of registration and of its operating authorisation. Roughly a thousand companies covering fifty million people, keyed by CNPJ|interval=86400
BR_ANAC_AERONAVES|csv|any|aviation|aircraft-registration|brazil,anac,aircraft,registry,aviation|https://www.gov.br/anac|ANAC — Brazilian aircraft register RAB|ブラジル民間航空庁 航空機登録原簿 RAB|https://sistemas.anac.gov.br/dadosabertos/Aeronaves/RAB/dados_aeronaves.csv|https://sistemas.anac.gov.br/dadosabertos/Aeronaves/RAB/dados_aeronaves.csv|The complete Brazilian civil aircraft register: registration marks, owner and operator names, certificate of registration number, serial number, type and model, manufacturer, maximum take-off weight, seats, year of manufacture, registration category and the certificate validity dates. Owner and operator strings make this the primary source for beneficial ownership of Brazilian-registered aircraft|interval=86400
BR_ANEEL_SIGA_GERACAO|csv|any|energy|power-plant|brazil,aneel,electricity,generation,register|https://dadosabertos.aneel.gov.br|ANEEL SIGA — electricity generation plant register|ブラジル電力規制庁 発電設備登録 SIGA|https://dadosabertos.aneel.gov.br/dataset/6d90b77c-c5f5-4d81-bdec-7bc619494bb9/resource/11ec447d-698d-4ab8-977f-b424d5deee6a/download/siga-empreendimentos-geracao.csv|https://dadosabertos.aneel.gov.br/dataset/6d90b77c-c5f5-4d81-bdec-7bc619494bb9/resource/11ec447d-698d-4ab8-977f-b424d5deee6a/download/siga-empreendimentos-geracao.csv|Every electricity generating plant in Brazil at any stage from pre-concession study to revocation, with the plant name and CEG code, fuel and technology, installed and physical-guarantee capacity, the grant act and its dates, the municipality and coordinates, and the name and CNPJ of the owner and of each shareholder with its percentage. The shareholding column makes it an ownership register, not just an asset list|interval=3600
BR_ANEEL_AUTO_INFRACAO|csv|any|energy|enforcement-action|brazil,aneel,enforcement,penalty,electricity|https://dadosabertos.aneel.gov.br|ANEEL — electricity sector infraction notices|ブラジル電力規制庁 違反通告|https://dadosabertos.aneel.gov.br/dataset/4d690c9d-8158-4b04-ae44-7d3de8616271/resource/f221158a-93a3-423f-b794-4312b6985a24/download/auto-infracao.csv|https://dadosabertos.aneel.gov.br/dataset/4d690c9d-8158-4b04-ae44-7d3de8616271/resource/f221158a-93a3-423f-b794-4312b6985a24/download/auto-infracao.csv|Infraction notices issued by Brazil's electricity regulator: the notice number and date, the penalised agent, the regulatory article breached, the fine value, the stage the case has reached and the decision. A named enforcement action against a named utility or generator, which is the kind of record that rarely survives into any aggregator|interval=3600
BR_BNDES_DADOS_ABERTOS|json|any|economy|dataset-record|brazil,bndes,development,finance,opendata|https://dadosabertos.bndes.gov.br|BNDES — open data catalogue|ブラジル経済社会開発銀行 オープンデータ目録|https://dadosabertos.bndes.gov.br/api/3/action/package_search?rows=100|https://dadosabertos.bndes.gov.br/api/3/action/package_search?rows=100|The Brazilian development bank's own data catalogue, whose datasets are the disbursement and operation records of the largest development bank in Latin America: loans by borrower, sector and region, guarantees, equity holdings and the Ficha Síntese of individual operations. Each package carries its resource download URLs, so the catalogue is the index to the files themselves|array_path=result.results;title_keys=title;id_keys=name;page_param=start;page_start=0;page_size=100;detail_url=https://dadosabertos.bndes.gov.br/api/3/action/package_show?id={v};detail_key=name;detail_path=result;interval=86400
BR_DADOS_PERNAMBUCO|json|any|government|dataset-record|brazil,pernambuco,state,opendata,government|https://dados.pe.gov.br|Government of Pernambuco — state open data catalogue|ブラジル ペルナンブーコ州 オープンデータ目録|https://dados.pe.gov.br/api/3/action/package_search?rows=20|https://dados.pe.gov.br/api/3/action/package_search?rows=20|The open data catalogue of the state of Pernambuco, one of the few Brazilian states publishing a live CKAN: public-security incident records, state payroll, procurement, health and education datasets, each package listing its organisation, licence, update frequency and the direct download URL of every resource|array_path=result.results;title_keys=title;id_keys=name;page_param=start;page_start=0;page_size=20;detail_url=https://dados.pe.gov.br/api/3/action/package_show?id={v};detail_key=name;detail_path=result;interval=86400
