# Batch 19 — MENA beat: Middle East, North Africa, Turkey, Iran and Israel.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
PORTWATCH_PORTS_DB|json|any|maritime|port-record|maritime,ports,chokepoint,shipping,imf|https://portwatch.imf.org|IMF PortWatch — global port database|IMF ポートウォッチ 港湾データベース|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/PortWatch_ports_database/FeatureServer/0/query?where=UPPER(portname)%20LIKE%20UPPER(%27%25{q}%25%27)&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/PortWatch_ports_database/FeatureServer/0/query?where=UPPER(portname)%20LIKE%20UPPER(%27%25jeddah%25%27)&outFields=*&f=json&resultRecordCount=1000|Every port PortWatch tracks, with portid, port and country name, ISO3, vessel-type traffic shares, industry breakdown and point coordinates. This is the key that turns a port name into the portid used by the daily and monthly traffic feeds, and it covers Jeddah, Jebel Ali, Bandar Abbas, Aden, Hodeidah, Haifa and every other Gulf and Red Sea terminal|array_path=features;title_keys=attributes.portname,attributes.fullname;id_keys=attributes.portid;lat_key=geometry.y;lon_key=geometry.x;page_param=resultOffset;page_size=1000
PORTWATCH_CHOKEPOINTS_DB|json|any|maritime|chokepoint-record|maritime,chokepoint,hormuz,suez,babelmandeb|https://portwatch.imf.org|IMF PortWatch — maritime chokepoint register|IMF ポートウォッチ 海上要衝登録簿|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/PortWatch_chokepoints_database/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/PortWatch_chokepoints_database/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|The canonical register of the world's maritime chokepoints with portid, name, geometry and the vessel-class shares that pass through each. Includes the Strait of Hormuz, Bab el-Mandeb, the Suez Canal and the Turkish Straits, which is the identifier table every chokepoint transit analysis has to start from|array_path=features;title_keys=attributes.portname,attributes.fullname;id_keys=attributes.portid;lat_key=geometry.y;lon_key=geometry.x;page_param=resultOffset;page_size=1000;filter_query=1;interval=21600
PORTWATCH_DAILY_CHOKEPOINTS|json|any|maritime|chokepoint-transit|maritime,chokepoint,transit,hormuz,suez|https://portwatch.imf.org|IMF PortWatch — daily chokepoint transit calls|IMF ポートウォッチ 要衝通航日次|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0/query?where=UPPER(portname)%20LIKE%20UPPER(%27%25{q}%25%27)&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0/query?where=UPPER(portname)%20LIKE%20UPPER(%27%25Suez%25%27)&outFields=*&f=json&resultRecordCount=1000|Daily transit-call counts and cargo tonnage through each chokepoint broken out by vessel class — tanker, container, dry bulk, general cargo and roro. This is the closest thing to a public real-time meter on Suez, Hormuz and Bab el-Mandeb traffic, and the series that shows a blockade or a rerouting within days|array_path=features;title_keys=attributes.portname;id_keys=attributes.portid;date_keys=attributes.date;page_param=resultOffset;page_size=1000
PORTWATCH_DAILY_PORTS|json|any|maritime|port-call|maritime,ports,traffic,shipping|https://portwatch.imf.org|IMF PortWatch — daily port calls and cargo|IMF ポートウォッチ 港湾寄港日次|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Ports_Data/FeatureServer/0/query?where=UPPER(portname)%20LIKE%20UPPER(%27%25{q}%25%27)&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Ports_Data/FeatureServer/0/query?where=UPPER(portname)%20LIKE%20UPPER(%27%25Jebel%20Ali%25%27)&outFields=*&f=json&resultRecordCount=1000|Per-port daily vessel calls and import and export tonnage by vessel class. Pivoting on a port name gives a dated activity series for Jebel Ali, Jeddah, Bandar Abbas, Haifa, Ashdod or Port Said that can be compared against sanctions dates and conflict events|array_path=features;title_keys=attributes.portname;id_keys=attributes.portid;date_keys=attributes.date;page_param=resultOffset;page_size=1000
PORTWATCH_DISRUPTIONS_DB|json|any|maritime|disruption-event|maritime,disruption,ports,risk|https://portwatch.imf.org|IMF PortWatch — port disruption event database|IMF ポートウォッチ 港湾途絶データベース|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/portwatch_disruptions_database/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/portwatch_disruptions_database/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Catalogued port disruption episodes with the affected port, start and end dates, disruption type and the modelled trade impact. Strikes, storms, wars and closures are recorded as dated records rather than prose, which makes the Red Sea and Gulf disruption history queryable|array_path=features;title_keys=attributes.portname;id_keys=attributes.portid;page_param=resultOffset;page_size=1000;filter_query=1;interval=21600
PORTWATCH_DAILY_REGIONAL|json|any|maritime|regional-trade-series|maritime,trade,regional,shipping|https://portwatch.imf.org|IMF PortWatch — daily regional trade volumes|IMF ポートウォッチ 地域別貿易日次|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Regional_Data/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Regional_Data/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Daily seaborne import and export tonnage aggregated to world region, including the Middle East and North Africa, split by cargo class. The regional aggregate is what shows whether Red Sea traffic that left Suez actually reappeared round the Cape|array_path=features;date_keys=attributes.date;page_param=resultOffset;page_size=1000;filter_query=1;interval=21600
PORTWATCH_COUNTRIES_DB|json|any|maritime|country-trade-profile|maritime,trade,country,shipping|https://portwatch.imf.org|IMF PortWatch — country maritime trade profiles|IMF ポートウォッチ 国別海運プロファイル|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/PortWatch_countries_database/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/PortWatch_countries_database/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|One record per country giving its seaborne trade dependence, port count and share of trade passing each chokepoint. This is the table that quantifies how exposed Egypt, Saudi Arabia, the UAE or Israel is to a closure of a specific strait|array_path=features;title_keys=attributes.country,attributes.ISO3;page_param=resultOffset;page_size=1000;filter_query=1;interval=21600
PORTWATCH_MONTHLY_TRADENOW|json|any|maritime|monthly-trade-estimate|maritime,trade,nowcast,shipping|https://portwatch.imf.org|IMF PortWatch — monthly trade nowcast|IMF ポートウォッチ 月次貿易ナウキャスト|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Monthly_TradeNow/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Monthly_TradeNow/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Monthly nowcast estimates of country trade volumes derived from AIS port calls, published far ahead of official customs statistics. For countries that publish trade data late or not at all — Iran, Libya, Yemen, Syria — this is often the only current quantitative series|array_path=features;date_keys=attributes.date;page_param=resultOffset;page_size=1000;filter_query=1;interval=900
PORTWATCH_DAILY_TRADE_WLD|json|any|maritime|daily-trade-series|maritime,trade,global,shipping|https://portwatch.imf.org|IMF PortWatch — daily world seaborne trade|IMF ポートウォッチ 世界海上貿易日次|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Trade_Data_WLD/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Trade_Data_WLD/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Daily world seaborne import and export tonnage by cargo class, the global denominator against which a Gulf or Red Sea shock has to be measured. Published with a lag of days rather than months|array_path=features;date_keys=attributes.date;page_param=resultOffset;page_size=1000;filter_query=1;interval=21600
PORTWATCH_CONTAINER_METRICS|json|any|maritime|container-metric|maritime,container,ports,logistics|https://portwatch.imf.org|IMF PortWatch — container port metrics|IMF ポートウォッチ コンテナ港指標|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Container_Metrics/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Container_Metrics/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Container-specific port performance metrics including call counts, dwell time and throughput per port. Container dwell time at Jebel Ali, Salalah or Port Said is a direct read on congestion and on rerouting away from the Red Sea|array_path=features;title_keys=attributes.portname;id_keys=attributes.portid;page_param=resultOffset;page_size=1000;filter_query=1;interval=21600
