# Batch 19 — US and Canadian federal agency record systems.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_northam.c by tools/gen_hp_batch.py.
NSF_AWARDS_SEARCH|json|any|research|research-grant|research,funding,nsf,us|https://www.nsf.gov|US NSF — research award search|米国NSF 研究助成検索|https://api.nsf.gov/services/v1/awards.json?keyword={q}&rpp=25|https://api.nsf.gov/services/v1/awards.json?keyword=hypersonic&rpp=25|Every National Science Foundation award matching a term, with the award number, title, full abstract, principal investigator, awardee institution and its address, programme officer, start and expiry dates and the obligated amount. The PI and institution pair is the primary record of who is funded to work on what, and the abstract states the research aim in the applicant's own words|array_path=response.award;page_param=offset;page_start=1;page_size=25
OSTI_RECORDS_SEARCH|json|any|research|technical-report|research,energy,doe,us|https://www.osti.gov|US DOE OSTI — technical report search|米国DOE 技術報告検索|https://www.osti.gov/api/v1/records?q={q}&rows=100|https://www.osti.gov/api/v1/records?q=reactor&rows=100|The Department of Energy scientific and technical information repository: reports, conference papers and datasets from the national laboratories, with the report number, authors, originating laboratory, sponsoring organisation, DOE contract number and subject terms. The contract number links a publication to the programme that paid for it|page_param=page;page_start=1
EPA_ENVIROFACTS_TRI|json|any|environment|pollutant-facility|environment,epa,pollution,us|https://www.epa.gov|EPA Envirofacts — Toxics Release Inventory facilities|EPA 有害物質排出目録 施設|https://data.epa.gov/efservice/tri_facility/state_abbr/{qU}/rows/0:499/JSON|https://data.epa.gov/efservice/tri_facility/state_abbr/CA/rows/0:499/JSON|Facilities reporting to the Toxics Release Inventory, with the facility name and TRI identifier, the parent company, street address, coordinates, county, industry code and the federal facility flag. TRI names the corporate parent behind a site, which is exactly the link a facility-level environmental record usually omits|lat_key=pref_latitude;lon_key=pref_longitude
EPA_ENVIROFACTS_FRS|json|any|environment|regulated-facility|environment,epa,regulatory,us|https://www.epa.gov|EPA Envirofacts — Facility Registry Service|EPA 施設登録システム|https://data.epa.gov/efservice/frs_program_facility/pgm_sys_acrnm/{qU}/rows/0:499/JSON|https://data.epa.gov/efservice/frs_program_facility/pgm_sys_acrnm/RCRAINFO/rows/0:499/JSON|The master registry that reconciles one physical facility across every EPA programme it is regulated under — air, water, waste, pesticides. The FRS identifier is the join key that makes an air-permit record and a hazardous-waste record recognisable as the same site|
EPA_ENVIROFACTS_SDWIS|json|any|environment|water-system|environment,epa,water,us|https://www.epa.gov|EPA Envirofacts — public water systems|EPA 公共水道システム|https://data.epa.gov/efservice/water_system/state_code/{qU}/rows/0:499/JSON|https://data.epa.gov/efservice/water_system/state_code/MI/rows/0:499/JSON|Public drinking water systems with the system identifier, name, owner type, population served, source water type and the primacy agency. Population served and source type together determine the exposure footprint of any contamination event|
NHTSA_VPIC_MAKES|json|any|transport|vehicle-manufacturer|transport,vehicle,nhtsa,us|https://vpic.nhtsa.dot.gov|NHTSA vPIC — vehicle manufacturers|NHTSA 車両製造者一覧|https://vpic.nhtsa.dot.gov/api/vehicles/getallmakes?format=json|https://vpic.nhtsa.dot.gov/api/vehicles/getallmakes?format=json|Every vehicle make registered in the US Vehicle Product Information Catalog with its manufacturer identifier. vPIC is the authority behind VIN decoding, so this table is the root of any vehicle attribution chain|array_path=Results;interval=21600
NHTSA_RECALLS_VEHICLE|json|any|transport|vehicle-recall|transport,vehicle,recall,safety|https://www.nhtsa.gov|NHTSA — vehicle safety recalls|NHTSA 車両リコール|https://api.nhtsa.gov/recalls/recallsByVehicle?make={ql}&model=f-150&modelYear=2020|https://api.nhtsa.gov/recalls/recallsByVehicle?make=ford&model=f-150&modelYear=2020|Safety recalls for a vehicle, with the NHTSA campaign number, the manufacturer's own campaign number, the component affected, the defect summary, the consequence and the remedy. Recall text names the supplier component behind a failure, which is a supply-chain disclosure in all but name|array_path=results
NHTSA_COMPLAINTS|json|any|transport|vehicle-complaint|transport,vehicle,safety,nhtsa|https://www.nhtsa.gov|NHTSA — consumer safety complaints|NHTSA 消費者苦情|https://api.nhtsa.gov/complaints/complaintsByVehicle?make={ql}&model=f-150&modelYear=2020|https://api.nhtsa.gov/complaints/complaintsByVehicle?make=ford&model=f-150&modelYear=2020|Consumer-filed safety complaints with the incident date, the component, whether a crash, fire or injury occurred, and the narrative. Complaint volume against a component is the leading indicator that precedes a recall, usually by months|array_path=results
OPENFEC_COMMITTEES|json|any|government|political-committee|us,politics,campaign-finance,fec|https://www.fec.gov|US FEC — political committee registry|米国FEC 政治委員会登録|https://api.open.fec.gov/v1/committees/?api_key=DEMO_KEY&per_page=100&q={q}|https://api.open.fec.gov/v1/committees/?api_key=DEMO_KEY&per_page=100|Every committee registered with the Federal Election Commission: name, treasurer, designation, organisation type, the candidate it supports, filing frequency and the full address. Committee type distinguishes a candidate committee from a super PAC, which determines what the money may lawfully do|array_path=results;page_param=page;page_start=1
OPENFEC_FILINGS|json|any|government|campaign-filing|us,politics,campaign-finance,fec|https://www.fec.gov|US FEC — campaign finance filings|米国FEC 選挙資金報告|https://api.open.fec.gov/v1/filings/?api_key=DEMO_KEY&per_page=100|https://api.open.fec.gov/v1/filings/?api_key=DEMO_KEY&per_page=100|Filings submitted to the FEC with the filer, form type, coverage period, total receipts and disbursements, cash on hand and a link to the document itself. The receipts and disbursements pair, filed under penalty of perjury, is the primary record of US political money|array_path=results;page_param=page;page_start=1;interval=21600
GSA_PERDIEM_RATES|json|any|government|travel-rate|us,government,gsa,reference|https://www.gsa.gov|US GSA — federal per diem rates|米国GSA 連邦日当基準|https://api.gsa.gov/travel/perdiem/v2/rates/conus/lodging/2024?api_key=DEMO_KEY|https://api.gsa.gov/travel/perdiem/v2/rates/conus/lodging/2024?api_key=DEMO_KEY|Official federal lodging and meal reimbursement rates by county and month. Mundane on its face, and precisely the reference needed to test whether a claimed federal travel expense is plausible|interval=86400
CENSUS_GEOCODER|json|any|reference|geocode|reference,geocoding,census,us|https://geocoding.geo.census.gov|US Census — address geocoder|米国センサス 住所ジオコーダ|https://geocoding.geo.census.gov/geocoder/locations/onelineaddress?address={q}&benchmark=Public_AR_Current&format=json|https://geocoding.geo.census.gov/geocoder/locations/onelineaddress?address=1600+Pennsylvania+Ave+Washington+DC&benchmark=Public_AR_Current&format=json|Authoritative US address geocoding with the matched address, coordinates, the TIGER line identifier and the side of street. The Census benchmark is the reference every US federal spatial dataset is aligned to, so a coordinate from here joins cleanly to census, flood and demographic layers|array_path=result.addressMatches
FCC_ECFS_FILINGS|json|any|government|regulatory-filing|us,telecom,fcc,regulatory|https://www.fcc.gov|FCC ECFS — electronic comment filings|FCC 電子意見申立|https://publicapi.fcc.gov/ecfs/filings?api_key=DEMO_KEY&limit=100|https://publicapi.fcc.gov/ecfs/filings?api_key=DEMO_KEY&limit=100|Filings in FCC proceedings, naming the filing party, the law firm representing it, the proceeding docket, the filing type and the document. Ex parte filings record who met which commissioner about what, which is the closest thing to a contemporaneous lobbying log in US telecom regulation|array_path=filing;interval=21600;page_param=offset;page_size=100
CANADA_OPENDATA_SEARCH|json|any|government|open-dataset|canada,opendata,government|https://open.canada.ca|Government of Canada — open data catalogue|カナダ政府 オープンデータ|https://open.canada.ca/data/api/3/action/package_search?q={q}&rows=100|https://open.canada.ca/data/api/3/action/package_search?q=defence&rows=100|The Canadian federal open data catalogue with the publishing department, licence, both official languages of every title and description, and the resource URLs. Canada publishes proactive disclosure of contracts, travel and hospitality through this portal|array_path=result.results;page_param=start;page_start=0;page_size=100
