# Batch 19 — SIGINT / RF spectrum / space. Pipe-delimited, 13 fields.
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
TRAFICOM_RADIO_TX|json|any|telecom|broadcast-transmitter|sigint,spectrum,broadcast,finland,register|https://opendata.traficom.fi|Traficom — Finnish radio transmitter licence register|Traficom フィンランド放送送信所登録|https://opendata.traficom.fi/api/v1/Radioasematiedot?$top=1000|https://opendata.traficom.fi/api/v1/Radioasematiedot?$top=1000|Every licensed FM and DAB transmitter in Finland as an individual record: station name, municipality, carrier frequency in hertz, transmitter power, antenna height, polarisation, directivity, the licence number and the named licence holder, plus the horizontal radiation pattern sampled every ten degrees. A complete national broadcast spectrum plan that lets an intercept be matched to a licensed site rather than guessed at|array_path=value;page_param=$skip;page_size=1000;page_start=0;title_keys=StationName;id_keys=LicenseNumber;date_keys=EndingDate;interval=86400
TRAFICOM_TV_TX|json|any|telecom|broadcast-transmitter|sigint,spectrum,television,finland,register|https://opendata.traficom.fi|Traficom — Finnish television transmitter licence register|Traficom フィンランドテレビ送信所登録|https://opendata.traficom.fi/api/v1/TVAsematiedot?$top=1000|https://opendata.traficom.fi/api/v1/TVAsematiedot?$top=1000|Finland's licensed DVB-T multiplex transmitters: multiplex name, municipality, UHF channel number, carrier frequency, radiated power, antenna height, polarisation, licence number, licence holder and expiry, with the full azimuthal radiation pattern. Identifies which operator holds which multiplex from which mast, and which sites carry the national emergency-capable networks|array_path=value;page_param=$skip;page_size=1000;page_start=0;title_keys=StationName;id_keys=LicenseNumber;date_keys=EndingDate;interval=86400
TRAFICOM_FREQ_TABLE|json|any|telecom|frequency-allocation|sigint,spectrum,allocation,finland,reference|https://opendata.traficom.fi|Traficom — Finnish national frequency allocation table|Traficom フィンランド周波数分配表|https://opendata.traficom.fi/api/v1/Taajuusjakotaulukko?$top=1000|https://opendata.traficom.fi/api/v1/Taajuusjakotaulukko?$top=1000|The machine-readable national frequency allocation table from 8.3 kHz upward: band edges, the ITU services allocated in each band, the national Finnish use, the applicable ITU footnotes and the domestic regulation. The lookup that turns an observed frequency into the service class legally permitted to be there, which is how an anomalous emission is recognised as anomalous|array_path=value;page_param=$skip;page_size=1000;page_start=0;title_keys=Frequency_band_lower_limit;interval=86400
TRAFICOM_MMSI_REGISTER|json|any|maritime|ship-station-licence|sigint,maritime,mmsi,ais,finland,register|https://opendata.traficom.fi|Traficom — Finnish ship radio station and MMSI register|Traficom フィンランド船舶局MMSI登録|https://opendata.traficom.fi/api/v1/Meriradionumerot?$top=1000|https://opendata.traficom.fi/api/v1/Meriradionumerot?$top=1000|The Finnish maritime radio licence register binding MMSI number to vessel name and radio callsign. This is the primary authority table behind an AIS or DSC transmission from Finnish waters, letting an intercepted MMSI be resolved to a named hull without going through a commercial AIS aggregator|array_path=value;page_param=$skip;page_size=1000;page_start=0;title_keys=ShipName;id_keys=MMSINumber;interval=900
TRAFICOM_AMATEUR_CALLSIGN|json|any|telecom|radio-licence|sigint,amateur,callsign,finland,register|https://opendata.traficom.fi|Traficom — Finnish amateur radio callsign register|Traficom フィンランドアマチュア局呼出符号登録|https://opendata.traficom.fi/api/v1/RadioamatoorienKutsumerkit?$top=1000|https://opendata.traficom.fi/api/v1/RadioamatoorienKutsumerkit?$top=1000|Every amateur radio callsign issued in Finland with its current validity state. Amateur callsign registers outside the United States are scarce as open data, and this one closes the OH and OG prefixes, which appear constantly in propagation-reporting networks and in HF direction-finding work|array_path=value;page_param=$skip;page_size=1000;page_start=0;title_keys=CallSign;id_keys=CallSign;interval=86400
DK_MASTEDB_ANTENNAS|json|any|telecom|antenna-site|sigint,spectrum,antenna,denmark,register,geo|https://mastedatabasen.dk|Mastedatabasen — Danish national antenna and mast register|Mastedatabasen デンマーク アンテナ登録|https://mastedatabasen.dk/Master/antenner.json?maxantal=100000|https://mastedatabasen.dk/Master/antenner.json?maxantal=100000|The Danish regulator's full antenna register in one request — roughly seventy thousand installations, each with street address, postcode, municipality, in-service date, ETRS89 and WGS84 coordinates, the service class, the radio technology such as GSM-R, LTE or 5G, and the frequency band. A complete geolocated national picture of who transmits what and from where, including the railway and utility networks|lat_key=wgs84koordinat.bredde;lon_key=wgs84koordinat.laengde;title_keys=vejnavn.navn;date_keys=idriftsaettelsesdato;interval=86400
CH_BAKOM_BROADCAST_TX|json|any|telecom|broadcast-transmitter|sigint,spectrum,broadcast,switzerland,register,geo|https://www.bakom.admin.ch|OFCOM Switzerland — radio and television transmitter register|スイス連邦通信庁 放送送信所登録|https://api3.geo.admin.ch/rest/services/api/MapServer/identify?geometryType=esriGeometryEnvelope&geometry=2480000,1070000,2840000,1300000&layers=all:ch.bakom.radio-fernsehsender&mapExtent=2480000,1070000,2840000,1300000&imageDisplay=500,600,96&tolerance=0&sr=2056&geometryFormat=geojson&limit=50|https://api3.geo.admin.ch/rest/services/api/MapServer/identify?geometryType=esriGeometryEnvelope&geometry=2480000,1070000,2840000,1300000&layers=all:ch.bakom.radio-fernsehsender&mapExtent=2480000,1070000,2840000,1300000&imageDisplay=500,600,96&tolerance=0&sr=2056&geometryFormat=geojson&limit=50|Swiss OFCOM's register of licensed broadcast transmitters served through the federal geoportal: site name and short code, transmitter power, service such as DAB+ or DVB-T, the programme carried, the frequency or channel block, and the site position in the Swiss LV95 grid. Each hit carries a feature id that resolves to the full record through the per-feature endpoint declared here|array_path=results;title_keys=properties.name;id_keys=featureId;detail_url=https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bakom.radio-fernsehsender/{v};detail_key=featureId;page_param=offset;page_size=50;page_start=0;interval=86400
CH_BAKOM_MOBILE_SITES|json|any|telecom|antenna-site|sigint,spectrum,mobile,switzerland,register,geo|https://www.bakom.admin.ch|OFCOM Switzerland — mobile network installation register|スイス連邦通信庁 携帯電話基地局登録|https://api3.geo.admin.ch/rest/services/api/MapServer/identify?geometryType=esriGeometryEnvelope&geometry=2480000,1070000,2840000,1300000&layers=all:ch.bakom.standorte-mobilfunkanlagen&mapExtent=2480000,1070000,2840000,1300000&imageDisplay=500,600,96&tolerance=0&sr=2056&geometryFormat=geojson&limit=50|https://api3.geo.admin.ch/rest/services/api/MapServer/identify?geometryType=esriGeometryEnvelope&geometry=2480000,1070000,2840000,1300000&layers=all:ch.bakom.standorte-mobilfunkanlagen&mapExtent=2480000,1070000,2840000,1300000&imageDisplay=500,600,96&tolerance=0&sr=2056&geometryFormat=geojson&limit=50|The Swiss register of authorised mobile radio installations with the operator, the transmission classes present at the site and the exact position. Switzerland publishes this at installation granularity because of its non-ionising radiation ordinance, which makes it one of the few national mobile-site registers that is both complete and open, and each feature resolves to a fuller per-site record|array_path=results;title_keys=properties.name;id_keys=featureId;detail_url=https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bakom.standorte-mobilfunkanlagen/{v};detail_key=featureId;page_param=offset;page_size=50;page_start=0;interval=86400
CH_BAKOM_RADIO_COVERAGE|json|any|telecom|licence-area|sigint,spectrum,broadcast,switzerland,licence|https://www.bakom.admin.ch|OFCOM Switzerland — local and regional radio licence areas|スイス連邦通信庁 地域ラジオ免許区域|https://api3.geo.admin.ch/rest/services/api/MapServer/identify?geometryType=esriGeometryEnvelope&geometry=2480000,1070000,2840000,1300000&layers=all:ch.bakom.versorgungsgebiet-ukw&mapExtent=2480000,1070000,2840000,1300000&imageDisplay=500,600,96&tolerance=0&sr=2056&geometryFormat=geojson&limit=50|https://api3.geo.admin.ch/rest/services/api/MapServer/identify?geometryType=esriGeometryEnvelope&geometry=2480000,1070000,2840000,1300000&layers=all:ch.bakom.versorgungsgebiet-ukw&mapExtent=2480000,1070000,2840000,1300000&imageDisplay=500,600,96&tolerance=0&sr=2056&geometryFormat=geojson&limit=50|The licensed coverage areas for Swiss local and regional radio, each polygon tied to the concession holder permitted to broadcast inside it. Pairs with the transmitter register to answer which legal entity is behind a given signal in a given valley, and each area has a per-feature detail record|array_path=results;title_keys=properties.name;id_keys=featureId;detail_url=https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bakom.versorgungsgebiet-ukw/{v};detail_key=featureId;page_param=offset;page_size=50;page_start=0;interval=21600
CH_BAKOM_TV_COVERAGE|json|any|telecom|licence-area|sigint,spectrum,television,switzerland,licence|https://www.bakom.admin.ch|OFCOM Switzerland — local and regional television licence areas|スイス連邦通信庁 地域テレビ免許区域|https://api3.geo.admin.ch/rest/services/api/MapServer/identify?geometryType=esriGeometryEnvelope&geometry=2480000,1070000,2840000,1300000&layers=all:ch.bakom.versorgungsgebiet-tv&mapExtent=2480000,1070000,2840000,1300000&imageDisplay=500,600,96&tolerance=0&sr=2056&geometryFormat=geojson&limit=50|https://api3.geo.admin.ch/rest/services/api/MapServer/identify?geometryType=esriGeometryEnvelope&geometry=2480000,1070000,2840000,1300000&layers=all:ch.bakom.versorgungsgebiet-tv&mapExtent=2480000,1070000,2840000,1300000&imageDisplay=500,600,96&tolerance=0&sr=2056&geometryFormat=geojson&limit=50|Licensed coverage areas for Swiss regional television with the concession holder for each. The television counterpart of the radio licence areas, completing the map of who is authorised to occupy which broadcast spectrum over which population|array_path=results;title_keys=properties.name;id_keys=featureId;detail_url=https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bakom.versorgungsgebiet-tv/{v};detail_key=featureId;page_param=offset;page_size=50;page_start=0;interval=21600
