# Batch 19 — telecom: operators, numbering, interconnection. Pipe-delimited, 13 fields.
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
OFCOM_NUMBERING_S1|csv|any|telecom|number-block-allocation|numbering,uk,operator,register,ofcom|https://www.ofcom.org.uk|Ofcom — UK geographic telephone number block allocations (S1)|Ofcom 英国地理的電話番号ブロック割当|https://static.ofcom.org.uk/static/numbering/S1.csv|https://static.ofcom.org.uk/static/numbering/S1.csv|Every UK geographic telephone number block from the National Telephone Numbering Plan as one record: the four to six digit number block, its status (allocated, protected, free, reserved), the named communications provider holding it, the geographic number length, the allocation date and any notes. This is the join that turns a UK landline number into the operator legally allocated that range, refreshed by Ofcom every Wednesday|interval=604800;title_keys=Block Status
OFCOM_NUMBERING_S1CODE|csv|any|telecom|number-block-allocation|numbering,uk,operator,register,ofcom|https://www.ofcom.org.uk|Ofcom — UK geographic number allocations at SABC+DE granularity|Ofcom 英国番号割当 SABC+DE 詳細|https://static.ofcom.org.uk/static/numbering/s1_code.txt|https://static.ofcom.org.uk/static/numbering/s1_code.txt|The finest-grain UK number allocation file: each area code (SABC) split by the next two digits (DE) and where relevant FG, with the block status, the allocation date, the named communications provider and the dialled number length. Fifteen megabytes covering the whole geographic plan, so a full UK landline number can be resolved to its allocated operator rather than only to its town|interval=604800;title_keys=Communications Provider;id_keys=SABC;date_keys=Date
OFCOM_NUMBERING_S3|csv|any|telecom|number-block-allocation|numbering,uk,operator,register,ofcom|https://www.ofcom.org.uk|Ofcom — UK 03 non-geographic number allocations (S3)|Ofcom 英国03番号割当|https://static.ofcom.org.uk/static/numbering/S3.csv|https://static.ofcom.org.uk/static/numbering/S3.csv|The UK 03 non-geographic range, one record per allocated block: block digits, status, the communications provider holding the range and the allocation date. 03 numbers are used by public bodies, charities and large enterprises, so the file is a direct map from a published contact number to the carrier terminating it|interval=604800
OFCOM_NUMBERING_S5|csv|any|telecom|number-block-allocation|numbering,uk,voip,register,ofcom|https://www.ofcom.org.uk|Ofcom — UK 05 corporate and VoIP number allocations (S5)|Ofcom 英国05番号割当|https://static.ofcom.org.uk/static/numbering/S5.csv|https://static.ofcom.org.uk/static/numbering/S5.csv|The UK 055 and 056 ranges reserved for corporate numbering and for location-independent electronic communications services, block by block with status, holder and allocation date. 056 is the range most UK VoIP providers issue from, so this file names the operator behind an 056 number|interval=604800
OFCOM_NUMBERING_S7|csv|any|telecom|number-block-allocation|numbering,uk,mobile,operator,ofcom|https://www.ofcom.org.uk|Ofcom — UK mobile and personal number allocations (S7)|Ofcom 英国携帯番号割当|https://static.ofcom.org.uk/static/numbering/S7.csv|https://static.ofcom.org.uk/static/numbering/S7.csv|Every UK 07 block: mobile ranges, personal numbering, radiopaging and machine-to-machine, each with status, the allocated communications provider and the date. The primary open source for deciding which mobile network a UK 07 number was issued by, and which MVNOs hold their own ranges rather than riding a host network block|interval=604800
OFCOM_NUMBERING_S8|csv|any|telecom|number-block-allocation|numbering,uk,freephone,operator,ofcom|https://www.ofcom.org.uk|Ofcom — UK 08 special service number allocations (S8)|Ofcom 英国08特番割当|https://static.ofcom.org.uk/static/numbering/S8.csv|https://static.ofcom.org.uk/static/numbering/S8.csv|The UK 080 freephone and 084 and 087 special-service ranges block by block, with status, the holding communications provider and the allocation date. Freephone ranges are heavily used in fraud and in corporate contact numbering, and this file identifies the carrier that holds the block|interval=604800
OFCOM_NUMBERING_S9|csv|any|telecom|number-block-allocation|numbering,uk,premium,operator,ofcom|https://www.ofcom.org.uk|Ofcom — UK 09 premium rate number allocations (S9)|Ofcom 英国09プレミアム番号割当|https://static.ofcom.org.uk/static/numbering/S9.csv|https://static.ofcom.org.uk/static/numbering/S9.csv|The UK premium rate 09 ranges, one record per block, with status, the allocated communications provider and the allocation date. Premium rate ranges are the settlement layer behind most UK telephone revenue-share fraud, so knowing which operator holds a block is the first step in attributing a scam number|interval=604800
OFCOM_NUMBERING_SABC|csv|any|telecom|area-code-record|numbering,uk,areacode,reference,ofcom|https://www.ofcom.org.uk|Ofcom — UK area code and special code designation list|Ofcom 英国市外局番指定一覧|https://static.ofcom.org.uk/static/numbering/sabc.txt|https://static.ofcom.org.uk/static/numbering/sabc.txt|The designation of every UK S1, S7, S8 and S9 code: the code digits, its status, the town or service it is designated for, the dialling notes and the date. The reference table that turns a UK dialling code into a named place or service class, and that flags codes reserved, withdrawn or held free for national dialling|interval=604800;title_keys=Use;id_keys=Code
NANPA_NPA_DATABASE|csv|any|telecom|area-code-record|numbering,nanp,areacode,usa,canada,register|https://www.nanpa.com|NANPA — North American Numbering Plan area code database|NANPA 北米番号計画エリアコードデータベース|https://reports.nanpa.com/public/npa_report.csv|https://reports.nanpa.com/public/npa_report.csv|Every NPA (area code) in the twenty countries of the North American Numbering Plan as one record: the code, its type, whether it is assignable, reserved or assigned, the assignment and in-service dates, the location and country served, overlay complex membership, parent NPA, service class, time zone, area served, exhaust jeopardy status and the full local and toll dialling plan for calls inside and outside the code. The authoritative structural map of NANP numbering|interval=86400
CNAC_CO_CODE_STATUS|csv|numeric|telecom|number-block-allocation|numbering,canada,operator,ocn,register,cnac|https://cnac.ca|Canadian Numbering Administrator — central office code status by area code|カナダ番号管理者 局番割当状況|https://cnac.ca/data/COCodeStatus_NPA{qd}.csv|https://cnac.ca/data/COCodeStatus_NPA416.csv|Given a Canadian area code, every one of its central office codes (NPA-NXX) as a record: the code, its status, whether it is thousands-block pooled, the exchange area, the province, the named holding company, that company's Operating Company Number and the date the code was assigned. A Canadian telephone number resolves through this file to a named carrier and a rate centre, which is what a commercial lookup service sells and what this publishes for free|title_keys=Company
