# Batch 19-T — transport: maritime, aviation, rail, road and logistics.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
IMF_PORTWATCH_PORTS|json|any|maritime|port-profile|maritime,port,shipping,ais,imf|https://portwatch.imf.org|IMF PortWatch — global port database|IMF PortWatch 世界港湾データベース|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/PortWatch_ports_database/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/PortWatch_ports_database/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Every commercial port the IMF tracks from AIS: port id, name, country, ISO3, coordinates, annual vessel counts split by container, dry bulk, general cargo, RoRo and tanker, the three top industries moving through it and the share of national maritime imports and exports it carries. The per-port id resolves to the daily call series, so one list hit opens the whole time series for that berth|array_path=features;lat_key=lat;lon_key=lon;title_keys=fullname,portname;id_keys=portid;page_param=resultOffset;detail_url=https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/Daily_Ports_Data/FeatureServer/0/query?where=portid%3D%27{v}%27&outFields=*&f=json&resultRecordCount=1000;detail_key=portid;detail_path=features;interval=86400
IMF_PORTWATCH_CHOKEPOINT_DAILY|json|any|maritime|chokepoint-transit|maritime,chokepoint,transit,ais,imf|https://portwatch.imf.org|IMF PortWatch — daily chokepoint transit counts|IMF PortWatch 要衝通航日次データ|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/Daily_Chokepoints_Data/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/Daily_Chokepoints_Data/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|One record per chokepoint per day since 2019: the number of container, dry bulk, general cargo, RoRo and tanker vessels transiting and the deadweight capacity each class carried. This is the series that shows a Red Sea diversion or a Panama drought restriction as a number rather than as a headline|array_path=features;title_keys=portname;date_keys=date;id_keys=portid;page_param=resultOffset;detail_url=https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/PortWatch_chokepoints_database/FeatureServer/0/query?where=portid%3D%27{v}%27&outFields=*&f=json;detail_key=portid;detail_path=features;interval=10800
IMF_PORTWATCH_PORT_DAILY|json|any|maritime|port-call-daily|maritime,port,portcall,trade,imf|https://portwatch.imf.org|IMF PortWatch — daily port calls and trade volumes|IMF PortWatch 港湾寄港日次データ|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/Daily_Ports_Data/FeatureServer/0/query?where=portid%3D%27{q}%27&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/Daily_Ports_Data/FeatureServer/0/query?where=portid%3D%27port1325%27&outFields=*&f=json&resultRecordCount=1000|Daily port calls at a single named port broken out by vessel class, with the estimated import and export tonnage each class delivered. Queried by PortWatch port id, this turns a port name into a dated call-and-tonnage history that can be checked against a shipper claim or a sanctions timeline|array_path=features;title_keys=portname;date_keys=date;id_keys=portid;page_param=resultOffset
IMF_PORTWATCH_AIRPORTS|json|any|aviation|airport|aviation,airport,imf,geo|https://portwatch.imf.org|IMF PortWatch — world airport reference layer|IMF PortWatch 世界空港レイヤ|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/airports_latest/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/airports_latest/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Airports carried in the IMF trade-monitoring stack with name, IATA code, ISO3 country and coordinates. Authoritative in the sense that it is the set the IMF actually uses to attribute air freight to a country|array_path=features;lat_key=latitude;lon_key=longitude;title_keys=airport_name;id_keys=iata_code;page_param=resultOffset;interval=86400
IMF_PORTWATCH_FR24_AIRPORTS|json|any|aviation|airport|aviation,airport,flightradar,imf,geo|https://portwatch.imf.org|IMF PortWatch — Flightradar24-derived airport register|IMF PortWatch FR24由来空港一覧|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/FR24_airports/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/FR24_airports/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Airports with IATA code, municipality, ISO country and ISO region, continent and coordinates, down to island strips such as Utirik in the Marshall Islands. The region code is what lets an air movement be tied to a subnational jurisdiction rather than only to a country|array_path=features;lat_key=latitude;lon_key=longitude;title_keys=name;id_keys=iata_code;page_param=resultOffset;interval=86400
IMF_PORTWATCH_TRADE_REGIONAL|json|any|maritime|trade-volume|maritime,trade,country,tonnage,imf|https://portwatch.imf.org|IMF PortWatch — daily seaborne trade by country|IMF PortWatch 国別海上荷動き日次|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/Daily_Trade_Data_REG/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/Daily_Trade_Data_REG/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|One record per country per day: port calls and import and export tonnage split by container, dry bulk, general cargo, RoRo and tanker, with thirty-day moving averages. Country-level daily seaborne trade is the series that shows an embargo, a blockade or a sanctions-driven rerouting taking effect before any customs statistic is published|array_path=features;title_keys=country;id_keys=ISO3;date_keys=date;page_param=resultOffset;interval=10800
IMF_PORTWATCH_PORT_SPILLOVERS|json|any|maritime|port-linkage|maritime,port,network,supplychain,imf|https://portwatch.imf.org|IMF PortWatch — port-to-port capacity at risk|IMF PortWatch 港湾間波及リスク|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/spillovers_port_level_impact/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|https://services9.arcgis.com/weJ1QsnbMYJlCHdG/ArcGIS/rest/services/spillovers_port_level_impact/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=1000|Directed port-to-port links with the origin and destination port ids, names, countries and coordinates, the average transit time in days between them and the daily and relative capacity at risk if the origin is disrupted. This is an explicit network edge list of which ports depend on which, which is what turns a single port closure into a named list of downstream victims|array_path=features;title_keys=from_portname;id_keys=from_portid;lat_key=from_lat;lon_key=from_lon;page_param=resultOffset;interval=86400
UNLOCODE_CODELIST_MIRROR|csv|any|maritime|locode|maritime,locode,port,customs,reference|https://github.com/datasets/un-locode|Frictionless Data — UN/LOCODE code list mirror|UN/LOCODE コードリスト（ミラー）|https://raw.githubusercontent.com/datasets/un-locode/main/data/code-list.csv|https://raw.githubusercontent.com/datasets/un-locode/main/data/code-list.csv|The full UNECE Location Code list as a single CSV: country, five-character LOCODE, place name with and without diacritics, subdivision, status, the function mask saying whether the place is a seaport, rail terminal, airport, road terminal, border crossing or postal exchange, coordinates and the IATA code where one exists. This is the join key that maps a bill of lading, a customs declaration and an AIS destination string onto the same physical place|interval=604800
BTS_NCFO_VESSELS|json|any|maritime|vessel-record|maritime,ferry,vessel,register,usa|https://data.bts.gov|US BTS — National Census of Ferry Operators vessel file|米国BTS フェリー船舶名簿|https://data.bts.gov/resource/u6m4-3cmd.json?$limit=1000|https://data.bts.gov/resource/u6m4-3cmd.json?$limit=1000|Every ferry vessel in the US census with vessel name, USCG official number, operator id, in-service flag, what it is certified to carry, capacity, build year, hull material, propulsion and route assignment. A named vessel with a USCG number is a registry record, not a statistic|page_param=$offset;page_size=1000;title_keys=vessel_name;id_keys=uscg_number;interval=86400
BTS_BRIDGE_AIR_DRAFT|json|any|maritime|port-constraint|maritime,port,bridge,airdraft,usa|https://data.bts.gov|US BTS — bridge air draft restrictions at US ports|米国BTS 港湾橋梁高さ制限|https://data.bts.gov/resource/dasz-28ip.json?$limit=1000|https://data.bts.gov/resource/dasz-28ip.json?$limit=1000|The controlling overhead clearance at each major US container port with the named bridge that sets it, in feet. Air draft is the hard physical limit on which classes of ship can reach a terminal at all, so it bounds any claim about what called where|page_param=$offset;page_size=1000;title_keys=port;interval=604800
