# Batch 19 — US state and Canadian provincial government record systems.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Subnational registries: corporate filings, campaign finance, lobbying, occupational
# licensing, inspections, contracts, payrolls, oil and gas permits, property rolls.
NY_DOS_DAILY_ENTITY_FILINGS|json|any|corporate|company-filing|us,newyork,corporate,registry,sos|https://data.ny.gov|New York Department of State — daily corporation and entity filings|ニューヨーク州務省 日次法人届出|https://data.ny.gov/resource/k4vb-judh.json?$limit=1000|https://data.ny.gov/resource/k4vb-judh.json?$limit=1000|Every corporation, LLC and limited partnership document accepted by the New York Department of State in the current rolling window, with the DOS identifier, entity name, entity type, filing type, filing and effective dates, county of principal office, the jurisdiction of formation for a foreign entity, and the full name and street address of the filer plus the service-of-process address. The filer block is the part a commercial corporate database normally strips: it names the human or agent who actually lodged the paperwork, and the second hop pulls the address record filed alongside it|page_param=$offset;page_size=1000;interval=21600;title_keys=corp_name;id_keys=dos_id;date_keys=filing_date;detail_url=https://data.ny.gov/resource/2tms-hftb.json?film_num={v};detail_key=film_num
NY_DOS_ALL_FILINGS_SEARCH|json|any|corporate|company-filing|us,newyork,corporate,registry,sos|https://data.ny.gov|New York Department of State — all corporate filings index|ニューヨーク州務省 全法人届出索引|https://data.ny.gov/resource/63wc-4exh.json?$q={q}&$limit=1000|https://data.ny.gov/resource/63wc-4exh.json?$q=GOLDMAN&$limit=1000|The complete New York corporate filing index back to the paper era — 20.8 million documents — with the internal corporation id, the microfilm number that keys every related table, the document type, entity type, governing law, corporate and fictitious name, county of principal office, and a bank of amendment flags saying exactly which clause of the certificate each amendment touched. The amendment flags let you tell a change of registered agent from a change of stock structure without opening the image|page_param=$offset;page_size=1000;title_keys=corp_name;id_keys=film_num;date_keys=date_filed;detail_url=https://data.ny.gov/resource/3gg2-jgnp.json?film_num={v};detail_key=film_num
NY_DOS_FILING_ADDRESSES|json|any|corporate|company-address|us,newyork,corporate,registry,address|https://data.ny.gov|New York Department of State — addresses on corporate filings|ニューヨーク州務省 法人届出住所|https://data.ny.gov/resource/2tms-hftb.json?$q={q}&$limit=1000|https://data.ny.gov/resource/2tms-hftb.json?$q=GOLDMAN&$limit=1000|Every address block attached to a New York corporate filing — registered agent, principal executive office, service-of-process address and mailing address are distinguished by an address-type code — carrying the named person or firm at that address, the street lines, city, state and ZIP. Eighteen million rows, and the only public way to pivot from a New York shell company to the human being who receives its mail|page_param=$offset;page_size=1000;title_keys=name;id_keys=film_num;date_keys=date_filed
NY_DOS_FILING_STOCK|json|any|corporate|company-stock|us,newyork,corporate,registry,shares|https://data.ny.gov|New York Department of State — stock authorised on corporate filings|ニューヨーク州務省 法人授権株式|https://data.ny.gov/resource/kiwr-v7e8.json?$limit=1000|https://data.ny.gov/resource/kiwr-v7e8.json?$limit=1000|The authorised capital declared on each New York corporate filing: number of shares, share class or type, and par value per share, keyed to the corporation id and microfilm number. A recapitalisation shows here as a new stock row against an old corporation id, which dates a change of control that no name-based search would surface|page_param=$offset;page_size=1000;interval=86400;id_keys=corpid_num;date_keys=date_filed
NY_DOS_ENTITY_STATUS_HISTORY|json|any|corporate|company-status|us,newyork,corporate,registry,status|https://data.ny.gov|New York Department of State — entity status history|ニューヨーク州務省 法人状態履歴|https://data.ny.gov/resource/3gg2-jgnp.json?$q={q}&$limit=1000|https://data.ny.gov/resource/3gg2-jgnp.json?$q=INACTIVE&$limit=1000|Status transitions for every New York entity — active, dissolved, merged out, annulled for non-payment of franchise tax — as a dated sequence keyed to the corporation id and the filing that caused the change. A dissolution date paired with the microfilm number of the dissolving document is the difference between a company that wound up and one that was struck off|page_param=$offset;page_size=1000;id_keys=corpid_num;date_keys=date_filed
NY_DOS_CONSTITUENT_ENTITIES|json|any|corporate|company-merger|us,newyork,corporate,merger,registry|https://data.ny.gov|New York Department of State — constituent entities in mergers|ニューヨーク州務省 合併当事法人|https://data.ny.gov/resource/dnbf-xifz.json?$limit=1000|https://data.ny.gov/resource/dnbf-xifz.json?$limit=1000|The constituent corporations named in every New York merger or consolidation certificate, with the constituent name, its corporate type, the surviving-entity flag and the filing date. This is the state's own merger graph: which legal person absorbed which, on what date, under which certificate|page_param=$offset;page_size=1000;interval=86400;title_keys=corp_name;date_keys=date_filed
NY_CAMPAIGN_FILERS|json|any|government|campaign-filer|us,newyork,politics,campaign-finance,elections|https://data.ny.gov|New York State Board of Elections — campaign finance filer registry|ニューヨーク州選挙管理委員会 選挙資金届出者|https://data.ny.gov/resource/7x2g-h32p.json?$limit=1000|https://data.ny.gov/resource/7x2g-h32p.json?$limit=1000|Every committee and candidate registered with the New York State Board of Elections since 1974, with the filer identifier, committee name and type, compliance type, status, treasurer's first and last name and the committee's mailing address. The treasurer is the natural person legally answerable for the money, and the second hop pulls that filer's entire disclosure history|page_param=$offset;page_size=1000;interval=43200;title_keys=filer_name;id_keys=filer_id;detail_url=https://data.ny.gov/resource/e9ss-239a.json?filer_id={v}&$limit=1000;detail_key=filer_id
NY_CAMPAIGN_DISCLOSURES|json|any|government|campaign-contribution|us,newyork,politics,campaign-finance,donations|https://data.ny.gov|New York State Board of Elections — campaign finance disclosure transactions|ニューヨーク州選挙管理委員会 選挙資金開示明細|https://data.ny.gov/resource/e9ss-239a.json?$q={q}&$limit=1000|https://data.ny.gov/resource/e9ss-239a.json?$q=SMITH&$limit=1000|Transaction-level New York campaign finance since 1999 — 18.4 million rows — each naming the filing committee, the schedule it was reported on, the contributor or payee with first name, last name, corporate name, street address, city and country, the amount, and the election year and type. Schedule code distinguishes a contribution from an in-kind, a transfer, a loan or an expenditure, which is what makes the row legally meaningful rather than just a number|page_param=$offset;page_size=1000;title_keys=cand_comm_name;id_keys=filing_trans_id
NY_LOBBYIST_REGISTRATIONS|json|any|government|lobbyist-registration|us,newyork,lobbying,ethics,influence|https://data.ny.gov|New York COELIG — lobbyist statements of registration|ニューヨーク州倫理委員会 ロビイスト登録|https://data.ny.gov/resource/se5j-cmbb.json?$limit=1000|https://data.ny.gov/resource/se5j-cmbb.json?$limit=1000|Statements of registration filed by New York lobbyists since 2019: the principal lobbyist, the contractual client, the beneficial client behind it, co-lobbyists and sub-lobbyists, the compensation amount and type, contract start and end dates, the level of government targeted, the lobbying focus with its bill or procurement identifying number, and the individual lobbyists named on the retainer. Beneficial client versus contractual client is the whole point: it names who is actually paying when a law firm fronts for a company|page_param=$offset;page_size=1000;interval=43200;title_keys=lobbyist_name;id_keys=form_submission_id
NY_LOBBYIST_DISCLOSURES|json|any|government|lobbyist-disclosure|us,newyork,lobbying,ethics,influence|https://data.ny.gov|New York COELIG — registered lobbyist disclosures|ニューヨーク州倫理委員会 ロビイスト開示|https://data.ny.gov/resource/djsm-9cw7.json?$limit=1000|https://data.ny.gov/resource/djsm-9cw7.json?$limit=1000|A rolling seven-year window of New York lobbyist disclosures pairing each lobbyist with each client, both with full street address, phone and the client's stated nature of business, plus the lobbying type, the level of government and the additional lobbyists working the same retainer. Client nature-of-business is a self-declared industry tag on an organisation that may otherwise be a bare LLC name|page_param=$offset;page_size=1000;interval=86400;title_keys=lobbyist_name;date_keys=reporting_period
