# Batch 21 - austrialaw: the Austrian Rechtsinformationssystem (RIS) OGD API.
#
# SCOPE. RIS is the Federal Chancellery's own legal database and the only
# authentic publication channel for Austrian federal and state law. The tree
# already carried six RIS endpoints - bundesrecht and landesrecht by Titel, and
# the Judikatur applications Justiz, Vfgh and Dsk. Every OTHER application the
# v2.6 API serves was missing, and they are not variations on the same data:
# each Applikation is a separate register with its own schema.
#
# What the API actually accepts was established by probing, not by reading
# documentation. There are exactly three endpoint paths - bundesrecht,
# landesrecht and judikatur - and the register is selected by the Applikation
# query parameter. Every other spelling tried (Bundesnormen, Erlaesse,
# Gemeinderecht, Begut, Regv, Kundmachung, Normenliste, Avsv, Vbl,
# Gesamtabfrage as PATHS) answers 404, and an invalid Applikation answers
# HTTP 200 carrying a SOAP schema-validation error document rather than an
# error status - so a row written from the documentation would have registered
# as live and stored a validation message as a finding.
#
# Pagination is Seitennummer, 1-based, with DokumenteProSeite in the URL.
# OneHundred is the largest accepted value; "Hundred" returns an empty result.
# Verified: Seitennummer=3 returns page 3 of 1522 hits, not page 1 again.
#
# Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
RIS_JUD_VWGH|json|any|legal|court-decision|austria,court,administrative,caselaw|https://www.ris.bka.gv.at|RIS Judikatur - Verwaltungsgerichtshof|オーストリア行政裁判所判例|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Vwgh&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Vwgh&Suchworte=Umsatzsteuer&DokumenteProSeite=OneHundred|Decisions and Rechtssaetze of Austria's Supreme Administrative Court matching a search term. Each record carries the Geschaeftszahl, the ECLI, the decision date, the norms applied, the index classification and links to the full text in XML RTF PDF and HTML. The VwGH is the final instance for tax customs public procurement and asylum administrative appeals so its Rechtssaetze are the operative reading of Austrian administrative law|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Judikatur.Geschaeftszahl.item,Data.Metadaten.Judikatur.Geschaeftszahl.item.0,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Judikatur.Entscheidungsdatum,Data.Metadaten.Allgemein.Veroeffentlicht;link_keys=Data.Metadaten.Allgemein.DokumentUrl;body_keys=Data.Metadaten.Judikatur.Schlagworte
RIS_JUD_BVWG|json|any|legal|court-decision|austria,court,administrative,asylum,caselaw|https://www.ris.bka.gv.at|RIS Judikatur - Bundesverwaltungsgericht|オーストリア連邦行政裁判所判例|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Bvwg&Suchworte={q}&DokumenteProSeite=Fifty|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Bvwg&Suchworte=Asyl&DokumenteProSeite=Fifty|Judgments of the Federal Administrative Court which hears appeals against every federal authority including asylum immigration financial-market supervision and environmental permitting. The single largest Austrian case-law register in the API and the one that carries reasoning about individual permits and individual persons rather than abstract legal doctrine|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Judikatur.Geschaeftszahl.item,Data.Metadaten.Judikatur.Geschaeftszahl.item.0,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Judikatur.Entscheidungsdatum,Data.Metadaten.Allgemein.Veroeffentlicht;link_keys=Data.Metadaten.Allgemein.DokumentUrl;body_keys=Data.Metadaten.Judikatur.Schlagworte
RIS_JUD_LVWG|json|any|legal|court-decision|austria,court,regional,administrative,caselaw|https://www.ris.bka.gv.at|RIS Judikatur - Landesverwaltungsgerichte|オーストリア州行政裁判所判例|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Lvwg&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Lvwg&Suchworte=Gewerbeberechtigung&DokumenteProSeite=OneHundred|Judgments of the nine provincial administrative courts. These decide trade licensing building permits nature-conservation consents and provincial administrative penalties so this is where a named business first appears in Austrian litigation. Each record names the deciding court the case number the norms applied and the decision date|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Judikatur.Geschaeftszahl.item,Data.Metadaten.Judikatur.Geschaeftszahl.item.0,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Judikatur.Entscheidungsdatum,Data.Metadaten.Allgemein.Veroeffentlicht;link_keys=Data.Metadaten.Allgemein.DokumentUrl;body_keys=Data.Metadaten.Judikatur.Schlagworte
RIS_JUD_GBK|json|any|legal|court-decision|austria,equality,discrimination,tribunal|https://www.ris.bka.gv.at|RIS Judikatur - Gleichbehandlungskommission|オーストリア平等待遇委員会|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Gbk&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Gbk&Suchworte=Diskriminierung&DokumenteProSeite=OneHundred|Findings of the Austrian Equal Treatment Commission on workplace and service discrimination complaints. A quasi-judicial register that names the ground of discrimination the sector and the outcome and that exists in no commercial case-law product|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Judikatur.Geschaeftszahl.item,Data.Metadaten.Judikatur.Geschaeftszahl.item.0,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Judikatur.Entscheidungsdatum,Data.Metadaten.Allgemein.Veroeffentlicht;link_keys=Data.Metadaten.Allgemein.DokumentUrl
RIS_JUD_DOK|json|any|legal|court-decision|austria,disciplinary,public-service,tribunal|https://www.ris.bka.gv.at|RIS Judikatur - Disziplinarkommissionen|オーストリア懲戒委員会裁定|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Dok&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Dok&Suchworte=Dienstpflicht&DokumenteProSeite=OneHundred|Rulings of the federal disciplinary commissions against civil servants. Misconduct proceedings against public officials are the classic hard-to-source integrity record and Austria publishes them as a queryable register with the case number the duty breached and the sanction imposed|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Judikatur.Geschaeftszahl.item,Data.Metadaten.Judikatur.Geschaeftszahl.item.0,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Judikatur.Entscheidungsdatum,Data.Metadaten.Allgemein.Veroeffentlicht;link_keys=Data.Metadaten.Allgemein.DokumentUrl
RIS_JUD_PVAK|json|any|legal|court-decision|austria,staff-council,tribunal,labour|https://www.ris.bka.gv.at|RIS Judikatur - Personalvertretungsaufsichtskommission|オーストリア職員代表監督委員会|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Pvak&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Pvak&Suchworte=Wahl&DokumenteProSeite=OneHundred|Decisions of the commission supervising staff representation in the Austrian public service covering works-council elections and interference complaints inside ministries and agencies. A small but wholly unmirrored register of internal public-sector disputes|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Judikatur.Geschaeftszahl.item,Data.Metadaten.Judikatur.Geschaeftszahl.item.0,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Judikatur.Entscheidungsdatum,Data.Metadaten.Allgemein.Veroeffentlicht;link_keys=Data.Metadaten.Allgemein.DokumentUrl
RIS_JUD_NORMENLISTE|json|any|legal|reference-record|austria,legal-index,norms,reference|https://www.ris.bka.gv.at|RIS Judikatur - Normenliste|オーストリア法規範一覧|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Normenliste&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/judikatur?Applikation=Normenliste&Suchworte=Bau&DokumenteProSeite=OneHundred|The controlled vocabulary that links every Austrian case-law record to the norm it applies. Each entry gives the full title of the norm the abbreviation the Supreme Administrative Court uses for it its type and its publication reference. This is the join table that turns a citation string inside a judgment into an identified statute|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Judikatur.Normenliste.Titel,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Allgemein.Geaendert;link_keys=Data.Metadaten.Allgemein.DokumentUrl
RIS_BR_BGBLAUTH|json|any|legal|gazette-record|austria,gazette,legislation,authentic|https://www.ris.bka.gv.at|RIS Bundesgesetzblatt authentisch|オーストリア連邦官報 電子正本|https://data.bka.gv.at/ris/api/v2.6/bundesrecht?Applikation=BgblAuth&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/bundesrecht?Applikation=BgblAuth&Suchworte=Verordnung&DokumenteProSeite=OneHundred|The electronically authenticated Federal Law Gazette - the legally binding text of every Austrian federal act and ordinance published since 2004. Each record carries the BGBl number the part the issue date the type and the European Legislation Identifier plus the signed PDF. This is the primary publication not a consolidation of it|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Bundesrecht.Titel,Data.Metadaten.Bundesrecht.Kurztitel,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Bundesrecht.BgblAuth.Ausgabedatum;link_keys=Data.Metadaten.Allgemein.DokumentUrl
RIS_BR_BGBLPDF|json|any|legal|gazette-record|austria,gazette,legislation,archive|https://www.ris.bka.gv.at|RIS Bundesgesetzblatt 1945-2003 PDF|オーストリア連邦官報 1945-2003|https://data.bka.gv.at/ris/api/v2.6/bundesrecht?Applikation=BgblPdf&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/bundesrecht?Applikation=BgblPdf&Suchworte=Gesetz&DokumenteProSeite=OneHundred|The scanned Federal Law Gazette for 1945 to 2003 indexed by title and searchable full text. Historical Austrian law is otherwise reachable only through the consolidated current version which by construction hides every superseded wording and every repealed act|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Bundesrecht.Titel,Data.Metadaten.Bundesrecht.Kurztitel,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Allgemein.Veroeffentlicht,Data.Metadaten.Allgemein.Geaendert;link_keys=Data.Metadaten.Allgemein.DokumentUrl
RIS_BR_BGBLALT|json|any|legal|gazette-record|austria,gazette,legislation,historic|https://www.ris.bka.gv.at|RIS Bundesgesetzblatt historisch 1780-1940|オーストリア官報 1780-1940|https://data.bka.gv.at/ris/api/v2.6/bundesrecht?Applikation=BgblAlt&Suchworte={q}&DokumenteProSeite=OneHundred|https://data.bka.gv.at/ris/api/v2.6/bundesrecht?Applikation=BgblAlt&Suchworte=Gesetz&DokumenteProSeite=OneHundred|The historical gazette series running from the Habsburg Justizgesetzsammlung through the Reichsgesetzblatt to the 1930s Bundesgesetzblatt. Twenty-eight thousand hits on a single common term and the only machine-readable index of pre-war Austrian legislation that exists|array_path=OgdSearchResult.OgdDocumentResults.OgdDocumentReference;page_param=Seitennummer;id_keys=Data.Metadaten.Technisch.ID;title_keys=Data.Metadaten.Bundesrecht.Titel,Data.Metadaten.Bundesrecht.Kurztitel,Data.Metadaten.Technisch.ID;date_keys=Data.Metadaten.Allgemein.Veroeffentlicht,Data.Metadaten.Allgemein.Geaendert;link_keys=Data.Metadaten.Allgemein.DokumentUrl
