# Batch 21 - healthpay: the CMS Open Payments transparency database, as a
# NAMED-PHYSICIAN pivot.
#
# SCOPE. openpaymentsdata.cms.gov appeared in the tree twice: the bare
# /datastore/query/ base and the metastore item list, plus one 2021 general
# payment dataset. Open Payments is a per-year set of 26 datasets and the
# ownership, research and profile tables - the ones that name which doctors
# hold an investment interest in which manufacturer - were not reachable at all.
#
# This is the United States register of every payment a drug or device
# manufacturer made to a named physician or teaching hospital, published under
# the Physician Payments Sunshine Act. It is a conflict-of-interest register
# with the physician's name, NPI, address and speciality attached.
#
# MEASURED COST. The general and research payment tables are 10-million-row
# scans: one page of 500 records took 71 seconds for a 2024 last-name query and
# 75 seconds for 2025. Those four rows therefore declare page_max=2 - two pages
# covered the 852- and 825-record results the probes returned in full - and the
# engine stamps the ceiling on every record when it bites. The ownership and
# profile tables answer the same query in one to nine seconds and page normally.
#
# The ownership tables store the physician surname in MIXED case while the
# general and research tables store it UPPERCASE, so the ownership rows pivot
# on {q} and the payment rows on {qU}. That was measured, not assumed: a {qU}
# query against the 2019 ownership table returns zero records for a surname
# that is present in it.
#
# Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
OPENPAY_GENERAL_2024|json|any|health|payment-record|usa,cms,sunshine-act,conflict-of-interest,pharma|https://openpaymentsdata.cms.gov|CMS Open Payments - general payments 2024|米国医師支払開示 一般支払2024|https://openpaymentsdata.cms.gov/api/1/datastore/query/e6b17c6a-2534-4207-a4a1-6746a14911ff/0?limit=500&conditions%5B0%5D%5Bproperty%5D=covered_recipient_last_name&conditions%5B0%5D%5Bvalue%5D={qU}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/e6b17c6a-2534-4207-a4a1-6746a14911ff/0?limit=500&conditions%5B0%5D%5Bproperty%5D=covered_recipient_last_name&conditions%5B0%5D%5Bvalue%5D=KOVACS&conditions%5B0%5D%5Boperator%5D=%3D|Every non-research payment a drug or device manufacturer reported making to a physician with that surname in program year 2024 - the recipient's NPI speciality and practice address the paying manufacturer the amount the date the form of payment the nature of payment such as consulting fee speaking honorarium travel or food and the product it relates to. This is a named individual's pharmaceutical industry income|array_path=results;page_param=offset;page_size=500;page_max=2;title_keys=covered_recipient_last_name,noncovered_recipient_entity_name,teaching_hospital_name;id_keys=record_id;date_keys=date_of_payment
OPENPAY_GENERAL_2025|json|any|health|payment-record|usa,cms,sunshine-act,conflict-of-interest,pharma|https://openpaymentsdata.cms.gov|CMS Open Payments - general payments 2025|米国医師支払開示 一般支払2025|https://openpaymentsdata.cms.gov/api/1/datastore/query/fb0b1734-1410-429d-92f6-3f4b35218e5e/0?limit=500&conditions%5B0%5D%5Bproperty%5D=covered_recipient_last_name&conditions%5B0%5D%5Bvalue%5D={qU}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/fb0b1734-1410-429d-92f6-3f4b35218e5e/0?limit=500&conditions%5B0%5D%5Bproperty%5D=covered_recipient_last_name&conditions%5B0%5D%5Bvalue%5D=KOVACS&conditions%5B0%5D%5Boperator%5D=%3D|The current program year of general payments to a named physician. The most recent year is the one that matters for a live conflict-of-interest question and it is republished as manufacturers correct their submissions so the same query returns a different answer over time|array_path=results;page_param=offset;page_size=500;page_max=2;title_keys=covered_recipient_last_name,noncovered_recipient_entity_name,teaching_hospital_name;id_keys=record_id;date_keys=date_of_payment
OPENPAY_RESEARCH_2024|json|any|health|payment-record|usa,cms,sunshine-act,research,pharma|https://openpaymentsdata.cms.gov|CMS Open Payments - research payments 2024|米国医師支払開示 研究費2024|https://openpaymentsdata.cms.gov/api/1/datastore/query/2f15cb85-8887-4dcc-a318-1f8ec1d815b3/0?limit=500&conditions%5B0%5D%5Bproperty%5D=covered_recipient_last_name&conditions%5B0%5D%5Bvalue%5D={qU}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/2f15cb85-8887-4dcc-a318-1f8ec1d815b3/0?limit=500&conditions%5B0%5D%5Bproperty%5D=covered_recipient_last_name&conditions%5B0%5D%5Bvalue%5D=HERNDON&conditions%5B0%5D%5Boperator%5D=%3D|Research payments reported against a named physician in 2024 - the study name the clinical trial registry identifier the principal investigators the recipient entity and the amount. Research payments name the trial, which turns an undisclosed industry relationship into a specific study whose published results can be checked against it|array_path=results;page_param=offset;page_size=500;page_max=2;title_keys=covered_recipient_last_name,noncovered_recipient_entity_name,name_of_study;id_keys=record_id;date_keys=date_of_payment
OPENPAY_RESEARCH_2025|json|any|health|payment-record|usa,cms,sunshine-act,research,pharma|https://openpaymentsdata.cms.gov|CMS Open Payments - research payments 2025|米国医師支払開示 研究費2025|https://openpaymentsdata.cms.gov/api/1/datastore/query/f0d1de67-6852-4093-a036-c9328c256a05/0?limit=500&conditions%5B0%5D%5Bproperty%5D=covered_recipient_last_name&conditions%5B0%5D%5Bvalue%5D={qU}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/f0d1de67-6852-4093-a036-c9328c256a05/0?limit=500&conditions%5B0%5D%5Bproperty%5D=covered_recipient_last_name&conditions%5B0%5D%5Bvalue%5D=SMITH&conditions%5B0%5D%5Boperator%5D=%3D|The current program year of research payments naming a physician together with the trial they were made in connection with. The pairing of a live trial with the payments flowing to its investigators is the fact a conflict-of-interest declaration is supposed to disclose|array_path=results;page_param=offset;page_size=500;page_max=2;title_keys=covered_recipient_last_name,noncovered_recipient_entity_name,name_of_study;id_keys=record_id;date_keys=date_of_payment
OPENPAY_OWNERSHIP_2019|json|any|health|ownership-record|usa,cms,sunshine-act,ownership,conflict-of-interest|https://openpaymentsdata.cms.gov|CMS Open Payments - physician ownership 2019|米国医師出資関係 2019|https://openpaymentsdata.cms.gov/api/1/datastore/query/0b5c9710-7edb-484e-abc8-39293849ccb2/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/0b5c9710-7edb-484e-abc8-39293849ccb2/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D=Murphy-Chutorian&conditions%5B0%5D%5Boperator%5D=%3D|Ownership and investment interests a named physician or an immediate family member held in a drug or device manufacturer in 2019 - the entity the dollar value invested the value of the interest and the terms. An ownership stake is a standing conflict of interest rather than a single payment which makes this the highest-signal of the three Open Payments tables|array_path=results;page_param=offset;page_size=500;title_keys=physician_last_name;id_keys=record_id;date_keys=payment_publication_date
OPENPAY_OWNERSHIP_2020|json|any|health|ownership-record|usa,cms,sunshine-act,ownership,conflict-of-interest|https://openpaymentsdata.cms.gov|CMS Open Payments - physician ownership 2020|米国医師出資関係 2020|https://openpaymentsdata.cms.gov/api/1/datastore/query/a9a0bf48-6b96-4589-b4c2-3c5dcfbeaca2/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/a9a0bf48-6b96-4589-b4c2-3c5dcfbeaca2/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D=Weinberg&conditions%5B0%5D%5Boperator%5D=%3D|Physician ownership and investment interests reported for program year 2020 with the manufacturer the amount invested and the current value. Year by year the same stake reappearing is what turns a one-off disclosure into a documented multi-year financial relationship|array_path=results;page_param=offset;page_size=500;title_keys=physician_last_name;id_keys=record_id;date_keys=payment_publication_date
OPENPAY_OWNERSHIP_2021|json|any|health|ownership-record|usa,cms,sunshine-act,ownership,conflict-of-interest|https://openpaymentsdata.cms.gov|CMS Open Payments - physician ownership 2021|米国医師出資関係 2021|https://openpaymentsdata.cms.gov/api/1/datastore/query/b0c03b8d-06df-58f2-8ce2-4daeffee147e/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/b0c03b8d-06df-58f2-8ce2-4daeffee147e/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D=Moster&conditions%5B0%5D%5Boperator%5D=%3D|Physician ownership and investment interests reported for program year 2021 with the manufacturer name the invested amount the interest value and the physician's NPI speciality and practice address|array_path=results;page_param=offset;page_size=500;title_keys=physician_last_name;id_keys=record_id;date_keys=payment_publication_date
OPENPAY_OWNERSHIP_2022|json|any|health|ownership-record|usa,cms,sunshine-act,ownership,conflict-of-interest|https://openpaymentsdata.cms.gov|CMS Open Payments - physician ownership 2022|米国医師出資関係 2022|https://openpaymentsdata.cms.gov/api/1/datastore/query/37792388-800f-427a-9e02-b11601454eeb/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/37792388-800f-427a-9e02-b11601454eeb/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D=Moster&conditions%5B0%5D%5Boperator%5D=%3D|Physician ownership and investment interests reported for program year 2022. Physician-owned distributorships in orthopaedics and spine are the recurring pattern this table exposes and they only become visible when several years are read together|array_path=results;page_param=offset;page_size=500;title_keys=physician_last_name;id_keys=record_id;date_keys=payment_publication_date
OPENPAY_OWNERSHIP_2023|json|any|health|ownership-record|usa,cms,sunshine-act,ownership,conflict-of-interest|https://openpaymentsdata.cms.gov|CMS Open Payments - physician ownership 2023|米国医師出資関係 2023|https://openpaymentsdata.cms.gov/api/1/datastore/query/ac0bc85c-02e3-45d9-89e8-2ff43da85df7/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/ac0bc85c-02e3-45d9-89e8-2ff43da85df7/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D=Zolzer&conditions%5B0%5D%5Boperator%5D=%3D|Physician ownership and investment interests reported for program year 2023 with the manufacturer the amount and the terms of the interest|array_path=results;page_param=offset;page_size=500;title_keys=physician_last_name;id_keys=record_id;date_keys=payment_publication_date
OPENPAY_OWNERSHIP_2024|json|any|health|ownership-record|usa,cms,sunshine-act,ownership,conflict-of-interest|https://openpaymentsdata.cms.gov|CMS Open Payments - physician ownership 2024|米国医師出資関係 2024|https://openpaymentsdata.cms.gov/api/1/datastore/query/9ac4f7f8-b6e4-4d80-8410-4aba7e71dd02/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/9ac4f7f8-b6e4-4d80-8410-4aba7e71dd02/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D=Parry&conditions%5B0%5D%5Boperator%5D=%3D|Physician ownership and investment interests reported for program year 2024 - the most recent complete year - with the manufacturer the invested amount and the physician's NPI and practice address|array_path=results;page_param=offset;page_size=500;title_keys=physician_last_name;id_keys=record_id;date_keys=payment_publication_date
OPENPAY_OWNERSHIP_2025|json|any|health|ownership-record|usa,cms,sunshine-act,ownership,conflict-of-interest|https://openpaymentsdata.cms.gov|CMS Open Payments - physician ownership 2025|米国医師出資関係 2025|https://openpaymentsdata.cms.gov/api/1/datastore/query/800aed1b-20ed-4d19-b0c9-dcd10f197ffc/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://openpaymentsdata.cms.gov/api/1/datastore/query/800aed1b-20ed-4d19-b0c9-dcd10f197ffc/0?limit=500&conditions%5B0%5D%5Bproperty%5D=physician_last_name&conditions%5B0%5D%5Bvalue%5D=MUSIKANT&conditions%5B0%5D%5Boperator%5D=%3D|Physician ownership and investment interests reported for the current program year. A newly declared stake in a manufacturer is the earliest public signal of a financial relationship forming|array_path=results;page_param=offset;page_size=500;title_keys=physician_last_name;id_keys=record_id;date_keys=payment_publication_date
