# Batch 21 - providerreg: the CMS Provider Data Catalog, as an entity pivot.
#
# SCOPE. data.cms.gov/provider-data appeared in the tree as two static
# `?limit=500` head-of-table reads. The catalog holds 236 datasets and the ones
# that carry names - the clinician directory, the physician-to-facility
# affiliation table, and the nursing-home ownership, penalty, deficiency and
# survey tables - were not reachable and were not queryable by anything.
#
# These are professional-licensing and facility-inspection records: who a
# clinician is, which hospitals and groups they practise at, who owns a nursing
# home, what it was fined, and every deficiency cited against it at inspection.
#
# The DKAN datastore query API filters with
# conditions[0][property|value|operator] and pages with limit/offset, both
# verified here. The `=` operator is exact and case-sensitive; these tables
# store names UPPERCASE, so name pivots use {qU}. Facility rows pivot on the
# CMS Certification Number, which is the identifier that joins them to each
# other and to the Open Payments teaching-hospital table in the healthpay beat.
#
# Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
CMSPD_CLINICIAN_BY_NAME|json|any|health|person-record|usa,cms,clinician,licensing,medicare|https://data.cms.gov/provider-data|CMS Provider Data - clinician directory by surname|米国医療従事者名簿 姓検索|https://data.cms.gov/provider-data/api/1/datastore/query/mj5m-pzi6/0?limit=500&conditions%5B0%5D%5Bproperty%5D=provider_last_name&conditions%5B0%5D%5Bvalue%5D={qU}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/mj5m-pzi6/0?limit=500&conditions%5B0%5D%5Bproperty%5D=provider_last_name&conditions%5B0%5D%5Bvalue%5D=KOVACS&conditions%5B0%5D%5Boperator%5D=%3D|The Medicare clinician directory filtered to one surname - NPI individual PAC id and enrolment id full name credential gender medical school and graduation year primary and secondary specialities the group practice PAC id and name the practice street address city state and phone and whether the clinician accepts Medicare assignment. A national professional register that gives a named person a verifiable qualification a place of work and a Medicare enrolment identity|array_path=results;page_param=offset;page_size=500;title_keys=provider_last_name;id_keys=ind_enrl_id
CMSPD_CLINICIAN_AFFILIATIONS|json|any|health|person-record|usa,cms,clinician,affiliation,medicare|https://data.cms.gov/provider-data|CMS Provider Data - clinician facility affiliations|米国医療従事者 施設所属|https://data.cms.gov/provider-data/api/1/datastore/query/27ea-46a8/0?limit=500&conditions%5B0%5D%5Bproperty%5D=provider_last_name&conditions%5B0%5D%5Bvalue%5D={qU}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/27ea-46a8/0?limit=500&conditions%5B0%5D%5Bproperty%5D=provider_last_name&conditions%5B0%5D%5Bvalue%5D=KOVACS&conditions%5B0%5D%5Boperator%5D=%3D|Which hospitals nursing homes inpatient rehabilitation facilities home health agencies and dialysis centres a named clinician actually practises at with each facility's CMS certification number. This is the edge table of the American healthcare graph - the join from a person to the institutions they work in - and it is what turns a payment record or a deficiency citation into a connected finding|array_path=results;page_param=offset;page_size=500;title_keys=provider_last_name;id_keys=npi
CMSPD_NURSINGHOME_OWNERSHIP|json|numeric|health|ownership-record|usa,cms,nursing-home,ownership,beneficial-owner|https://data.cms.gov/provider-data|CMS Provider Data - nursing home ownership|米国介護施設 所有者情報|https://data.cms.gov/provider-data/api/1/datastore/query/y2hd-n93e/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/y2hd-n93e/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D=015009&conditions%5B0%5D%5Boperator%5D=%3D|Every owner of one nursing home - the owner's name whether it is an individual or an organisation the ownership role such as direct owner operational or managerial control officer or partner the percentage owned and the date the ownership association began. Beneficial ownership of care homes is a live policy question in most countries and the United States publishes it per facility with the owner named|array_path=results;page_param=offset;page_size=500;title_keys=owner_name,provider_name;id_keys=cms_certification_number_ccn;date_keys=association_date
CMSPD_NURSINGHOME_PENALTIES|json|numeric|health|enforcement-record|usa,cms,nursing-home,penalty,enforcement|https://data.cms.gov/provider-data|CMS Provider Data - nursing home penalties|米国介護施設 罰則|https://data.cms.gov/provider-data/api/1/datastore/query/g6vv-u9sr/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/g6vv-u9sr/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D=015019&conditions%5B0%5D%5Boperator%5D=%3D|Federal penalties imposed on one nursing home - the penalty date the type of penalty and the fine amount or the number of days of denied payment. A regulator's actual sanctions against a named facility rather than a star rating derived from them|array_path=results;page_param=offset;page_size=500;title_keys=provider_name;id_keys=cms_certification_number_ccn;date_keys=penalty_date
CMSPD_NURSINGHOME_HEALTH_DEFICIENCIES|json|numeric|health|inspection-record|usa,cms,nursing-home,inspection,deficiency|https://data.cms.gov/provider-data|CMS Provider Data - nursing home health deficiencies|米国介護施設 衛生指摘事項|https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D=015009&conditions%5B0%5D%5Boperator%5D=%3D|Every health deficiency cited against one nursing home at a state survey - the survey date the federal regulation tag number and its description the scope and severity code whether the deficiency caused actual harm or immediate jeopardy the standard or complaint survey origin and the correction date. This is the raw inspection finding that the published star rating compresses away|array_path=results;page_param=offset;page_size=500;title_keys=deficiency_description,provider_name;id_keys=cms_certification_number_ccn;date_keys=survey_date
CMSPD_NURSINGHOME_FIRE_DEFICIENCIES|json|numeric|health|inspection-record|usa,cms,nursing-home,inspection,fire-safety|https://data.cms.gov/provider-data|CMS Provider Data - nursing home fire safety deficiencies|米国介護施設 防火指摘事項|https://data.cms.gov/provider-data/api/1/datastore/query/ifjz-ge4w/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/ifjz-ge4w/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D=015009&conditions%5B0%5D%5Boperator%5D=%3D|Life Safety Code deficiencies cited against one nursing home - blocked exits inoperable alarms unprotected hazardous areas failed sprinkler tests - with the tag number the description the scope and severity and the correction date. Fire deficiencies are surveyed separately from health deficiencies and a facility clean on one can be repeatedly cited on the other|array_path=results;page_param=offset;page_size=500;title_keys=deficiency_description,provider_name;id_keys=cms_certification_number_ccn;date_keys=survey_date
CMSPD_NURSINGHOME_SURVEY_DATES|json|numeric|health|inspection-record|usa,cms,nursing-home,inspection,survey|https://data.cms.gov/provider-data|CMS Provider Data - nursing home inspection dates|米国介護施設 検査日程|https://data.cms.gov/provider-data/api/1/datastore/query/svdt-c123/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/svdt-c123/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D=015009&conditions%5B0%5D%5Boperator%5D=%3D|The dates each standard health and fire safety survey of one nursing home actually took place with the survey cycle number and the type. The gap between inspections is itself a finding - a facility that has not been surveyed in three cycles is unmeasured rather than compliant|array_path=results;page_param=offset;page_size=500;title_keys=type_of_survey;id_keys=cms_certification_number_ccn;date_keys=survey_date
CMSPD_NURSINGHOME_SURVEY_SUMMARY|json|numeric|health|inspection-record|usa,cms,nursing-home,inspection,survey|https://data.cms.gov/provider-data|CMS Provider Data - nursing home survey summary|米国介護施設 検査概要|https://data.cms.gov/provider-data/api/1/datastore/query/tbry-pc2d/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/tbry-pc2d/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D=015009&conditions%5B0%5D%5Boperator%5D=%3D|The per-facility rollup of survey results - total weighted health survey score the counts of health and fire deficiencies by cycle the number of substantiated complaints the number of facility-reported incidents and the total fines. The complaint count is the resident-and-family side of the record and it moves independently of the inspection findings|array_path=results;page_param=offset;page_size=500;title_keys=provider_name;id_keys=cms_certification_number_ccn
CMSPD_HOME_HEALTH_AGENCY|json|numeric|health|facility-record|usa,cms,home-health,medicare,facility|https://data.cms.gov/provider-data|CMS Provider Data - home health agency|米国訪問看護事業者|https://data.cms.gov/provider-data/api/1/datastore/query/6jpm-sxkc/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/6jpm-sxkc/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D=027001&conditions%5B0%5D%5Boperator%5D=%3D|One Medicare-certified home health agency - name address telephone ownership type the date it was first certified which service lines it offers - nursing physical and occupational therapy speech pathology medical social work home health aide - and its quality and patient-survey measures. Home health agencies operate inside people's homes and are the least visible part of the certified provider estate|array_path=results;page_param=offset;page_size=500;title_keys=provider_name;id_keys=cms_certification_number_ccn
CMSPD_HOSPICE_GENERAL|json|numeric|health|facility-record|usa,cms,hospice,medicare,facility|https://data.cms.gov/provider-data|CMS Provider Data - hospice general information|米国ホスピス 基本情報|https://data.cms.gov/provider-data/api/1/datastore/query/yc9t-dgbk/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D={q}&conditions%5B0%5D%5Boperator%5D=%3D|https://data.cms.gov/provider-data/api/1/datastore/query/yc9t-dgbk/0?limit=500&conditions%5B0%5D%5Bproperty%5D=cms_certification_number_ccn&conditions%5B0%5D%5Bvalue%5D=001500&conditions%5B0%5D%5Boperator%5D=%3D|One Medicare-certified hospice - name address phone ownership type certification date and the profile of its patient population and care setting. Hospice ownership shifted heavily to for-profit chains over the last decade and the ownership field together with the certification date is what makes that shift traceable facility by facility|array_path=results;page_param=offset;page_size=500;title_keys=facility_name;id_keys=cms_certification_number_ccn
