# Batch 22 - beat: breach & exposure CATALOGUES (Source Agent S4).
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# CATALOGUE / breach-EVENT / DPA-decision endpoints ONLY. No per-account or per-email lookup path; no credential content.
# Each row proof-of-life probed and emit-verified through the real binary before shipping.
WA_DATA_BREACH_NOTIFICATIONS|json|any|legal|data-breach-notice|breach,notification,washington,usstate,register|https://data.wa.gov|Washington State AG data breach notifications|washington-shu data breach|https://data.wa.gov/resource/sb4j-ca4h.json?$limit=50000|https://data.wa.gov/resource/sb4j-ca4h.json?$limit=5|Every data-breach notification filed with the Washington State Attorney General: the breached organisation, the cause and cyberattack type, the number of Washingtonians affected, the industry, and the dates the breach began, ended, was discovered and was reported. A statutory breach-event register, one row per notified breach.|title_keys=name;id_keys=id;date_keys=dateaware;interval=604800;pagination_ok=Socrata $limit=50000 returns the whole register in one request and the dataset is a few thousand rows
WA_DATA_BREACH_PERSONAL_INFO|json|any|legal|data-breach-notice|breach,notification,washington,usstate,register|https://data.wa.gov|Washington State AG data breach notifications personal information|washington-shu kojin joho|https://data.wa.gov/resource/padd-mby7.json?$select=:*,*&$limit=50000|https://data.wa.gov/resource/padd-mby7.json?$select=:*,*&$limit=5|The Washington AG breach register keyed to the type of personal information exposed: breached organisation, cause, cyberattack type, business and information type, Washingtonians affected, and the breach lifecycle dates. Companion register to sb4j with the per-notice information-type breakdown.|title_keys=name;id_keys=:id;date_keys=dateaware;interval=604800;pagination_ok=Socrata $limit=50000 returns the whole register in one request and the dataset is a few thousand rows
DE_DATA_SECURITY_BREACH_DB|json|any|legal|data-breach-notice|breach,notification,delaware,usstate,register|https://data.delaware.gov|Delaware DOJ data security breach database|delaware data breach|https://data.delaware.gov/resource/dir6-wx8v.json?$select=:*,*&$limit=50000|https://data.delaware.gov/resource/dir6-wx8v.json?$select=:*,*&$limit=5|Every breach reported to the Delaware Department of Justice: the company breached, the date of the breach, when it was discovered, the date of consumer notice, the number of Delaware residents affected and the categories of information breached, with a link to the notice letter. A statutory breach-event register.|title_keys=company_name;id_keys=:id,sample_of_notice;date_keys=date_of_breach;interval=604800;pagination_ok=Socrata $limit=50000 returns the whole register in one request and the dataset is a few thousand rows
HIBP_BREACH_BY_NAME|json|any|cyber|data-breach|breach,hibp,catalogue,metadata|https://haveibeenpwned.com|Have I Been Pwned breach by name|HIBP shingai-mei shokai|https://haveibeenpwned.com/api/v3/breach/{q}|https://haveibeenpwned.com/api/v3/breach/Adobe|The full catalogue record for one named breach: title, breached domain, breach and added dates, the number of accounts pwned, whether it is verified, fabricated or sensitive, and the list of exposed data classes. Breach metadata only, the entity is a breach NAME not an account, and no credential content is returned.|title_keys=Name;id_keys=Name;date_keys=BreachDate
GDPRHUB_ARTICLE_33_1_GDPR|json|any|legal|gdpr-decision|gdpr,breach,security,decision,enforcement|https://gdprhub.eu|GDPRhub decisions Article 33(1) GDPR||https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:Article%2033(1)%20GDPR&cmlimit=500&format=json|https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:Article%2033(1)%20GDPR&cmlimit=500&format=json|Every GDPRhub decision tagged under Article 33(1) GDPR (personal data breach notification to the supervisory authority): each case caption names the deciding authority or court, the reference number and the year. A thematic register of the GDPR breach-and-security provisions, carrying no personal data beyond the public case title.|array_path=query.categorymembers;title_keys=title;id_keys=pageid;interval=604800;pagination_ok=cmlimit=500 returns this category in full (under 500 members) and MediaWiki cmcontinue is an opaque token not a numeric offset
GDPRHUB_ARTICLE_32_1_GDPR|json|any|legal|gdpr-decision|gdpr,breach,security,decision,enforcement|https://gdprhub.eu|GDPRhub decisions Article 32(1) GDPR||https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:Article%2032(1)%20GDPR&cmlimit=500&format=json|https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:Article%2032(1)%20GDPR&cmlimit=500&format=json|Every GDPRhub decision tagged under Article 32(1) GDPR (security of processing): each case caption names the deciding authority or court, the reference number and the year. A thematic register of the GDPR breach-and-security provisions, carrying no personal data beyond the public case title.|array_path=query.categorymembers;title_keys=title;id_keys=pageid;interval=604800;pagination_ok=cmlimit=500 returns this category in full (under 500 members) and MediaWiki cmcontinue is an opaque token not a numeric offset
GDPRHUB_ARTICLE_5_1_F_GDPR|json|any|legal|gdpr-decision|gdpr,breach,security,decision,enforcement|https://gdprhub.eu|GDPRhub decisions Article 5(1)(f) GDPR||https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:Article%205(1)(f)%20GDPR&cmlimit=500&format=json|https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:Article%205(1)(f)%20GDPR&cmlimit=500&format=json|Every GDPRhub decision tagged under Article 5(1)(f) GDPR (integrity and confidentiality of personal data): each case caption names the deciding authority or court, the reference number and the year. A thematic register of the GDPR breach-and-security provisions, carrying no personal data beyond the public case title.|array_path=query.categorymembers;title_keys=title;id_keys=pageid;interval=604800;pagination_ok=cmlimit=500 returns this category in full (under 500 members) and MediaWiki cmcontinue is an opaque token not a numeric offset
GDPRHUB_AKI_ESTONIA|json|any|legal|dpa-decision|gdpr,dpa,decision,enforcement,eu|https://gdprhub.eu|GDPRhub decisions AKI (Estonia)||https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:AKI%20(Estonia)&cmlimit=500&format=json|https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:AKI%20(Estonia)&cmlimit=500&format=json|Every GDPR decision GDPRhub has catalogued under AKI (Estonia): the case caption names the authority, the reference number and the year of the ruling. This is enforcement and breach-notification metadata, which regulator or court decided which matter, and carries no personal data beyond the public case title.|array_path=query.categorymembers;title_keys=title;id_keys=pageid;interval=604800;pagination_ok=cmlimit=500 returns this category in full (under 500 members) and MediaWiki cmcontinue is an opaque token not a numeric offset
GDPRHUB_ANSPDCP_ROMANIA|json|any|legal|dpa-decision|gdpr,dpa,decision,enforcement,eu|https://gdprhub.eu|GDPRhub decisions ANSPDCP (Romania)||https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:ANSPDCP%20(Romania)&cmlimit=500&format=json|https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:ANSPDCP%20(Romania)&cmlimit=500&format=json|Every GDPR decision GDPRhub has catalogued under ANSPDCP (Romania): the case caption names the authority, the reference number and the year of the ruling. This is enforcement and breach-notification metadata, which regulator or court decided which matter, and carries no personal data beyond the public case title.|array_path=query.categorymembers;title_keys=title;id_keys=pageid;interval=604800;pagination_ok=cmlimit=500 returns this category in full (under 500 members) and MediaWiki cmcontinue is an opaque token not a numeric offset
GDPRHUB_AN_SPAIN|json|any|legal|dpa-decision|gdpr,dpa,decision,enforcement,eu|https://gdprhub.eu|GDPRhub decisions AN (Spain)||https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:AN%20(Spain)&cmlimit=500&format=json|https://gdprhub.eu/api.php?action=query&list=categorymembers&cmtitle=Category:AN%20(Spain)&cmlimit=500&format=json|Every GDPR decision GDPRhub has catalogued under AN (Spain): the case caption names the authority, the reference number and the year of the ruling. This is enforcement and breach-notification metadata, which regulator or court decided which matter, and carries no personal data beyond the public case title.|array_path=query.categorymembers;title_keys=title;id_keys=pageid;interval=604800;pagination_ok=cmlimit=500 returns this category in full (under 500 members) and MediaWiki cmcontinue is an opaque token not a numeric offset
