# Batch 22 - paste, chat and fringe-platform directories (S3 beat).
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# DIRECTORY and METADATA only: a channel/instance/board/relay EXISTS, its topic, member count, activity. Never message content.
NODEINFO_20_PIVOT|json|domain|social|fediverse-nodeinfo|fediverse,nodeinfo,instance,metadata|https://nodeinfo.diaspora.software|Fediverse nodeinfo 2.0 by instance host||https://{q}/nodeinfo/2.0|https://mastodon.social/nodeinfo/2.0|Standard nodeinfo 2.0 metadata document of any fediverse instance addressed by its host: the server software name and version, the enabled protocols, whether registration is open and the aggregate user and post counts. It is the one metadata shape every ActivityPub server publishes, so it identifies what software an instance runs and how large it is without touching any content.|title_keys=software.name
NODEINFO_WELLKNOWN_PIVOT|json|domain|social|fediverse-nodeinfo|fediverse,nodeinfo,discovery|https://nodeinfo.diaspora.software|Fediverse well-known nodeinfo discovery by host||https://{q}/.well-known/nodeinfo|https://mastodon.social/.well-known/nodeinfo|The well-known nodeinfo discovery document of any fediverse instance, listing the schema versions it supports and the URL of each nodeinfo document. It is the entry point that tells you which nodeinfo version an instance speaks before you fetch the metadata itself.|array_path=links;title_keys=href;id_keys=href
MATRIX_WELLKNOWN_CLIENT_PIVOT|json|domain|social|matrix-instance|matrix,chat,discovery,metadata|https://spec.matrix.org|Matrix well-known client discovery by homeserver host||https://{q}/.well-known/matrix/client|https://matrix.org/.well-known/matrix/client|The Matrix client discovery document of a homeserver domain, naming the actual homeserver base URL and identity server it delegates to. It is the metadata that maps a vanity domain to the server that really answers for it, which is how you locate the homeserver behind an address.|title_keys=m.homeserver.base_url
DISCOURSE_BASICINFO_PIVOT|json|domain|social|discourse-instance|forum,discourse,metadata|https://www.discourse.org|Discourse forum basic info by host||https://{q}/site/basic-info.json|https://discourse.julialang.org/site/basic-info.json|The public basic-info document of any Discourse forum addressed by host: the forum title, description, logo and header assets. It confirms that a host runs Discourse and how it identifies itself, as instance metadata rather than post content.|title_keys=title
ATPROTO_DESCRIBE_SERVER_PIVOT|json|domain|social|atproto-instance|atproto,bluesky,pds,metadata|https://atproto.com|ATProto PDS describeServer by host||https://{q}/xrpc/com.atproto.server.describeServer|https://bsky.social/xrpc/com.atproto.server.describeServer|The describeServer response of any ATProtocol personal data server addressed by host: the server DID, the handle domains it will issue, whether invite codes or phone verification are required and its policy links. It is the metadata that identifies a Bluesky-network PDS and its signup posture.|title_keys=did;id_keys=did
NOSTR_NIP11_PIVOT|json|domain|social|nostr-relay|nostr,relay,nip11,metadata|https://github.com/nostr-protocol/nips|Nostr relay NIP-11 document by host||https://{q}/|https://relay.damus.io/|The NIP-11 self-description of any Nostr relay addressed by host: the relay name, description, admin contact, the list of NIPs it supports, its software and version and its posting and subscription limits. It records that a relay exists and what it will accept, the relay-directory metadata used to map the Nostr transport, never message content.|title_keys=name;id_keys=name;header1=Accept: application/nostr+json
CHAN_4CDN_BOARDS|json|any|social|imageboard-board|imageboard,4chan,board,directory|https://github.com/4chan/4chan-API|4chan board directory (4cdn boards.json)||https://a.4cdn.org/boards.json|https://a.4cdn.org/boards.json|The complete 4chan board directory from the official read-only API: every board with its short code, title, whether it is worksafe, the pages and threads-per-page limits and the posting cooldowns and character caps. It is the top-level index of one of the largest imageboards as pure metadata, carrying no post content.|array_path=boards;title_keys=title;id_keys=board;interval=86400
LEMMY_COMMUNITIES_LEMMY_WORLD|json|any|social|lemmy-community|fediverse,lemmy,community,board,directory|https://lemmy.world|Lemmy local community directory - lemmy.world||https://lemmy.world/api/v3/community/list?type_=Local&limit=50&page=1|https://lemmy.world/api/v3/community/list?type_=Local&limit=50&page=1|Local community board directory of the Lemmy instance lemmy.world, every community it hosts with the display title, the subscriber and post counts, the NSFW flag and the creation date. This is the board index of one federated forum server, paged to exhaustion, so it maps what the instance actually carries as metadata rather than post content.|array_path=communities;page_param=page;page_start=1;title_keys=community.title;id_keys=community.id;interval=86400
LEMMY_COMMUNITIES_SH_ITJUST_WORKS|json|any|social|lemmy-community|fediverse,lemmy,community,board,directory|https://sh.itjust.works|Lemmy local community directory - sh.itjust.works||https://sh.itjust.works/api/v3/community/list?type_=Local&limit=50&page=1|https://sh.itjust.works/api/v3/community/list?type_=Local&limit=50&page=1|Local community board directory of the Lemmy instance sh.itjust.works, every community it hosts with the display title, the subscriber and post counts, the NSFW flag and the creation date. This is the board index of one federated forum server, paged to exhaustion, so it maps what the instance actually carries as metadata rather than post content.|array_path=communities;page_param=page;page_start=1;title_keys=community.title;id_keys=community.id;interval=86400
LEMMY_COMMUNITIES_LEMMY_ZIP|json|any|social|lemmy-community|fediverse,lemmy,community,board,directory|https://lemmy.zip|Lemmy local community directory - lemmy.zip||https://lemmy.zip/api/v3/community/list?type_=Local&limit=50&page=1|https://lemmy.zip/api/v3/community/list?type_=Local&limit=50&page=1|Local community board directory of the Lemmy instance lemmy.zip, every community it hosts with the display title, the subscriber and post counts, the NSFW flag and the creation date. This is the board index of one federated forum server, paged to exhaustion, so it maps what the instance actually carries as metadata rather than post content.|array_path=communities;page_param=page;page_start=1;title_keys=community.title;id_keys=community.id;interval=86400
LEMMY_COMMUNITIES_LEMMY_ML|json|any|social|lemmy-community|fediverse,lemmy,community,board,directory|https://lemmy.ml|Lemmy local community directory - lemmy.ml||https://lemmy.ml/api/v3/community/list?type_=Local&limit=50&page=1|https://lemmy.ml/api/v3/community/list?type_=Local&limit=50&page=1|Local community board directory of the Lemmy instance lemmy.ml, every community it hosts with the display title, the subscriber and post counts, the NSFW flag and the creation date. This is the board index of one federated forum server, paged to exhaustion, so it maps what the instance actually carries as metadata rather than post content.|array_path=communities;page_param=page;page_start=1;title_keys=community.title;id_keys=community.id;interval=86400
LEMMY_COMMUNITIES_LEMMY_DBZER0_COM|json|any|social|lemmy-community|fediverse,lemmy,community,board,directory|https://lemmy.dbzer0.com|Lemmy local community directory - lemmy.dbzer0.com||https://lemmy.dbzer0.com/api/v3/community/list?type_=Local&limit=50&page=1|https://lemmy.dbzer0.com/api/v3/community/list?type_=Local&limit=50&page=1|Local community board directory of the Lemmy instance lemmy.dbzer0.com, every community it hosts with the display title, the subscriber and post counts, the NSFW flag and the creation date. This is the board index of one federated forum server, paged to exhaustion, so it maps what the instance actually carries as metadata rather than post content.|array_path=communities;page_param=page;page_start=1;title_keys=community.title;id_keys=community.id;interval=86400
LEMMY_COMMUNITIES_LEMMY_CA|json|any|social|lemmy-community|fediverse,lemmy,community,board,directory|https://lemmy.ca|Lemmy local community directory - lemmy.ca||https://lemmy.ca/api/v3/community/list?type_=Local&limit=50&page=1|https://lemmy.ca/api/v3/community/list?type_=Local&limit=50&page=1|Local community board directory of the Lemmy instance lemmy.ca, every community it hosts with the display title, the subscriber and post counts, the NSFW flag and the creation date. This is the board index of one federated forum server, paged to exhaustion, so it maps what the instance actually carries as metadata rather than post content.|array_path=communities;page_param=page;page_start=1;title_keys=community.title;id_keys=community.id;interval=86400
