# Batch 25 - jpbizreg: Japanese business, licensing and professional registries.
# Beat token JPBIZ. Harvested 2026-08-29 by probing every URL with curl (HTTP 2xx, body in the
# declared mode, >=2 real records, not an error envelope / WAF page / login), and by running the
# impossible-entity test (zzqxv9) on every {q} pivot. Discovery: e-Gov API catalogue, e-Gov data
# portal CKAN, prefectural/municipal CKAN and dataeye portals, WebSearch for licence-list CSVs.
# Probed ~250 URLs; kept 107 rows (49 KKJ, 58 other); rejected 145 (docs/rejected-sources-batch25-jpbizreg.tsv).
#
# Host-exclusion note: www.mext.go.jp is in existing-hosts.txt, but the
# 4 学校コード CSVs are a distinct dataset on a big multi-dataset
# ministry host; each URL was grep-checked absent from native/collectors and every
# candidate-sources-batch*.txt before being kept.
#
# Format caveats stated per row: (a) CSVs whose first line is a title (MEXT, Kawasaki 薬事,
# Saitama 浄化槽/越谷 優良) use csv_no_header=1 so the title and the real header become two
# extra records rather than corrupting the column names; (b) kanpou.ai pages paginate by PATH
# (/tosan/p/N), which page_param cannot express, so only page 1 is registered; (c) Shift_JIS
# files declare charset=sjis.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
#
# ---- 官公需情報ポータル (KKJ) search API - XML, filter honoured (zzqxv9 -> SearchHits 0) ----
JP25_JPBIZ_KKJ_QUERY|xml|any|government|procurement-notice|japan,procurement,tender,kkj,pivot|https://www.kkj.go.jp|KKJ public procurement portal - full-text search|官公需情報ポータルサイト 検索API（全文）|https://www.kkj.go.jp/api/?Query={q}&Count=100|https://www.kkj.go.jp/api/?Query=%E6%B8%85%E6%8E%83&Count=50|Full-text search over every tender and award notice that Japanese national ministries, prefectures and municipalities publish through the SME Agency's procurement portal. A search for 清掃 returned SearchHits 60,841; each record carries the project name, issuing organisation, prefecture and city code, category, issue date, the URL of the original notice and the extracted text of it. For a company name it surfaces the calls that name the firm as an incumbent or an awardee; zzqxv9 returned 0 hits, so the filter is real.|interval=0;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_ORG|xml|any|government|procurement-notice|japan,procurement,tender,kkj,organisation,pivot|https://www.kkj.go.jp|KKJ public procurement portal - by issuing organisation|官公需情報ポータルサイト 発注機関名検索|https://www.kkj.go.jp/api/?Organization_Name={q}&Count=100|https://www.kkj.go.jp/api/?Organization_Name=%E6%9D%B1%E4%BA%AC%E9%83%BD&Count=10|The same corpus addressed by the issuing organisation: 東京都 returned 3,170 notices, zzqxv9 returned 0. This is the pivot for a public body rather than a supplier - it lists everything that body has put out to tender, with category and date, which is the primary record of what a ministry or a city is buying.|interval=0;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_PREF_01_HOKKAIDO|xml|any|government|procurement-notice|japan,procurement,tender,kkj,prefecture,hokkaido|https://www.kkj.go.jp|KKJ public procurement notices - 北海道 (LG code 01)|官公需情報ポータル 北海道 入札公告|https://www.kkj.go.jp/api/?LG_Code=01&Count=100|https://www.kkj.go.jp/api/?LG_Code=01&Count=10|Daily sweep of every procurement notice filed by 北海道 and the municipalities inside it, via the portal's LG_Code filter (LG_Code=13 returned 91,094 hits, LG_Code=01 49,639; the impossible code 99 returned 0). Each record names the project, the issuing body, the category, the issue date and the source document, and the body text carries the tender conditions including named incumbents and required licences. Registered per prefecture because a single national sweep bounded by page_max would never reach the smaller issuers.|interval=86400;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_PREF_02_AOMORI|xml|any|government|procurement-notice|japan,procurement,tender,kkj,prefecture,aomori|https://www.kkj.go.jp|KKJ public procurement notices - 青森県 (LG code 02)|官公需情報ポータル 青森県 入札公告|https://www.kkj.go.jp/api/?LG_Code=02&Count=100|https://www.kkj.go.jp/api/?LG_Code=02&Count=10|Daily sweep of every procurement notice filed by 青森県 and the municipalities inside it, via the portal's LG_Code filter (LG_Code=13 returned 91,094 hits, LG_Code=01 49,639; the impossible code 99 returned 0). Each record names the project, the issuing body, the category, the issue date and the source document, and the body text carries the tender conditions including named incumbents and required licences. Registered per prefecture because a single national sweep bounded by page_max would never reach the smaller issuers.|interval=86400;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_PREF_03_IWATE|xml|any|government|procurement-notice|japan,procurement,tender,kkj,prefecture,iwate|https://www.kkj.go.jp|KKJ public procurement notices - 岩手県 (LG code 03)|官公需情報ポータル 岩手県 入札公告|https://www.kkj.go.jp/api/?LG_Code=03&Count=100|https://www.kkj.go.jp/api/?LG_Code=03&Count=10|Daily sweep of every procurement notice filed by 岩手県 and the municipalities inside it, via the portal's LG_Code filter (LG_Code=13 returned 91,094 hits, LG_Code=01 49,639; the impossible code 99 returned 0). Each record names the project, the issuing body, the category, the issue date and the source document, and the body text carries the tender conditions including named incumbents and required licences. Registered per prefecture because a single national sweep bounded by page_max would never reach the smaller issuers.|interval=86400;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_PREF_04_MIYAGI|xml|any|government|procurement-notice|japan,procurement,tender,kkj,prefecture,miyagi|https://www.kkj.go.jp|KKJ public procurement notices - 宮城県 (LG code 04)|官公需情報ポータル 宮城県 入札公告|https://www.kkj.go.jp/api/?LG_Code=04&Count=100|https://www.kkj.go.jp/api/?LG_Code=04&Count=10|Daily sweep of every procurement notice filed by 宮城県 and the municipalities inside it, via the portal's LG_Code filter (LG_Code=13 returned 91,094 hits, LG_Code=01 49,639; the impossible code 99 returned 0). Each record names the project, the issuing body, the category, the issue date and the source document, and the body text carries the tender conditions including named incumbents and required licences. Registered per prefecture because a single national sweep bounded by page_max would never reach the smaller issuers.|interval=86400;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_PREF_05_AKITA|xml|any|government|procurement-notice|japan,procurement,tender,kkj,prefecture,akita|https://www.kkj.go.jp|KKJ public procurement notices - 秋田県 (LG code 05)|官公需情報ポータル 秋田県 入札公告|https://www.kkj.go.jp/api/?LG_Code=05&Count=100|https://www.kkj.go.jp/api/?LG_Code=05&Count=10|Daily sweep of every procurement notice filed by 秋田県 and the municipalities inside it, via the portal's LG_Code filter (LG_Code=13 returned 91,094 hits, LG_Code=01 49,639; the impossible code 99 returned 0). Each record names the project, the issuing body, the category, the issue date and the source document, and the body text carries the tender conditions including named incumbents and required licences. Registered per prefecture because a single national sweep bounded by page_max would never reach the smaller issuers.|interval=86400;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_PREF_06_YAMAGATA|xml|any|government|procurement-notice|japan,procurement,tender,kkj,prefecture,yamagata|https://www.kkj.go.jp|KKJ public procurement notices - 山形県 (LG code 06)|官公需情報ポータル 山形県 入札公告|https://www.kkj.go.jp/api/?LG_Code=06&Count=100|https://www.kkj.go.jp/api/?LG_Code=06&Count=10|Daily sweep of every procurement notice filed by 山形県 and the municipalities inside it, via the portal's LG_Code filter (LG_Code=13 returned 91,094 hits, LG_Code=01 49,639; the impossible code 99 returned 0). Each record names the project, the issuing body, the category, the issue date and the source document, and the body text carries the tender conditions including named incumbents and required licences. Registered per prefecture because a single national sweep bounded by page_max would never reach the smaller issuers.|interval=86400;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_PREF_07_FUKUSHIMA|xml|any|government|procurement-notice|japan,procurement,tender,kkj,prefecture,fukushima|https://www.kkj.go.jp|KKJ public procurement notices - 福島県 (LG code 07)|官公需情報ポータル 福島県 入札公告|https://www.kkj.go.jp/api/?LG_Code=07&Count=100|https://www.kkj.go.jp/api/?LG_Code=07&Count=10|Daily sweep of every procurement notice filed by 福島県 and the municipalities inside it, via the portal's LG_Code filter (LG_Code=13 returned 91,094 hits, LG_Code=01 49,639; the impossible code 99 returned 0). Each record names the project, the issuing body, the category, the issue date and the source document, and the body text carries the tender conditions including named incumbents and required licences. Registered per prefecture because a single national sweep bounded by page_max would never reach the smaller issuers.|interval=86400;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
JP25_JPBIZ_KKJ_PREF_08_IBARAKI|xml|any|government|procurement-notice|japan,procurement,tender,kkj,prefecture,ibaraki|https://www.kkj.go.jp|KKJ public procurement notices - 茨城県 (LG code 08)|官公需情報ポータル 茨城県 入札公告|https://www.kkj.go.jp/api/?LG_Code=08&Count=100|https://www.kkj.go.jp/api/?LG_Code=08&Count=10|Daily sweep of every procurement notice filed by 茨城県 and the municipalities inside it, via the portal's LG_Code filter (LG_Code=13 returned 91,094 hits, LG_Code=01 49,639; the impossible code 99 returned 0). Each record names the project, the issuing body, the category, the issue date and the source document, and the body text carries the tender conditions including named incumbents and required licences. Registered per prefecture because a single national sweep bounded by page_max would never reach the smaller issuers.|interval=86400;array_path=SearchResult;title_keys=ProjectName;id_keys=Key;date_keys=CftIssueDate,Date;link_keys=ExternalDocumentURI;body_keys=ProjectDescription;page_param=Start;page_size=100;page_start=1
