# Batch 25 - jpfinance (beat token JPFIN): Japanese banking and finance.
# Regional and second-tier banks, shinkin/credit-union/labour-bank bodies, policy banks,
# SROs (JVCEA, FINMAC, T2FIFA, JICPA), insurers' associations, GPIF, exchanges outside JPX,
# credit-rating and bankruptcy-data publishers, and the crypto exchanges' public market APIs.
# Harvest: 161 finance homepages fetched with curl on 2026-08-29; feeds discovered through
# <link rel=alternate> plus 11 common RSS paths per host and /wp-json/wp/v2/posts; news
# listings located from each homepage's own links and every candidate listing page fetched
# and its anchors counted with the same accept rule hpengine's HTML mode uses (href contains
# href_must, text >= 3 chars, one record per distinct href). Counts in each description are
# what that fetch returned. Excluded by host: fsa.go.jp, boj.or.jp, jpx.co.jp, jsda.or.jp,
# tdnet, edinet, zenginkyo, tdb.co.jp, buffett-code, web.archive.org, e-stat (already in tree).
# Probed 302 URLs, kept 94 rows, rejected 208 (see docs/rejected-sources-batch25-jpfinance.tsv).
# Hosts that reset the connection on a User-Agent containing "bot" (77bank, fukuokabank)
# carry header1=User-Agent: Mozilla/5.0. Shift_JIS pages carry charset=shift_jis.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
#
# --- feeds (RSS / Atom / RDF / WordPress REST) ---
JP25_JPFIN_82BANK_NEWS_RSS|xml|any|finance|bank-notice|japan,bank,regional-bank,nagano,hachijuni,rss|https://www.82bank.co.jp|Hachijuni Bank - customer notices RSS|八十二銀行 お知らせRSS|https://www.82bank.co.jp/rss/news.xml|https://www.82bank.co.jp/rss/news.xml|Customer-facing notices of the Hachijuni Bank (Nagano), the merged Hachijuni-Nagano Bank group. 20 items on fetch, each with title, link and pubDate: system outages, fraud warnings, branch and ATM changes. For a person or company in Nagano this is where the bank's own account of an incident first appears.|interval=21600;array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;pagination_ok=RSS feed of the newest items and the site has no page parameter
JP25_JPFIN_82BANK_RELEASE_RSS|xml|any|finance|press-release|japan,bank,regional-bank,nagano,hachijuni,rss|https://www.82bank.co.jp|Hachijuni Bank - news releases RSS|八十二銀行 ニュースリリースRSS|https://www.82bank.co.jp/rss/release.xml|https://www.82bank.co.jp/rss/release.xml|Press releases of the Hachijuni Bank: private placement bonds underwritten for named local companies, partnerships, financial results. 20 items on fetch with title, link and pubDate. Private-placement announcements name the issuing SME, which is a primary record of a bank-company relationship.|interval=21600;array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;pagination_ok=RSS feed of the newest items and the site has no page parameter
JP25_JPFIN_AWABANK_RSS|xml|any|finance|bank-notice|japan,bank,regional-bank,tokushima,awa,rss|https://www.awabank.co.jp|Awa Bank - news RSS|阿波銀行 新着情報RSS|https://www.awabank.co.jp/news/rss.xml|https://www.awabank.co.jp/news/rss.xml|News feed of the Awa Bank (Tokushima). 5 items on fetch with title, link and date - sponsorships, loan-rate changes, regional programmes. Small but the only machine-readable channel this bank publishes.|interval=21600;array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;pagination_ok=RSS feed of the newest items and the site has no page parameter
JP25_JPFIN_HOWABANK_FEED|xml|any|finance|bank-notice|japan,bank,second-tier,oita,howa,rss|https://www.howabank.co.jp|Howa Bank - RSS feed|豊和銀行 RSS|https://www.howabank.co.jp/feed/|https://www.howabank.co.jp/feed/|WordPress RSS feed of the Howa Bank (Oita, second-tier regional). 10 items on fetch: harassment policy, sponsorship deposits, notices. The REST row below carries the full archive - this is the cheap change-detector.|interval=21600;array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;pagination_ok=RSS feed of the newest items and the REST row carries the paged archive
JP25_JPFIN_HOWABANK_WPJSON|json|any|finance|bank-notice|japan,bank,second-tier,oita,howa,wordpress|https://www.howabank.co.jp|Howa Bank - all posts (WordPress REST)|豊和銀行 投稿一覧|https://www.howabank.co.jp/wp-json/wp/v2/posts?per_page=100|https://www.howabank.co.jp/wp-json/wp/v2/posts?per_page=100|Every post the Howa Bank has published, through the WordPress REST API - 100 records on the first page with id, date, modified, title.rendered, link and full content. The bank's complete notice and release history in structured form, paged with the page parameter.|interval=43200;title_keys=title.rendered;id_keys=id;date_keys=date,modified;link_keys=link;page_param=page;page_size=100;page_start=1
JP25_JPFIN_ROKIN_KINKI_FEED|xml|any|finance|bank-notice|japan,rokin,labour-bank,kinki,rss|https://www.rokin.or.jp|Kinki Rokin (labour bank) - RSS feed|近畿労働金庫 RSS|https://www.rokin.or.jp/feed/|https://www.rokin.or.jp/feed/|WordPress RSS of the Kinki Labour Bank, the largest of the 13 rokin. 10 items on fetch: loan base-rate revisions, ATM suspensions, campaigns. Labour banks serve union members and are a distinct slice of household finance not covered by the regional-bank rows.|interval=21600;array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;pagination_ok=RSS feed of the newest items and the REST row carries the paged archive
JP25_JPFIN_ROKIN_KINKI_WPJSON|json|any|finance|bank-notice|japan,rokin,labour-bank,kinki,wordpress|https://www.rokin.or.jp|Kinki Rokin - all posts (WordPress REST)|近畿労働金庫 投稿一覧|https://www.rokin.or.jp/wp-json/wp/v2/posts?per_page=100|https://www.rokin.or.jp/wp-json/wp/v2/posts?per_page=100|Every notice and release the Kinki Labour Bank has posted, via the WordPress REST API: 100 records on page one with id, date, title.rendered, link and content. Paged with the page parameter.|interval=43200;title_keys=title.rendered;id_keys=id;date_keys=date,modified;link_keys=link;page_param=page;page_size=100;page_start=1
JP25_JPFIN_ROKIN_ALL_ATOM|xml|any|finance|press-release|japan,rokin,labour-bank,association,atom|https://all.rokin.or.jp|National Association of Labour Banks - press Atom feed|全国労働金庫協会 プレスリリース|https://all.rokin.or.jp/association/press/atom.xml|https://all.rokin.or.jp/association/press/atom.xml|Atom feed of the National Association of Labour Banks. 15 entries on fetch: the combined annual results of all 13 rokin, SDGs reports, system notices. The only sector-wide statement of the labour-bank system's numbers.|interval=43200;array_path=entry;title_keys=title;id_keys=id,link;date_keys=updated,published;link_keys=link;pagination_ok=Atom feed of the newest entries and the site has no page parameter
JP25_JPFIN_JVCEA_FEED|xml|any|finance|regulator-notice|japan,crypto,jvcea,sro,exchange,rss|https://jvcea.or.jp|JVCEA (crypto exchange SRO) - news RSS|日本暗号資産等取引業協会 新着RSS|https://jvcea.or.jp/feed/|https://jvcea.or.jp/feed/|RSS of the Japan Virtual and Crypto assets Exchange Association, the FSA-certified self-regulatory body for registered crypto exchanges. 10 items on fetch: rule amendments, member admissions, monthly statistics releases, disciplinary notices. Member admission and sanction items are the SRO's own record of which exchanges are inside the regulated perimeter.|interval=21600;array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;pagination_ok=RSS feed of the newest items and the site has no page parameter
JP25_JPFIN_JVCEA_SITEMAP_RSS|xml|any|finance|site-page|japan,crypto,jvcea,sro,sitemap,rss|https://jvcea.or.jp|JVCEA - site page index (sitemap RSS)|日本暗号資産等取引業協会 ページ一覧|https://jvcea.or.jp/rss.xml|https://jvcea.or.jp/rss.xml|The JVCEA site's own page index served as an RSS sitemap - 50 items on fetch, one per published page (rules and guidelines, member list, statistics, public comments) with title and URL. Records are pages, not news; it is registered so that a new or renamed page on the SRO's site is noticed.|interval=86400;array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate,dc:date;link_keys=link;pagination_ok=sitemap RSS is a single document
