# Batch 25 - jpinfra: Japanese infrastructure, utilities and physical systems.
# Electric power market (JEPX), power/gas/water utilities, telecom carriers and
# IX/registry operators, rail, expressways, airports, ports and shipping lines,
# nuclear/radiation information stations, seismic research and satellite
# positioning (QZSS). Harvested 2026-08-29 by feed autodiscovery on ~120
# operator homepages, page-source scans for embedded JSON/CSV endpoints, and
# guessed-then-fetched RSS paths. Every row below was fetched with curl and
# returned HTTP 200 with >=2 real records at harvest time; the record count
# seen is stated in each description. 335 URLs probed, 69 kept, 266 rejected
# (docs/rejected-sources-batch25-jpinfra.tsv). Many of the largest operators
# (JR East, Tokyo Metro, Kansai Airport, TEPCO outage map, Toei) sit behind
# Akamai/Incapsula bot walls and are rejected BOT_WALL, not guessed.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts

# --- electricity market ---
JP25_JPINFRA_JEPX_SPOT_SUMMARY|csv|any|infrastructure|power-market-price|japan,electricity,jepx,spot,price,energy|https://www.jepx.jp|JEPX day-ahead spot market summary FY2026|JEPX スポット市場 取引結果 2026年度|https://www.jepx.jp/js/csv_read.php?dir=spot_summary&file=spot_summary_2026.csv|https://www.jepx.jp/js/csv_read.php?dir=spot_summary&file=spot_summary_2026.csv|The Japan Electric Power Exchange day-ahead result file for the current fiscal year: one row per delivery date and 30-minute slot with sell/buy bid volumes, contracted volume, the system price and the nine area prices (Hokkaido through Kyushu). 7,297 rows on fetch, growing 48 per day. The endpoint returns an empty 200 without a Referer header, so the row declares one. There is no per-row id column; id_keys names the delivery date and the engine's content-hash collision guard keeps the 48 distinct slots of each day.|interval=21600;csv_delim=comma;title_keys=受渡日;id_keys=受渡日;date_keys=受渡日;header1=Referer: https://www.jepx.jp/
JP25_JPINFRA_JEPX_INTRADAY|csv|any|infrastructure|power-market-price|japan,electricity,jepx,intraday,price,energy|https://www.jepx.jp|JEPX intraday market OHLC FY2026|JEPX 時間前市場 取引結果 2026年度|https://www.jepx.jp/js/csv_read.php?dir=intraday&file=intraday_2026.csv|https://www.jepx.jp/js/csv_read.php?dir=intraday&file=intraday_2026.csv|JEPX one-hour-ahead (intraday) market results: per date and 30-minute slot the open, high, low, close and average price, total contracted kWh and number of contracts. 7,259 data rows on fetch. Same Referer requirement and same date-keyed identity as the spot file.|interval=21600;csv_delim=comma;title_keys=年月日;id_keys=年月日;date_keys=年月日;header1=Referer: https://www.jepx.jp/

# --- satellite positioning ---

# --- telecom carriers, ISPs, IX and registries ---
JP25_JPINFRA_DOCOMO_NETWORK|xml|any|infrastructure|telecom-outage-notice|japan,docomo,ntt,telecom,outage,network|https://www.docomo.ne.jp/info/network/|NTT Docomo network trouble and maintenance notices|ドコモ 通信障害・工事のお知らせ|https://www.docomo.ne.jp/info/rss/network.rdf|https://www.docomo.ne.jp/info/rss/network.rdf|RSS 1.0 feed of Docomo's network status notices: service disruptions, their affected areas and restoration, and planned maintenance windows. 16 items on fetch, each linking to the detail page. The primary record for a Docomo outage on a given day.|interval=3600;array_path=item;title_keys=title;id_keys=link;date_keys=dc:date,date;link_keys=link
JP25_JPINFRA_DOCOMO_NOTICE|xml|any|infrastructure|telecom-notice|japan,docomo,ntt,telecom,notice|https://www.docomo.ne.jp/info/notice/|NTT Docomo important notices|ドコモ 重要なお知らせ|https://www.docomo.ne.jp/info/rss/notice.rdf|https://www.docomo.ne.jp/info/rss/notice.rdf|Docomo's important-notice feed: phishing campaigns impersonating the carrier, terms changes, service terminations and security advisories. About 15 items on fetch.|interval=7200;array_path=item;title_keys=title;id_keys=link;date_keys=dc:date,date;link_keys=link
JP25_JPINFRA_DOCOMO_NEWS_RELEASE|xml|any|infrastructure|press-release|japan,docomo,ntt,telecom,press|https://www.docomo.ne.jp/info/news_release/|NTT Docomo news releases|ドコモ 報道発表資料|https://www.docomo.ne.jp/info/rss/news_release.rdf|https://www.docomo.ne.jp/info/rss/news_release.rdf|Corporate press releases from Japan's largest mobile carrier: spectrum, base-station rollout, partnerships, incidents. Roughly 30 items on fetch with dc:date.|interval=7200;array_path=item;title_keys=title;id_keys=link;date_keys=dc:date,date;link_keys=link
JP25_JPINFRA_DOCOMO_SERVICE|xml|any|infrastructure|telecom-notice|japan,docomo,telecom,service|https://www.docomo.ne.jp/info/|NTT Docomo service notices|ドコモ サービスに関するお知らせ|https://www.docomo.ne.jp/info/rss/service.rdf|https://www.docomo.ne.jp/info/rss/service.rdf|Service-level announcements (launches, changes, terminations) as an RSS 1.0 feed, about 15 items on fetch.|interval=14400;array_path=item;title_keys=title;id_keys=link;date_keys=dc:date,date;link_keys=link
