# Batch 28 — jpcourt: Japan court/legal-proceedings/disciplinary sources
# Generated from docs/review-sources-batch25.jpcourt.txt via live WebFetch inspection (see docs/rejected-sources-batch28.jpcourt.tsv for drops)
# Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts

JO28_GAZ_INDEX|html|any|gazette|gazette-edition-index|japan,gazette,kanpo,legal,notice|https://www.kanpo.go.jp|Official Gazette Daily Edition Index|官報 本日の官報|https://www.kanpo.go.jp/index.html|https://www.kanpo.go.jp/index.html|Observed live: this stable "today" pointer lists the current day's Main/Extra/Government-Procurement/Special-Extra gazette editions, each linking to that edition's own dated table-of-contents page (e.g. /20260828/20260828h01778/20260828h017780000f.html). No stable alias exists for the deeper dated category/notice pages — a bare https://www.kanpo.go.jp/fullcontents.html 404s — so this index is the only durable, re-fetchable entry point into the gazette, and each day's fetch yields a fresh small set of dated edition-TOC links.|href_must=0000f.html;base=https://www.kanpo.go.jp;interval=86400;pagination_ok=daily gazette homepage shows only today's editions\, no paging parameter exists
JO28_PROS_VICTIMFUND|html|any|legal-record|asset-forfeiture-case-notice|japan,prosecutors,crime-victim,asset-forfeiture,compensation|https://www.kensatsu.go.jp|Crime Victim Compensation Payment System Case List|被害回復給付金支給制度|https://www.kensatsu.go.jp/higaikaihuku/index.htm|https://www.kensatsu.go.jp/higaikaihuku/index.htm|Observed live: a numbered list of asset-forfeiture cases, each anchor linking to a regional-prosecutor detail page under /kakuchou/<branch>/ (e.g. fukuoka/sagi_higaisha.html, matsue/202608kyufukin.html, tokyo/page1000001_00306.html), with anchor text carrying the case name and offense (e.g. "「和田裕斗による詐欺事件」の被害回復給付金支給手続について"). The list grows as new compensation-fund cases open nationwide.|href_must=/kakuchou/;base=https://www.kensatsu.go.jp;interval=604800;pagination_ok=single index page lists all currently open cases\, no separate pagination observed
JO28_PROS_OSHIRASE|html|any|legal-record|agency-announcement|japan,prosecutors,announcement|https://www.kensatsu.go.jp|Prosecutors Office Announcements List|検察庁からのお知らせ一覧|https://www.kensatsu.go.jp/oshirase/index.shtml|https://www.kensatsu.go.jp/oshirase/index.shtml|Observed live: real per-item anchors to /page1000*.html detail pages carrying distinct announcement titles, e.g. a fake-website warning, a scam-call warning naming real companies, and an interpreter-recruitment notice from the Supreme Prosecutors Office branch. No pagination is present; it is a single current-announcements list.|href_must=/page1000;base=https://www.kensatsu.go.jp;interval=86400;pagination_ok=single index page carries the current announcements list with no page parameter
JO28_PROS_DIRECTORY|html|any|legal-record|prosecutors-office-directory-entry|japan,prosecutors,directory|https://www.kensatsu.go.jp|Directory of All Japan Prosecutors Offices|各検察庁一覧|https://www.kensatsu.go.jp/kakuchou/index.htm|https://www.kensatsu.go.jp/kakuchou/index.htm|Observed live: a repeating list of regional office links relative to the kakuchou directory (tokyo/tokyo.shtml, osaka/osaka.shtml, nagoya/nagoya.shtml, etc.), anchor text is the office's full Japanese name. A structural map rather than case data, but a genuine per-office html link list.|href_must=.shtml;base=https://www.kensatsu.go.jp/kakuchou/;interval=2592000;pagination_ok=static nationwide office directory is small and stable\, no pagination
JO28_BIT_WORDS|html|any|legal-record|auction-glossary-term|japan,court,auction,realestate,bit,glossary|https://www.bit.courts.go.jp|BIT Auction Terminology Glossary|BIT 用語集|https://www.bit.courts.go.jp/words/index.html|https://www.bit.courts.go.jp/words/index.html|Observed live: roughly 150 terms grouped by kana range, each a real anchor to its own detail page, e.g. /words/a-o/a01.html ("空き家（残置物あり）"), /words/ka-ko/ka01.html ("買受可能価額"), /words/sa-so/sa01.html ("最高価買受申出人"). A stable structured glossary of real-estate-auction legal terminology.|href_must=/words/;base=https://www.bit.courts.go.jp;interval=2592000;pagination_ok=static glossary index page lists every term\, no pagination
JO28_BIT_INFO|html|any|legal-record|auction-court-contact|japan,court,auction,realestate,bit,directory|https://www.bit.courts.go.jp|BIT Nationwide Court Contact Directory|BIT 各裁判所への連絡先|https://www.bit.courts.go.jp/info/index.html|https://www.bit.courts.go.jp/info/index.html|Observed live: each court name is a real anchor to its own contact-detail page (e.g. /info/info_38111.html for Sapporo District Court), rather than static text — a genuine per-court link list covering every district court's auction department contact info.|href_must=/info/info_;base=https://www.bit.courts.go.jp;interval=2592000;pagination_ok=static nationwide court directory\, no pagination
JO28_BIT_FAQ|html|any|legal-record|auction-faq-entry|japan,court,auction,realestate,bit,faq|https://www.bit.courts.go.jp|BIT Auction Site FAQ|BIT よくある質問|https://www.bit.courts.go.jp/faq/index.html|https://www.bit.courts.go.jp/faq/index.html|Observed live: a real list of Q&A entries, each a distinct anchor to its own detail page (/faq/faq01.html through /faq/faq10.html+), e.g. "Q．競売情報の閲覧（検索結果の表示）や画面遷移ができません。" — not inline JS-expand prose.|href_must=/faq/faq;base=https://www.bit.courts.go.jp;interval=2592000;pagination_ok=static FAQ index\, no pagination
JO28_LRC_MHLW_RECENT|html|any|legal-record|labor-order-recent-notice|japan,labor,laborrelations,unfairlabor,mhlw|https://www.mhlw.go.jp/churoi/|Central Labor Relations Commission Recent Orders|中央労働委員会 最近の不当労働行為|https://www.mhlw.go.jp/churoi/|https://www.mhlw.go.jp/churoi/|Observed live: the commission hub's "最近の不当労働行為" section lists ~10-12 real dated unfair-labor-practice order entries, each a direct anchor to a PDF (e.g. /churoi/futouroudou/dl/r080825-1.pdf, dated 令和8年8月25日). A genuine, currently-updating recent-orders feed from Japan's national labor tribunal.|href_must=/churoi/futouroudou/dl/;base=https://www.mhlw.go.jp;interval=604800;pagination_ok=hub page shows only the current recent-orders window\, no page parameter
JO28_LRC_TOKYO_INDEX|html|any|legal-record|labor-order-year-index|japan,labor,laborrelations,unfairlabor,tokyo|https://www.toroui.metro.tokyo.lg.jp|Tokyo Metropolitan Labor Relations Commission Order Year Index|東京都労働委員会 命令等概要|https://www.toroui.metro.tokyo.lg.jp/meirei|https://www.toroui.metro.tokyo.lg.jp/meirei|Observed live: a repeating list of fiscal-year archive links (令和３〜７年交付分), e.g. /meirei/2025, /meirei/2024, /meirei/2023, each leading to that year's case orders. A durable index that gains one new year link annually.|href_must=/meirei/20;base=https://www.toroui.metro.tokyo.lg.jp;interval=2592000;pagination_ok=one new fiscal-year link added per year\, no page parameter
JO28_LRC_OSAKA_INDEX|html|any|legal-record|labor-order-halfyear-index|japan,labor,laborrelations,unfairlabor,osaka|https://www.pref.osaka.lg.jp|Osaka Labor Relations Commission Order Half-Year Index|大阪府労働委員会 命令概要|https://www.pref.osaka.lg.jp/o220020/rodoi/meirei/index.html|https://www.pref.osaka.lg.jp/o220020/rodoi/meirei/index.html|Observed live: a repeating list of half-year archive links (e.g. /o220020/rodoi/meirei/r6meirei1.html "令和6年命令概要(上半期)", r6meirei2.html, r7meirei1.html); one drill-down confirmed each half-year page in turn lists ~21 real per-case entries with case codes and outcomes. The index page grows by one new half-year link twice a year.|href_must=/o220020/rodoi/meirei/r;base=https://www.pref.osaka.lg.jp;interval=2592000;pagination_ok=two new half-year links added per year\, no page parameter
