# Batch 28 — jpdeepweb: Japan security-advisory / breach-monitoring / CERT sources, manifest rows
# generated from docs/review-sources-batch25.jpdeepweb.txt after inspecting each URL's real response.
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO28_JPCERT_TSUBAME_REPORTLIST|html|any|threat|threat-monitoring-report|japan,jpcert,tsubame,darknet,sensor|https://www.jpcert.or.jp|JPCERT/CC TSUBAME quarterly report archive — link list|JPCERT/CC インターネット定点観測レポート一覧|https://www.jpcert.or.jp/english/tsubame/report/index.html|https://www.jpcert.or.jp/english/tsubame/report/index.html|Index page listing every quarterly TSUBAME darknet-sensor report since 2013Q4, mixing HTML report pages (/english/tsubame/report/report202601-03.html) and older PDF releases (/english/doc/TSUBAMEReport2024Q4_en.pdf). href_must="eport" was chosen because it is the one substring both link shapes share (lowercase "report" and capitalised "...Report...") while excluding the page's own nav links (HOME, menu_documents, at/, tsubame/).|href_must=eport;base=https://www.jpcert.or.jp;interval=604800;pagination_ok=single index page covering the full archive back to 2013Q4, no page parameter
JO28_JPCERT_QUARTERLY_REPORTLIST|html|any|threat|incident-activity-report|japan,jpcert,quarterly,incident,report|https://www.jpcert.or.jp|JPCERT/CC Quarterly Report archive — link list|JPCERT/CC 活動四半期レポート一覧|https://www.jpcert.or.jp/english/quarterly/report.html|https://www.jpcert.or.jp/english/quarterly/report.html|Index page of JPCERT/CC's consolidated Quarterly Report PDFs (the FY2025 merger of the old Activities Overview and Incident Handling Report), observed live with entries such as "JPCERT/CC Quarterly Report [January 1, 2026 - March 31, 2026]" at /english/doc/QuarterlyReport2025Q4_en.pdf dated 2026-08-21. href_must="QuarterlyReport" matches every PDF link on the page.|href_must=QuarterlyReport;base=https://www.jpcert.or.jp;interval=2592000;pagination_ok=single index page covering the archive back to 2008, no page parameter
JO28_JPCERT_IR_REPORTLIST|html|any|threat|incident-handling-report|japan,jpcert,incident,archive,report|https://www.jpcert.or.jp|JPCERT/CC Incident Handling Report archive — link list|JPCERT/CC インシデント報告対応レポート一覧|https://www.jpcert.or.jp/ir/report.html|https://www.jpcert.or.jp/ir/report.html|Archive of JPCERT/CC's older per-quarter incident-handling statistics PDFs (2008-2025, superseded going forward by the Quarterly Report above), observed live with e.g. "JPCERT/CCインシデント報告対応レポート［2025年1月1日～2025年3月31日］" at /pr/2025/IR_Report2024Q4.pdf published 2025-04-17. href_must="IR_Report" matches every archive PDF link.|href_must=IR_Report;base=https://www.jpcert.or.jp;interval=2592000;pagination_ok=single index page covering the 2008-2025 archive, no page parameter
JO28_JVN_VU_RSS|xml|any|advisory|vulnerability-record|japan,jvn,vu,vulnerability,ics,hardware,rss|https://jvn.jp/en/|JVN — VU-classified vulnerability notes RSS|Japan Vulnerability Notes（VU分類RSS）|https://jvn.jp/en/rss/jvnVU.rdf|https://jvn.jp/en/rss/jvnVU.rdf|RSS 1.0/RDF feed for JVNVU# entries (the hardware/ICS-leaning classification, mirroring US-CERT VU style), confirmed live with real content: "FURUNO ELECTRIC FA-50 CLASS B AIS TRANSPONDER uses hard-coded credentials..." at https://jvn.jp/en/vu/JVNVU95422936/, dated 2026-08-25T14:00:00+09:00. Feed held 50 distinct entries spanning August 2025 to August 2026 at fetch time.|interval=3600;array_path=item;title_keys=title;id_keys=link;date_keys=dc:date,dcterms:issued;link_keys=link;body_keys=description;pagination_ok=RSS 1.0 feed of the current ~50-entry window, no page parameter
JO28_JVNDB_NEW_RSS|xml|any|advisory|vulnerability-record|japan,jvn,jvndb,ipedia,cvss,vulnerability,rss|https://jvndb.jvn.jp|JVN iPedia — new vulnerability entries RSS|脆弱性対策情報データベース JVN iPedia（新着RSS）|https://jvndb.jvn.jp/rss/en/jvndb_new.rdf|https://jvndb.jvn.jp/rss/en/jvndb_new.rdf|RSS 1.0/RDF feed confirmed live over HTTPS with a real item: "Multiple vulnerabilities in GROWI" at https://jvndb.jvn.jp/en/contents/2026/JVNDB-2026-000089.html. Items additionally carry sec:identifier and sec:cvss fields alongside the usual title/link/description/dc:date. Distinct from the myjvn API and from the jvn.jp-hosted feeds above; this is the JVN iPedia database's own new-entries channel (290,167 total vulnerabilities in the database per the portal page).|interval=3600;array_path=item;title_keys=title;id_keys=link;date_keys=dc:date,dcterms:issued;link_keys=link;body_keys=description;pagination_ok=RSS 1.0 feed of newest entries only (jvndb_new.rdf\; publisher describes it as "25 articles"), no page parameter
JO28_IPA_10THREATS_INDEX|html|any|advisory|annual-threat-ranking|japan,ipa,threats,ranking,annual|https://www.ipa.go.jp|IPA Top 10 Information Security Threats — yearly index|情報セキュリティ10大脅威（年次アーカイブ）|https://www.ipa.go.jp/security/10threats/index.html|https://www.ipa.go.jp/security/10threats/index.html|Hub page linking to IPA's annual expert-panel threat ranking for each year, confirmed live with hrefs /security/10threats/10threats2026.html, 10threats2025.html and 10threats2024.html, archive extending back to 2014. No RSS feed was found on the page.|href_must=10threats20;base=https://www.ipa.go.jp;interval=604800;pagination_ok=single index page listing yearly rankings back to 2014, no page parameter
JO28_IPA_ANSHIN_REPORTLIST|html|any|advisory|consultation-trend-report|japan,ipa,anshin,scam,consultation,quarterly|https://www.ipa.go.jp|IPA Anshin Security Consultation — quarterly outline reports|IPA 情報セキュリティ安心相談窓口 公開レポート一覧|https://www.ipa.go.jp/security/anshin/|https://www.ipa.go.jp/security/anshin/|Page listing quarterly consultation-trend outline reports under 情報セキュリティ安心相談窓口公開レポート, confirmed live with hrefs /security/anshin/reports/2026q2outline.html ("2026年第2四半期"), 2025q4outline.html and 2024q1outline.html. href_must is scoped to "anshin/reports/" specifically (the page also references a separate サイバーセキュリティ相談窓口 series under /security/support/reports/, which is a different program and is not captured here).|href_must=anshin/reports/;base=https://www.ipa.go.jp;interval=604800;pagination_ok=single index page of quarterly outline reports, no page parameter
JO28_MIC_CYBERSECURITY_NEWS|html|any|advisory|government-notice|japan,mic,soumu,iot,notice,cyder|https://www.soumu.go.jp|MIC Cybersecurity Division — news list|総務省サイバーセキュリティ統括官室 新着情報|https://www.soumu.go.jp/main_sosiki/cybersecurity/|https://www.soumu.go.jp/main_sosiki/cybersecurity/|Ministry of Internal Affairs and Communications cybersecurity hub page, confirmed live with dated items such as a 2026-08-03 CTF contest announcement and a 2026-05-14 telecom incident report, all linking under /menu_news/s-news/. Covers NOTICE IoT-compromise monitoring and CYDER training announcements; no RSS feed was found on the page.|href_must=/menu_news/s-news/;base=https://www.soumu.go.jp;interval=21600;pagination_ok=current new-items window on the division page, no page parameter observed
JO28_NPA_CYBER_NEWSLETTER_LIST|html|any|threat|threat-newsletter|japan,npa,police,cyber,newsletter,iot|https://www.npa.go.jp|NPA Cyber Police Bureau — newsletter archive|警察庁サイバー警察局 広報誌一覧|https://www.npa.go.jp/bureau/cyber/index.html|https://www.npa.go.jp/bureau/cyber/index.html|National Police Agency Cyber Police Bureau hub page, confirmed live with dated PDF newsletters under /bureau/cyber/pdf/ — e.g. R8.8.20 "警察への通報・相談を躊躇しないで" at /bureau/cyber/pdf/R8_Vol.10cpal.pdf and R8.7.21 coverage of residential-proxy misuse. href_must is scoped to the pdf/ path specifically to avoid unrelated nav links; no RSS feed was found on the page.|href_must=/bureau/cyber/pdf/;base=https://www.npa.go.jp;interval=86400;pagination_ok=current newsletter listing on the bureau page, no page parameter observed
JO28_NPA_CYBER_STATS_LIST|html|any|threat|cybercrime-statistics-report|japan,npa,police,statistics,cybercrime|https://www.npa.go.jp|NPA Cyberspace Threat Situation Reports — archive|警察庁 サイバー空間をめぐる脅威の情勢等（アーカイブ）|https://www.npa.go.jp/publications/statistics/cybersecurity/|https://www.npa.go.jp/publications/statistics/cybersecurity/|Static archive page of NPA's semiannual/annual cybercrime statistics PDFs, confirmed live with e.g. the Reiwa 7 (2025) full-year report at /publications/statistics/cybersecurity/data/R7/R07_cyber_jousei.pdf (27.1MB), plus accompanying Excel/CSV breakdowns. No RSS feed was found.|href_must=/publications/statistics/cybersecurity/data/;base=https://www.npa.go.jp;interval=2592000;pagination_ok=single archive page listing yearly/semiannual reports, no page parameter
