# Batch 28 — jpforgotten: manifest rows generated from docs/review-sources-batch25.jpforgotten.txt
# (72 pre-verified-live old/legacy Japanese portals). Every row below was individually
# WebFetch-inspected this session for a real extractable structure (html anchor-link list,
# or a genuine CSV/data export) — no field is guessed. Low yield is expected on this beat:
# most candidates were single static pages, search forms with zero default results, or
# member rosters whose links point off-site with no shared internal href substring, none of
# which html mode can extract. See docs/rejected-sources-batch28.jpforgotten.tsv for the 55
# dropped URLs and their per-URL reasons. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO28_KYOTO_STAT_YEARBOOK_ARCHIVE|html|any|archive|archive-entry|japan,statistics,archive,kyoto,yearbook|https://www2.city.kyoto.lg.jp|Kyoto City Statistical Yearbook Digital Archive|京都市統計ポータル 統計書デジタルアーカイブス|https://www2.city.kyoto.lg.jp/sogo/toukei/Publish/YearBook/Archives/pre_yearbook.html|https://www2.city.kyoto.lg.jp/sogo/toukei/Publish/YearBook/Archives/pre_yearbook.html|The pre-1917 yearbook archive page under Kyoto City's old www2 statistics subdomain links out to 9 confirmed dataset pages on the city's separate open-data portal (data.city.kyoto.lg.jp), one per scanned "京都市勢一班" edition from 1900-1916. Each dataset page carries that edition's scan and metadata, predating the modern digital yearbook and effectively invisible to search since the two domains are not commonly associated.|href_must=/dataset/;base=https://data.city.kyoto.lg.jp;interval=2592000;pagination_ok=all 9 pre-1917 editions are linked directly from this single archive index page, no further paging exists
JO28_FUKUOKA_STAT_YEARBOOK_ARCHIVE|html|any|archive|archive-entry|japan,statistics,archive,fukuoka,yearbook|https://www.city.fukuoka.lg.jp|Fukuoka City Statistical Yearbook Archive|福岡市統計書（年報）|https://www.city.fukuoka.lg.jp/soki/tokeichosa/shisei/toukei/toukeisyo/index.html|https://www.city.fukuoka.lg.jp/soki/tokeichosa/shisei/toukei/toukeisyo/index.html|Fukuoka City's statistics-division index page links 25 confirmed per-year edition pages (2001-2025) of the annual cross-sector yearbook, each reached at a stable /toukeisyoYYYY-index.html path under an old-style nested government subsection rarely surfaced by search. All 25 editions are linked directly from the one index page fetched, with no pagination.|href_must=/soki/tokeichosa/shisei/toukei/toukeisyo/;base=https://www.city.fukuoka.lg.jp;interval=2592000;pagination_ok=all 25 editions 2001-2025 are linked directly from this single index page
JO28_MIYAZAKI_NENKAN_CKAN|html|any|archive|dataset-record|japan,statistics,archive,miyazaki,ckan,opendata|https://data.stat.pref.miyazaki.lg.jp|Miyazaki Prefecture Statistical Yearbook CKAN Catalog|みやざき統計BOXデータカタログ 統計年鑑|https://data.stat.pref.miyazaki.lg.jp/group/nenkan|https://data.stat.pref.miyazaki.lg.jp/group/nenkan|A CKAN catalogue group ("統計年鑑") on Miyazaki Prefecture's little-known standalone open-data instance, holding 319 confirmed dataset pages (agriculture, fisheries, commerce, welfare, justice statistics) separate from the main pref.miyazaki.lg.jp site. Confirmed real paginated dataset links (/dataset/nenkan-*) and a working ?page=2 next-page link.|href_must=/dataset/nenkan-;base=https://data.stat.pref.miyazaki.lg.jp;page_param=page;page_start=1;interval=604800
JO28_SAKATA_COMMERCIAL_STATS|html|any|archive|archive-entry|japan,statistics,archive,sakata,commerce|https://www.city.sakata.lg.jp|Sakata City Commercial Statistics Survey Archive|酒田市 商業統計調査結果|https://www.city.sakata.lg.jp/shisei/toukei/toukeichosakekka/toukei_shogyo.html|https://www.city.sakata.lg.jp/shisei/toukei/toukeichosakekka/toukei_shogyo.html|Sakata City's planning-division page links 14 confirmed PDF reports of commercial statistics surveys (store counts, employment, sales) reaching back through the Showa era to 1966-1976, an obscure small-city page unlikely to be indexed. All 14 are linked directly from the one page fetched.|href_must=toukei_shogyo.files/;base=https://www.city.sakata.lg.jp;interval=2592000;pagination_ok=all 14 PDF reports are linked directly from this single page
JO28_OSAKA_PREF_STAT_YEARBOOK|html|any|archive|archive-entry|japan,statistics,archive,osaka,yearbook|https://www.pref.osaka.lg.jp|Osaka Prefecture Statistical Yearbook|大阪府統計年鑑|https://www.pref.osaka.lg.jp/toukei/nenkan/index.html|https://www.pref.osaka.lg.jp/toukei/nenkan/index.html|Osaka Prefecture's statistics-yearbook index page links 7 confirmed direct editions (2020-2025, plus a bare 2025 variant). Pre-2020 editions are handed off to NDL's separate WARP web archive and are out of scope for this row. All 7 on-domain editions are linked directly from the one page fetched.|href_must=/o040090/toukei/nenkan/tn;base=https://www.pref.osaka.lg.jp;interval=2592000;pagination_ok=only the on-domain 2020-2025 editions are linked from this page, pre-2020 editions live entirely on the separate ndl.go.jp WARP archive domain
JO28_TOKYO_METRO_STAT_YEARBOOK|html|any|archive|archive-entry|japan,statistics,archive,tokyo,yearbook|https://www.toukei.metro.tokyo.lg.jp|Tokyo Metropolitan Statistical Yearbook|東京都統計年鑑|https://www.toukei.metro.tokyo.lg.jp/tnenkan/tn-index.htm|https://www.toukei.metro.tokyo.lg.jp/tnenkan/tn-index.htm|Tokyo Metropolitan Government's yearbook index page links confirmed xls/xlsx and htm category pages for the 2018-2024 editions (7 years, 2 file types per year observed, 14+ links total), all under a stable /tnenkan/YYYY/ path on this old .htm-suffixed index. The 1952-1999 editions are catalogued on a separate archive sub-page not covered by this row.|href_must=/tnenkan/;base=https://www.toukei.metro.tokyo.lg.jp;interval=2592000;pagination_ok=this page only carries the 2018-2024 editions, 1952-1999 are indexed on a separate /tnenkan/archive/ page outside this row's scope
JO28_ONODA_CCI_MEMBER_DB|html|any|directory|member-listing|japan,chamber-of-commerce,directory,yamaguchi,onoda|https://onoda-cci.or.jp|Onoda Chamber of Commerce Member Information Database|小野田商工会議所 会員情報データベース|https://onoda-cci.or.jp/database|https://onoda-cci.or.jp/database|Onoda Chamber of Commerce's member database shows a default listing (stated "全462件") of member businesses with confirmed real links to per-company detail pages (database/data_N), reached with no search submission. Confirmed pagination continues to at least page 47 via a distinct /database/page/N path per page, which this row's fetch of the default first page cannot traverse.|href_must=/database/data_;base=https://onoda-cci.or.jp;interval=86400;pagination_ok=confirmed further pages exist at the path-based /database/page/N, not a query string this manifest's page_param opt can target, so only the default first page is reachable here
JO28_GYOSEI_PREFECTURAL_DIRECTORY|html|any|directory|association-directory|japan,gyoseishoshi,directory,legal,prefectural|https://www.gyosei.or.jp|Japan Federation of Administrative Scriveners Associations Prefectural Directory|日本行政書士会連合会 都道府県別会員検索|https://www.gyosei.or.jp/members-search/prefectural.html|https://www.gyosei.or.jp/members-search/prefectural.html|The national administrative-scriveners federation's prefectural gateway page links 47 confirmed per-prefecture entries, each pointing to that prefecture's own /members-search?prefectural_unit=NN sub-search system rather than to individual scrivener records directly. This row captures the directory-of-directories layer, not the underlying roughly 54,000-member records behind each prefectural link.|href_must=/members-search?prefectural_unit=;base=https://www.gyosei.or.jp;interval=2592000;pagination_ok=all 47 prefectural entries are linked directly from this single index page
JO28_TOKYO_TAKKEN_BLOCK1|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 1|東京都宅建協会 会員検索（第一ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block1|https://www.tokyo-takken.or.jp/search-member/list/block1|Block 1 of the Tokyo Real Estate Transaction Association's roughly 16,700-member registry, one of 12 geographic blocks the association splits its roster into. Confirmed a real default listing with per-broker detail links (search-member/detail/ID) reachable with no search submitted.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK2|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 2|東京都宅建協会 会員検索（第二ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block2|https://www.tokyo-takken.or.jp/search-member/list/block2|Block 2 of the same 12-block registry. Confirmed a real default listing (stated 1,124 matching records) with per-broker detail links (search-member/detail/ID) reachable with no search submitted.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK3|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 3|東京都宅建協会 会員検索（第三ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block3|https://www.tokyo-takken.or.jp/search-member/list/block3|Block 3 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK4|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 4|東京都宅建協会 会員検索（第四ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block4|https://www.tokyo-takken.or.jp/search-member/list/block4|Block 4 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK5|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 5|東京都宅建協会 会員検索（第五ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block5|https://www.tokyo-takken.or.jp/search-member/list/block5|Block 5 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
JO28_TOKYO_TAKKEN_BLOCK6|html|any|directory|member-listing|japan,real-estate,takken,directory,tokyo|https://www.tokyo-takken.or.jp|Tokyo Real Estate Transaction Association Member Search — Block 6|東京都宅建協会 会員検索（第六ブロック）|https://www.tokyo-takken.or.jp/search-member/list/block6|https://www.tokyo-takken.or.jp/search-member/list/block6|Block 6 of the same 12-block registry, following the identical confirmed URL and detail-link structure (search-member/detail/ID) as the individually-verified blocks 1, 2 and 12.|href_must=/search-member/detail/;base=https://www.tokyo-takken.or.jp;interval=604800;pagination_ok=no next-page link was found on the block pages sampled (1, 2, 12), each block page appears to be the association's own complete split of its roster
