# Batch 28 candidate sources — jppolice: Japan police / public-safety sources
# Derived from docs/review-sources-batch25.jppolice.txt, WebFetch-verified per row.
# Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO28_NPA_WANTED_PREFECTURE_DIRECTORY|html|any|police|wanted-directory-link|japan,police,npa,wanted,directory|https://www.npa.go.jp/bureau/criminal/wanted/index.html|NPA — Directory of Prefectural Wanted-Persons Pages|都道府県警察の指名手配ページへのリンク|https://www.npa.go.jp/bureau/criminal/wanted/link.html|https://www.npa.go.jp/bureau/criminal/wanted/link.html|NPA's own master index of every prefectural police force's wanted-persons page, grouped by 9 regions. Fetched live: anchors such as "北海道警察のページへ" → police.pref.hokkaido.lg.jp/... and "大阪府警察のページへ" → police.pref.osaka.lg.jp/jiken/wanted/index.html confirm the pattern. Most (not all — Tokyo's keishicho.metro.tokyo.lg.jp is a known exception) prefectural wanted-page domains contain "police", making this a real, if imperfect, crawl root for the whole wanted-persons beat.|interval=2592000;href_must=police;base=https://www.npa.go.jp
JO28_NPA_UNIDENTIFIED_BODY_DIRECTORY|html|any|police|unidentified-body-directory-link|japan,police,npa,forensic,directory|https://www.npa.go.jp/bureau/criminal/mimotofumeilink.html|NPA — Directory of Prefectural Unidentified-Body Pages|身元不明死者情報ページのリンク集|https://www.npa.go.jp/bureau/criminal/mimotofumeilink.html|https://www.npa.go.jp/bureau/criminal/mimotofumeilink.html|NPA's index of every prefecture's unidentified-deceased-persons page, grouped by 8 regions. Fetched live: "札幌方面" → police.pref.hokkaido.lg.jp/incident/mimoto_fumei/..., "愛知県" → pref.aichi.jp/police/anzen/sousa/mimotokensaku/... — an under-modeled forensic-identification data class with no national single-file equivalent.|interval=2592000;href_must=police;base=https://www.npa.go.jp
JO28_NPA_MISSING_PERSONS_APPEAL_DIRECTORY|html|any|police|missing-persons-appeal-link|japan,police,npa,missing-persons,directory|https://www.npa.go.jp/bureau/safetylife/fumei/index.html|NPA — Directory of Prefectural Missing-Persons Appeal Pages|行方不明者に関する情報提供のお願い|https://www.npa.go.jp/bureau/safetylife/fumei/index.html|https://www.npa.go.jp/bureau/safetylife/fumei/index.html|NPA's index of ~47 prefectural missing-persons public-appeal pages, grouped into 7 regional sections. Fetched live: "北海道警察" → police.pref.hokkaido.lg.jp/incident/incident.html, plus police.pref.aomori.jp and keishicho.metro.tokyo.lg.jp examples — most target domains contain "police", the same partial-coverage caveat as the wanted-persons directory applies.|interval=2592000;href_must=police;base=https://www.npa.go.jp
JO28_NPA_CYBERSECURITY_STATS_ARCHIVE|html|any|police|cyber-stat-release|japan,police,npa,cybersecurity,statistics|https://www.npa.go.jp/publications/statistics/cybersecurity/index.html|NPA — Cybersecurity Threat Statistics Archive|サイバー空間をめぐる脅威の情勢等|https://www.npa.go.jp/publications/statistics/cybersecurity/index.html|https://www.npa.go.jp/publications/statistics/cybersecurity/index.html|NPA's half-year and full-year cyber-threat statistical release archive back to Heisei 26 (2014). Fetched live: release bundles under /data/R7/ and /data/R6/ (PDF + XLSX + per-figure CSV, e.g. R06_jousei_data_1.csv), each release a real per-period anchor. One release bundle per half-year/full-year, ~2 releases per year.|interval=2592000;href_must=/data/R;base=https://www.npa.go.jp
JO28_NPA_TRAFFIC_ACCIDENT_STATS_TABLES|html|any|police|traffic-stat-release|japan,police,npa,traffic,statistics|https://www.npa.go.jp/publications/statistics/koutsuu/toukeihyo.html|NPA — Traffic Accident Statistical Table Releases|交通事故統計（統計表）|https://www.npa.go.jp/publications/statistics/koutsuu/toukeihyo.html|https://www.npa.go.jp/publications/statistics/koutsuu/toukeihyo.html|NPA's list of monthly/half-year/annual traffic-accident statistical-table releases, most recent monthly report on e-stat.go.jp. Fetched live: monthly example → e-stat.go.jp/stat-search/files (page 1, layout=datalist, lid=000001477155) (Jan 2026), coverage Reiwa 2-8 (2020-2026), most recent marked "New!" (July 2026). Only the e-stat.go.jp monthly stream is captured by this href filter; separate annual/half-year analysis PDFs on npa.go.jp are not.|interval=86400;href_must=e-stat.go.jp/stat-search;base=https://www.npa.go.jp
JO28_NPA_TRAFFIC_ANALYSIS_ARCHIVE|html|any|police|traffic-analysis-release|japan,police,npa,traffic,analysis|https://www.npa.go.jp/bureau/traffic/bunseki/info.html|NPA — Traffic Accident Analysis Materials Archive|交通事故分析資料|https://www.npa.go.jp/bureau/traffic/bunseki/info.html|https://www.npa.go.jp/bureau/traffic/bunseki/info.html|NPA Traffic Bureau's graph-based accident-causation analysis reports across three recurring series (annual/nenkan, first-half/kamihanki, seasonal-campaign/anzenundou). Fetched live: real anchors include /bureau/traffic/bunseki/nenkan/080226R07nenkan.pdf and /bureau/traffic/bunseki/anzenundou/R7akinoundou_koutuujikobunseki.pdf, released roughly twice yearly plus seasonal campaign editions.|interval=2592000;href_must=/bureau/traffic/bunseki/;base=https://www.npa.go.jp
JO28_NPA_SUICIDE_STATS_ARCHIVE|html|any|police|suicide-stat-release|japan,police,npa,suicide,statistics|https://www.npa.go.jp/publications/statistics/safetylife/jisatsu.html|NPA — Suicide Statistics Release Archive|自殺統計|https://www.npa.go.jp/publications/statistics/safetylife/jisatsu.html|https://www.npa.go.jp/publications/statistics/safetylife/jisatsu.html|NPA's police-recorded suicide-statistics releases, chronological back to Heisei 16 (2004), ~20+ dated entries. Fetched live: "令和８年中の月別自殺者数について（７月末の暫定値）" → /safetylife/seianki/jisatsu/R08/zantei0807.pdf, each release also carrying a companion CSV/XLSX (the CSV itself confirmed Shift_JIS-garbled in a sibling check, but this row captures the release-list anchors, not that file's content).|interval=86400;href_must=/safetylife/seianki/jisatsu/;base=https://www.npa.go.jp
JO28_JCG_PRESS_RELEASE_ARCHIVE|html|any|maritime-safety|press-release|japan,maritime-safety,coastguard,press-release|https://www.kaiho.mlit.go.jp/info/kouhou/|Japan Coast Guard — Press Release Archive|広報|https://www.kaiho.mlit.go.jp/info/kouhou/|https://www.kaiho.mlit.go.jp/info/kouhou/|JCG's reverse-chronological press-release archive, one link per release. Fetched live: "第155回水路記念日『海図から読み解く昭和の変革』" → /info/kouhou/post-1344.html, "海の事故ゼロキャンペーン期間中の海難発生状況" → /info/kouhou/post-1338.html, span observed January 2022 through August 2026 (100+ entries), several releases per week. No RSS feed link found on the page.|interval=21600;href_must=/info/kouhou/post-;base=https://www.kaiho.mlit.go.jp
JO28_JCG_TOPICS_ADVISORY_ARCHIVE|html|any|maritime-safety|advisory-notice|japan,maritime-safety,coastguard,advisory|https://www.kaiho.mlit.go.jp/info/topics/|Japan Coast Guard — Topics / Public Advisories|トピックス|https://www.kaiho.mlit.go.jp/info/topics/|https://www.kaiho.mlit.go.jp/info/topics/|JCG's rolling topics/advisories feed, distinct from the formal press-release archive. Fetched live: "我が国周辺海域での外国籍船の救助" → /info/topics/rescueforeignvessels.html and "我が国周辺海域における海洋調査船への対応状況" → /info/topics/post-1343.html, several updates per week, dates through August 2026. Anchor naming mixes numbered posts and descriptive slugs, so href_must is scoped to the page's own directory rather than a filename pattern.|interval=21600;href_must=/info/topics/;base=https://www.kaiho.mlit.go.jp
JO28_JCG_OKINAWA_MARITIME_ACCIDENT_REPORTS|html|any|maritime-safety|maritime-accident-report|japan,maritime-safety,coastguard,okinawa|https://www.kaiho.mlit.go.jp/11kanku/03kakuka/10kotsu_taisaku/kainan_top.htm|Japan Coast Guard 11th Regional HQ (Okinawa) — Monthly Maritime Accident Reports|海難発生状況（第十一管区）|https://www.kaiho.mlit.go.jp/11kanku/03kakuka/10kotsu_taisaku/kainan_top.htm|https://www.kaiho.mlit.go.jp/11kanku/03kakuka/10kotsu_taisaku/kainan_top.htm|The Okinawa/Naha regional JCG office's monthly maritime-accident report archive, a finer-grained regional complement to the national vessel-accident file. Fetched live: 10 monthly-report PDF links spanning Reiwa 7-8 (2025-2026), e.g. R8kouhou02.pdf through R8kouhou07.pdf and an older 202501kouhou.pdf naming convention — both forms share the substring "kouhou".|interval=2592000;href_must=kouhou;base=https://www.kaiho.mlit.go.jp
