# Batch 29 (agent A) — forgotten: small/obscure but public government open-data catalogues (CKAN, OpenDataSoft, Socrata-by-domain, DKAN 2) not yet in the registry. Every count measured live 2026-09-14.
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO29A_FGT_CA_DATA_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,usa|https://data.ca.gov|State of California (data.ca.gov) — CKAN dataset catalogue|カリフォルニア州 オープンデータカタログ（CKAN）|https://data.ca.gov/api/3/action/package_search?rows=1000&start=0&sort=id%20asc|https://data.ca.gov/api/3/action/package_search?rows=1000&start=0&sort=id%20asc|The State of California (data.ca.gov) open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 4581 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 1000 (5 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=1000;page_zero_based=1;header1=User-Agent: JapanOSINT/1.0
JO29A_FGT_SANANTONIO_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,usa|https://data.sanantonio.gov|City of San Antonio — CKAN dataset catalogue|サンアントニオ市 オープンデータカタログ（CKAN）|https://data.sanantonio.gov/api/3/action/package_search?rows=100&start=0&sort=id%20asc|https://data.sanantonio.gov/api/3/action/package_search?rows=100&start=0&sort=id%20asc|The City of San Antonio open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 164 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 100 (2 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=100;page_zero_based=1;header1=User-Agent: JapanOSINT/1.0
JO29A_FGT_HOUSTON_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,usa|https://data.houstontx.gov|City of Houston — CKAN dataset catalogue|ヒューストン市 オープンデータカタログ（CKAN）|https://data.houstontx.gov/api/3/action/package_search?rows=100&start=0&sort=id%20asc|https://data.houstontx.gov/api/3/action/package_search?rows=100&start=0&sort=id%20asc|The City of Houston open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 94 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 100 (1 page). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=100;page_zero_based=1;header1=User-Agent: JapanOSINT/1.0
JO29A_FGT_MILWAUKEE_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,usa|https://data.milwaukee.gov|City of Milwaukee — CKAN dataset catalogue|ミルウォーキー市 オープンデータカタログ（CKAN）|https://data.milwaukee.gov/api/3/action/package_search?rows=100&start=0&sort=id%20asc|https://data.milwaukee.gov/api/3/action/package_search?rows=100&start=0&sort=id%20asc|The City of Milwaukee open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 186 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 100 (2 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=100;page_zero_based=1;header1=User-Agent: JapanOSINT/1.0
JO29A_FGT_VIRGINIA_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,usa|https://data.virginia.gov|Commonwealth of Virginia — CKAN dataset catalogue|バージニア州 オープンデータカタログ（CKAN）|https://data.virginia.gov/api/3/action/package_search?rows=1000&start=0&sort=id%20asc|https://data.virginia.gov/api/3/action/package_search?rows=1000&start=0&sort=id%20asc|The Commonwealth of Virginia open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 32458 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 1000 (33 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=1000;page_zero_based=1;page_max=36;header1=User-Agent: JapanOSINT/1.0
JO29A_FGT_OPENDATA_DK_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,denmark|https://admin.opendata.dk|OpenData.dk (Danish municipalities) — CKAN dataset catalogue|デンマーク自治体 OpenData.dk オープンデータカタログ（CKAN）|https://admin.opendata.dk/api/3/action/package_search?rows=100&start=0&sort=id%20asc|https://admin.opendata.dk/api/3/action/package_search?rows=100&start=0&sort=id%20asc|The OpenData.dk (Danish municipalities) open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 631 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 100 (7 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=100;page_zero_based=1
JO29A_FGT_GVA_DADESOBERTES_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,spain|https://dadesobertes.gva.es|Generalitat Valenciana — CKAN dataset catalogue|バレンシア州政府 オープンデータカタログ（CKAN）|https://dadesobertes.gva.es/api/3/action/package_search?rows=100&start=0&sort=id%20asc|https://dadesobertes.gva.es/api/3/action/package_search?rows=100&start=0&sort=id%20asc|The Generalitat Valenciana open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 1307 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 100 (14 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=100;page_zero_based=1;page_max=17
JO29A_FGT_BELOHORIZONTE_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,brazil|https://dados.pbh.gov.br|Prefeitura de Belo Horizonte — CKAN dataset catalogue|ベロオリゾンテ市 オープンデータカタログ（CKAN）|https://dados.pbh.gov.br/api/3/action/package_search?rows=100&start=0&sort=id%20asc|https://dados.pbh.gov.br/api/3/action/package_search?rows=100&start=0&sort=id%20asc|The Prefeitura de Belo Horizonte open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 606 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 100 (7 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=100;page_zero_based=1
JO29A_FGT_ALAGOAS_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,brazil|https://dados.al.gov.br|Governo de Alagoas — CKAN dataset catalogue|アラゴアス州 オープンデータカタログ（CKAN）|https://dados.al.gov.br/catalogo/api/3/action/package_search?rows=100&start=0&sort=id%20asc|https://dados.al.gov.br/catalogo/api/3/action/package_search?rows=100&start=0&sort=id%20asc|The Governo de Alagoas open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 394 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 100 (4 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=100;page_zero_based=1
JO29A_FGT_OKLAHOMA_CKAN|json|any|government|dataset-record|opendata,ckan,catalog,forgotten,usa|https://data.ok.gov|State of Oklahoma — CKAN dataset catalogue|オクラホマ州 オープンデータカタログ（CKAN）|https://data.ok.gov/api/3/action/package_search?rows=100&start=0&sort=id%20asc|https://data.ok.gov/api/3/action/package_search?rows=100&start=0&sort=id%20asc|The State of Oklahoma open-data portal runs CKAN and exposes package_search without authentication; at probe time (2026-09-14) result.count was 395 datasets. Each record is one published dataset with its id, name, title, publishing organisation, notes, tags, licence, modification dates and the resources array of downloadable files. Paged by start in steps of 100 (4 pages). Walked with sort=id asc: the default CKAN order (score desc, metadata_modified desc) was measured on data.virginia.gov to repeat 2992 datasets and never return 3301 others across 33 pages of 1000, while the id-sorted walk returned all 32458 distinct ids.|interval=86400;array_path=result.results;id_keys=id;title_keys=title;date_keys=metadata_modified,metadata_created;body_keys=notes;page_param=start;page_size=100;page_zero_based=1;header1=User-Agent: JapanOSINT/1.0
