# Batch 29 (agent B) — govosint: government transparency and security OSINT — lobbying registers, campaign and
# political finance, officials' financial disclosures and ethics enforcement, FOIA/public-records request logs,
# spending ledgers, consumer-complaint and enforcement data, parliamentary questions and votes, candidate and
# election results, foreign-agent registrations and vendor CSAF advisory feeds. Every row was fetched live while
# authoring; record counts quoted below are what the upstream reported at that time.
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO29B_WA_PDC_LOBBYIST_REPORTS|json|any|politics|lobbying-report|us,washington,pdc,lobbying,disclosure,socrata|https://data.wa.gov|Washington PDC — lobbyist reporting history|ワシントン州 ロビイスト報告履歴|https://data.wa.gov/resource/nuwx-ay5h.json?$select=:*,*&$order=:id&$limit=1000|https://data.wa.gov/resource/nuwx-ay5h.json?$select=:*,*&$order=:id&$limit=1000|201,519 lobbying reports filed with the Public Disclosure Commission (L1 registrations, L2 monthly expenditure reports, L3 employer annual reports, L3C employer contributions, L5 government lobbying): filer name and type, entity and firm ids, year, receipt date, reporting period and report URL.|title_keys=filer_name;id_keys=:id;date_keys=receipt_date;page_param=$offset;page_size=1000;page_max=215;timeout_ms=120000;interval=604800
JO29B_WA_PDC_LOBBYIST_SUMMARY|json|any|politics|lobbying-summary|us,washington,pdc,lobbying,compensation,socrata|https://data.wa.gov|Washington PDC — lobbyist firm annual summary|ワシントン州 ロビイスト年次集計|https://data.wa.gov/resource/c4ag-3cmj.json?$select=:*,*&$order=:id&$limit=5000|https://data.wa.gov/resource/c4ag-3cmj.json?$select=:*,*&$order=:id&$limit=5000|10,294 lobbyist-firm-year summaries: firm name and contact, compensation, sub-lobbyist compensation, personal expenses, entertainment, contributions, PAC contributions, advertising, political ads, independent expenditures and total expenses.|title_keys=name;id_keys=:id;page_param=$offset;page_size=5000;page_max=5;interval=604800
JO29B_WA_PDC_LOBBYIST_EMPLOYERS|json|any|politics|lobbying-summary|us,washington,pdc,lobbying,employer,socrata|https://data.wa.gov|Washington PDC — lobbyist employers summary|ワシントン州 ロビイスト雇用主集計|https://data.wa.gov/resource/biux-xiwe.json?$select=:*,*&$order=:id&$limit=5000|https://data.wa.gov/resource/biux-xiwe.json?$select=:*,*&$order=:id&$limit=5000|16,712 employer-year summaries of entities that hire lobbyists: employer name and address, compensation paid, expenditures, aggregate contributions, ballot proposition spending, entertainment, expert retention and informational material.|title_keys=employer_name;id_keys=:id;page_param=$offset;page_size=5000;page_max=6;interval=604800
JO29B_CHICAGO_LOBBYISTS|json|any|politics|lobbyist-registration|us,chicago,ethics,lobbying,socrata|https://data.cityofchicago.org|Chicago Board of Ethics — registered lobbyists|シカゴ市倫理委員会 登録ロビイスト|https://data.cityofchicago.org/resource/tq3e-t5yq.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/tq3e-t5yq.json?$select=:*,*&$order=:id&$limit=5000|11,992 lobbyist-year registrations with lobbyist id, name, address, email, phone and employer.|title_keys=last_name;id_keys=:id;date_keys=created_date;page_param=$offset;page_size=5000;page_max=5;interval=604800
JO29B_CHICAGO_LOBBYIST_EMPLOYERS|json|any|politics|lobbyist-registration|us,chicago,ethics,lobbying,employer,socrata|https://data.cityofchicago.org|Chicago Board of Ethics — lobbyist employers|シカゴ市 ロビイスト雇用主|https://data.cityofchicago.org/resource/dmeb-2zra.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/dmeb-2zra.json?$select=:*,*&$order=:id&$limit=5000|6,947 employer-year records of firms employing registered lobbyists with name, address, phone and active flag.|title_keys=name;id_keys=:id;date_keys=created_date;page_param=$offset;page_size=5000;page_max=4;interval=604800
JO29B_CHICAGO_LOBBYIST_CLIENTS|json|any|politics|lobbyist-registration|us,chicago,ethics,lobbying,client,socrata|https://data.cityofchicago.org|Chicago Board of Ethics — lobbyist clients|シカゴ市 ロビイスト依頼主|https://data.cityofchicago.org/resource/g8p5-y4m5.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/g8p5-y4m5.json?$select=:*,*&$order=:id&$limit=5000|22,335 client-year records of entities on whose behalf lobbying of the City of Chicago was registered.|title_keys=name;id_keys=:id;date_keys=created_date;page_param=$offset;page_size=5000;page_max=7;interval=604800
JO29B_CHICAGO_LOBBYIST_COMBINATIONS|json|any|politics|lobbying-relationship|us,chicago,ethics,lobbying,relationship,socrata|https://data.cityofchicago.org|Chicago Board of Ethics — lobbyist/employer/client combinations|シカゴ市 ロビイスト・雇用主・依頼主の組合せ|https://data.cityofchicago.org/resource/2eqz-3nvz.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/2eqz-3nvz.json?$select=:*,*&$order=:id&$limit=5000|34,128 year-by-year links joining each registered lobbyist to the employer they work for and the client they lobby for, with names on all three sides.|title_keys=client_name;id_keys=:id;page_param=$offset;page_size=5000;page_max=9;interval=604800
JO29B_CHICAGO_LOBBYIST_COMPENSATION|json|any|politics|lobbying-compensation|us,chicago,ethics,lobbying,compensation,socrata|https://data.cityofchicago.org|Chicago Board of Ethics — lobbyist compensation|シカゴ市 ロビイスト報酬|https://data.cityofchicago.org/resource/dw2f-w78u.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/dw2f-w78u.json?$select=:*,*&$order=:id&$limit=5000|40,976 compensation disclosures: reporting period, lobbyist, client and compensation amount.|title_keys=client_name;id_keys=:id;date_keys=period_end;page_param=$offset;page_size=5000;page_max=11;interval=604800
JO29B_CHICAGO_LOBBYING_ACTIVITY|json|any|politics|lobbying-activity|us,chicago,ethics,lobbying,activity,socrata|https://data.cityofchicago.org|Chicago Board of Ethics — lobbying activity|シカゴ市 ロビー活動記録|https://data.cityofchicago.org/resource/pahz-egmi.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/pahz-egmi.json?$select=:*,*&$order=:id&$limit=5000|119,570 lobbying-activity disclosures naming the city department lobbied, the action and the action sought, with client and lobbyist for each reporting period.|title_keys=action_sought,client_name;id_keys=:id;date_keys=period_end;page_param=$offset;page_size=5000;page_max=26;interval=604800
JO29B_CHICAGO_LOBBYIST_GIFTS|json|any|politics|lobbying-gift|us,chicago,ethics,lobbying,gifts,socrata|https://data.cityofchicago.org|Chicago Board of Ethics — gifts from lobbyists|シカゴ市 ロビイストからの贈答|https://data.cityofchicago.org/resource/5d79-9xqr.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/5d79-9xqr.json?$select=:*,*&$order=:id&$limit=5000|780 gifts reported by lobbyists to city officials and employees: gift, recipient name and title, value, department and lobbyist.|title_keys=gift;id_keys=:id;date_keys=period_end;page_param=$offset;page_size=5000;page_max=3;interval=604800
