# Batch 29 (agent A) — webcams: official government camera inventories (DOT/511 feeds, national road authorities, ArcGIS camera layers published by government bodies). Every count measured live 2026-09-14.
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO29A_CAM_BALTIMORE_CITIWATCH_CCTV|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,usa|https://baltegis.baltimorecity.gov|Baltimore City (CitiWatch) — CCTV_Camera (ArcGIS camera layer)|ボルチモア市 CitiWatch 防犯カメラ（ArcGISカメラレイヤー）|https://baltegis.baltimorecity.gov/mapping/rest/services/CityView/CitiWatchCamera/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|https://baltegis.baltimorecity.gov/mapping/rest/services/CityView/CitiWatchCamera/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|Baltimore City (CitiWatch) publishes the ArcGIS layer "CCTV_Camera" (Point). At probe time (2026-09-14) returnCountOnly reported 861 camera records; each carries the fields OBJECTID, CAM_NUMBER, CAM_LOCATION, GlobalID, created_user, created_date, last_edited_user, last_edited_date, with point geometry reprojected to WGS84. Paged with resultOffset in steps of 2000 ordered by the object id OBJECTID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.CAM_LOCATION;id_keys=attributes.OBJECTID;page_param=resultOffset;page_start=0;page_size=2000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_BANGKOK_BMA_CCTV|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,thailand|https://cpudgiportal.bangkok.go.th|Bangkok Metropolitan Administration — cct (ArcGIS camera layer)|バンコク都 CCTV（ArcGISカメラレイヤー）|https://cpudgiportal.bangkok.go.th/arcgis/rest/services/Hosted/cctv/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=objectid&resultRecordCount=2000|https://cpudgiportal.bangkok.go.th/arcgis/rest/services/Hosted/cctv/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=objectid&resultRecordCount=2000|Bangkok Metropolitan Administration publishes the ArcGIS layer "cct" (Point). At probe time (2026-09-14) returnCountOnly reported 591 camera records; each carries the fields objectid, cid, location, xsection_en, xsection_th, direction_en, yy, xx, ip, picture, link, with point geometry reprojected to WGS84. Paged with resultOffset in steps of 2000 ordered by the object id objectid (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.location;id_keys=attributes.objectid;page_param=resultOffset;page_start=0;page_size=2000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_MASSDOT_CCTV|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,usa|https://gis.massdot.state.ma.us|Massachusetts Department of Transportation — CCTV (ArcGIS camera layer)|マサチューセッツ州交通局 CCTV（ArcGISカメラレイヤー）|https://gis.massdot.state.ma.us/arcgis/rest/services/Assets/CCTV/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|https://gis.massdot.state.ma.us/arcgis/rest/services/Assets/CCTV/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|Massachusetts Department of Transportation publishes the ArcGIS layer "CCTV" (Point). At probe time (2026-09-14) returnCountOnly reported 845 camera records; each carries the fields OBJECTID, Asset_ID, HOC_ID, HOC_Display, Roadway, Direction, Device_Type, Camera_No, MM, Municipality, Description, Control, Direction_1, Old_Nomen, Main_or_Ramp, Tnl_Sur_Sec, Beneficial, Status, Project_No, Manufacturer, Model_No, Serial_No, Lane_Inspect, Lane_Repair, Power_Source, Comments, GlobalID, created_user (+3 more), with point geometry reprojected to WGS84. Paged with resultOffset in steps of 2000 ordered by the object id OBJECTID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.Description;id_keys=attributes.OBJECTID;page_param=resultOffset;page_start=0;page_size=2000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_PENNDOT_TSAMS_CAMERAS|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,usa|https://gis.penndot.pa.gov|Pennsylvania Department of Transportation (TSAMS) — CAM (ArcGIS camera layer)|ペンシルベニア州交通局 カメラ資産（ArcGISカメラレイヤー）|https://gis.penndot.pa.gov/gis/rest/services/tsams/tsams/MapServer/16/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=DEVICE_ID&resultRecordCount=2000|https://gis.penndot.pa.gov/gis/rest/services/tsams/tsams/MapServer/16/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=DEVICE_ID&resultRecordCount=2000|Pennsylvania Department of Transportation (TSAMS) publishes the ArcGIS layer "CAM" (Point). At probe time (2026-09-14) returnCountOnly reported 1749 camera records; each carries the fields DEVICE_ID, TSAMS_ITS_ID, OPS_ID, STATE_ROUTE, DEVICE_STATUS_CODE, DEVICE_STATUS, STRUCTURE_TYPE, ITS_DEVICE_TYPE, BEGIN_DATE, BEGIN_TIME, STATUS, STATUS_DATE, GEOMETRY, with point geometry reprojected to WGS84. Paged with resultOffset in steps of 2000 ordered by the object id DEVICE_ID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.DEVICE_ID;id_keys=attributes.DEVICE_ID;page_param=resultOffset;page_start=0;page_size=2000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_BEDFORD_BOROUGH_CCTV|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,uk|https://map.bedford.gov.uk|Bedford Borough Council — CCTV (ArcGIS camera layer)|ベッドフォード区 CCTV（ArcGISカメラレイヤー）|https://map.bedford.gov.uk/arcgis/rest/services/Bedford_Internal_Use/External_CCTV/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|https://map.bedford.gov.uk/arcgis/rest/services/Bedford_Internal_Use/External_CCTV/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|Bedford Borough Council publishes the ArcGIS layer "CCTV" (Point). At probe time (2026-09-14) returnCountOnly reported 230 camera records; each carries the fields CCTV_No, Camera_Nam, GRE, GRN, OBJECTID, GlobalID, with point geometry reprojected to WGS84. Paged with resultOffset in steps of 2000 ordered by the object id OBJECTID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.Camera_Nam;id_keys=attributes.OBJECTID;page_param=resultOffset;page_start=0;page_size=2000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_BATONROUGE_PTZ_CAMERAS|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,usa|https://services.arcgis.com|City of Baton Rouge / Parish of East Baton Rouge — PTZCameras (ArcGIS camera layer)|バトンルージュ PTZカメラ（ArcGISカメラレイヤー）|https://services.arcgis.com/KYvXadMcgf0K1EzK/arcgis/rest/services/PTZ_Cameras/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|https://services.arcgis.com/KYvXadMcgf0K1EzK/arcgis/rest/services/PTZ_Cameras/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|City of Baton Rouge / Parish of East Baton Rouge publishes the ArcGIS layer "PTZCameras" (Point). At probe time (2026-09-14) returnCountOnly reported 88 camera records; each carries the fields OBJECTID, MAIN_ST, MINOR_ST, LATITUDE, LONGITUDE, CoordGeoco, with point geometry reprojected to WGS84. Paged with resultOffset in steps of 2000 ordered by the object id OBJECTID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.OBJECTID;id_keys=attributes.OBJECTID;page_param=resultOffset;page_start=0;page_size=2000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_YORK_UK_CCTV|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,uk|https://maps.york.gov.uk|City of York Council — CCTV (ArcGIS camera layer)|ヨーク市 CCTV（ArcGISカメラレイヤー）|https://maps.york.gov.uk/arcgis/rest/services/Public/LV_TranStreetCare/MapServer/26/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=1000|https://maps.york.gov.uk/arcgis/rest/services/Public/LV_TranStreetCare/MapServer/26/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=1000|City of York Council publishes the ArcGIS layer "CCTV" (Point). At probe time (2026-09-14) returnCountOnly reported 222 camera records; each carries the fields OBJECTID, SITE_ID, ASSET_TYPE, ADDRESS_2, with point geometry reprojected to WGS84. Paged with resultOffset in steps of 1000 ordered by the object id OBJECTID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.OBJECTID;id_keys=attributes.OBJECTID;page_param=resultOffset;page_start=0;page_size=1000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_BRISTOL_COUNCIL_CCTV|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,uk|https://maps2.bristol.gov.uk|Bristol City Council — Council CCTV cameras (zoom in to view) (ArcGIS camera layer)|ブリストル市 CCTV（ArcGISカメラレイヤー）|https://maps2.bristol.gov.uk/server2/rest/services/ext/ll_community_and_safety/MapServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|https://maps2.bristol.gov.uk/server2/rest/services/ext/ll_community_and_safety/MapServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=2000|Bristol City Council publishes the ArcGIS layer "Council CCTV cameras (zoom in to view)" (Point). At probe time (2026-09-14) returnCountOnly reported 1532 camera records; each carries the fields OBJECTID, FEATURE_LOCATION, FEAT_CENT_EAST, FEAT_CENT_NORTH, with point geometry reprojected to WGS84. Paged with resultOffset in steps of 2000 ordered by the object id OBJECTID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.FEATURE_LOCATION;id_keys=attributes.OBJECTID;page_param=resultOffset;page_start=0;page_size=2000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_DC_AUTOMATED_SAFETY_CAMERAS_43|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,usa|https://maps2.dcgis.dc.gov|District of Columbia OCTO (DCGIS Public Safety layer 43) — Automated Safety Cameras (ASC) (ArcGIS camera layer)|ワシントンDC 自動安全カメラ（層43）（ArcGISカメラレイヤー）|https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Safety_WebMercator/MapServer/43/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=1000|https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Safety_WebMercator/MapServer/43/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=1000|District of Columbia OCTO (DCGIS Public Safety layer 43) publishes the ArcGIS layer "Automated Safety Cameras (ASC)" (Point). At probe time (2026-09-14) returnCountOnly reported 327 camera records; each carries the fields ENFORCEMENT_SPACE_CODE, SITE_CODE, ENFORCEMENT_TYPE, LOCATION_DESCRIPTION, SPEED_LIMIT, DEVICE_MOBILITY, CAMERA_STATUS, ACTIVE_STATUS, CAMERA_LATITUDE, CAMERA_LONGITUDE, CAMERA_EASTING, CAMERA_NORTHING, WARD, ANC, SMD, OBJECTID, GLOBALID, with point geometry reprojected to WGS84. Paged with resultOffset in steps of 1000 ordered by the object id OBJECTID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.LOCATION_DESCRIPTION;id_keys=attributes.OBJECTID;page_param=resultOffset;page_start=0;page_size=1000;page_zero_based=1;lat_key=geometry.y;lon_key=geometry.x
JO29A_CAM_DC_AUTOMATED_SAFETY_CAMERAS_47|json|any|infrastructure|camera-location|webcam,camera,cctv,arcgis,usa|https://maps2.dcgis.dc.gov|District of Columbia OCTO (DCGIS Public Safety layer 47) — Automated Safety Cameras (ASC) (ArcGIS camera layer)|ワシントンDC 自動安全カメラ（層47）（ArcGISカメラレイヤー）|https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Safety_WebMercator/MapServer/47/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=1000|https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Safety_WebMercator/MapServer/47/query?where=1%3D1&outFields=*&outSR=4326&f=json&orderByFields=OBJECTID&resultRecordCount=1000|District of Columbia OCTO (DCGIS Public Safety layer 47) publishes the ArcGIS layer "Automated Safety Cameras (ASC)" (table). At probe time (2026-09-14) returnCountOnly reported 562 camera records; each carries the fields ENFORCEMENT_SPACE_CODE, LOCATION_DESCRIPTION, SITE_CODE, ACTIVE_STATUS, CAMERA_STATUS, START_DATE, END_DATE, DEVICE_MOBILITY, ENFORCEMENT_TYPE, SPEED_LIMIT, CAMERA_LATITUDE, CAMERA_LONGITUDE, CAMERA_EASTING, CAMERA_NORTHING, WARD, ANC, SMD, OBJECTID, GLOBALID. Paged with resultOffset in steps of 1000 ordered by the object id OBJECTID (1 page at the current size), so every record is read on each pass.|interval=86400;array_path=features;title_keys=attributes.LOCATION_DESCRIPTION;id_keys=attributes.OBJECTID;page_param=resultOffset;page_start=0;page_size=1000;page_zero_based=1
