# Batch 30 beat jpcam — Japan-specific live-camera inventories: MLIT river/road offices, prefectural road/river camera systems, JMA volcano cameras, coastal and municipal cameras.
# Every row fetched raw with curl (UA "Mozilla/5.0 (compatible; JapanOSINT/1.0)") on 2026-09-20 and the anchor set checked against hpengine's label rule (anchor text, else <img alt/title>, else DROPPED) — counts below are what the ENGINE would emit, not what the probe counts.
# html rows: `base` is deliberately omitted where every href is relative to the fetched page — hpengine resolves per RFC 3986 against the page URL, and a bare host in `base` would break `./x.html` / `../Portable/x.htm` links.
# Emit audit 2026-09-21 (audit_batch_emit.py, engine with the anchor-label fix, hptest 25d-g): every row below emitted and stored the count stated in its description; four ENGINE_DROPS candidates that still emitted 0 or mislabelled records stay in the rejects file.
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO30_CAM_FUKUI_MICHIJOHO_CAMERAS|json|any|webcam|camera-feed|japan,webcam,camera,road,fukui,prefecture,snow|https://www.hozen.pref.fukui.lg.jp/hozen/yuki/|Fukui Prefecture Michi-joho Net Fukui — road camera inventory (JSON)|福井県 みち情報ネットふくい — 道路カメラ一覧（JSON）|https://www.hozen.pref.fukui.lg.jp/hozen/yuki/sp/assets/jsons/cameras.json|https://www.hozen.pref.fukui.lg.jp/hozen/yuki/sp/assets/jsons/cameras.json|The JSON the Fukui road-preservation SPA loads: a 254 KB top-level array of 310 camera objects (fetched 2026-09-20, Last-Modified the same day). Each carries id, name, rname, category, area, organize (managing office), route, address and a map.icons list whose first element holds lat/lng and the still-image path. One record per prefecture-managed road camera with coordinates.|interval=3600;id_keys=id;title_keys=name;body_keys=address;lat_key=map.icons.0.lat;lon_key=map.icons.0.lng;timeout_ms=60000;pagination_ok=single 254 KB array of 310 objects with no paging parameter
JO30_CAM_GIFU_KASEN_CAMERAS|html|any|webcam|camera-feed|japan,webcam,camera,river,gifu,prefecture,disaster|https://www.kasen.pref.gifu.lg.jp/|Gifu Prefecture River Disaster Information — live camera index|岐阜県 川の防災情報 — ライブカメラ一覧|https://www.kasen.pref.gifu.lg.jp/h/CameraIndex.html|https://www.kasen.pref.gifu.lg.jp/h/CameraIndex.html|Server-rendered index of 138 prefectural river cameras, each anchor text the river and site name (長良川 芥見, 境川 馬橋 ...) linking to CameraNNN_S.html which holds the current still. Page regenerated every few minutes (Last-Modified 2026-09-20 11:23 UTC at fetch). All 138 anchors carry text, so all 138 emit.|interval=3600;href_must=_S.html;pagination_ok=single index page listing every camera, 138 anchors
JO30_CAM_TENRYU_UPPER_RIVER|html|any|webcam|camera-feed|japan,webcam,camera,river,mlit,nagano|https://www.cbr.mlit.go.jp/tenjyo/cctv/pc/|MLIT Tenryu River Upper Reaches Office — river live camera list|国土交通省 天竜川上流河川事務所 — ライブカメラ一覧|https://www.cbr.mlit.go.jp/tenjyo/cctv/pc/list.php|https://www.cbr.mlit.go.jp/tenjyo/cctv/pc/list.php|List view of the office's CCTV network: 62 distinct detail.php?cameraId= anchors, each labelled with an index and site name (1 横川川合流点, 3 伊那富水位観測所 ...). Fetched 2026-09-20, 20 KB UTF-8 PHP page. Every anchor has text, so 62 records.|interval=3600;href_must=detail.php?cameraId=;pagination_ok=single list page, 62 cameras
JO30_CAM_TOCHIGI_ROADCCTV|html|any|webcam|camera-feed|japan,webcam,camera,road,tochigi,prefecture,underpass|https://www.kendo.pref.tochigi.lg.jp/roadinfo/|Tochigi Prefecture road live cameras — camera location list|栃木県 道路ライブカメラ（撮影位置一覧）|https://www.kendo.pref.tochigi.lg.jp/roadcctv/m/menu.html|https://www.kendo.pref.tochigi.lg.jp/roadcctv/m/menu.html|Shift_JIS mobile menu listing 59 prefectural road cameras (underpasses and snow points) as ../Portable/NNN_1.htm anchors; 51 carry a site name (宮の内アンダー, 簗瀬アンダー（水戸街道） ...), 8 are image-only and are dropped by the engine. Last-Modified 2021-03-19 but the Portable pages serve current stills.|interval=3600;href_must=Portable/;charset=shift_jis;pagination_ok=single menu page, 59 anchors
JO30_CAM_KORIYAMA_ROAD_ALL|html|any|webcam|camera-feed|japan,webcam,camera,road,mlit,fukushima|http://www.thr.mlit.go.jp/koriyama/inform/|MLIT Koriyama National Highway Office — all road live cameras|国土交通省 郡山国道事務所 — すべてのライブカメラ|http://www.thr.mlit.go.jp/koriyama/inform/index1.html|http://www.thr.mlit.go.jp/koriyama/inform/index1.html|Single page with 45 anchors straight to the still image on roadcctv.thr.mlit.go.jp (jpeg?jpeg=775_C00951_l.jpg ...), each labelled with location and direction (栃福橋 東京方向, 小田川 東京方向 ...). Fetched 2026-09-20, 27 KB. All 45 labelled.|interval=3600;href_must=jpeg=;pagination_ok=single page, 45 camera anchors
JO30_CAM_IIDA_ROAD|html|any|webcam|camera-feed|japan,webcam,camera,road,mlit,nagano|https://www.cbr.mlit.go.jp/iikoku/info/live/|MLIT Iida National Highway Office — road status live cameras|国土交通省 飯田国道事務所 — 道路状況ライブカメラ|https://www.cbr.mlit.go.jp/iikoku/info/live/index.php|https://www.cbr.mlit.go.jp/iikoku/info/live/index.php|PHP index (index.html meta-refreshes here) with 37 distinct live_area19.html?cmr=CNNN anchors; 31 carry the site name (片平橋, 贄川駅前, 桃岡登坂 ...), 6 are map hot-spots without text and are dropped. Fetched 2026-09-20, 32 KB.|interval=3600;href_must=cmr=;pagination_ok=single page, 37 camera anchors
JO30_CAM_SAKATA_RIVER|html|any|webcam|camera-feed|japan,webcam,camera,river,mlit,yamagata|https://www.thr.mlit.go.jp/sakata/river/livecam/|MLIT Sakata River and National Highway Office — river live cameras|国土交通省 酒田河川国道事務所 — 河川ライブカメラ|https://www.thr.mlit.go.jp/sakata/river/livecam/|https://www.thr.mlit.go.jp/sakata/river/livecam/|Mogami-gawa camera list: 22 anchors into www2.thr.mlit.go.jp/Bumon/J76301/rivercam/cam_23FNNNNN.html, 17 labelled (最上川河口, 出羽大橋(スワンパーク), 両羽橋 ...), 5 image-only and dropped. Page Last-Modified 2026-06-02; stills refresh every 10 minutes per the page text.|interval=3600;href_must=rivercam/;pagination_ok=single page, 22 camera anchors
JO30_CAM_YAMAGATA_ROAD|html|any|webcam|camera-feed|japan,webcam,camera,road,mlit,yamagata|https://www.thr.mlit.go.jp/yamagata/camera-road/|MLIT Yamagata River and National Highway Office — road live cameras|国土交通省 山形河川国道事務所 — 道路のライブカメラ|https://www.thr.mlit.go.jp/yamagata/camera-road/s-map-13n.html|https://www.thr.mlit.go.jp/yamagata/camera-road/s-map-13n.html|Route 13 / 47 / 112 camera map with 19 anchors into www2.thr.mlit.go.jp/yamagata/ycam/data/NNNNN.html; 15 labelled (東根宮崎, 村山大橋（南）...), 4 popup-only and dropped. Fetched 2026-09-20, 29 KB.|interval=3600;href_must=ycam/data/;pagination_ok=single page, 19 camera anchors
JO30_CAM_SAGA_KOKUDO_CCTV|html|any|webcam|camera-feed|japan,webcam,camera,road,mlit,saga|https://www.qsr.mlit.go.jp/sakoku/bousai_doro/camera/|MLIT Saga National Highway Office — road live cameras|国土交通省 佐賀国道事務所 — 佐賀国道ライブカメラ|https://www.qsr.mlit.go.jp/sakoku/bousai_doro/camera/|https://www.qsr.mlit.go.jp/sakoku/bousai_doro/camera/|29 distinct anchors straight to the still (sakoku/bousai/data/img/cctv/S0NNNN.jpg); 28 labelled through the img alt (神埼市神埼町 神埼橋 下 国道34号(19k400) ...) plus one text anchor, so all 29 emit. Page Last-Modified 2026-08-27, 26 KB.|interval=3600;href_must=cctv/;pagination_ok=single page, 29 camera anchors
JO30_CAM_SANRIKU_ROAD|html|any|webcam|camera-feed|japan,webcam,camera,road,mlit,iwate|http://www.thr.mlit.go.jp/bumon/j73501/gazou/|MLIT Sanriku National Highway Office — Sanriku road live cameras|国土交通省 三陸国道事務所 — 三陸の道路ライブカメラ|http://www.thr.mlit.go.jp/bumon/j73501/gazou/list.html|http://www.thr.mlit.go.jp/bumon/j73501/gazou/list.html|25 distinct live_NN.html anchors, each an image anchor whose alt is the generic カメラ画像, so all 25 emit but with identical titles — the camera name sits in a sibling text anchor the engine dedupes onto the same link. Page Last-Modified 2023-03-29, stills current.|interval=3600;href_must=live_;pagination_ok=single page, 25 camera anchors
