# Batch 30 — jpscada: Japanese industrial-control-adjacent public telemetry and operational dashboards.
# Every endpoint below was fetched live with curl -A "JapanOSINT/1.0" on 2026-09-20/21 (JST) and the record
# counts in each description are what the body held at that moment. Rows are bulk/scheduled (want=any).
# Engine limits met while authoring (see rejects file): kawabou's live 10-minute telemetry sits only behind
# YYYYMMDD/HHmm/ paths and AMeDAS map data behind <timestamp>.json — there is no date/time URL token, so the
# station registers and notice lists that are date-free are taken instead.
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts

# --- JMA 「最新の気象データ」 nationwide station CSVs (AMeDAS-based, refreshed every 10 min; cp932). ------------
# pre1h00 / pre24h00 / mxwsp00 / mxtemsadext00 / mntemsadext00 are already registered; these are the rest of the family.
JO30_ICS_JMA_MDRR_PRE3H|csv|any|weather|precipitation-station-reading|japan,jma,amedas,rainfall,telemetry,sensor|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/index24_rct.html|JMA latest weather data — 3-hour precipitation, all stations|気象庁 最新の気象データ 3時間降水量 全国一覧表|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre3h00_rct.csv|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre3h00_rct.csv|One CSV row per AMeDAS station (1,284 stations on 2026-09-21 11:10 JST): station number, prefecture, station name, WMO number, current time split into year/month/day/hour/minute columns, the current 3-hour total with a quality flag, today's maximum with its time, and the all-time and monthly extremes for that station. The whole country in one 146 KB file, rewritten every 10 minutes.|charset=shift_jis;title_keys=地点;id_keys=観測所番号+現在時刻(月)+現在時刻(日)+現在時刻(時)+現在時刻(分);interval=3600;pagination_ok=single national file, 1284 stations, no paging
JO30_ICS_JMA_MDRR_PRE6H|csv|any|weather|precipitation-station-reading|japan,jma,amedas,rainfall,telemetry,sensor|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/index24_rct.html|JMA latest weather data — 6-hour precipitation, all stations|気象庁 最新の気象データ 6時間降水量 全国一覧表|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre6h00_rct.csv|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre6h00_rct.csv|Same 1,284-station national table as the 3-hour file but for the running 6-hour precipitation total: current value with quality flag, today's maximum and its time, and station extremes. 147 KB, refreshed every 10 minutes.|charset=shift_jis;title_keys=地点;id_keys=観測所番号+現在時刻(月)+現在時刻(日)+現在時刻(時)+現在時刻(分);interval=3600;pagination_ok=single national file, 1284 stations, no paging
JO30_ICS_JMA_MDRR_PRE12H|csv|any|weather|precipitation-station-reading|japan,jma,amedas,rainfall,telemetry,sensor|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/index24_rct.html|JMA latest weather data — 12-hour precipitation, all stations|気象庁 最新の気象データ 12時間降水量 全国一覧表|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre12h00_rct.csv|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre12h00_rct.csv|1,284 AMeDAS stations, running 12-hour precipitation total with quality flag, today's maximum with time, and the station's historical extremes. 147 KB, refreshed every 10 minutes.|charset=shift_jis;title_keys=地点;id_keys=観測所番号+現在時刻(月)+現在時刻(日)+現在時刻(時)+現在時刻(分);interval=3600;pagination_ok=single national file, 1284 stations, no paging
JO30_ICS_JMA_MDRR_PRE48H|csv|any|weather|precipitation-station-reading|japan,jma,amedas,rainfall,telemetry,sensor|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/index24_rct.html|JMA latest weather data — 48-hour precipitation, all stations|気象庁 最新の気象データ 48時間降水量 全国一覧表|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre48h00_rct.csv|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre48h00_rct.csv|1,284 AMeDAS stations, running 48-hour precipitation total with quality flag, today's maximum with time, and the station's historical extremes. 149 KB, refreshed every 10 minutes.|charset=shift_jis;title_keys=地点;id_keys=観測所番号+現在時刻(月)+現在時刻(日)+現在時刻(時)+現在時刻(分);interval=3600;pagination_ok=single national file, 1284 stations, no paging
JO30_ICS_JMA_MDRR_PRE72H|csv|any|weather|precipitation-station-reading|japan,jma,amedas,rainfall,telemetry,sensor|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/index24_rct.html|JMA latest weather data — 72-hour precipitation, all stations|気象庁 最新の気象データ 72時間降水量 全国一覧表|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre72h00_rct.csv|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/pre72h00_rct.csv|1,284 AMeDAS stations, running 72-hour precipitation total with quality flag, today's maximum with time, and the station's historical extremes. 149 KB, refreshed every 10 minutes.|charset=shift_jis;title_keys=地点;id_keys=観測所番号+現在時刻(月)+現在時刻(日)+現在時刻(時)+現在時刻(分);interval=3600;pagination_ok=single national file, 1284 stations, no paging
JO30_ICS_JMA_MDRR_PREALL|csv|any|weather|precipitation-station-reading|japan,jma,amedas,rainfall,telemetry,sensor,extremes|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/index24_rct.html|JMA latest weather data — precipitation record-breaking summary, all stations|気象庁 最新の気象データ 降水量 極値更新一覧 全国|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/preall00_rct.csv|https://www.data.jma.go.jp/stats/data/mdrr/pre_rct/alltable/preall00_rct.csv|1,284 AMeDAS stations with, per duration (1h/3h/6h/12h/24h/48h/72h), whether the current value broke the station's all-time or 10-year record, followed by every current total with quality flag. 208 KB; the widest of the family and the one that flags which stations are in unprecedented rain right now.|charset=shift_jis;title_keys=地点;id_keys=観測所番号+現在時刻(月)+現在時刻(日)+現在時刻(時)+現在時刻(分);interval=3600;pagination_ok=single national file, 1284 stations, no paging

# --- MLIT 川の防災情報 (kawabou) static JSON behind the SPA (www.river.go.jp/kawabou/file/files/…). -------------
JO30_ICS_KAWABOU_INFOLIST|json|any|infrastructure|river-telemetry-notice|japan,mlit,river,telemetry,dam,outage,maintenance|https://www.river.go.jp/kawabou/pc/tmlist|MLIT River Disaster Prevention Information — telemetry operational notices (欠測・未受信・メンテナンス)|川の防災情報 お知らせ一覧（観測所の欠測・未受信・メンテナンス）|https://www.river.go.jp/kawabou/file/files/info/info/infolist.json|https://www.river.go.jp/kawabou/file/files/info/info/infolist.json|1,021 operational notices (announceTime 2026-09-18 to 2026-09-20 20:10 in the fetched copy) about individual river/dam telemetry stations: data stopped, missing readings, maintenance windows, alternate-source pointers. Each carries infoManageCode, areaCode/areaName, summary and detail text, startTime/endTime and a relObs array naming the affected observation point by its 13-digit code and name (e.g. 真野ダム ダム諸量 stopped 2026-09-20 15:00). This is the live health register of Japan's national river SCADA network.|array_path=info;title_keys=summary;id_keys=infoManageCode;date_keys=announceTime;interval=3600;pagination_ok=one 2.9 MB file holding every current notice, no paging
JO30_ICS_KAWABOU_SECT_ALL|json|any|infrastructure|flood-forecast-section|japan,mlit,river,flood,water-level,station|https://www.river.go.jp/kawabou/pc/tmlist|MLIT River Disaster Prevention Information — flood-forecast and water-level-notice river sections (all)|川の防災情報 洪水予報・水位到達情報 対象区間一覧（全国）|https://www.river.go.jp/kawabou/file/files/master/sect/sect-all.json|https://www.river.go.jp/kawabou/file/files/master/sect/sect-all.json|915 designated river sections (type 1 洪水予報 / type 2 水位到達, 906 distinct obsFcd+type+rvrCd+bank tuples) each with the reference water-level station (13-digit obsFcd, name, kana), water-system and river codes/names, the left- and right-bank extent in prose and the flood stage (fldStg) where defined. Static master, republished when designations change.|array_path=sectList;title_keys=obsNm;id_keys=obsFcd+type+rvrCd+leftBnkExpl;interval=86400;pagination_ok=single 507 KB master file
