id	list_url	detail_url	detail_key	batch	why_not_wired
ae-careem-gbfs-discovery	https://careem.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json	https://careem.publicbikesystem.net/customer/gbfs/v3.0/station_information	url	batch16	detail_url carries no {v} slot — the id is hard-coded into it
bn-mofe-tender-notices	https://www.mofe.gov.bn/wp-json/wp/v2/posts?per_page=20	https://www.mofe.gov.bn/wp-json/wp/v2/posts/{v}		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
de-opensensemap-box-detail	https://api.opensensemap.org/boxes/5391be52a8341554157792e6	https://api.opensensemap.org/boxes/5391be52a8341554157792e6/sensors	_id	batch16	detail_url carries no {v} slot — the id is hard-coded into it
id-jakarta-slf-buildings	https://jakartasatu.jakarta.go.id/server/rest/services/DPMPTSP/Peta_SLF_DPMPTSP/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&resultRecordCount=1000&f=geojson	https://jakartasatu.jakarta.go.id/server/rest/services/DPMPTSP/Peta_SLF_DPMPTSP/FeatureServer/0/query?where=OBJECTID%3D{v}&outFields=*&returnGeometry=false&f=geojson		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
mm-mimu-geonode-layers	https://geonode.themimu.info/api/layers/	https://geonode.themimu.info/api/layers/{v}/		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
ph-psgc-cities-municipalities	https://psgc.cloud/api/cities-municipalities	https://psgc.cloud/api/cities-municipalities/{v}		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
ph-psgc-provinces	https://psgc.cloud/api/provinces	https://psgc.cloud/api/provinces/{v}		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
ph-psgc-regions	https://psgc.cloud/api/regions	https://psgc.cloud/api/regions/{v}/provinces		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
sg-acra-entities-master	https://data.gov.sg/api/action/datastore_search?resource_id=d_3f960c10fed6145404ca7b821f263b87&limit=1000	https://data.gov.sg/api/action/datastore_search?resource_id=d_3f960c10fed6145404ca7b821f263b87&limit=1&q={v}		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
us-scotus-slip-opinions-rss	https://www.supremecourt.gov/rss/slipopinion.xml	https://www.supremecourt.gov/rss/cases/JSON/{v}.json		batch16	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
vn-admin-districts	https://provinces.open-api.vn/api/d/	https://provinces.open-api.vn/api/d/{v}?depth=2		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
vn-admin-provinces	https://provinces.open-api.vn/api/	https://provinces.open-api.vn/api/p/{v}?depth=2		batch17	detail_url has a {v} slot but the side-car never recorded WHICH list field fills it
