id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description	_verdict	_note
jp-jma-overview-week-011000	https://www.jma.go.jp/bosai/forecast/data/overview_week/011000.json	json-object		JMA Weekly Outlook Narrative — Souya, Hokkaido	気象庁 週間天気概況 宗谷地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,011000	10800	Weekly forecast narrative issued by the JMA office for Souya, Hokkaido (011000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-012000	https://www.jma.go.jp/bosai/forecast/data/overview_week/012000.json	json-object		JMA Weekly Outlook Narrative — Kamikawa/Rumoi, Hokkaido	気象庁 週間天気概況 上川・留萌地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,012000	10800	Weekly forecast narrative issued by the JMA office for Kamikawa/Rumoi, Hokkaido (012000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-013000	https://www.jma.go.jp/bosai/forecast/data/overview_week/013000.json	json-object		JMA Weekly Outlook Narrative — Abashiri/Kitami/Monbetsu, Hokkaido	気象庁 週間天気概況 網走・北見・紋別地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,013000	10800	Weekly forecast narrative issued by the JMA office for Abashiri/Kitami/Monbetsu, Hokkaido (013000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-014100	https://www.jma.go.jp/bosai/forecast/data/overview_week/014100.json	json-object		JMA Weekly Outlook Narrative — Kushiro/Nemuro/Tokachi, Hokkaido	気象庁 週間天気概況 釧路・根室・十勝地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,014100	10800	Weekly forecast narrative issued by the JMA office for Kushiro/Nemuro/Tokachi, Hokkaido (014100): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-015000	https://www.jma.go.jp/bosai/forecast/data/overview_week/015000.json	json-object		JMA Weekly Outlook Narrative — Tokachi, Hokkaido	気象庁 週間天気概況 十勝地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,015000	10800	Weekly forecast narrative issued by the JMA office for Tokachi, Hokkaido (015000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-016000	https://www.jma.go.jp/bosai/forecast/data/overview_week/016000.json	json-object		JMA Weekly Outlook Narrative — Ishikari/Sorachi/Shiribeshi, Hokkaido	気象庁 週間天気概況 石狩・空知・後志地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,016000	10800	Weekly forecast narrative issued by the JMA office for Ishikari/Sorachi/Shiribeshi, Hokkaido (016000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-017000	https://www.jma.go.jp/bosai/forecast/data/overview_week/017000.json	json-object		JMA Weekly Outlook Narrative — Iburi/Hidaka, Hokkaido	気象庁 週間天気概況 胆振・日高地方	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,017000	10800	Weekly forecast narrative issued by the JMA office for Iburi/Hidaka, Hokkaido (017000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-020000	https://www.jma.go.jp/bosai/forecast/data/overview_week/020000.json	json-object		JMA Weekly Outlook Narrative — Aomori Prefecture	気象庁 週間天気概況 青森県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,020000	10800	Weekly forecast narrative issued by the JMA office for Aomori Prefecture (020000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-030000	https://www.jma.go.jp/bosai/forecast/data/overview_week/030000.json	json-object		JMA Weekly Outlook Narrative — Iwate Prefecture	気象庁 週間天気概況 岩手県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,030000	10800	Weekly forecast narrative issued by the JMA office for Iwate Prefecture (030000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-040000	https://www.jma.go.jp/bosai/forecast/data/overview_week/040000.json	json-object		JMA Weekly Outlook Narrative — Miyagi Prefecture	気象庁 週間天気概況 宮城県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,040000	10800	Weekly forecast narrative issued by the JMA office for Miyagi Prefecture (040000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-050000	https://www.jma.go.jp/bosai/forecast/data/overview_week/050000.json	json-object		JMA Weekly Outlook Narrative — Akita Prefecture	気象庁 週間天気概況 秋田県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,050000	10800	Weekly forecast narrative issued by the JMA office for Akita Prefecture (050000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-060000	https://www.jma.go.jp/bosai/forecast/data/overview_week/060000.json	json-object		JMA Weekly Outlook Narrative — Yamagata Prefecture	気象庁 週間天気概況 山形県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,060000	10800	Weekly forecast narrative issued by the JMA office for Yamagata Prefecture (060000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-070000	https://www.jma.go.jp/bosai/forecast/data/overview_week/070000.json	json-object		JMA Weekly Outlook Narrative — Fukushima Prefecture	気象庁 週間天気概況 福島県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,070000	10800	Weekly forecast narrative issued by the JMA office for Fukushima Prefecture (070000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-080000	https://www.jma.go.jp/bosai/forecast/data/overview_week/080000.json	json-object		JMA Weekly Outlook Narrative — Ibaraki Prefecture	気象庁 週間天気概況 茨城県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,080000	10800	Weekly forecast narrative issued by the JMA office for Ibaraki Prefecture (080000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-090000	https://www.jma.go.jp/bosai/forecast/data/overview_week/090000.json	json-object		JMA Weekly Outlook Narrative — Tochigi Prefecture	気象庁 週間天気概況 栃木県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,090000	10800	Weekly forecast narrative issued by the JMA office for Tochigi Prefecture (090000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-100000	https://www.jma.go.jp/bosai/forecast/data/overview_week/100000.json	json-object		JMA Weekly Outlook Narrative — Gunma Prefecture	気象庁 週間天気概況 群馬県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,100000	10800	Weekly forecast narrative issued by the JMA office for Gunma Prefecture (100000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-110000	https://www.jma.go.jp/bosai/forecast/data/overview_week/110000.json	json-object		JMA Weekly Outlook Narrative — Saitama Prefecture	気象庁 週間天気概況 埼玉県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,110000	10800	Weekly forecast narrative issued by the JMA office for Saitama Prefecture (110000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-120000	https://www.jma.go.jp/bosai/forecast/data/overview_week/120000.json	json-object		JMA Weekly Outlook Narrative — Chiba Prefecture	気象庁 週間天気概況 千葉県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,120000	10800	Weekly forecast narrative issued by the JMA office for Chiba Prefecture (120000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-130000	https://www.jma.go.jp/bosai/forecast/data/overview_week/130000.json	json-object		JMA Weekly Outlook Narrative — Tokyo Metropolis	気象庁 週間天気概況 東京都	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,130000	10800	Weekly forecast narrative issued by the JMA office for Tokyo Metropolis (130000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-140000	https://www.jma.go.jp/bosai/forecast/data/overview_week/140000.json	json-object		JMA Weekly Outlook Narrative — Kanagawa Prefecture	気象庁 週間天気概況 神奈川県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,140000	10800	Weekly forecast narrative issued by the JMA office for Kanagawa Prefecture (140000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-150000	https://www.jma.go.jp/bosai/forecast/data/overview_week/150000.json	json-object		JMA Weekly Outlook Narrative — Niigata Prefecture	気象庁 週間天気概況 新潟県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,150000	10800	Weekly forecast narrative issued by the JMA office for Niigata Prefecture (150000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-160000	https://www.jma.go.jp/bosai/forecast/data/overview_week/160000.json	json-object		JMA Weekly Outlook Narrative — Toyama Prefecture	気象庁 週間天気概況 富山県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,160000	10800	Weekly forecast narrative issued by the JMA office for Toyama Prefecture (160000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-170000	https://www.jma.go.jp/bosai/forecast/data/overview_week/170000.json	json-object		JMA Weekly Outlook Narrative — Ishikawa Prefecture	気象庁 週間天気概況 石川県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,170000	10800	Weekly forecast narrative issued by the JMA office for Ishikawa Prefecture (170000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-180000	https://www.jma.go.jp/bosai/forecast/data/overview_week/180000.json	json-object		JMA Weekly Outlook Narrative — Fukui Prefecture	気象庁 週間天気概況 福井県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,180000	10800	Weekly forecast narrative issued by the JMA office for Fukui Prefecture (180000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-190000	https://www.jma.go.jp/bosai/forecast/data/overview_week/190000.json	json-object		JMA Weekly Outlook Narrative — Yamanashi Prefecture	気象庁 週間天気概況 山梨県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,190000	10800	Weekly forecast narrative issued by the JMA office for Yamanashi Prefecture (190000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-200000	https://www.jma.go.jp/bosai/forecast/data/overview_week/200000.json	json-object		JMA Weekly Outlook Narrative — Nagano Prefecture	気象庁 週間天気概況 長野県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,200000	10800	Weekly forecast narrative issued by the JMA office for Nagano Prefecture (200000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-210000	https://www.jma.go.jp/bosai/forecast/data/overview_week/210000.json	json-object		JMA Weekly Outlook Narrative — Gifu Prefecture	気象庁 週間天気概況 岐阜県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,210000	10800	Weekly forecast narrative issued by the JMA office for Gifu Prefecture (210000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-220000	https://www.jma.go.jp/bosai/forecast/data/overview_week/220000.json	json-object		JMA Weekly Outlook Narrative — Shizuoka Prefecture	気象庁 週間天気概況 静岡県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,220000	10800	Weekly forecast narrative issued by the JMA office for Shizuoka Prefecture (220000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-230000	https://www.jma.go.jp/bosai/forecast/data/overview_week/230000.json	json-object		JMA Weekly Outlook Narrative — Aichi Prefecture	気象庁 週間天気概況 愛知県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,230000	10800	Weekly forecast narrative issued by the JMA office for Aichi Prefecture (230000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-240000	https://www.jma.go.jp/bosai/forecast/data/overview_week/240000.json	json-object		JMA Weekly Outlook Narrative — Mie Prefecture	気象庁 週間天気概況 三重県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,240000	10800	Weekly forecast narrative issued by the JMA office for Mie Prefecture (240000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-250000	https://www.jma.go.jp/bosai/forecast/data/overview_week/250000.json	json-object		JMA Weekly Outlook Narrative — Shiga Prefecture	気象庁 週間天気概況 滋賀県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,250000	10800	Weekly forecast narrative issued by the JMA office for Shiga Prefecture (250000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-260000	https://www.jma.go.jp/bosai/forecast/data/overview_week/260000.json	json-object		JMA Weekly Outlook Narrative — Kyoto Prefecture	気象庁 週間天気概況 京都府	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,260000	10800	Weekly forecast narrative issued by the JMA office for Kyoto Prefecture (260000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-270000	https://www.jma.go.jp/bosai/forecast/data/overview_week/270000.json	json-object		JMA Weekly Outlook Narrative — Osaka Prefecture	気象庁 週間天気概況 大阪府	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,270000	10800	Weekly forecast narrative issued by the JMA office for Osaka Prefecture (270000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-280000	https://www.jma.go.jp/bosai/forecast/data/overview_week/280000.json	json-object		JMA Weekly Outlook Narrative — Hyogo Prefecture	気象庁 週間天気概況 兵庫県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,280000	10800	Weekly forecast narrative issued by the JMA office for Hyogo Prefecture (280000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-290000	https://www.jma.go.jp/bosai/forecast/data/overview_week/290000.json	json-object		JMA Weekly Outlook Narrative — Nara Prefecture	気象庁 週間天気概況 奈良県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,290000	10800	Weekly forecast narrative issued by the JMA office for Nara Prefecture (290000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
jp-jma-overview-week-300000	https://www.jma.go.jp/bosai/forecast/data/overview_week/300000.json	json-object		JMA Weekly Outlook Narrative — Wakayama Prefecture	気象庁 週間天気概況 和歌山県	jp_prefectural	weather	ja	japan,prefecture,jma,forecast,weekly,300000	10800	Weekly forecast narrative issued by the JMA office for Wakayama Prefecture (300000): headline text, publishing office and report timestamp.	HTTP_ERR	Not Found
