candidate	endpoint	verdict	note
# Batch 21 rejects, kept as data. Every line below was fetched over the wire on
# this machine during discovery or written as a manifest row and then removed.
# Verdicts: TABLE_NOT_AVAILABLE (Envirofacts serves an explicit "table is not
# available" error), HTTP_nnn, NET_ERR, NEEDS_KEY, SUMMARY_ONLY (200 with a
# query-id and counts but no records), FILTER_IGNORED (200 with the unfiltered
# table), IGNORES_PAGE_PARAM, NO_RECORD_IDENTITY (rule 4b), UNSTABLE_PAGING,
# NO_PAGINATION_TOO_LARGE, DUP_DATASET, SLOW_CAPPED_INVALID, NOT_SHIPPED.
EF_RMP_FACILITY	https://data.epa.gov/efservice/rmp_facility/rows/0:1/JSON	TABLE_NOT_AVAILABLE	documented Envirofacts table, not served by this REST endpoint
EF_SEMS_ACTIVE_SITES	https://data.epa.gov/efservice/sems_active_sites/rows/0:1/JSON	TABLE_NOT_AVAILABLE	Superfund site table not served
EF_RCRA_HANDLER	https://data.epa.gov/efservice/rcra_handler/rows/0:1/JSON	TABLE_NOT_AVAILABLE	hazardous waste handler table not served
EF_HD_HANDLER	https://data.epa.gov/efservice/hd_handler/rows/0:1/JSON	TABLE_NOT_AVAILABLE	RCRAInfo handler table not served
EF_GEO_FACILITY	https://data.epa.gov/efservice/geo_facility/rows/0:1/JSON	TABLE_NOT_AVAILABLE
EF_TSCA_CHEM	https://data.epa.gov/efservice/tsca_chem/rows/0:1/JSON	TABLE_NOT_AVAILABLE
EF_METADATA	https://data.epa.gov/efservice/metadata/JSON	TABLE_NOT_AVAILABLE	no machine-readable table catalogue on this service
EF_PN_VIOLATION_ASSOC	https://data.epa.gov/efservice/pn_violation_assoc/rows/0:1/JSON	TABLE_NOT_AVAILABLE	SDWIS public-notice linkage not served
EF_SI_AREA	https://data.epa.gov/efservice/si_area/rows/0:1/JSON	TABLE_NOT_AVAILABLE
EF_SITE_VISIT	https://data.epa.gov/efservice/site_visit/rows/0:1/JSON	TABLE_NOT_AVAILABLE	SDWIS sanitary survey visits not served
