id	url	stage	verdict	note
MEMENTO_TIMEMAP_JSON	https://timetravel.mementoweb.org/timemap/json/http://example.com	prescreen	DNS_FAIL	timetravel.mementoweb.org no longer resolves (Memento aggregator gone)
MEMENTO_TIMEGATE_API	https://timetravel.mementoweb.org/api/json/2020/http://example.com	prescreen	DNS_FAIL	same host
WAYBACK_TIMEMAP_JSON	https://web.archive.org/web/timemap/json?url={q}	dedup	SAME_DATASET	the timemap is served by the same CDX server as WAYBACK_CDX_DOMAIN (hp_netintel_deep.c) - same capture index, different serialisation
WAYBACK_CDX_HOST_DIGEST	https://web.archive.org/cdx/search/cdx?url={q}&matchType=host&collapse=digest	dedup	SAME_DATASET	WAYBACK_CDX_DOMAIN already reads the CDX index for a domain; this is the same index with a different collapse
ARQUIVO_PT_CDX	https://arquivo.pt/wayback/cdx?url={q}&output=json	prescreen	NDJSON	output=json is newline-delimited JSON objects, not a JSON document; neither the prober nor lib/hpengine.c parses NDJSON
UKWA_CDX	https://www.webarchive.org.uk/wayback/archive/cdx?url=example.com&output=json	prescreen	TLS_FAIL	certificate chain does not verify (missing intermediate)
UKGWA_CDX	https://webarchive.nationalarchives.gov.uk/ukgwa/cdx?url=gov.uk&output=json	prescreen	HTTP_405	answers a Human Verification challenge page to any non-browser client
UKGWA_TIMEMAP	https://webarchive.nationalarchives.gov.uk/ukgwa/timemap/json?url=gov.uk	prescreen	HTTP_405	same challenge page
ARCHIVEIT_ALL_CDX	https://wayback.archive-it.org/all/timemap/cdx?url=example.com	prescreen	HTTP_403	Request forbidden by administrative rules (the link-format timemap is already in the tree)
AU_WEBARCHIVE_CDX	https://web.archive.org/awa/cdx?url=example.com&output=json	prescreen	BOT_WALL	answers a bot-check page
IS_VEFSAFN_CDX	https://wayback.vefsafn.is/wayback/cdx?url=example.com	prescreen	TLS_FAIL	certificate hostname mismatch
LOC_WEBARCHIVE_CDX	https://webarchive.loc.gov/all/cdx?url=example.com&output=json	prescreen	HTTP_403	Cloudflare challenge page
LOC_WEBARCHIVE_TIMEMAP	https://webarchive.loc.gov/all/timemap/json?url=example.com	prescreen	HTTP_403	Cloudflare challenge page
STANFORD_SWAP_CDX	https://swap.stanford.edu/cdx?url=example.com	prescreen	HTTP_403	Forbidden
BIBALEX_CDX	http://archive.bibalex.org/web/cdx?url=example.com	prescreen	CONN_REFUSED	connection refused
NSK_HAW_CDX	https://haw.nsk.hr/wayback/cdx?url=example.com	prescreen	TIMEOUT	no answer in 40 s
CZ_WEBARCHIV_CDX	https://wayback.webarchiv.cz/wayback/cdx?url=example.com	prescreen	HTTP_404	no CDX endpoint at that path
PERMA_PUBLIC_ARCHIVES	https://api.perma.cc/v1/public/archives/?url={q}	prescreen	HTTP_403	Cloudflare challenge page for the public API
PERMA_PUBLIC_ARCHIVES_ALL	https://api.perma.cc/v1/public/archives/?limit=100	prescreen	HTTP_429	Cloudflare error 1015 rate limit on the first request
ARCHIVE_TODAY_TIMEMAP	https://archive.ph/timemap/http://example.com	prescreen	HTTP_429	archive.today rate-limits and bot-walls any non-browser client - not stable enough to register
COMMONCRAWL_CDX_2025_30	https://index.commoncrawl.org/CC-MAIN-2025-30-index?url={qh}&matchType=domain&output=json	probe	UNPARSEABLE	the CC index server answers output=json as NDJSON (one object per line); the prober cannot parse it and the engine has no NDJSON path. Also 503/504 under any parallel load
COMMONCRAWL_CDX_2023_50	https://index.commoncrawl.org/CC-MAIN-2023-50-index?url={qh}&matchType=domain&output=json	probe	UNPARSEABLE	same
COMMONCRAWL_CDX_2019_47	https://index.commoncrawl.org/CC-MAIN-2019-47-index?url={qh}&matchType=domain&output=json	probe	UNPARSEABLE	same
COMMONCRAWL_CDX_2018_51	https://index.commoncrawl.org/CC-MAIN-2018-51-index?url={qh}&matchType=domain&output=json	probe	UNPARSEABLE	same (502 Bad Gateway on the parallel pass)
COMMONCRAWL_CDX_2017_51	https://index.commoncrawl.org/CC-MAIN-2017-51-index?url={qh}&matchType=domain&output=json	probe	UNPARSEABLE	same (400 on the parallel pass)
COMMONCRAWL_CDX_2013_TO_2025_OTHERS	https://index.commoncrawl.org/CC-MAIN-*-index	prescreen	HTTP_503	52 other crawl indexes probed: every one answered 503, connection refused or timed out under jobs=8, and the NDJSON shape rules them out anyway
IA_ADV_ARCHIVEBOT	https://archive.org/advancedsearch.php?q=collection:ArchiveBot	prescreen	EMPTY_RESULTSET	collection identifier has no items (0 docs)
IA_ADV_GOVDOCS	https://archive.org/advancedsearch.php?q=collection:governmentdocuments	prescreen	EMPTY_RESULTSET	0 docs
IA_ADV_USGOVDOCS	https://archive.org/advancedsearch.php?q=collection:usgovernmentdocuments	prescreen	EMPTY_RESULTSET	0 docs
IA_ADV_OSS	https://archive.org/advancedsearch.php?q=collection:opensource_software	prescreen	EMPTY_RESULTSET	0 docs
IA_ADV_CIA_FOIA	https://archive.org/advancedsearch.php?q=collection:cia-foia	prescreen	EMPTY_RESULTSET	0 docs
IA_ADV_FBI_VAULT	https://archive.org/advancedsearch.php?q=collection:fbi-vault	prescreen	EMPTY_RESULTSET	0 docs
IA_ADV_ARCHIVE_TEAM_FIRE	https://archive.org/advancedsearch.php?q=collection:archiveteam_fire	prescreen	EMPTY_RESULTSET	0 docs
IA_SCRAPE_QUERY	https://archive.org/services/search/v1/scrape?q={q}	dedup	SAME_DATASET	the scrape API answers the same query the existing advancedsearch.php?q={q} row asks
IA_ITEMS_BY_CREATOR_PIVOT	https://archive.org/advancedsearch.php?q=creator:({q})	dedup	SAME_ENDPOINT	same advancedsearch endpoint and token position as the existing advancedsearch.php?q={q} row, differing only by a field prefix
IA_ITEMS_BY_SUBJECT_PIVOT	https://archive.org/advancedsearch.php?q=subject:({q})	dedup	SAME_ENDPOINT	same
IA_ITEMS_BY_COLLECTION_PIVOT	https://archive.org/advancedsearch.php?q=collection:({q})	dedup	SAME_ENDPOINT	same
IA_METADATA_ITEM	https://archive.org/metadata/{q}	prescreen	NO_RECORD_SET	the item metadata document is an envelope of scalars and nested server info; the files sub-resource (shipped as IA_ITEM_FILES_PIVOT) is the record set
SWH_ORIGIN_METADATA_SEARCH	https://archive.softwareheritage.org/api/1/origin/metadata-search/?fulltext={q}	prescreen	HTTP_500	search_phase_execution_exception from the upstream on every query
SWH_ORIGIN_SEARCH_VISIT	https://archive.softwareheritage.org/api/1/origin/search/{q}/?with_visit=true	dedup	SAME_ENDPOINT	origin search is already in the tree (swh origin search with limit=20)
SWH_ORIGIN_GET	https://archive.softwareheritage.org/api/1/origin/{q}/get/	prescreen	NO_RECORD_SET	a single origin document whose only list is a list of strings (visit_types)
SWH_SNAPSHOT	https://archive.softwareheritage.org/api/1/snapshot/{q}/	prescreen	NO_RECORD_SET	branches is a keyed object, not a record array
SWH_RELEASE	https://archive.softwareheritage.org/api/1/release/{q}/	prescreen	NO_RECORD_SET	a single release document
ZENODO_FUNDERS	https://zenodo.org/api/funders?q={q}	prescreen	EMPTY_RESULTSET	0 hits for any query tried
FIGSHARE_SEARCH	https://api.figshare.com/v2/articles?search_for={q}	prescreen	FILTER_IGNORED	GET /articles ignores search_for: example, dark web, osint all returned the identical 113,011-byte page. The honouring form is POST /articles/search, which the prober cannot exercise
FIGSHARE_DARKWEB	https://api.figshare.com/v2/articles?search_for=%22dark%20web%22	prescreen	FILTER_IGNORED	same
FIGSHARE_OSINT	https://api.figshare.com/v2/articles?search_for=osint	prescreen	FILTER_IGNORED	same
FIGSHARE_MALWARE	https://api.figshare.com/v2/articles?search_for=malware	prescreen	FILTER_IGNORED	same
FIGSHARE_INSTITUTIONS	https://api.figshare.com/v2/institutions	prescreen	HTTP_404	no such endpoint
DRYAD_SEARCH_TENANT	https://datadryad.org/api/v2/search?tenant={q}	dedup	SAME_ENDPOINT	the tenant filter is the institution filter under another name; the ROR-affiliation pivot is shipped instead
DV_UNC	https://dataverse.unc.edu/api/search	prescreen	HTTP_401	Only authenticated users can perform the requested operation
DV_CSUC	https://dataverse.csuc.cat/api/search	prescreen	CONN_CLOSED	remote end closed connection without response
DV_TDL	https://dataverse.tdl.org/api/search	prescreen	HTTP_403	Forbidden
DV_ICRISAT	https://dataverse.icrisat.org/api/search	prescreen	HTTP_401	requires an X-Dataverse-key
DV_SCIENCESPO	https://data.sciencespo.fr/api/search	prescreen	BOT_WALL	bot-check page
DV_UMANITOBA	https://dataverse.lib.umanitoba.ca/api/search	prescreen	DNS_FAIL	host does not resolve
DV_JHU	https://archive.data.jhu.edu/api/search	prescreen	HTTP_403	Forbidden
DV_PERU_CONCYTEC	https://dataverse.concytec.gob.pe/api/search	prescreen	DNS_FAIL	host does not resolve
DV_ISRAEL_ISDC	https://dataverse.openscholar.org/api/search	prescreen	TLS_FAIL	tlsv1 unrecognized name
