id	url	stage	verdict	note
BODIK_ODCS_PACKAGE_SEARCH	https://data.bodik.jp/api/3/action/package_search?rows=2	prescreen	HTTP_403	nginx 403 on every request from this host, including with a browser User-Agent and over IPv4; the Kyushu/Kansai prefectural catalogues (odcs.bodik.jp/<code>/) are views on this same API and fall with it. Host also already present in the tree (data.bodik.jp/api/3/action/)
SAITAMA_PREF_OPENDATA_PORTAL	https://opendata.pref.saitama.lg.jp/api/3/action/package_search?rows=2	prescreen	NO_API	the portal is a Laravel site; /api/3/action/*, /api/package_search and /dataset.rss all return the HTML home page (200)
SABAE_DATA_CITY_API	https://data.city.sabae.lg.jp/api/3/action/package_search?rows=2	prescreen	NO_API	answers JSON {"status":"error","error":"Uknown method"} for every CKAN-style method tried (action/package_search, package_search, package_list)
OTSU_OD_CITY_CKAN	https://od.city.otsu.lg.jp/api/3/action/package_search?rows=2	prescreen	TIMEOUT	connect timeout on three attempts spaced over 15 minutes
OSAKA_CITY_DATA_CKAN	https://data.city.osaka.lg.jp/api/3/action/package_search?rows=2	prescreen	TIMEOUT	connect timeout on three attempts (host www.city.osaka is in the tree; this catalogue host is not reachable from here)
OPENDATASTACK_JP	https://opendatastack.jp/api/3/action/package_search?rows=2	prescreen	TIMEOUT	connect timeout twice
ODP_JIG_JP	https://odp.jig.jp/api/3/action/package_search?rows=2	prescreen	HTTP_403	jig.jp open data platform refuses the API path
KOBE_DATA_CITY_CKAN	https://data.city.kobe.lg.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	no CKAN action API on this host
KYOTO_DATA_CITY_CKAN	https://data.city.kyoto.lg.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	no CKAN action API on this host
KANAGAWA_PREF_OPENDATA_API	https://opendata.pref.kanagawa.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	the documented API page exists but the CKAN action path 404s
SAPPORO_DATA_PF	https://data.pf-sapporo.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	the Sapporo data platform front has no API; ckan.pf-sapporo.jp (registered) is the API host
HOKKAIDO_HODA_PF	https://pf.hoda.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	no CKAN API
TAKAMATSU_SMARTCITY_PORTAL	https://opendata-portal.smartcity-takamatsu.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	no CKAN API
IBARAKI_OPENDATA_JP	https://www.ibaraki-opendata.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	no CKAN API
MIYAGI_DATAEYE	https://miyagi.dataeye.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	dataeye platform exposes no CKAN-compatible API path
SHIMANE_DATAEYE	https://shimane-opendata.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	dataeye platform; /db/api/3 also 404
OKAYAMA_DATAEYE	https://www.okayama-opendata.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	dataeye platform
HIROSHIMA_DATAEYE	https://hiroshima-opendata.dataeye.jp/api/3/action/package_search?rows=2	prescreen	HTTP_404	dataeye platform; ckan-hiroshima-opendata.dataeye.jp does not resolve
TOYAMA_PREF_OPENDATA	https://opendata.pref.toyama.jp/api/3/action/package_search?rows=2	prescreen	DNS_FAIL	opendata.pref.toyama.jp no longer resolves (http and https)
FUKUOKA_OPEN_GOVERNMENTDATA	https://www.open-governmentdata.org/api/3/action/package_search?rows=2	prescreen	DNS_FAIL	open-governmentdata.org (Fukuoka pref/city CKAN) no longer resolves; ckan.open-governmentdata.org likewise
REGISTRY_CATALOG_DIGITAL	https://catalog.registries.digital.go.jp/api/3/action/package_search?rows=2	prescreen	DNS_FAIL	catalog.registries.digital.go.jp does not resolve
GIFU_DATA_SUBDOMAIN	https://data.gifu-opendata.pref.gifu.lg.jp/api/3/action/package_search?rows=2	prescreen	DNS_FAIL	wrong host; the live CKAN is gifu-opendata.pref.gifu.lg.jp (shipped)
GUNMA_BUS_JCLD	https://gma.jcld.jp/gma_opendata/	prescreen	DNS_FAIL	Gunma bus open-data host does not resolve
NAGANO_SHINSHU_GIS_OPENDATA	https://wwwgis.pref.nagano.lg.jp/pref-nagano/OpenData	prescreen	TLS_FAIL	server offers a DH key too small for OpenSSL 3 (SSL: DH_KEY_TOO_SMALL); would need a weakened TLS policy
