url	reason
https://agi.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (215 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://akita.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (1095 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://cross.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (12 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://fmu.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (415 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://jpcoar.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (172 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://kyoritsu.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (393 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://momat.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (166 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://nact.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (22 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://niad.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (506 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://nig.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (1 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://nmwa.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (171 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://primaff.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (149 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://scu.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (175 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://socu.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (21 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://spu.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (149 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://tokyo-ondai.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (613 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://usp.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (602 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://ycu-history.repo.nii.ac.jp/api/records/?q={q}&size=100	LOW_YIELD_TRIMMED alive and filter honoured (670 hits for 研究, 0 for zzqxv9) but trimmed to keep the batch near target
https://irdb.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	DEAD badArgument on every ListRecords form tried (oai_dc, jpcoar, jpcoar_1.0, with and without from=)
https://irdb.nii.ac.jp/api/v1/search?q={q}	DEAD 404
https://irdb.nii.ac.jp/search?q={q}	BOT_WALL 403 Server Error
https://tsukuba.repo.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	SLOW bare ListRecords exceeds 30 s; with from= 43 s; engine budget is 20 s (jpacademic registered this form; the JSON API row here is the reachable one)
https://waseda.repo.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	SLOW 70 s for 100 records
https://tohoku.repo.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	SLOW timed out at 30 s
https://nagoya.repo.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	SLOW timed out at 30 s
https://kanazawa-u.repo.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	SLOW timed out at 30 s
https://niigata-u.repo.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	SLOW timed out at 30 s
https://soar-ir.repo.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	SLOW timed out at 30 s
https://repository.lib.tottori-u.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	SLOW 40 s (JSON API of the same host kept)
https://dspace.jaist.ac.jp/dspace-oai/request?verb=ListRecords&metadataPrefix=oai_dc	SLOW 18.6 s on a 20 s engine budget; too close to register
https://dspace.jaist.ac.jp/server/api/discover/search/objects?query={q}	DEAD 404 (DSpace 6, no REST discover)
https://library.naist.jp/dspace/server/api/discover/search/objects?query={q}	DEAD 404
https://eprints.lib.hokudai.ac.jp/dspace-oai/request?verb=ListRecords&metadataPrefix=oai_dc	DEAD 404 (HUSCAP moved platforms; /rest and /server/api also 404)
https://ir.library.osaka-u.ac.jp/api/records/?q={q}	DEAD 404 not WEKO3
https://ir.lib.hiroshima-u.ac.jp/api/records/?q={q}	DEAD 404 not WEKO3
https://ousar.lib.okayama-u.ac.jp/api/records/?q={q}	DEAD 404 not WEKO3
https://hermes-ir.lib.hit-u.ac.jp/hermes/ir/api/records/?q={q}	DEAD timeout
https://naosite.lb.nagasaki-u.ac.jp/api/records/?q={q}	DEAD timeout
https://koara.lib.keio.ac.jp/xoonips/modules/xoonips/search.php?search={q}	DEAD 404
https://catalog.lib.kyushu-u.ac.jp/opac_search/?q={q}&format=json	NOT_RECORDS HTML OPAC page with no item anchors
https://t2r2.star.titech.ac.jp/cgi-bin/publicationlist.cgi?q={q}	NOT_RECORDS 566-byte redirect stub
