url	reason
https://www.antiphishing.jp/atom.xml	DUPLICATE_HOST (batch23 jpdeep has rss.xml of the same feed); live, 15 entries
https://www.antiphishing.jp/news/alert/	DUPLICATE_URL (batch23 jpdeep JPDEEP_ANTIPHISHING_JP_ALERT_ARCHIVE)
https://www.antiphishing.jp/rss/	DEAD 404
https://www.antiphishing.jp/news/alert/rss.xml	DEAD 404
https://www.antiphishing.jp/report/	NOT_RECORDS (static report index, 5 links)
https://www.antiphishing.jp/news/event/	OFF_BEAT (event notices)
https://jprs.jp/rss/whatsnew.rdf	DEAD 404 (real feed is /whatsnew/rss/jprs.rdf, kept)
https://jprs.jp/about/dom-search/jprs-stats/	DEAD 404
https://jprs.jp/tech/security/	DEAD 404 (advisories reached via /tech/ index, kept)
https://jprs.jp/tech/notice/	DEAD 404 (reached via /tech/ index, kept)
https://jprs.jp/advisory/whatsnew/	DEAD 404
https://jprs.jp/related-info/event/	OFF_BEAT (events)
https://whois.jprs.jp/	SINGLE_RECORD (whois gateway returns one record per query)
https://www.nic.ad.jp/rss/topics.rdf	DEAD 404 (real feed is /ja/index.xml, kept)
https://www.nic.ad.jp/ja/ip/as-numbers.txt	FIXED_WIDTH (live AS list, 1052 lines, but whitespace-aligned columns that csv_delim cannot express)
https://www.nic.ad.jp/ja/ip/as-numbers.html	DEAD 404
https://whois.nic.ad.jp/cgi-bin/whois_gw?key=203.178.128.0	SINGLE_RECORD Shift_JIS whois page
https://blog.nic.ad.jp/feed/	BOT_WALL 403
https://www.nic.ad.jp/ja/ip/member/	NOT_RECORDS (policy pages, no member list)
https://www.nic.ad.jp/ja/ip/statistics/	DEAD 404
https://www.nic.ad.jp/ja/dom/	NOT_RECORDS (navigation only)
https://www.nic.ad.jp/ja/event/	OFF_BEAT (events)
https://www.nic.ad.jp/ja/newsletter/	NOT_RECORDS (navigation only)
https://ftp.nic.ad.jp/jpnic/	NOT_RECORDS (directory index)
https://ftp.nic.ad.jp/jpnic/statistics/	NOT_RECORDS (directory index)
https://ftp.nic.ad.jp/jpnic/statistics/ip-list-j.txt	STALE (ISO-2022-JP notice from 1999 saying the list is no longer public)
https://ftp.nic.ad.jp/jpnic/statistics/HostCount	STALE ISO-2022-JP text, no records
https://ftp.nic.ad.jp/jpnic/statistics/num_of_members	STALE ISO-2022-JP text table
https://ftp.nic.ad.jp/jpnic/statistics/Unconnected_Domains	STALE ISO-2022-JP text
https://www.ppc.go.jp/rss/news.xml	DEAD 404
https://www.ppc.go.jp/news/	NOT_RECORDS (category hub, per-list pages kept instead)
https://www.ppc.go.jp/legal/rouei/	NOT_RECORDS (procedural page)
https://www.ppc.go.jp/aboutus/report/	NOT_RECORDS (PDF annual reports only)
https://www.ppc.go.jp/alart_for_medical_organizations/	NOT_RECORDS (procedural page)
https://www.ppc.go.jp/personalinfo/legal/leakAction/	NOT_RECORDS (procedural page with PDFs)
https://www.ppc.go.jp/sitemap/	NOT_RECORDS (sitemap, used for discovery)
https://www.jpix.ad.jp/service/traffic.html	DEAD 404
https://www.jpix.ad.jp/service/ix.html	DEAD 404
https://www.jpix.ad.jp/ix/technical/traffic.php	NOT_RECORDS (traffic graphs are images)
https://www.jpix.ad.jp/ix/technical/traffic.php?ix=tokyo	NOT_RECORDS (images)
https://www.jpnap.net/traffic/	DEAD 404
https://www.jpnap.net/service/traffic.html	DEAD 404
https://www.bbix.net/service/ix/	NOT_RECORDS (service page)
https://www.dix-ie.jp/	DEAD (connection failed)
https://mimizun.com/search/?q=...	DEAD (site closed, Shift_JIS farewell page)
https://find.5ch.net/search?q=...	BOT_WALL (Cloudflare 403 on find.5ch.io)
