url	reason
https://www.fsa.go.jp/	DUPLICATE_HOST (www.fsa.go.jp in tree)
https://www.jpx.co.jp/rss/index.html	DUPLICATE_HOST (www.jpx.co.jp in tree)
https://www.jsda.or.jp/	DUPLICATE_HOST (www.jsda.or.jp in tree)
https://www.tdb.co.jp/	DUPLICATE_HOST (www.tdb.co.jp in tree)
https://www.boj.or.jp/statistics/	DUPLICATE_HOST (www.boj.or.jp in tree; review-list BOJ rows all on that host)
https://api.edinet-fsa.go.jp/	DUPLICATE_HOST
https://www.release.tdnet.info/	DUPLICATE_HOST
https://www.zenginkyo.or.jp/	DUPLICATE_HOST
http://web.archive.org/cdx/search/cdx	DUPLICATE_HOST (web.archive.org in tree; CDX rows for dead bank hosts therefore not registered)
https://api.e-stat.go.jp/	DUPLICATE_HOST (and needs appId)
https://www.stat-search.boj.or.jp/api/v1/getDataCode?dataCode=D&format=json	NOT_RECORDS (API answers 400 "DB not specified"; parameter contract undocumented for a non-browser client, no working record URL found)
https://www.stat-search.boj.or.jp/index.html	NOT_RECORDS (Shift_JIS search front end, no listing anchors)
https://indexes.nikkei.co.jp/nkave/statistics/dataload?list=daily&year=2026	NOT_RECORDS (HTML table fragment without anchors; html mode needs anchors)
https://indexes.nikkei.co.jp/nkave/index/profile?idx=nk225	NOT_RECORDS (single profile page)
https://coincheck.com/api/ticker	NOT_RECORDS (single BTC/JPY object, no array)
https://api.bitflyer.com/v1/getboardstate?product_code=BTC_JPY	NOT_RECORDS (single status object)
https://api-cloud.bittrade.co.jp/v1/common/symbols	DEAD (redirects to maintenance.bittrade.co.jp HTML)
https://api.sbivc.co.jp/v1/ticker	DEAD (no response)
https://clearing.fsa.go.jp/kashikin/	LOGIN (money-lender register is a session-bound search form; no listing without POST)
https://www.jcr.co.jp/ratinglist/fin/	DEAD (404)
https://www.jcr.co.jp/release/	NOT_RECORDS (release list is JavaScript-rendered; 1 anchor)
https://www.jcr.co.jp/ratinglist/sf_sf/	NOT_RECORDS (3 MB page whose rows carry no anchors; 7 nav anchors only)
https://www.r-i.co.jp/	BOT_WALL (403)
https://www.j-fsa.or.jp/moneylender/member/	NOT_RECORDS (member search form; 8 nav anchors)
https://www.j-fsa.or.jp/news/	DEAD (404)
https://www.j-fsa.or.jp/material/monthly_survey/	NOT_RECORDS (4 anchors under path, rest navigation)
https://www.s-kessai.jp/businesses/funds_transfer/	NOT_RECORDS (explanatory page; member list not anchored)
https://www.s-kessai.jp/news/	DEAD (404)
https://jvcea.or.jp/about/member/	NOT_RECORDS (member table has no anchors)
https://jvcea.or.jp/news/	DEAD (redirects to homepage)
https://jvcea.or.jp/wp-json/wp/v2/posts?per_page=100	LOGIN (401)
https://www.imaj.or.jp/member/	DEAD (404)
https://www.imaj.or.jp/news/	EMPTY_RESULTSET (257-byte page)
https://www.toushin.or.jp/statistics/	NOT_RECORDS (56 xlsx anchors but anchor text is the file size, e.g. "58 K" - no usable title)
https://www.t2fifa.or.jp/members/	NOT_RECORDS (no member anchors)
https://www.t2fifa.or.jp/news/detail/	DEAD (404)
https://www.t2fifa.or.jp/news/	NOT_RECORDS (12 anchors, category/year navigation; RSS row kept instead)
https://www.t2fifa.or.jp/wp-json/wp/v2/posts?per_page=100	LOGIN (401)
https://www.ffaj.or.jp/about/member/	NOT_RECORDS (member list rendered as text without anchors)
https://www.ffaj.or.jp/news/	DEAD (redirects to homepage)
https://www.shougakutanki.jp/member/	LOGIN (401)
https://www.shougakutanki.jp/	EMPTY_RESULTSET (695-byte shell)
https://www.sonpo.or.jp/about/member/	DEAD (404)
https://www.sonpo.or.jp/news/caution/	NOT_RECORDS (8 anchors, subset of /news/ row)
https://www.sonpo.or.jp/news/notice/	NOT_RECORDS (23 anchors, subset of /news/ row)
https://www.sonpo.or.jp/news/member/index.html	NOT_RECORDS (9 year-navigation anchors)
https://www.seiho.or.jp/	DEAD (connection timed out on https and http)
https://www.finmac.or.jp/feed/	EMPTY_RESULTSET (RSS with 0 items)
https://www.finmac.or.jp/kanyu_type1/	NOT_RECORDS (redirects to a page whose anchors are wp-content assets)
https://www.finmac.or.jp/wp-json/wp/v2/posts?per_page=100	EMPTY_RESULTSET (returns [])
https://fintechjapan.org/feed/	EMPTY_RESULTSET (RSS with 0 items)
https://fintechjapan.org/wp-json/wp/v2/posts?per_page=100	BOT_WALL (403)
https://jipf.or.jp/news/	NOT_RECORDS (4 anchors, 2 of them PDFs from 2019/2025; too thin to register)
https://www.jsri.or.jp/news/2026/	NOT_RECORDS (9 anchors, mostly navigation)
https://www.jsri.or.jp/feed/	EMPTY_RESULTSET (0 items)
https://www.jsf.co.jp/ja/news/	BOT_WALL (403)
https://www.jsf.co.jp/rss/news.xml	EMPTY_RESULTSET (175-byte XML, 0 items)
https://www.odex.co.jp/news/	BOT_WALL (403)
https://www.tfx.co.jp/news/	BOT_WALL (403)
https://www.tfx.co.jp/historical/	NOT_RECORDS (product navigation only)
https://www.nse.or.jp/listing/	NOT_RECORDS (listing guide, no issuer anchors)
https://www.fse.or.jp/news/	NOT_RECORDS (Shift_JIS page with 1 anchor)
https://www.sse.or.jp/sample-page/feed	EMPTY_RESULTSET (default WordPress page feed, 0 items)
https://kabu.com/info/	NOT_RECORDS (redirects to homepage)
https://kabu.com/wp-json/wp/v2/posts?per_page=100	EMPTY_RESULTSET (returns [])
https://www.matsui.co.jp/news/	NOT_RECORDS (redirects to /news/2026/ which is the row kept)
https://www.nomura.co.jp/news/	DEAD (404)
https://www.daiwa.jp/news/	DEAD (404)
https://www.monex.co.jp/	BOT_WALL (403, later connection reset)
https://www.rakuten-sec.co.jp/web/info/	NOT_RECORDS (7 anchors, static information pages)
https://www.sbisec.co.jp/	NOT_RECORDS (Windows-31J trading portal, no listing)
https://www.jcb.co.jp/news/	BOT_WALL (403)
https://www.jpmorgan.co.jp/	NOT_RECORDS (corporate landing page)
https://www.nikkei.com/	NOT_RECORDS (paywalled news front page; not a records endpoint)
https://www.jba.or.jp/jba_info/atom.xml	NOT_RECORDS (jba.or.jp is the Japan Bioindustry Association, not the bankers association)
https://www.jba.or.jp/member_info/atom.xml	NOT_RECORDS (bioindustry association)
https://www.jba-tokyo.or.jp/	DEAD
https://www.jssa.or.jp/	DEAD
https://www.nisshokyo.or.jp/news/	DEAD (404; Shift_JIS home has no listing)
https://www.cpaaob.go.jp/	DEAD (connection reset for every User-Agent tried)
https://www.dic.go.jp/	BOT_WALL (CloudFront 403 on every path tried)
https://www.dic.go.jp/kikotoha/page_000021.html	BOT_WALL (403)
https://www.norinchukin.or.jp/	DEAD (connection reset)
https://www.nochubank.or.jp/ir/disclosure/	BOT_WALL (403)
https://www.nochubank.or.jp/news/	BOT_WALL (403)
https://www.jabank.org/news/	DEAD (404; homepage has no listing anchors)
https://www.jpbank.japanpost.jp/	DEAD (host does not resolve; real host www.jp-bank.japanpost.jp kept)
https://www.jp-bank.japanpost.jp/notification/	DEAD (404)
https://www.kanpou.npb.go.jp/	DEAD (connection reset; official gazette unreachable to curl)
https://www.tsr-net.co.jp/data_service/tousan/	DEAD (404)
https://www.tsr-net.co.jp/news/data_analysis/	NOT_RECORDS (JavaScript-rendered list; 0 anchors under path)
https://www.tsr-net.co.jp/news/tsr/	NOT_RECORDS (JavaScript-rendered; 2 nav anchors)
https://www.tsr-net.co.jp/news/	NOT_RECORDS (hub page; status sub-listing and RSS kept)
https://www.tsr-net.co.jp/wp-json/wp/v2/posts?per_page=100	DEAD (404)
https://www.zengin-net.jp/	NOT_RECORDS (corporate site, no listing)
https://www.j-credit.or.jp/	NOT_RECORDS (2.6 MB home; statistics page anchors are xls without dated titles - not registered)
https://www.j-credit.or.jp/information/statistics/	NOT_RECORDS (statistics page, anchors not records)
https://www.shiruporuto.jp/public/document/	DEAD (404)
https://lfb.mof.go.jp/kantou/	NOT_RECORDS (bureau home; the kinyuu section is the row kept)
