url	reason
https://www.pref.ibaraki.jp/important_rss.xml	EMPTY_RESULTSET (200, valid RSS, 0 items)
https://www.metro.tokyo.lg.jp/index.html/-/asset_publisher/lnir/rss	EMPTY_RESULTSET (200, 0 items)
https://www.metro.tokyo.lg.jp/index.html/-/asset_publisher/anol/rss	DEAD (404, redirects to Liferay login)
https://www.pref.kanagawa.jp/emergency/emergency.xml	EMPTY_RESULTSET (0 items)
https://www.pref.kanagawa.jp/rss/	NOT_RECORDS (68-byte HTML stub)
https://www.pref.kanagawa.jp/rss/10/list6.xml	THIN (1 item)
https://www.pref.kanagawa.jp/rss/10/list5.xml	DEAD (404)
https://www.pref.kanagawa.jp/rss/10/list10.xml	DEAD (404)
https://www.pref.nagano.lg.jp/kinkyu/kinkyu.xml	EMPTY_RESULTSET (0 items)
https://www.pref.osaka.lg.jp/kinkyu/kinkyu.xml	EMPTY_RESULTSET (0 items)
https://web.pref.hyogo.lg.jp/kinkyu2.xml	EMPTY_RESULTSET (0 items)
https://www.pref.okinawa.jp/press_news.rss	EMPTY_RESULTSET (0 items)
https://www.pref.okinawa.lg.jp/kinkyu_news.rss	EMPTY_RESULTSET (0 items)
https://www.pref.toyama.jp/emergency.xml	THIN (1 item)
https://www.pref.oita.jp/rss/10/list2.xml	EMPTY_RESULTSET (0 items)
https://www.pref.ehime.jp/rss/20/list2.xml	EMPTY_RESULTSET (0 items)
https://www.pref.yamaguchi.lg.jp/rss/10/list2.xml	EMPTY_RESULTSET (0 items)
https://www.pref.kagoshima.jp/gikai/chuumoku/chuumoku.xml	EMPTY_RESULTSET (0 items)
https://catalog.opendata.pref.kanagawa.jp/api/3/action/tag_list?all_fields=true	EMPTY_RESULTSET (1 tag)
https://odp-pref-tottori.tori-info.co.jp/api/group_list?all_fields=true	NOT_RECORDS (6 groups each with packages=0)
https://odp-pref-tottori.tori-info.co.jp/api/organization_list?all_fields=true	DEAD (NotFound HTML)
https://odp-pref-tottori.tori-info.co.jp/api/package_list	NOT_RECORDS (bare name list; package_search row carries the full records)
https://catalog.opendata.pref.kanagawa.jp/api/3/action/package_search?q={q}&rows=100	FILTER_IGNORED (q=消防 count=8 but impossible entity zzqxv9 count=333 of 811 - filter is fuzzy/unreliable; registered as bulk only)
https://www.pref.gunma.jp/site/rss/	DEAD (404)
https://www.pref.gunma.jp/rss/10/list2.xml	DEAD (404)
https://www.pref.gunma.jp/rss/10/list10.xml	DEAD (404)
https://www.pref.saitama.lg.jp/shinchaku/shinchaku.xml	DEAD (404)
https://www.pref.saitama.lg.jp/press/press.xml	DEAD (404)
https://www.pref.chiba.lg.jp/homepage/kinkyu/kinkyu.xml	DEAD (404)
https://www.pref.okayama.jp/site/rss/	DEAD (404)
https://www.pref.okayama.jp/rss/10/list5.xml	DEAD (404)
https://www.pref.okayama.jp/rss/10/list6.xml	DEAD (404)
https://www.pref.okayama.jp/rss/10/list10.xml	DEAD (404)
https://www.pref.hiroshima.lg.jp/site/rss/	DEAD (404)
