url	reason
https://www.stat-search.boj.or.jp/	hub/index page for interactive time-series search; data access is via session-based CGI (famecgi2), no static file at this URL
https://www.stat-search.boj.or.jp/info/dload.html	linked bulk files are mostly ZIP archives (contents unopened, schema unverified); the 4 standalone CSVs (cgpilink1/2.csv, sppilink.csv, sppilink_q.csv) are wide date-indexed matrices with blank/unlabeled id columns before ~700 monthly date columns start — could not confirm real title/id field names without fabricating, and csv_no_header risks the header row itself being read as a spurious record
https://www.boj.or.jp/statistics/money/index.htm	pure hub page, only links to 4 sub-pages not in this batch, no direct data file
https://www.boj.or.jp/statistics/asli_fi/index.htm	hub page; real data behind an interactive session-based stat-search CGI, only direct link found is a PDF comparison table
https://www.boj.or.jp/statistics/dl/index.htm	pure hub page listing sub-topics, no direct CSV/XLS/PDF link on the page itself
https://www.boj.or.jp/statistics/sj/index.htm	real data (sjlong.xlsx etc.) is xlsx binary — not a supported manifest mode (json/csv/xml/html only)
https://www.boj.or.jp/statistics/bis/index.htm	pure hub page, 4 sub-page links only, no direct data file
https://www.boj.or.jp/statistics/set/index.htm	pure hub page, 3 sub-page links only, no direct data file
https://www.boj.or.jp/statistics/set/kess/index.htm	PDF-only monthly release reports, no CSV/XLS alternate found
https://www.boj.or.jp/statistics/other/index.htm	pure hub page, 2 sub-page links only, no direct data file
https://www.boj.or.jp/statistics/br/index.htm	pure hub page, 2 sub-page links only, no direct data file
https://www.boj.or.jp/statistics/tk/index.htm	data (tka*.zip) is a ZIP archive, contents not opened/verified — cannot confirm CSV/XLSX schema inside without fabricating
https://www.boj.or.jp/statistics/boj/index.htm	hub page; category sub-page hrefs were not captured in prose-only fetch, no direct data file on this page
https://www.boj.or.jp/finsys/fsr/index.htm	index of narrative Financial System Report htm/PDF pages, not structured/tabular data
https://www.boj.or.jp/finsys/	pure index/hub of hub-sections, no direct data
https://www.boj.or.jp/research/brp/psr/index.htm	index of narrative Payment System Report PDFs, no CSV/XLS/JSON
https://www.boj.or.jp/research/brp/index.htm	pure index/hub aggregating other report indexes, PDF narrative only
https://www.boj.or.jp/statistics/market/forex/index.htm	pure hub page, 2 sub-page links only
https://www.boj.or.jp/statistics/market/forex/fxdaily/index.htm	PDF-only daily releases, no CSV/JSON
https://www.boj.or.jp/statistics/market/forex/fxdaily/fxlist/index.htm	genuine dated link-list pattern but targets are PDF, not per-item HTML pages or CSV/JSON/XML — html mode cannot parse PDF content
https://www.boj.or.jp/statistics/market/forex/jikko/index.htm	hub page; real data behind session-based stat-search CGI, only direct link is an old 2010 PDF notice
https://www.boj.or.jp/about/services/tame/tame_rate/kijun/	genuine monthly HTML link-list but each detail page is a single-value snapshot (one prose rate + a 2-column table), not a bulk table/CSV/JSON
https://www.fsa.go.jp/menkyo/menkyo.html	pure navigation/index page linking to the category pages below, not itself a table or link-list of entities
https://www.fsa.go.jp/menkyo/menkyoj/ginkou.pdf	PDF; a live xlsx sibling (ginkou.xlsx) exists but xlsx is binary and not a supported manifest mode (json/csv/xml/html only)
https://www.fsa.go.jp/menkyo/menkyoj/ginkoumochikabu.pdf	PDF; live xlsx sibling exists but xlsx is an unsupported binary format
https://www.fsa.go.jp/menkyo/menkyoj/shinkin.pdf	PDF; live xlsx sibling exists but xlsx is an unsupported binary format
https://www.fsa.go.jp/menkyo/menkyoj/rokin.pdf	PDF; live xlsx sibling exists but xlsx is an unsupported binary format
https://www.fsa.go.jp/menkyo/menkyoj/shinkumi.pdf	PDF; live xlsx sibling exists but xlsx is an unsupported binary format
https://www.fsa.go.jp/menkyo/menkyoj/keito.pdf	PDF; live xlsx sibling exists but xlsx is an unsupported binary format
https://www.fsa.go.jp/menkyo/menkyoj/kenei.pdf	PDF; live xlsx sibling exists but xlsx is an unsupported binary format
