url	reason
https://d-infra.ier.hit-u.ac.jp/Japanese/govstat-database/statistical-yb/	year folders are bare numeric hrefs like "1882/" with no shared literal substring distinguishing them from other links; the site's xlsx summary files exist but are only 3-4 structured tables, not enumerable per-item records
https://www.wul.waseda.ac.jp/kotenseki/	homepage is 8 thematic gallery banners not a flat item list; its resource-list subpage links only to call-number category folders, one more nesting level from actual per-manuscript pages, no flat item list found at either level checked
https://www.dh-jac.net/db/nishikie/	pure search-portal page (links only to search forms/guide), zero default result listing
https://rmda.kulib.kyoto-u.ac.jp/	homepage links only to ~40 collection categories; a sampled collection subpage yielded 1 item-detail link plus more subcollection links, no flat per-item list found within levels checked
https://dcollections.lib.keio.ac.jp/	homepage lists ~24 collection categories, not items; a sampled collection page yielded only further subgroup category links, two levels deep with no flat item list found
https://wwwap.hi.u-tokyo.ac.jp/ships/w24/search	plain empty search form (keyword/date/location filters), zero default results, zero item links
https://www.hiroshimacci.or.jp/promotion/member-list/	static informational page with a single external gateway link to a separate member-list.hiroshimacci.or.jp domain; no per-item links on this page
https://www.kyo.or.jp/kyoto/kyosho/m_search_index.html	search-form gateway routing to b-mall.ne.jp's company search, no default results on this page
https://www.sapporo-cci.or.jp/web/purpose/01/e_search.html	search-form gateway routing to b-mall.ne.jp's company search, no default results on this page
https://www.shokokai.or.jp/search/	search form requiring a submitted prefecture/name query, zero default results
https://www.nagaokacci.or.jp/member/	only 5 random default "pickup" links (member/detail/id/N); the rest requires submitted search criteria
https://hiratuka-cci.or.jp/kensaku/	search form (industry category or keyword required), zero default member links present
https://www.kitakyushucci.or.jp/keiei/hanro-koho/web-pr/	informational page with a single gateway link to the external net.kitakyushucci.or.jp search network, no per-item links here
https://www.shimonoseki.cci.or.jp/information/	search form requiring submitted criteria, zero default member profile links
https://www.tca.or.jp/about_us/member.html	every member link (~57) is off-site to the member's own domain with no shared internal href substring
https://www.jisa.or.jp/about_jisa/list/tabid/739/Default.aspx	all ~523 member links are off-site to each company's own domain with no shared internal href substring
https://www.jasa.or.jp/members/	search form (branch/business-domain filters), zero default result links present
https://www.jsim.or.jp/about/members-list/	all 187 member links are off-site to each manufacturer's own domain with no shared internal href substring
https://www.kanrikyo.or.jp/cgi-bin/memsearch/memsearch.cgi	navigation hub only (region list + keyword search), no per-item record links present without a search submission
https://www.nsouzai-kyoukai.or.jp/kaiinn_sei/index/	the 691-member roster is disclosed only via PDF downloads, no per-item HTML links
https://registry.jicpa.or.jp/cpa_search/	search form (registration number/name/prefecture), zero default results
https://www.gakushikai.or.jp/info/info_202103_01.html	confirmed login-gated at member.gakushikai.or.jp/e-gakushikai/, no public data on the announcement page
https://www.shizuoka-takken.or.jp/search/	search form, zero default results
https://www.zeirishikensaku.jp/	landing page routes to a /NzSearchTop search form, no default listing
