id	verdict	emitted	available	entity
OBIS_MARINE_OCCURRENCE	OK	100	100	Thunnus
CBS_NETHERLANDS_ODATA	OK	5953	5953	
KE_MINING_CADASTRE_LICENCES	OK	1462	1462	
CD_CAMI_EXPLOITATION_LICENCES	OK	716	716	
CD_CAMI_LICENCE_APPLICATIONS	OK	168	168	
CV_INE_PUBLICATIONS	OK	500	500	
CV_INE_TENDERS	OK	500	500	
ZA_MUNIMONEY_MUNICIPALITIES	OK	392	392	
ZA_MUNIMONEY_AUDIT_OPINIONS	OK	1000	1000	
ZA_MUNIMONEY_OFFICIALS	OK	1000	1000	
ZA_MUNIMONEY_INCOME_EXPENDITURE	OK	1000	1000	
ZA_MUNIMONEY_CAPITAL	OK	1000	1000	
ZA_MUNIMONEY_CASHFLOW	OK	1000	1000	
NGX_EQUITY_STATISTICS	HTTP_404	0	0	
ZA_MUNIMONEY_AGED_DEBTORS	OK	1000	1000	
AP19_MY_BNM_KIJANG	HTTP_404	0	0	
AP19_MY_BNM_OPR	HTTP_404	0	0	
AP19_CN_SZSE_LISTED	OK	200	200	
AP19_AU_AODN_CATALOGUE	OK	1000	1000	
EPSS_SCORE_PAGE	OK	1000	1000	
WORDPRESS_PLUGIN_REGISTRY	OK	1000	1000	
WORDPRESS_THEME_REGISTRY	OK	1000	1000	
JENKINS_PLUGIN_SITE	OK	500	500	
ARTIFACTHUB_PACKAGE_SEARCH	OK	364	364	nginx
ARTIFACTHUB_REPOSITORY_SEARCH	OK	600	600	
TERRAFORM_MODULES	OK	500	500	
TERRAFORM_PROVIDERS	OK	500	500	
CERT_PY_WP_POSTS	OK	500	500	
CERT_PH_WP_POSTS	OK	154	154	
CERT_KH_WP_POSTS	OK	500	500	
CSIRT_TT_WP_POSTS	OK	500	500	
NPCERT_WP_POSTS	OK	10	10	
ECUCERT_WP_POSTS	OK	31	31	
CERTGH_WP_POSTS	OK	31	31	
MASTR_UNIT_REGISTER_EXTENDED	OK	500	500	
METEO_LT_STATIONS	OK	52	52	
SMHI_METOBS_STATIONS	OK	1000	1000	
SMHI_HYDROOBS_STATIONS	OK	720	720	
SYKE_HYDRO_SITES	OK	500	500	
LUCHTMEETNET_LKI	OK	1000	1000	
WFIGS_INCIDENT_LOCATIONS	OK	500	500	
GTK_NORDIC_DEPOSITS_PRECIOUS	EMPTY_UPSTREAM	0	0	
GTK_NORDIC_DEPOSITS_BASE	OK	562	562	
GTK_NORDIC_DEPOSITS_FERROUS	OK	696	696	
GTK_NORDIC_DEPOSITS_ENERGY_METALS	OK	44	44	
GTK_MINING_WASTE_TAILINGS	OK	31	31	
GTK_MINING_WASTE_ROCK	OK	43	43	
PL_NFZ_AGREEMENTS	OK	250	250	07
