id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
sci-celestrak-analyst	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-beidou	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-amateur	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-argos	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-cubesat	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-cosmos2251	EMITS_NOTHING	1	-1	0	0	0	-1	62.7	no records reached intel_items
sci-celestrak-engineering	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-fengyun1c	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-galileo	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-geo	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-glo-ops	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-globalstar	EMITS_NOTHING	1	-1	0	0	0	-1	62.4	no records reached intel_items
sci-celestrak-gps-ops	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-iridium-next	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-gnss	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-iridium33	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-intelsat	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-last30	EMITS_NOTHING	1	-1	0	0	0	-1	62.7	no records reached intel_items
sci-celestrak-nnss	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-military	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
sci-celestrak-orbcomm	EMITS_NOTHING	1	-1	0	0	0	-1	62.5	no records reached intel_items
