id	file	verdict_before	emitted_before	stored_before	action	verdict_after	emitted_after	stored_after	evidence
geo-nve-flood-warning	native/collectors/feed/generated/vsrc_disaster_3.c	COLLISION	1077	1019	composite key MunicipalityCsvString+ValidFrom -> MunicipalityList[].Id+ValidFrom (CSV string kept as fallback); nve_muni_ids() helper	OK	1077	1077	live 2026-09-20: 1,077 records; CSV+ValidFrom 1,019 distinct (a real warning repeats its whole municipality list on each of its 31/29 per-municipality rows: Id 584885 x31, 584891 x29); MunicipalityList[0].Id+ValidFrom 1,077 distinct; recheck stored=1077
OVERPASS_TUNNEL	native/collectors/pivot/table/hp3_infra.c	EMITS_NOTHING	0	0	none — transient (Overpass throttling, 26.5 s empty answer); re-run unchanged	OK	100	100	--run: emitted 100 of 100 across 1 page, stored=100; recheck OK 100/100 in 12.6 s
cyb-caida-asrank	native/collectors/feed/generated/vsrc_infrastructure_1.c	SLOW	-1	-1	none — inherent: ~10.5 s per 13.7 MB page x 20-page ceiling straddles the 220 s kill line; measured once at --timeout 420	OK	20000	20001	first sweep: killed at 220.3 s with 11,735 rows already stored; recheck at 420 s: OK, 20,000 emitted, 20,001 stored (one truncation-notice row), 183.9 s
D3FEND_MAPPINGS	native/collectors/pivot/table/hp3b19_cyber.c	EMITS_NOTHING	0	0	re-pointed d3fend.mitre.org -> next.d3fend.mitre.org (same path); 12-field composite id_keys over the binding's IRIs + query_def_tech_label	OK	16164	16164	old host: HTTP 404 text/html 9,379 B (GitHub Pages "Page not found") on the path and every variant; new host: 200 application/json 60.0 MB in 4.0 s; 16,164 bindings all distinct as full records; composite 16,128 distinct, 36 differ only in label case; recheck stored=16164
ODS_COLOMBIA	native/collectors/pivot/table/hp3_portals.c	EMITS_NOTHING	0	0	timeout_ms=120000 (engine default 20 s; run said "transport failure" at 40,257 ms)	OK	200	200	curl: 200, 1.31 MB, TTFB 21.0 s; recheck OK 200/200 in 32.4 s
AP19_NZ_AKL_HUB	native/collectors/pivot/table/hp3b19_apac.c	COLLISION	172	171	page_start=1 (ArcGIS Hub OGC search startindex is 1-based; URL binds none so the engine walked 0,100 and re-served item 100)	OK	171	171	live: numberMatched 171; no startindex -> 100 items, =100 -> 72, =101 -> 71; recheck 171/171
AP19_NZ_WELLINGTON_HUB	native/collectors/pivot/table/hp3b19_apac.c	COLLISION	140	139	page_start=1 (same as AKL)	OK	140	140	recheck 140/140
AP19_NZ_CANTERBURY_HUB	native/collectors/pivot/table/hp3b19_apac.c	COLLISION	460	459	page_start=1 (same as AKL)	OK	459	459	recheck 459/459
AP19_TW_TWSE_AP11	native/collectors/pivot/table/hp3b19_apac.c	COLLISION	27475	26804	none on identity (correct dedupe, numbers added to the row comment); timeout_ms=420000 because the 10.4 MB body took 303 s to curl and timed out at 42 s on the first recheck	COLLISION (correct dedupe)	27475	26804	live 2026-09-20: 27,475 rows, 26,734 distinct 公司代號+姓名+職稱 triples, 26,804 distinct FULL rows = stored; the 671 collapsed are byte-identical; recheck 157.6 s
BINARYDEFENSE_BANLIST	native/collectors/pivot/table/hp3_threat.c	COLLISION	5007	5004	none on identity (correct dedupe, numbers on the row); url -> https://binarydefense.com/banlist.txt (the www host 301s there)	COLLISION (correct dedupe)	5197	5194	live: 5,197 data lines, 5,194 distinct, repeats are byte-identical (137.184.105.1, 44.220.185.100); recheck 5197/5194
THREATVIEW_C2	native/collectors/pivot/table/hp3_threat.c	COLLISION	1173	1165	none (correct dedupe, numbers on the row)	COLLISION (correct dedupe)	1173	1165	live: 1,178 lines, 1,170 distinct whole lines; 8 byte-identical repeats (e.g. 106.75.224.31 / 02 Nov 2025 twice); recheck 1173/1165
CELESTRAK_GP_STARLINK	native/collectors/pivot/table/hp3_sigint.c	EMITS_NOTHING	0	0	none — unreachable, left failing honestly (as round 7 did for 37 CelesTrak rows)	EMITS_NOTHING	0	0	celestrak.org resolves (104.168.149.178) but no TCP handshake on :443 or :80 from WSL: curl rc=28 at 30 s and 20 s, three tries 2026-09-20/21; recheck rc=1 at 42.3 s
SOCRATA_HAWAII	native/collectors/pivot/table/hp3_portals.c	EMITS_NOTHING	0	0	per-row User-Agent "JapanOSINT/1.0 (contact via repo issues)" (bot wall rejects the word "collector" in the engine default); then rows=1000 + page_param=start (was 100 of count=976 with no paging)	OK	976	976	UA bisection on the same URL: engine default 502, "JapanOSINT collector" 502, "JapanOSINT/1.0" 200, "OSINT/1.0" 200; recheck after UA: 100/100; after paging: 976/976 in 15.2 s
ODS_ITALY	native/collectors/pivot/table/hp3_portals.c	OK (100 of 65,503 — rule-2 cap invisible to the scanner)	100	100	rows=1000 + page_param=start, page_max=80, timeout_ms=120000	(recheck running: 66 pages x 15 s)	-	-	live: count 65,503; start honoured 0-based; rows=1000 = 9.5 MB / 15 s per page
ODS_IRELAND	native/collectors/pivot/table/hp3_portals.c	OK (100 of 22,727)	100	100	rows=1000 + page_param=start, page_max=30, timeout_ms=60000	OK	22727	22727	recheck 22,727/22,727 in 299 s
ODS_CHILE	native/collectors/pivot/table/hp3_portals.c	OK (100 of 3,217)	100	100	rows=1000 + page_param=start, page_max=8, timeout_ms=60000	OK	3217	3217	recheck 3,217/3,217 in 33.8 s
ODS_ARGENTINA	native/collectors/pivot/table/hp3_portals.c	OK (100 of 1,287)	100	100	rows=1000 + page_param=start, page_max=5, timeout_ms=60000	OK	1287	1287	recheck 1,287/1,287 in 22.2 s
PSE_POEB_RBN	native/collectors/pivot/table/hp3b19_energyenv.c	COLLISION	500	492	id_keys=dtime+ofcg+ofcd+ofp (was title-only); the 8 collapsed are byte-identical; ENGINE GAP noted: no today-date token, so the whole api.raporty.pse.pl family re-reads history's first 500 records every run	COLLISION (correct dedupe)	500	492	live: 600 records / 12 pages, 591 distinct full, composite unique on every distinct one; $filter=business_date eq 'YYYY-MM-DD' and $first=5000 both work upstream
TPEX_DIRECTOR_HOLDINGS	native/collectors/pivot/table/hp3b19_finance.c	COLLISION	17568	17139	none on identity (correct dedupe, numbers on the row); timeout_ms=300000 (168 s in sweep)	COLLISION (correct dedupe)	17568	17139	live: 17,568 records, 17,107 distinct triples, 17,139 distinct full rows = stored
TPEX_BOARD_ELECTION	native/collectors/pivot/table/hp3b19_finance.c	COLLISION	3160	3151	id_keys += 候選人類別 (one person stands in two candidate categories at one meeting); 9 collapsed are byte-identical	COLLISION (correct dedupe)	3160	3151	live: 3,160 records, 3,151 distinct full; 3-field key 3,150, 4-field 3,151 = stored
AZ_CBAR_FX_XML	native/collectors/pivot/table/hp3b19_finance.c	NEEDS_ENTITY	0	0	interval 86400 -> 0: {q} is a DD.MM.YYYY date, a scheduled run has none; no dateless endpoint exists; id_keys=Code added	OK as pivot	42	42	/currencies/.xml "Request Rejected", today.xml / currencies.xml / currencies/ 302 to HTML; /currencies/21.09.2026.xml 200 12.7 KB; --run with entity 21.09.2026: 42/42
MD_BNM_FX_XML	native/collectors/pivot/table/hp3b19_finance.c	NEEDS_ENTITY	0	0	interval 86400 -> 0 (same: date {q}; get_xml=1 without date and date= are 404)	OK as pivot	40	40	--run with entity 21.09.2026: 40/40
LACNIC_DELEGATED_STATS	native/collectors/pivot/table/hp3b19_cyber.c	SLOW	-1	-1	none — kill line	SLOW	-	-	same family as RIPENCC_DELEGATED_STATS
ARIN_DELEGATED_STATS	native/collectors/pivot/table/hp3b19_cyber.c	SLOW	-1	-1	none — kill line	SLOW	-	-	same family as RIPENCC_DELEGATED_STATS
CERTPL_DOMAINS_JSON	native/collectors/pivot/table/hp3b19_cyber.c	SLOW	-1	-1	none — unmeasured; 49,213 rows stored at 220 s, 106,372 at 600 s and still running	SLOW	-1	>=106372	one big JSON document walked as detail records; not failed
RIPENCC_DELEGATED_STATS	native/collectors/pivot/table/hp3b19_cyber.c	SLOW	-1	-1	none — unmeasured; 91,155 rows stored at 220 s, 104,108 at 600 s and still running	SLOW	-1	>=104108	delegated-extended file is ~300k pipe-delimited lines; not failed
nra-radiation	native/collectors/sources/nra_radiation.c	EMITS_NOTHING	0	0	DEAD upstream — all four feeds; comment with the evidence on the feed table; run left failing honestly (rc=-1 "no live feed"); no re-point because the only public file on the new host is a different dataset	EMITS_NOTHING (dead)	0	0	2026-09-21 x2: dose_today.json & MP_today.json 403 application/xml (S3 AccessDenied); relaunched Nuxt site's /api/v1/get/{category-master,contents-master,maintenance-flag} and /api/v1/search/meta-search all 401 {"message":"Unauthorized"}; /sea-data.json 200 (1,428 sea markers, lat/lon/value only — not air-dose stations); www.kankyo-hoshano.go.jp NXDOMAIN (curl 6); emdb.jaea.go.jp latest.json 302 -> /emdb/top -> 500 Incapsula
UKHSA_MEASLES_CASES_ENGLAND	native/collectors/pivot/table/hp3b19_health.c	COLLISION	1091	1090	id_keys=metric+geography_code+date+age+sex+stratum (title was the constant "topic"); the one collapsed record is byte-identical	COLLISION (correct dedupe)	1091	1090	walked 3 pages: 1,091 records, 1,090 distinct full rows; 2025-07-21 / 15-24 / all / default published twice with the same value
TRONSCAN_TOP_ACCOUNTS	native/collectors/pivot/table/hp3b19_finance.c	EMITS_NOTHING	0	0	none — rate wall: 429 "allowed_rps(3), query server suspended for 27 s / 61 s" escalating per hit; a key_env slot would gate the row OFF when the env is unset (jo_needs_credential), so not added	EMITS_NOTHING (rate wall)	0	0	engine: status=429 in 0.5 s on two solo runs 10 min apart; curl same; docs.tronscan.org API key raises the quota
DELPHI_EPIDATA_ECDC_ILI	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 86400 -> 0 ({q} row; a scheduled run has no entity)	OK as pivot	12	12	--run with entity "austria" (2020+): 12/12; the API wants the full country name (at/AT: "no results")
DELPHI_EPIDATA_COVID_HOSP_STATE	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 86400 -> 0 ({qU} row)	pivot	-	-	same declaration defect as the row above
DELPHI_EPIDATA_HOSP_FACILITY_LOOKUP	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 604800 -> 0 ({ql} row)	pivot	-	-	same
ES_AEMPS_CIMA_MEDICAMENTOS	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 86400 -> 0 ({q} row)	OK as pivot	138	138	--run with entity "ibuprofeno": 138/138 across 2 pages
ES_AEMPS_CIMA_SUPPLY_PROBLEMS	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 21600 -> 0 ({q} row)	pivot	-	-	same
ES_AEMPS_CIMA_VMPP	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 604800 -> 0 ({q} row)	pivot	-	-	same
CA_HC_DPD_DRUGPRODUCT_DIN	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 86400 -> 0 ({qd} row)	pivot	-	-	same
IRS_FATCA_GIIN_LIST	?	SLOW	-1	-1	none — kill line (one long-timeout attempt queued)	SLOW	-	-	
BR_CVM_FUNDS	?	SLOW	-1	-1	none — kill line (one long-timeout attempt queued)	SLOW	-	-	
UK_OFSI_CONSOLIDATED_XML	?	SLOW	-1	-1	none — kill line (one long-timeout attempt queued)	SLOW	-	-	
WHO_XMART_FLUID_EPI	?	SLOW	-1	-1	none — kill line; 8,000 rows stored at 220 s	SLOW	-	>=8000	
CA_HC_DPD_DRUGPRODUCT_ALL	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — kill line; 16,509 rows stored at 226 s	SLOW	-	>=16509	
CA_HC_DPD_ACTIVEINGREDIENT	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — kill line; 16,169 rows stored at 226 s	SLOW	-	>=16169	
CA_HC_DPD_STATUS	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — kill line; 17,751 rows stored at 225 s	SLOW	-	>=17751	
MCC_MNC_TABLE	native/collectors/pivot/table/hp3b19_iana.c	COLLISION	2599	2558	none — already documented on the row (round 7): 41 byte-identical duplicate lines upstream	COLLISION (correct dedupe)	2599	2558	row comment 2026-09-11: 2,599 records, 2,558 distinct full, 41 exact repeats
WHO_IRIS_PUBLICATION_SEARCH	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 86400 -> 0 ({q} row)	pivot	-	-	same declaration defect as the chunk-3 rows
EU_CTIS_TRIAL_RETRIEVE	native/collectors/pivot/table/hp3b19_health.c	NEEDS_ENTITY	0	0	interval 86400 -> 0 ({q} row)	pivot	-	-	same
BR_PNCP_CONTRATOS	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — upstream outage: 504 Gateway Time-out at 70.9 s to curl	EMITS_NOTHING (upstream 504)	0	0	2026-09-21 curl: http=504 "The server didn't respond in time" after 70.9 s on both contratos and contratacoes; retest next round
BR_PNCP_CONTRATACOES	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — upstream 504 (same)	EMITS_NOTHING (upstream 504)	0	0	same
BR_PNCP_ATAS	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — upstream 504 (same host; sweep failed at 143 s against its 120 s timeout_ms)	EMITS_NOTHING (upstream 504)	0	0	same host, same day
JM_DATA_GOV_JM_CATALOG	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — unreachable: connection reset (curl rc=56) in 0.7 s, as round 7 found for both Jamaica portals	EMITS_NOTHING (unreachable)	0	0	curl -m 60: http=000 rc=56
JM_DKAN_NODES	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — same host as JM_DATA_GOV_JM_CATALOG	EMITS_NOTHING (unreachable)	0	0	sweep: 3.4 s empty
PA_PANAMACOMPRA_RUBROS	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — engine limitation already on the row: server sends a connection-specific header over HTTP/2, curl rc=92; --http1.1 returns 200 with 5,121 B of JSON	EMITS_NOTHING (engine: no HTTP/1.1 knob)	0	0	curl default rc=92 bytes=0; curl --http1.1 http=200 bytes=5121
PA_PANAMACOMPRA_TIPOS	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — same host, same limitation	EMITS_NOTHING (engine: no HTTP/1.1 knob)	0	0	same
BO_SEPREC_ARANCELES	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — Cloudflare browser challenge (403 "Just a moment..." 5,625 B text/html in 0.13 s); a bot wall is not bypassed	EMITS_NOTHING (bot wall)	0	0	curl 2026-09-21: http=403 text/html challenge page
EC_GOBEC_REGULACIONES	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — unreachable today: connection stalls with 0 bytes for 133 s (curl rc=28); sweep failed at 42 s	EMITS_NOTHING (unreachable)	0	0	retest next round
CR_SANCARLOS_PREDIOS	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	DEAD LAYER — comment with evidence on the row; left failing honestly	EMITS_NOTHING (dead)	0	0	WFS ServiceExceptionReport InvalidParameterValue typeName "Feature type geonode:predios_sc unknown"; GetCapabilities 47 KB lists aerodromos_sc, albergues_sc, bomberos_sc... and no predio* layer
CO_ANM_RUCOM_TITULOS	native/collectors/pivot/table/hp3b19_latam.c	COLLISION (and capped at the 10-page ceiling)	10000	9983	page_max=20 (count(*)=12,914); id_keys += codigo_dane (one line per municipality per title)	COLLISION (correct dedupe; full walk)	12914	12913	full walk: 12,914 rows, 12,913 distinct full, key 12,913; recheck 12,914 emitted / 12,913 stored in 73.6 s
CO_REGALIAS_EJECUCION	native/collectors/pivot/table/hp3b19_latam.c	COLLISION	5315	5312	id_keys += nombrebolsaregional+presupuestosgrinversion+recursosaprobadosasignadosspgr (rows for one fund+entity differ only in amounts)	OK	5315	5315	count(*)=5,315, all distinct full; recheck 5,315/5,315 in 36.9 s
CA_HC_DPD_ROUTE	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — one long-timeout attempt	OK	67066	67066	534 s
CA_HC_DPD_SCHEDULE	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — one long-timeout attempt	OK	59251	59251	418 s
CA_HC_DPD_FORM	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — one long-timeout attempt	OK	62761	62761	503 s
CA_HC_DPD_PACKAGING	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — one long-timeout attempt	OK	58278	58278	421 s
CA_HC_DPD_THERAPEUTICCLASS	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — one long-timeout attempt	OK	48066	48066	308 s
CA_HC_DPD_PHARMACEUTICALSTD	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — one long-timeout attempt	OK	96463	96463	576 s
CERTPL_DOMAINS_JSON	native/collectors/pivot/table/hp3b19_cyber.c	SLOW	-1	-1	none — one long-timeout attempt (supersedes the earlier SLOW line)	OK	132232	132232	1,060 s
RIPENCC_DELEGATED_STATS	native/collectors/pivot/table/hp3b19_cyber.c	SLOW	-1	-1	none — still running at 1,500 s with 191,476 rows stored (~130 rows/s ingest)	SLOW	-1	>=191476	sink throughput, not the upstream; engine-side
ARIN_DELEGATED_STATS	native/collectors/pivot/table/hp3b19_cyber.c	SLOW	-1	-1	none — still running at 1,500 s with 194,427 rows stored	SLOW	-1	>=194427	same
AR_DATOS_MININTERIOR	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — unreachable today: connection stalls, 0 bytes in 150 s (curl rc=28)	EMITS_NOTHING (unreachable)	0	0	2026-09-21; sweep failed at 41.9 s; retest next round
AR_IGN_COMPLEJOS_FRONTERIZOS	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — wms.ign.gob.ar stalls, 0 bytes in 135 s (curl rc=28)	EMITS_NOTHING (unreachable)	0	0	same host for the three IGN rows
AR_IGN_ENERGIA	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — same host stall (134 s, rc=28)	EMITS_NOTHING (unreachable)	0	0	same
AR_IGN_AEROPUERTOS	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	none — same host stall (134 s, rc=28)	EMITS_NOTHING (unreachable)	0	0	same
LACNIC_DELEGATED_STATS	native/collectors/pivot/table/hp3b19_cyber.c	SLOW	-1	-1	none — one long-timeout attempt (supersedes the earlier SLOW line)	OK	97252	97252	143.6 s
BR_CVM_FUNDS	native/collectors/pivot/table/hp3b19_latam.c	SLOW	-1	-1	none — one long-timeout attempt	OK	46806	46806	155.9 s
WHO_XMART_FLUID_EPI	?	SLOW	-1	-1	none — one long-timeout attempt	OK	10000	10001	16.3 s on the retry (the sweep's 220 s was upstream latency that day); +1 row is the truncation notice at the 10,000 ceiling
CA_HC_DPD_DRUGPRODUCT_ALL	native/collectors/pivot/table/hp3b19_health.c	SLOW	-1	-1	none — one long-timeout attempt	OK	58278	58278	81.6 s
UK_OFSI_CONSOLIDATED_XML	native/collectors/pivot/table/hp3b19_finance.c	SLOW	-1	-1	none — at 1,500 s: COLLISION 19,761/19,721, which is correct dedupe: the 54 MB ConList.xml has 19,762 FinancialSanctionsTarget elements, 19,724 distinct by content (alias rows repeated verbatim); single document, so the in-page guard keeps every differing row	COLLISION (correct dedupe)	19761	19721	curl 3.7 s / 54 MB; 38 byte-identical repeats + 3 within the engine's hash normalisation
CL_SEIA_PROYECTOS	native/collectors/pivot/table/hp3b19_latam.c	EMITS_NOTHING	0	0	timeout_ms=90000 (TTFB 19.6 s on the engine's 20 s default)	OK	1000	1001	recheck 1,000 records across the 10-page ceiling (+1 truncation-notice row) in 217 s; total unknown (the search API returns no count)
WD_MILITARY_BASES	native/collectors/pivot/table/hp3b19_reference.c	EMITS_NOTHING	0	0	timeout_ms=60000 on the 23 WDQS rows sharing the declaration (WD_MINES already had 90 s)	COLLISION (correct dedupe)	5000	4981	curl 28.3 s / 3.4 MB; 19 rows are the same item repeated by the OPTIONAL joins (multiple operators/coordinates) and differ only there; also sits exactly at its LIMIT 5000 — noted
WD_OIL_REFINERIES	native/collectors/pivot/table/hp3b19_reference.c	EMITS_NOTHING	0	0	timeout_ms=60000	OK	2000	2000	curl 53.5 s; recheck 20.4 s
WD_NAVAL_BASES	native/collectors/pivot/table/hp3b19_reference.c	EMITS_NOTHING	0	0	timeout_ms=60000 — not enough: the P31/P279* query exceeds WDQS's own 60 s at current load (curl: rc=92 after 87.6 s, 0 bytes)	EMITS_NOTHING (query too heavy for WDQS)	0	0	recheck rc=1 at 121.7 s; the query, not the engine, is the limit
WD_NUCLEAR_PLANTS	native/collectors/pivot/table/hp3b19_reference.c	EMITS_NOTHING	0	0	timeout_ms=60000 — not enough (curl stalled 150 s, 0 bytes)	EMITS_NOTHING (query too heavy for WDQS)	0	0	recheck rc=1 at 110.1 s
WD_PORTS	native/collectors/pivot/table/hp3b19_reference.c	EMITS_NOTHING	0	0	timeout_ms=60000 — borderline: curl 54.9 s / 3.05 MB (TTFB 27.9 s) once, failed on the recheck	EMITS_NOTHING (borderline WDQS latency)	0	0	recheck rc=1 at 117.8 s
CL_SNIFA_UNIDADES	native/collectors/pivot/table/hp3b19_latam.c	SLOW	-1	-1	none — kill line (round 7 already sized its timeout to a 62.6 s / 39.9 MB response)	SLOW	-	-	
CL_SERVEL_DOCUMENTOS	native/collectors/pivot/table/hp3b19_latam.c	COLLISION (and capped at the 10-page ceiling)	1000	999	url += orderby=id&order=asc (WordPress date-desc offsets are unstable on ties); page_max=100 (X-WP-Total 8,361 = 84 pages)	OK	8361	8361	recheck 8,361/8,361 in 63.5 s
CO_RUNAP_AREAS	native/collectors/pivot/table/hp3b19_latam.c	COLLISION (and capped at the 10-page ceiling)	1000	998	page_max=30 (last_page=21); the residual overlap is an upstream ordering defect (no ORDER BY; sort/orderBy/order_by/sortBy all ignored, identical order under each)	COLLISION (upstream unstable paging)	2074	2069	recheck 2,074 emitted / 2,069 stored in 23.3 s; every id seen is also fetched via detail_url
OPENFEC_FILINGS	native/collectors/pivot/table/hp3b19_northam.c	EMITS_NOTHING	0	0	api_key=DEMO_KEY -> {key} with key_env=FEC_API_KEY (mirrors FEC_CONTRIBUTIONS); unset = honest "needs credential"	needs credential	0	0	curl: 429 OVER_RATE_LIMIT "40 calls per hour for the DEMO_KEY"; NOTE the host .env sets FEC_API_KEY to its own trailing comment text (the engine sent "# FEC_CONTRIBUTIONS (api.open.fec.gov; DEMO_KEY works for testing)" URL-encoded as the key and got 403) — reported in the .md
FCC_ECFS_FILINGS	native/collectors/pivot/table/hp3b19_northam.c	COLLISION	1000	966	api_key=DEMO_KEY -> {key} with key_env=FCC_API_KEY (any api.data.gov key); unset = honest "needs credential" notice	needs credential	0	1 (notice)	curl: 429 on DEMO_KEY; --run without key: rc=0 records=0 stored=1 notices=1
