id	url	verdict	kind	items	http	bytes	note
3GPP_SPEC_ARCHIVE	https://www.3gpp.org/ftp/Specs/archive/	PASS	html-anchors	46	200	59083	
3GPP_TSG_CT	https://www.3gpp.org/ftp/tsg_ct/	PASS	html-anchors	7	200	22645	
3GPP_TSG_RAN	https://www.3gpp.org/ftp/tsg_ran/	PASS	html-anchors	9	200	24291	
3GPP_TSG_SA	https://www.3gpp.org/ftp/tsg_sa/	PASS	html-anchors	7	200	22378	
ACMA_RRL_DEVICE_REGISTER	https://portal.data.nsw.gov.au/arcgis/rest/services/Hosted/Australian_Communication_and_Media_Authority_Data/FeatureServer/0/query?where=1%3D1&outFields=*&f=json&resultRecordCount=2000	PASS	json:features	2000	200	4548837	
AEMO_PRICE_AND_DEMAND	https://aemo.com.au/aemo/data/nem/priceanddemand/PRICE_AND_DEMAND_202607_NSW1.csv	PASS	csv	4348	200	411288	
AFRINIC_DELEGATED_EXTENDED	https://ftp.afrinic.net/pub/stats/afrinic/delegated-afrinic-extended-latest	PASS	text-lines	19604	200	989825	
AFRINIC_DELEGATED_STATS	https://ftp.afrinic.net/pub/stats/afrinic/delegated-afrinic-latest	PASS	text-lines	9911	200	489442	
AFRINIC_RDAP_AUTNUM	https://rdap.afrinic.net/rdap/autnum/37100	PASS	json:notices	5	200	4576	
AFRINIC_RDAP_ENTITY	https://rdap.afrinic.net/rdap/entity/ORG-AFNC1-AFRINIC	PASS	json:networks	27	200	110762	
AFRINIC_RDAP_REVERSE_DOMAIN	https://rdap.afrinic.net/rdap/domain/2.216.196.in-addr.arpa	PASS	json:notices	5	200	8851	
AIRGOV_GE_STATIONS	https://air.gov.ge/api/stations	PASS	json-array	516	200	55857	
AI_STATISTICS_PUBLICATIONS	https://statistics.gov.ai/StatisticsDept/Publications	PASS	html-anchors	423	200	505251	
AK_DNR_LAND_PERMITS_LEASES	https://arcgis.dnr.alaska.gov/arcgis/rest/services/OpenData/LandActivity_LandPermitOrLease/MapServer/2/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000	PASS	json:features	1000	200	754175	
AK_DNR_LAND_TRESPASS_CASES	https://arcgis.dnr.alaska.gov/arcgis/rest/services/OpenData/LandActivity_Trespass/MapServer/2/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000	PASS	json:features	125	200	98030	
AK_DNR_MINERAL_PERMITS_LEASES	https://arcgis.dnr.alaska.gov/arcgis/rest/services/OpenData/MineralActivity_MineralPermitOrLease/MapServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000	PASS	json:features	1000	200	755374	
AK_DNR_OIL_GAS_LEASE_SALE_TRACTS	https://arcgis.dnr.alaska.gov/arcgis/rest/services/OpenData/MineralActivity_OGLeaseSaleTract/MapServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000	PASS	json:features	1000	200	690009	
AK_DNR_RESOURCE_SALES	https://arcgis.dnr.alaska.gov/arcgis/rest/services/OpenData/LandActivity_ResourceSale/MapServer/1/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000	PASS	json:features	952	200	691929	
AK_DNR_STATE_MINING_CLAIMS	https://arcgis.dnr.alaska.gov/arcgis/rest/services/OpenData/NaturalResource_StateMiningClaim/MapServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000	PASS	json:features	1000	200	858480	
AK_DNR_WATER_WELL_LOGS	https://arcgis.dnr.alaska.gov/arcgis/rest/services/OpenData/NaturalResource_WELTS/MapServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000	PASS	json:features	1000	200	735893	
AK_DNR_WELL_SITES	https://arcgis.dnr.alaska.gov/arcgis/rest/services/OpenData/LandActivity_WellSite/MapServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json&resultRecordCount=1000	PASS	json:fields	21	200	9635	
ALERCE_ZTF_OBJECT_LOOKUP	https://api.alerce.online/ztf/v1/objects/ZTF18abvfafa	PASS	json-object	1	200	515	
ALMALINUX_ERRATA_8	https://errata.almalinux.org/8/errata.full.json	PASS	json:data	3237	200	41546021	
ALPINE_SECDB_BRANCH_COMMUNITY	https://secdb.alpinelinux.org/v3.21/community.json	PASS	json:packages	425	200	137154	
ALPINE_SECDB_BRANCH_MAIN	https://secdb.alpinelinux.org/v3.22/main.json	PASS	json:packages	274	200	86612	
AL_AKEP_DECISIONS	https://akep.al/wp-json/wp/v2/posts?per_page=100	PASS	json-array	96	200	1849794	
AL_OPENDATA_DATASET	https://opendata.gov.al/api/Dataset/get/bizneset_sipas_formes_ligjore__2026_	PASS	json:data.keywords	5	200	7748	
AL_OPENDATA_INSTITUTIONS	https://opendata.gov.al/api/Institution	PASS	json:data	21	200	6377	
AL_OPENDATA_POPULAR	https://opendata.gov.al/api/Dataset/getMostAccessedDataSets	PASS	json:data	6	200	1101	
AMTRAKER_STATIONS	https://api-v3.amtraker.com/v3/stations	PASS	json:NYP.trains	59	200	235948	
AM_ARMSTATBANK_INDEX	https://statbank.armstat.am/api/v1/en/ArmStatBank/	PASS	json-array	8	200	691	
AM_ARMSTATBANK_TRADE	https://statbank.armstat.am/api/v1/en/ArmStatBank/5%20Foreign%20trade/	PASS	json-array	3	200	424	
AM_OPENDATA_BULK	https://data.opendata.am/api/3/action/current_package_list_with_resources?limit=100	PASS	json:result	100	200	975826	
ANACONDA_PACKAGE	https://api.anaconda.org/package/conda-forge/numpy	PASS	json:files	3763	200	7405976	
ANACONDA_SEARCH	https://api.anaconda.org/search?name=numpy&limit=50	PASS	json-array	50	200	75970	
ANFR_EMF_PROBE_MEASUREMENTS	https://data.anfr.fr/d4c/api/records/1.0/search/?dataset=28d187a3-1e67-4aa6-970e-e787db97aa99&rows=1000	PASS	json:records	1000	200	470447	
ANFR_HANDSET_SAR	https://data.anfr.fr/d4c/api/records/1.0/search/?dataset=ad8014ec-f631-450e-a259-799188714ef9&rows=1000	PASS	json:records	1000	200	750556	
ANFR_MARITIME_STATIONS	https://data.anfr.fr/d4c/api/records/1.0/search/?dataset=17323bc6-7f78-4683-9d52-35789a0f053f&rows=1000	PASS	json:records	1000	200	690466	
ANFR_MOBILE_OBSERVATORY	https://data.anfr.fr/d4c/api/records/1.0/search/?dataset=a513a5d7-0071-4349-9419-a530dad9ba50&rows=1000	PASS	json:records	1000	200	639486	
ANFR_MOBILE_TRANSMITTERS	https://data.anfr.fr/d4c/api/records/1.0/search/?dataset=dd11fac6-4531-4a27-9c8c-a3a9e4ec2107&rows=1000	PASS	json:records	1000	200	1084062	
ANFR_SMARTMETER_MEASUREMENTS	https://data.anfr.fr/d4c/api/records/1.0/search/?dataset=815b91f9-9632-4aac-9ac6-6a6334356a36&rows=1000	PASS	json:records	364	200	284628	
ANTARES_LOCI	https://api.antares.noirlab.edu/v1/loci?page[limit]=100	PASS	json:data	100	200	202768	
AP19_AU_ACT_SOCRATA	https://www.data.act.gov.au/api/catalog/v1?limit=100	PASS	json:results	100	200	958987	
AP19_AU_AODN_CATALOGUE	https://catalogue-imos.aodn.org.au/geonetwork/srv/eng/q?_content_type=json&fast=index&from=1&to=100	PASS	json:metadata	100	200	1657571	
AP19_AU_MELB_CAFES	https://data.melbourne.vic.gov.au/api/explore/v2.1/catalog/datasets/cafes-and-restaurants-with-seating-capacity/records?limit=100	PASS	json:results	100	200	55083	
AP19_AU_MELB_DEVELOPMENT	https://data.melbourne.vic.gov.au/api/explore/v2.1/catalog/datasets/development-activity-monitor/records?limit=100	PASS	json:results	100	200	105096	
