id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
JPREPO_CHUKYO_U_OAI	OK	0	0	4000	4001	4001	4000	1005.5	
JPREPO_CHUO_U_OAI	OK	0	0	4000	4001	4001	4000	1248.1	
JPREPO_DOSHISHA_OAI	SLOW	-1	0	-1	-1	3100	-1	1500.1	hit --timeout 1500.1s; 3100 rows already stored
JPREPO_EHIME_U_OAI	OK	0	0	3997	3998	3998	3997	1187.0	
JPREPO_FUKUOKA_EDU_OAI	OK	0	0	3200	3200	3200	3200	1083.2	
JPREPO_FUKUOKA_U_OAI	OK	0	0	4000	4001	4001	4000	1121.9	
JPREPO_GEIDAI_OAI	OK	0	0	2090	2090	2090	2090	601.0	
JPREPO_GIFU_U_OAI	SLOW	-1	0	-1	-1	3000	-1	1500.0	hit --timeout 1500.0s; 3000 rows already stored
JPREPO_GUNMA_U_OAI	SLOW	-1	0	-1	-1	3400	-1	1500.1	hit --timeout 1500.1s; 3400 rows already stored
JPREPO_HIROSAKI_OAI	SLOW	-1	0	-1	-1	3500	-1	1500.1	hit --timeout 1500.1s; 3500 rows already stored
JPREPO_JISSEN_OAI	OK	0	0	2098	2098	2098	2098	595.2	
JPREPO_HYOGO_U_OAI	SLOW	-1	0	-1	-1	3600	-1	1500.1	hit --timeout 1500.1s; 3600 rows already stored
JPREPO_IWATE_U_OAI	OK	0	0	4000	4001	4001	4000	1499.2	
JPREPO_KAGAWA_U_OAI	OK	0	0	4000	4001	4001	4000	1073.7	
JPREPO_KANAGAWA_U_OAI	SLOW	-1	0	-1	-1	3900	-1	1500.1	hit --timeout 1500.1s; 3900 rows already stored
JPREPO_KANAZAWA_U_OAI	SLOW	-1	0	-1	-1	2600	-1	1500.1	hit --timeout 1500.1s; 2600 rows already stored
JPREPO_KANSAI_U_OAI	SLOW	-1	0	-1	-1	3000	-1	1500.1	hit --timeout 1500.1s; 3000 rows already stored
JPREPO_KANSAIGAIDAI_OAI	OK	0	0	2975	2975	2975	2975	813.9	
JPREPO_KYOTOGAKUEN_OAI	OK	0	0	1634	1634	1634	1634	414.6	
JPREPO_KINDAI_OAI	OK	0	0	4000	4001	4001	4000	1230.0	
JPREPO_KWANSEI_OAI	OK	0	0	4000	4001	4001	4000	1460.5	
JPREPO_KYUTECH_OAI	SLOW	-1	0	-1	-1	3800	-1	1500.1	hit --timeout 1500.1s; 3800 rows already stored
JPREPO_MEIJI_OAI	SLOW	-1	0	-1	-1	3400	-1	1500.1	hit --timeout 1500.1s; 3400 rows already stored
JPREPO_MIE_U_OAI	SLOW	-1	0	-1	-1	3500	-1	1500.1	hit --timeout 1500.1s; 3500 rows already stored
JPREPO_MUKOGAWA_OAI	OK	0	0	3125	3125	3125	3125	993.8	
JPREPO_MIYAZAKI_U_OAI	SLOW	-1	0	-1	-1	3900	-1	1500.1	hit --timeout 1500.1s; 3900 rows already stored
JPREPO_NAGASAKI_U_OAI	SLOW	-1	0	-1	-1	3800	-1	1500.1	hit --timeout 1500.1s; 3800 rows already stored
JPREPO_NAIST_OAI	OK	0	0	4000	4001	4001	4000	1491.9	
JPREPO_NARA_EDU_OAI	SLOW	-1	0	-1	-1	3700	-1	1500.0	hit --timeout 1500.0s; 3700 rows already stored
JPREPO_NARA_WU_OAI	OK	0	0	4000	4001	4001	4000	1283.8	
JPREPO_NIHON_U_OAI	OK	0	0	3991	3992	3992	3991	1184.7	
JPREPO_OBIRIN_OAI	OK	0	0	2315	2315	2315	2315	572.3	
JPREPO_NIIGATA_U_OAI	SLOW	-1	0	-1	-1	3500	-1	1500.1	hit --timeout 1500.1s; 3500 rows already stored
JPREPO_OTEMAE_OAI	OK	0	0	2107	2107	2107	2107	525.5	
JPREPO_OTANI_OAI	OK	0	0	3984	3985	3985	3984	1114.1	
JPREPO_RIKKYO_OAI	OK	0	0	4000	4001	4001	4000	1199.5	
