id	verdict	emitted	available	entity
JPREPO_BIWAKO_SEIKEI_OAI	OK	431	431	
JPREPO_CHUKYO_U_OAI	SLOW	0	0	
JPREPO_CHUO_U_OAI	SLOW	0	0	
JPREPO_DOSHISHA_OAI	SLOW	0	0	
JPREPO_EHIME_U_OAI	SLOW	0	0	
JPREPO_FUKUOKA_EDU_OAI	SLOW	0	0	
JPREPO_FUKUOKA_U_OAI	SLOW	0	0	
JPREPO_GEIDAI_OAI	SLOW	0	0	
JPREPO_GIFU_U_OAI	SLOW	0	0	
JPREPO_GUNMA_U_OAI	SLOW	0	0	
JPREPO_HIROSAKI_OAI	SLOW	0	0	
JPREPO_HYOGO_U_OAI	SLOW	0	0	
JPREPO_IWATE_U_OAI	SLOW	0	0	
JPREPO_JISSEN_OAI	SLOW	0	0	
JPREPO_KAGAWA_U_OAI	SLOW	0	0	
JPREPO_KANAGAWA_U_OAI	SLOW	0	0	
JPREPO_KANAZAWA_U_OAI	SLOW	0	0	
JPREPO_KANSAI_U_OAI	SLOW	0	0	
JPREPO_KANSAIGAIDAI_OAI	SLOW	0	0	
JPREPO_KINDAI_OAI	SLOW	0	0	
JPREPO_KITASATO_OAI	OK	1142	1142	
JPREPO_KOBEGAKUIN_OAI	OK	546	546	
JPREPO_KURUME_IT_OAI	OK	390	390	
JPREPO_KWANSEI_OAI	SLOW	0	0	
JPREPO_KYOTOGAKUEN_OAI	SLOW	0	0	
JPREPO_KYUTECH_OAI	SLOW	0	0	
JPREPO_MEIJI_OAI	SLOW	0	0	
JPREPO_MEIJI_U_OAI	OK	638	638	
JPREPO_MEIKAI_OAI	OK	1272	1272	
JPREPO_MIE_U_OAI	SLOW	0	0	
JPREPO_MIYAZAKI_U_OAI	SLOW	0	0	
JPREPO_MUKOGAWA_OAI	SLOW	0	0	
JPREPO_NAGASAKI_U_OAI	SLOW	0	0	
JPREPO_NAIST_OAI	SLOW	0	0	
JPREPO_NARA_EDU_OAI	SLOW	0	0	
JPREPO_NARA_WU_OAI	SLOW	0	0	
JPREPO_NIHON_U_OAI	SLOW	0	0	
JPREPO_NIIGATA_U_OAI	SLOW	0	0	
JPREPO_NODAI_OAI	OK	1336	1336	
JPREPO_OBIRIN_OAI	SLOW	0	0	
JPREPO_OSAKA_KYOIKU_OAI	OK	4000	4000	
JPREPO_OTANI_OAI	SLOW	0	0	
JPREPO_OTEMAE_OAI	SLOW	0	0	
JPREPO_OTSUMA_OAI	OK	524	524	
JPREPO_REITAKU_OAI	OK	1232	1232	
JPREPO_RIKKYO_OAI	SLOW	0	0	
JPREPO_RISSHO_OAI	SLOW	0	0	
JPREPO_SAGA_U_OAI	SLOW	0	0	
JPREPO_SAITAMA_MED_OAI	OK	728	728	
JPREPO_SEIJO_OAI	SLOW	0	0	
JPREPO_SEIKEI_OAI	SLOW	0	0	
JPREPO_SEITOKU_OAI	SLOW	0	0	
JPREPO_SENSHU_U_OAI	SLOW	0	0	
JPREPO_SHIGA_MED_OAI	SLOW	0	0	
JPREPO_SHIGA_U_OAI	SLOW	0	0	
JPREPO_SHIZUOKA_OAI	SLOW	0	0	
JPREPO_SOPHIA_OAI	SLOW	0	0	
JPREPO_TAMAGAWA_OAI	SLOW	0	0	
JPREPO_TEZUKAYAMA_OAI	SLOW	0	0	
JPREPO_TOHOKU_OAI	SLOW	0	0	
JPREPO_TOHOKU_GAKUIN_OAI	SLOW	0	0	
JPREPO_TOKUSHIMA_U_OAI	SLOW	0	0	
JPREPO_TOKYO_FUKUSHI_OAI	OK	266	266	
JPREPO_TOKYO_KASEI_OAI	SLOW	0	0	
JPREPO_TOYO_OAI	SLOW	0	0	
JPREPO_TSUDA_OAI	OK	418	418	
JPREPO_TSUKUBA_OAI	SLOW	0	0	
JPREPO_TSUKUBA_TECH_OAI	SLOW	0	0	
JPREPO_TUAT_OAI	SLOW	0	0	
JPREPO_U_GAKUGEI_OAI	SLOW	0	0	
JPREPO_UEC_OAI	SLOW	0	0	
JPREPO_WAKAYAMA_U_OAI	SLOW	0	0	
JPREPO_WASEDA_OAI	SLOW	0	0	
JPREPO_YAMANASHI_OAI	SLOW	0	0	
JPREPO_ASAHIKAWA_MED_OAI	SLOW	0	0	
JPREPO_FERRIS_OAI	SLOW	0	0	
JPREPO_HOKUSEI_OAI	SLOW	0	0	
JPREPO_KITAMI_IT_OAI	SLOW	0	0	
JPREPO_KOBE_CUFS_OAI	SLOW	0	0	
JPREPO_KOBE_SHINWA_OAI	SLOW	0	0	
JPREPO_KOMAZAWA_U_OAI	SLOW	0	0	
JPREPO_KWASSUI_OAI	OK	1259	1259	
JPREPO_MURORAN_IT_OAI	SLOW	0	0	
JPREPO_NARAGAKUEN_OAI	SLOW	0	0	
JPREPO_NIFS_REPOSITORY_OAI	SLOW	0	0	
JPREPO_OBIHIRO_OAI	SLOW	0	0	
JPREPO_OSAKA_SHOIN_OAI	SLOW	0	0	
JPREPO_SAPPORO_U_OAI	SLOW	0	0	
JPREPO_SEIKA_OAI	OK	228	228	
JPREPO_SEISEN_OAI	OK	1155	1155	
JPREPO_SETSUNAN_OAI	SLOW	0	0	
JPREPO_SOKA_OAI	SLOW	0	0	
JPREPO_SURUGADAI_OAI	SLOW	0	0	
JPREPO_TAKUSHOKU_U_OAI	OK	996	996	
JPREPO_TEIKYO_U_OAI	SLOW	0	0	
JPBIZ_SMRJ_NATIONAL	OK	20	20	
JPBIZ_SMRJ_HOKKAIDO	OK	20	20	
JPBIZ_SMRJ_TOHOKU	OK	19	19	
JPBIZ_SMRJ_KANTO	OK	20	20	
JPBIZ_SMRJ_CHUBU	OK	20	20	
JPBIZ_SMRJ_HOKURIKU	OK	20	20	
JPBIZ_SMRJ_KINKI	OK	20	20	
JPBIZ_SMRJ_CHUGOKU	OK	20	20	
JPBIZ_SMRJ_SHIKOKU	OK	19	19	
JPBIZ_SMRJ_KYUSHU	OK	15	15	
JPBIZ_SMRJ_OKINAWA	OK	4	4	
JPBIZ_TOBEN	OK	15	15	
JPBIZ_AIBEN	OK	8	8	
JPBIZ_KANAZAWABEN	OK	15	15	
JPBIZ_MED_JMA	OK	15	15	
JPBIZ_MIYAZAKI_CCI	OK	15	15	
JPBIZ_NEWSCAST	OK	100	100	
JPBIZ_EHIMEBEN	OK	10	10	
JPBIZ_FBENGOSHIKAI	OK	10	10	
JPBIZ_FUKUBEN	OK	10	10	
JPBIZ_FUKUSHIMA_CCI	OK	10	10	
JPBIZ_GUNBEN	OK	10	10	
JPBIZ_HAKOBEN	OK	50	50	
JPBIZ_HIROBEN	OK	10	10	
JPBIZ_HYOGOBEN	OK	15	15	
JPBIZ_IBABEN	OK	10	10	
JPBIZ_JAAA	OK	10	10	
JPBIZ_JATA	OK	10	10	
JPBIZ_JCCA_CONSULT	OK	10	10	
JPBIZ_JEITA	OK	20	20	
JPBIZ_JHRA	OK	50	50	
JPBIZ_JMF	OK	10	10	
JPBIZ_JPAA	OK	10	10	
JPBIZ_JTA_TRUCK	OK	10	10	
JPBIZ_KABEN	OK	10	10	
JPBIZ_KAWASAKI_CCI	OK	10	10	
JPBIZ_KUMABEN	OK	10	10	
JPBIZ_MAEBASHI_CCI	OK	10	10	
JPBIZ_MIEBEN	OK	10	10	
JPBIZ_MIYABEN	OK	8	8	
JPBIZ_NABEN	OK	50	50	
JPBIZ_NAGANO_CCI	EMPTY_UPSTREAM	0	0	
JPBIZ_NBEN	OK	50	50	
JPBIZ_NICHIZEIREN	OK	10	10	
JPBIZ_NIIGATABEN	OK	10	10	
JPBIZ_NIIGATA_CCI	OK	50	50	
JPBIZ_OITA_CCI	OK	10	10	
JPBIZ_OKAYAMA_CCI	OK	50	50	
JPBIZ_SAGABEN	OK	10	10	
JPBIZ_SAITAMA_CCI	OK	2	2	
JPBIZ_SHIZUOKA_CCI	EMPTY_UPSTREAM	0	0	
JPBIZ_TOKUBEN	OK	10	10	
JPBIZ_TOMIBEN	OK	10	10	
JPBIZ_TOTTORI_CCI	OK	50	50	
JPBIZ_YAMABEN	OK	10	10	
JPBIZ_YOKOHAMA_CCI	OK	50	50	
JPBIZ_ZENKEN_SO	OK	4	4	
JPBIZ_ATPRESS	OK	100	100	
JPBIZ_VALUEPRESS	OK	200	200	
JPBIZ_ZAIKEI_RELEASES	OK	50	50	
JPBIZ_AZBIL_IR	OK	30	30	
JPBIZ_EISAI_NEWS	OK	15	15	
JPBIZ_SEVENANDI_NEWS	OK	20	20	
JPBIZ_SEVENANDI_DISCLOSE	OK	20	20	
JPBIZ_TOKIOMARINE_REL	OK	10	10	
JPBIZ_TOKIOMARINE_NEWS	OK	10	10	
JPBIZ_TOKIOMARINE_IR	OK	10	10	
JPBIZ_NURSE	OK	100	100	
JPBIZ_JCCU_NEWSRELEASE	OK	5	5	
JPBIZ_JCCU_ANNOUNCE	OK	5	5	
JPBIZ_JCCU_AREANEWS	OK	5	5	
JPBIZ_JCCU_INFO	OK	5	5	
JPBIZ_JCCU_SUGGESTION	OK	5	5	
JPOD_GSP_MOJ_22GIFU_2024_2025	OK	46	46	
JPOD_GSP_MOJ_23AICHI_2022_2023	OK	78	78	
JPOD_GSP_MOJ_23AICHI_2024_2025	OK	77	77	
JPOD_GSP_MOJ_24MIE_2022_2023	OK	35	35	
JPOD_GSP_MOJ_24MIE_2024_2025	OK	35	35	
JPOD_GSP_MOJ_25SHIGA_2022_2023	OK	25	25	
JPOD_GSP_MOJ_25SHIGA_2024_2025	OK	23	23	
JPOD_GSP_MOJ_26KYOTO_2022_2023	OK	36	36	
